DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,11520.0000,11520.0000,11316.0000,11322.0000,19779,19779,0,0,0.0000
19900103,11322.0000,11460.0000,11298.0000,11442.0000,16270,16270,0,0,0.0000
19900104,11472.0000,11520.0000,11340.0000,11346.0000,12743,12743,0,0,0.0000
19900105,11298.0000,11466.0000,11286.0000,11418.0000,11808,11808,0,0,0.0000
19900108,11448.0000,11808.0000,11442.0000,11784.0000,20844,20844,0,0,0.0000
19900109,11730.0000,11820.0000,11682.0000,11778.0000,19457,19457,0,0,0.0000
19900110,11760.0000,11778.0000,11598.0000,11724.0000,16266,16266,0,0,0.0000
19900111,11712.0000,11790.0000,11706.0000,11754.0000,13699,13699,0,0,0.0000
19900112,11826.0000,11844.0000,11634.0000,11640.0000,12677,12677,0,0,0.0000
19900115,11598.0000,11688.0000,11580.0000,11652.0000,6067,6067,0,0,0.0000
19900116,11610.0000,11640.0000,11490.0000,11496.0000,13691,13691,0,0,0.0000
19900117,11484.0000,11616.0000,11484.0000,11502.0000,12378,12378,0,0,0.0000
19900118,11508.0000,11580.0000,11496.0000,11538.0000,8570,8570,0,0,0.0000
19900119,11562.0000,11568.0000,11400.0000,11406.0000,14732,14732,0,0,0.0000
19900122,11400.0000,11448.0000,11316.0000,11358.0000,15163,15163,0,0,0.0000
19900123,11382.0000,11508.0000,11376.0000,11466.0000,13141,13141,0,0,0.0000
19900124,11472.0000,11514.0000,11436.0000,11448.0000,10550,10550,0,0,0.0000
19900125,11472.0000,11478.0000,11340.0000,11340.0000,14579,14579,0,0,0.0000
19900126,11340.0000,11430.0000,11328.0000,11418.0000,7547,7547,0,0,0.0000
19900129,11430.0000,11544.0000,11370.0000,11538.0000,11285,11285,0,0,0.0000
19900130,11544.0000,11574.0000,11442.0000,11460.0000,12167,12167,0,0,0.0000
19900131,11460.0000,11544.0000,11430.0000,11502.0000,10708,10708,0,0,0.0000
