DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,11950.0000,11950.0000,11875.0000,11887.5000,26330,26330,0,0,0.0000
19900103,11875.0000,11925.0000,11850.0000,11925.0000,23895,23895,0,0,0.0000
19900104,11937.5000,11975.0000,11887.5000,11912.5000,26937,26937,0,0,0.0000
19900105,11887.5000,11925.0000,11875.0000,11887.5000,21812,21812,0,0,0.0000
19900108,11912.5000,11950.0000,11875.0000,11950.0000,21044,21044,0,0,0.0000
19900109,11937.5000,11950.0000,11900.0000,11937.5000,19531,19531,0,0,0.0000
19900110,11925.0000,11925.0000,11875.0000,11900.0000,21301,21301,0,0,0.0000
19900111,11900.0000,11925.0000,11887.5000,11925.0000,19130,19130,0,0,0.0000
19900112,12100.0000,12200.0000,12062.5000,12112.5000,56189,56189,0,0,0.0000
19900115,12112.5000,12212.5000,12075.0000,12187.5000,53207,53207,0,0,0.0000
19900116,12150.0000,12162.5000,12100.0000,12125.0000,39377,39377,0,0,0.0000
19900117,12087.5000,12125.0000,12062.5000,12075.0000,28529,28529,0,0,0.0000
19900118,12075.0000,12112.5000,12062.5000,12100.0000,30535,30535,0,0,0.0000
19900119,12075.0000,12100.0000,12075.0000,12087.5000,22161,22161,0,0,0.0000
19900122,12075.0000,12075.0000,12012.5000,12025.0000,29770,29770,0,0,0.0000
19900123,12025.0000,12050.0000,11987.5000,12050.0000,24184,24184,0,0,0.0000
19900124,12037.5000,12087.5000,12012.5000,12037.5000,22338,22338,0,0,0.0000
19900125,12025.0000,12025.0000,11950.0000,11962.5000,31780,31780,0,0,0.0000
19900126,11962.5000,11975.0000,11900.0000,11912.5000,31342,31342,0,0,0.0000
19900129,11875.0000,11987.5000,11800.0000,11975.0000,50105,50105,0,0,0.0000
19900130,11987.5000,11987.5000,11912.5000,11925.0000,24785,24785,0,0,0.0000
19900131,11912.5000,11937.5000,11887.5000,11912.5000,25280,25280,0,0,0.0000
19900201,11925.0000,11925.0000,11862.5000,11875.0000,24356,24356,0,0,0.0000
19900202,11875.0000,11887.5000,11825.0000,11837.5000,34139,34139,0,0,0.0000
19900205,11825.0000,11862.5000,11812.5000,11825.0000,31212,31212,0,0,0.0000
19900206,11837.5000,11925.0000,11825.0000,11887.5000,28659,28659,0,0,0.0000
19900207,11925.0000,11975.0000,11900.0000,11962.5000,28193,28193,0,0,0.0000
19900208,11962.5000,11987.5000,11925.0000,11950.0000,24316,24316,0,0,0.0000
19900209,11950.0000,12000.0000,11925.0000,11975.0000,24202,24202,0,0,0.0000
19900212,12012.5000,12125.0000,12012.5000,12100.0000,52291,52291,0,0,0.0000
19900213,12062.5000,12137.5000,12062.5000,12087.5000,45814,45814,0,0,0.0000
19900214,12075.0000,12150.0000,12062.5000,12150.0000,30334,30334,0,0,0.0000
19900215,12150.0000,12212.5000,12125.0000,12137.5000,49826,49826,0,0,0.0000
19900216,12112.5000,12137.5000,12050.0000,12062.5000,34104,34104,0,0,0.0000
