DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,9250.0000,9380.0000,9240.0000,9280.0000,3406,21305,0,0,0.0000
19900103,9300.0000,9360.0000,9050.0000,9110.0000,4511,21198,0,0,0.0000
19900104,9110.0000,9420.0000,9090.0000,9400.0000,6593,21590,0,0,0.0000
19900105,9360.0000,9520.0000,9340.0000,9490.0000,5155,20920,0,0,0.0000
19900108,9520.0000,9570.0000,9380.0000,9400.0000,3284,20724,0,0,0.0000
19900109,9360.0000,9590.0000,9360.0000,9570.0000,5303,21084,0,0,0.0000
19900110,9600.0000,9690.0000,9590.0000,9670.0000,6444,20570,0,0,0.0000
19900111,9680.0000,10100.0000,9680.0000,10060.0000,14051,20531,0,0,0.0000
19900112,10100.0000,10110.0000,9850.0000,9860.0000,9879,20736,0,0,0.0000
19900115,9890.0000,9970.0000,9750.0000,9770.0000,4417,20411,0,0,0.0000
19900116,9650.0000,9690.0000,9510.0000,9580.0000,5632,20040,0,0,0.0000
19900117,9590.0000,9770.0000,9560.0000,9720.0000,5547,19682,0,0,0.0000
19900118,9690.0000,9730.0000,9360.0000,9360.0000,8622,18480,0,0,0.0000
19900119,9250.0000,9390.0000,9250.0000,9320.0000,5055,17887,0,0,0.0000
19900122,9320.0000,9550.0000,9270.0000,9530.0000,3067,17775,0,0,0.0000
19900123,9440.0000,9750.0000,9420.0000,9720.0000,5045,17421,0,0,0.0000
19900124,9670.0000,9800.0000,9510.0000,9520.0000,4553,17307,0,0,0.0000
19900125,9610.0000,9770.0000,9600.0000,9710.0000,2601,17270,0,0,0.0000
19900126,9770.0000,9960.0000,9770.0000,9920.0000,6236,17052,0,0,0.0000
19900129,9990.0000,10010.0000,9610.0000,9680.0000,4864,16676,0,0,0.0000
19900130,9760.0000,9850.0000,9720.0000,9760.0000,3354,16286,0,0,0.0000
19900131,9710.0000,9750.0000,9580.0000,9610.0000,3991,15868,0,0,0.0000
19900201,9610.0000,9690.0000,9560.0000,9610.0000,2874,15784,0,0,0.0000
19900202,9600.0000,9670.0000,9530.0000,9610.0000,9251,15038,0,0,0.0000
19900205,9610.0000,9780.0000,9610.0000,9740.0000,5787,14115,0,0,0.0000
19900206,9770.0000,9830.0000,9630.0000,9650.0000,5549,13679,0,0,0.0000
19900207,9500.0000,9550.0000,9400.0000,9420.0000,9752,12834,0,0,0.0000
19900208,9360.0000,9560.0000,9360.0000,9520.0000,6984,12295,199005,199005,0.0000
19900209,9580.0000,9750.0000,9530.0000,9730.0000,7026,16474,0,0,70.0000
19900212,9760.0000,9830.0000,9680.0000,9800.0000,7293,16876,0,0,0.0000
19900213,9680.0000,9740.0000,9610.0000,9690.0000,10760,17950,0,0,0.0000
19900214,9720.0000,9810.0000,9720.0000,9770.0000,5043,18521,0,0,0.0000
19900215,9770.0000,9890.0000,9710.0000,9720.0000,5966,18635,0,0,0.0000
19900216,9780.0000,9890.0000,9770.0000,9860.0000,4051,19362,0,0,0.0000
19900220,9880.0000,10020.0000,9880.0000,9990.0000,5893,19893,0,0,0.0000
19900221,10020.0000,10420.0000,10010.0000,10350.0000,14798,21937,0,0,0.0000
19900222,10350.0000,10400.0000,10210.0000,10390.0000,7100,23100,0,0,0.0000
19900223,10370.0000,10450.0000,10270.0000,10440.0000,3805,23300,0,0,0.0000
19900226,10350.0000,10370.0000,10170.0000,10190.0000,4735,23073,0,0,0.0000
19900227,10140.0000,10300.0000,10020.0000,10290.0000,6137,23655,0,0,0.0000
19900228,10550.0000,10630.0000,10510.0000,10550.0000,5550,23999,0,0,0.0000
19900301,10610.0000,10630.0000,10460.0000,10540.0000,4662,24365,0,0,0.0000
19900302,10840.0000,10960.0000,10760.0000,10940.0000,10440,24432,0,0,0.0000
19900305,10730.0000,10850.0000,10660.0000,10800.0000,4681,24835,0,0,0.0000
19900306,10770.0000,10950.0000,10600.0000,10900.0000,5774,24755,0,0,0.0000
19900307,10750.0000,10830.0000,10600.0000,10630.0000,5169,24597,0,0,0.0000
19900308,10710.0000,11070.0000,10640.0000,10980.0000,7849,24740,0,0,0.0000
19900309,10860.0000,10900.0000,10670.0000,10740.0000,6979,24483,0,0,0.0000
19900312,10630.0000,10690.0000,10550.0000,10580.0000,4109,23980,0,0,0.0000
19900313,10900.0000,11020.0000,10820.0000,10950.0000,6138,24163,0,0,0.0000
19900314,11020.0000,11140.0000,10700.0000,10720.0000,8381,23486,0,0,0.0000
19900315,10580.0000,10840.0000,10450.0000,10650.0000,9791,22195,0,0,0.0000
19900316,10700.0000,10860.0000,10500.0000,10540.0000,5676,21121,0,0,0.0000
19900319,10250.0000,10400.0000,10250.0000,10300.0000,7137,19518,0,0,0.0000
19900320,10340.0000,10400.0000,10110.0000,10230.0000,11998,18047,0,0,0.0000
19900321,10250.0000,10470.0000,10250.0000,10340.0000,4928,17456,0,0,0.0000
19900322,10460.0000,10760.0000,10460.0000,10750.0000,8783,16581,0,0,0.0000
19900323,10800.0000,11110.0000,10800.0000,11070.0000,12367,16237,0,0,0.0000
19900326,11200.0000,11300.0000,10930.0000,10970.0000,9307,15766,0,0,0.0000
19900327,11120.0000,11230.0000,10980.0000,11170.0000,6592,15860,0,0,0.0000
