DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,85630.0000,85630.0000,85430.0000,85490.0000,1821,1821,0,0,0.0000
19900103,85420.0000,85610.0000,85320.0000,85560.0000,4837,4837,0,0,0.0000
19900104,85400.0000,85520.0000,85370.0000,85450.0000,2543,2543,0,0,0.0000
19900105,85440.0000,85640.0000,85440.0000,85550.0000,2699,2699,0,0,0.0000
19900108,85520.0000,85600.0000,85520.0000,85540.0000,2035,2035,0,0,0.0000
19900109,85450.0000,85550.0000,85400.0000,85540.0000,1965,1965,0,0,0.0000
19900110,85650.0000,85740.0000,85630.0000,85720.0000,2640,2640,0,0,0.0000
19900111,85760.0000,85860.0000,85730.0000,85830.0000,3773,3773,0,0,0.0000
19900112,85880.0000,85950.0000,85820.0000,85830.0000,3300,3300,0,0,0.0000
19900115,85770.0000,85780.0000,85230.0000,85270.0000,10240,10240,0,0,0.0000
19900116,85270.0000,85380.0000,85130.0000,85360.0000,7417,7417,0,0,0.0000
19900117,85350.0000,85400.0000,85260.0000,85280.0000,3829,3829,0,0,0.0000
19900118,84930.0000,84980.0000,84600.0000,84770.0000,17351,17351,0,0,0.0000
19900119,84430.0000,84430.0000,83830.0000,83980.0000,16109,16109,0,0,0.0000
19900122,84190.0000,84230.0000,83980.0000,84180.0000,5491,5491,0,0,0.0000
19900123,84260.0000,84430.0000,84250.0000,84360.0000,3370,3370,0,0,0.0000
19900124,84470.0000,84470.0000,83710.0000,83790.0000,6901,6901,0,0,0.0000
19900125,83850.0000,83920.0000,83350.0000,83650.0000,11421,11421,0,0,0.0000
19900126,83140.0000,83400.0000,83140.0000,83190.0000,4741,4741,0,0,0.0000
19900129,83630.0000,83770.0000,83410.0000,83580.0000,4016,4016,0,0,0.0000
19900130,83290.0000,83770.0000,83280.0000,83590.0000,3478,3478,0,0,0.0000
19900131,83550.0000,83970.0000,83460.0000,83760.0000,5045,5045,0,0,0.0000
19900201,83810.0000,83900.0000,83570.0000,83760.0000,2546,2546,0,0,0.0000
19900202,83720.0000,83760.0000,83610.0000,83690.0000,1699,1699,0,0,0.0000
19900205,83650.0000,83800.0000,83600.0000,83770.0000,1883,1883,0,0,0.0000
19900206,83710.0000,83860.0000,83680.0000,83750.0000,1698,1698,0,0,0.0000
19900207,83550.0000,83560.0000,83180.0000,83270.0000,5154,5154,0,0,0.0000
19900208,82980.0000,83250.0000,82960.0000,83200.0000,3714,3714,0,0,0.0000
19900209,83370.0000,83520.0000,82860.0000,82970.0000,6709,6709,0,0,0.0000
19900212,82810.0000,82950.0000,82770.0000,82900.0000,3160,3160,0,0,0.0000
19900213,82960.0000,83060.0000,82820.0000,82880.0000,2474,2474,0,0,0.0000
19900214,82700.0000,82750.0000,82460.0000,82540.0000,4414,4414,0,0,0.0000
19900215,82520.0000,82850.0000,82470.0000,82760.0000,5510,5510,0,0,0.0000
