DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,34425.0000,34500.0000,34035.0000,34170.0000,3557,3557,0,0,0.0000
19900103,34175.0000,34570.0000,33900.0000,34550.0000,5406,5406,0,0,0.0000
19900104,34525.0000,34635.0000,33550.0000,33675.0000,8463,8463,0,0,0.0000
19900105,33250.0000,33870.0000,33125.0000,33155.0000,8128,8128,0,0,0.0000
19900108,33155.0000,33525.0000,32925.0000,33200.0000,6534,6534,0,0,0.0000
19900109,33400.0000,33595.0000,33200.0000,33315.0000,4855,4855,0,0,0.0000
19900110,33205.0000,33275.0000,32500.0000,32740.0000,9943,9943,0,0,0.0000
19900111,32950.0000,33450.0000,32950.0000,33325.0000,5533,5533,0,0,0.0000
19900112,32725.0000,34150.0000,32630.0000,33075.0000,8493,8493,0,0,0.0000
19900115,33300.0000,33340.0000,32875.0000,33110.0000,3031,3031,0,0,0.0000
19900116,32950.0000,33100.0000,32700.0000,32925.0000,3973,3973,0,0,0.0000
19900117,32925.0000,33475.0000,32925.0000,33450.0000,5345,5345,0,0,0.0000
19900118,33550.0000,33600.0000,33025.0000,33250.0000,5550,5550,0,0,0.0000
19900119,33225.0000,33650.0000,33225.0000,33510.0000,4905,4905,0,0,0.0000
19900122,33050.0000,33460.0000,33050.0000,33355.0000,4145,4145,0,0,0.0000
19900123,33400.0000,33525.0000,33125.0000,33395.0000,5159,5159,0,0,0.0000
19900124,33155.0000,33225.0000,32900.0000,32975.0000,6629,6629,0,0,0.0000
19900125,33100.0000,33350.0000,32390.0000,32585.0000,8605,8605,0,0,0.0000
19900126,32510.0000,32800.0000,32250.0000,32255.0000,6164,6164,0,0,0.0000
19900129,32105.0000,32575.0000,32075.0000,32330.0000,5677,5677,0,0,0.0000
19900130,32600.0000,33000.0000,32475.0000,32860.0000,5745,5745,0,0,0.0000
19900131,33250.0000,33800.0000,33125.0000,33525.0000,9420,9420,0,0,0.0000
19900201,33525.0000,33625.0000,33350.0000,33455.0000,5320,5320,0,0,0.0000
19900202,33475.0000,33575.0000,33405.0000,33555.0000,2551,2551,0,0,0.0000
19900205,33650.0000,33895.0000,33650.0000,33820.0000,3844,3844,0,0,0.0000
19900206,33825.0000,33875.0000,33200.0000,33260.0000,6419,6419,0,0,0.0000
19900207,33250.0000,33480.0000,33075.0000,33465.0000,4757,4757,0,0,0.0000
19900208,33500.0000,33600.0000,33450.0000,33585.0000,3572,3572,0,0,0.0000
19900209,33775.0000,33900.0000,33010.0000,33250.0000,5338,5338,0,0,0.0000
19900212,33475.0000,33650.0000,33250.0000,33640.0000,4914,4914,0,0,0.0000
19900213,33725.0000,34290.0000,33600.0000,34215.0000,8378,8378,0,0,0.0000
19900214,34225.0000,34750.0000,34100.0000,34640.0000,11641,11641,199005,199005,0.0000
19900215,35125.0000,35500.0000,35000.0000,35480.0000,10117,10117,0,0,650.0000
19900216,35300.0000,35525.0000,35250.0000,35295.0000,7080,7080,0,0,0.0000
19900220,35050.0000,35200.0000,35000.0000,35095.0000,6589,6589,0,0,0.0000
19900221,35025.0000,35530.0000,34975.0000,35490.0000,9685,9685,0,0,0.0000
19900222,35600.0000,35650.0000,35200.0000,35235.0000,5863,5863,0,0,0.0000
19900223,35075.0000,35250.0000,34925.0000,35240.0000,4610,4610,0,0,0.0000
19900226,35125.0000,35200.0000,35030.0000,35040.0000,2460,2460,0,0,0.0000
19900227,35000.0000,35375.0000,34960.0000,35170.0000,4248,4248,0,0,0.0000
19900228,35170.0000,35310.0000,35050.0000,35080.0000,2466,2466,0,0,0.0000
19900301,35125.0000,35200.0000,34750.0000,34775.0000,4600,4600,0,0,0.0000
19900302,34680.0000,34920.0000,34675.0000,34895.0000,3272,3272,0,0,0.0000
19900305,34925.0000,35895.0000,34900.0000,35895.0000,7415,7415,0,0,0.0000
19900306,35915.0000,36400.0000,35825.0000,35850.0000,12326,12326,0,0,0.0000
19900307,35925.0000,36050.0000,35775.0000,36010.0000,4623,4623,0,0,0.0000
19900308,36125.0000,36225.0000,35905.0000,36185.0000,5304,5304,0,0,0.0000
19900309,36190.0000,36245.0000,35900.0000,36225.0000,4140,4140,0,0,0.0000
19900312,36050.0000,36100.0000,35525.0000,35650.0000,5161,5161,0,0,0.0000
19900313,35500.0000,36040.0000,35500.0000,36015.0000,5403,5403,0,0,0.0000
19900314,35970.0000,36215.0000,35775.0000,35825.0000,4058,4058,0,0,0.0000
19900315,35700.0000,35940.0000,35530.0000,35870.0000,4146,4146,0,0,0.0000
19900316,35870.0000,36005.0000,35630.0000,35850.0000,4578,4578,0,0,0.0000
19900319,35650.0000,35825.0000,35630.0000,35805.0000,2496,2496,0,0,0.0000
19900320,35875.0000,35975.0000,35275.0000,35305.0000,8553,8553,0,0,0.0000
19900321,35300.0000,35525.0000,34905.0000,35010.0000,7780,7780,0,0,0.0000
19900322,35105.0000,35245.0000,34905.0000,34980.0000,6394,6394,0,0,0.0000
19900323,35300.0000,35400.0000,35175.0000,35345.0000,5498,5498,0,0,0.0000
19900326,35315.0000,35350.0000,35225.0000,35285.0000,2550,2550,0,0,0.0000
19900327,35240.0000,35465.0000,35225.0000,35380.0000,3782,3782,0,0,0.0000
19900328,35495.0000,35550.0000,35270.0000,35315.0000,4674,4674,0,0,0.0000
19900329,35425.0000,36125.0000,35425.0000,36060.0000,9373,9373,0,0,0.0000
19900330,36125.0000,36625.0000,36060.0000,36350.0000,10694,10694,0,0,0.0000
19900402,36675.0000,37100.0000,36575.0000,37080.0000,10478,10478,0,0,0.0000
19900403,36910.0000,37025.0000,36675.0000,37005.0000,5406,5406,0,0,0.0000
19900404,36875.0000,37275.0000,36825.0000,36985.0000,5692,5692,0,0,0.0000
19900405,36900.0000,36990.0000,36625.0000,36880.0000,5421,5421,0,0,0.0000
19900406,37250.0000,37375.0000,36475.0000,36515.0000,5503,5503,0,0,0.0000
19900409,36600.0000,36800.0000,36525.0000,36565.0000,3487,3487,0,0,0.0000
19900410,36725.0000,37300.0000,36700.0000,37195.0000,6812,6812,0,0,0.0000
19900411,37025.0000,37280.0000,36750.0000,36915.0000,6218,6218,0,0,0.0000
19900412,37000.0000,37050.0000,36745.0000,36940.0000,4237,4237,199007,199007,0.0000
19900416,36750.0000,36925.0000,36660.0000,36850.0000,2626,2626,0,0,-175.0000
19900417,36850.0000,37075.0000,36720.0000,36900.0000,6848,6848,0,0,0.0000
19900418,36950.0000,36975.0000,36210.0000,36375.0000,10935,10935,0,0,0.0000
19900419,36525.0000,36575.0000,36155.0000,36490.0000,6447,6447,0,0,0.0000
19900420,36550.0000,36965.0000,36550.0000,36775.0000,6926,6926,0,0,0.0000
19900423,36900.0000,37425.0000,36900.0000,37415.0000,11856,11856,0,0,0.0000
19900424,37315.0000,37400.0000,37080.0000,37235.0000,6493,6493,0,0,0.0000
19900425,37350.0000,37550.0000,37150.0000,37180.0000,5800,5800,0,0,0.0000
19900426,37250.0000,37475.0000,37000.0000,37450.0000,4180,4180,0,0,0.0000
19900427,37530.0000,37575.0000,37300.0000,37440.0000,1720,1720,0,0,0.0000
19900430,37425.0000,37440.0000,37055.0000,37180.0000,4018,4018,0,0,0.0000
19900501,37000.0000,37350.0000,36870.0000,37100.0000,7302,7302,0,0,0.0000
19900502,37125.0000,37470.0000,37125.0000,37450.0000,4687,4687,0,0,0.0000
19900503,37375.0000,37500.0000,37250.0000,37365.0000,3304,3304,0,0,0.0000
19900504,37400.0000,37425.0000,36700.0000,36880.0000,5746,5746,0,0,0.0000
19900507,36855.0000,37470.0000,36760.0000,37160.0000,7778,7778,0,0,0.0000
19900508,37350.0000,37420.0000,37010.0000,37310.0000,5315,5315,0,0,0.0000
19900509,37350.0000,37525.0000,37225.0000,37485.0000,5196,5196,0,0,0.0000
19900510,37550.0000,37775.0000,37400.0000,37690.0000,7506,7506,0,0,0.0000
19900511,37700.0000,37750.0000,37525.0000,37680.0000,4759,4759,0,0,0.0000
19900514,37575.0000,37825.0000,37450.0000,37460.0000,5526,5526,0,0,0.0000
19900515,37430.0000,37625.0000,37325.0000,37575.0000,4997,4997,0,0,0.0000
19900516,37550.0000,37625.0000,37280.0000,37620.0000,5223,5223,0,0,0.0000
19900517,37665.0000,38090.0000,37665.0000,38075.0000,6262,6262,0,0,0.0000
19900518,37975.0000,38195.0000,37975.0000,38065.0000,3702,3702,0,0,0.0000
19900521,38290.0000,39065.0000,38100.0000,39065.0000,9390,9390,0,0,0.0000
19900522,39050.0000,39970.0000,38900.0000,39885.0000,11479,11479,0,0,0.0000
19900523,39500.0000,40650.0000,39500.0000,39925.0000,10465,10465,0,0,0.0000
19900524,40075.0000,40235.0000,39575.0000,39770.0000,5012,5012,0,0,0.0000
19900525,39920.0000,40250.0000,39750.0000,40015.0000,6109,6109,0,0,0.0000
19900529,40200.0000,41015.0000,40015.0000,41015.0000,7991,7991,0,0,0.0000
