DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19990104,147375.0000,149000.0000,147375.0000,148375.0000,2926,1312,0,0,0.0000
19990105,148375.0000,148500.0000,147375.0000,147750.0000,2112,2089,0,0,0.0000
19990106,147750.0000,147875.0000,144750.0000,145500.0000,4698,3815,0,0,0.0000
19990107,145750.0000,147125.0000,145625.0000,146875.0000,3539,4190,0,0,0.0000
19990108,146125.0000,146125.0000,144750.0000,145375.0000,3827,4468,0,0,0.0000
19990111,145125.0000,145125.0000,144000.0000,144000.0000,6058,7626,0,0,0.0000
19990112,144500.0000,145000.0000,144500.0000,144875.0000,3169,8240,0,0,0.0000
19990113,147125.0000,147875.0000,146000.0000,146125.0000,5465,7211,0,0,0.0000
19990114,146125.0000,147000.0000,146000.0000,146750.0000,1164,6901,0,0,0.0000
19990115,145750.0000,145750.0000,145000.0000,145250.0000,846,6465,0,0,0.0000
19990119,145500.0000,145875.0000,145000.0000,145500.0000,1137,6081,0,0,0.0000
19990120,145500.0000,145625.0000,144875.0000,144875.0000,1482,6391,0,0,0.0000
19990121,145000.0000,145500.0000,144750.0000,145375.0000,932,6253,0,0,0.0000
19990122,145375.0000,145625.0000,145000.0000,145250.0000,1046,6720,0,0,0.0000
19990125,145125.0000,145500.0000,144750.0000,144750.0000,887,7073,0,0,0.0000
19990126,144875.0000,145250.0000,144750.0000,144875.0000,1696,6747,0,0,0.0000
19990127,144375.0000,144375.0000,143000.0000,143250.0000,14387,18579,0,0,0.0000
19990128,143000.0000,143125.0000,142875.0000,143125.0000,6650,22301,0,0,0.0000
19990129,142625.0000,142625.0000,142125.0000,142375.0000,2284,23539,0,0,0.0000
19990201,142125.0000,142125.0000,141375.0000,141750.0000,5021,26996,0,0,0.0000
19990202,142000.0000,142375.0000,141750.0000,142125.0000,2386,26932,0,0,0.0000
19990203,142000.0000,142250.0000,141625.0000,141750.0000,4569,26863,0,0,0.0000
19990204,141125.0000,142125.0000,141000.0000,142000.0000,5803,27875,0,0,0.0000
19990205,141250.0000,141500.0000,140875.0000,141125.0000,2414,28355,0,0,0.0000
19990208,140750.0000,141875.0000,140500.0000,141750.0000,10326,29767,0,0,0.0000
19990209,141875.0000,141875.0000,141250.0000,141375.0000,1846,30174,0,0,0.0000
19990210,142000.0000,142250.0000,141625.0000,142000.0000,3621,27332,0,0,0.0000
19990211,141625.0000,141750.0000,140625.0000,140625.0000,2876,28675,0,0,0.0000
19990212,140750.0000,141250.0000,140750.0000,141250.0000,3647,27626,0,0,0.0000
19990216,139875.0000,140375.0000,139750.0000,140250.0000,6408,29990,0,0,0.0000
19990217,140875.0000,140875.0000,140500.0000,140625.0000,4937,30257,0,0,0.0000
19990218,140625.0000,140750.0000,140000.0000,140250.0000,1576,31065,0,0,0.0000
19990219,139750.0000,139750.0000,138375.0000,138500.0000,5448,33482,0,0,0.0000
19990222,137625.0000,138250.0000,137500.0000,138125.0000,9865,37166,0,0,0.0000
19990223,137000.0000,137875.0000,137000.0000,137750.0000,2498,36734,0,0,0.0000
19990224,138125.0000,138250.0000,136875.0000,137500.0000,6133,35060,0,0,0.0000
19990225,138000.0000,138625.0000,137750.0000,138125.0000,6316,30751,0,0,0.0000
19990226,137875.0000,138000.0000,137000.0000,137750.0000,5828,31074,0,0,0.0000
19990301,137500.0000,137500.0000,136125.0000,136125.0000,11109,37588,0,0,0.0000
19990302,136250.0000,136875.0000,136250.0000,136625.0000,9249,34474,0,0,0.0000
19990303,136250.0000,136625.0000,136125.0000,136250.0000,8865,32500,0,0,0.0000
19990304,135875.0000,135875.0000,135000.0000,135375.0000,8354,32347,0,0,0.0000
19990305,135375.0000,135875.0000,135000.0000,135375.0000,9536,28792,199906,199906,0.0000
19990308,137000.0000,137000.0000,136625.0000,136750.0000,21152,9518,0,0,625.0000
19990309,136625.0000,137000.0000,136500.0000,136750.0000,19572,18896,0,0,0.0000
19990310,137625.0000,137875.0000,137375.0000,137625.0000,21738,24277,0,0,0.0000
19990311,136625.0000,139000.0000,135625.0000,138500.0000,28775,32328,0,0,0.0000
19990312,137000.0000,137625.0000,136875.0000,137000.0000,16336,30605,0,0,0.0000
19990315,137375.0000,137625.0000,137125.0000,137375.0000,12473,29634,0,0,0.0000
19990316,137000.0000,138250.0000,136875.0000,138125.0000,19810,32457,0,0,0.0000
19990317,137625.0000,138750.0000,137625.0000,138250.0000,9422,31147,0,0,0.0000
19990318,138250.0000,138625.0000,137625.0000,137750.0000,9982,29639,0,0,0.0000
19990319,137000.0000,137250.0000,136625.0000,136750.0000,7249,32693,0,0,0.0000
19990322,136500.0000,137125.0000,136375.0000,137000.0000,7749,32251,0,0,0.0000
19990323,136875.0000,137125.0000,136375.0000,137000.0000,7470,29130,0,0,0.0000
19990324,137250.0000,137625.0000,136625.0000,136750.0000,7252,27761,0,0,0.0000
19990325,136750.0000,136875.0000,136000.0000,136000.0000,5158,29938,0,0,0.0000
19990326,135625.0000,135625.0000,134500.0000,135125.0000,20695,37797,0,0,0.0000
19990329,134375.0000,134875.0000,134125.0000,134750.0000,9856,36789,0,0,0.0000
19990330,134750.0000,135250.0000,134500.0000,134500.0000,2765,36469,0,0,0.0000
19990331,135125.0000,135875.0000,135000.0000,135000.0000,6770,33854,0,0,0.0000
19990401,135500.0000,135750.0000,135125.0000,135375.0000,6191,34801,0,0,0.0000
19990405,135000.0000,135000.0000,134375.0000,134500.0000,2558,34575,0,0,0.0000
19990406,134625.0000,136250.0000,134375.0000,136000.0000,11879,30217,0,0,0.0000
19990407,135625.0000,135625.0000,135125.0000,135250.0000,6597,29070,0,0,0.0000
19990408,135875.0000,136500.0000,134625.0000,134750.0000,14924,30729,0,0,0.0000
19990409,135375.0000,135750.0000,135125.0000,135625.0000,6683,31957,0,0,0.0000
19990412,136375.0000,136500.0000,135875.0000,135875.0000,5722,31224,0,0,0.0000
19990413,135125.0000,135500.0000,135000.0000,135125.0000,5488,31538,0,0,0.0000
19990414,135500.0000,135750.0000,135250.0000,135500.0000,1576,30977,0,0,0.0000
19990415,135250.0000,135375.0000,134125.0000,134250.0000,12774,35979,0,0,0.0000
19990416,133750.0000,134500.0000,133750.0000,134375.0000,8233,39177,0,0,0.0000
19990419,133375.0000,133625.0000,132875.0000,133375.0000,9540,44659,0,0,0.0000
19990420,133500.0000,133875.0000,133125.0000,133250.0000,6448,43419,0,0,0.0000
19990421,132750.0000,133250.0000,132750.0000,133250.0000,8743,43909,0,0,0.0000
19990422,132500.0000,133125.0000,132500.0000,133125.0000,10738,43840,0,0,0.0000
19990423,133375.0000,133750.0000,132875.0000,133125.0000,7810,41052,0,0,0.0000
19990426,133125.0000,133125.0000,132625.0000,132750.0000,2122,41448,0,0,0.0000
19990427,133250.0000,133750.0000,133125.0000,133750.0000,4242,41708,0,0,0.0000
19990428,133750.0000,133875.0000,133000.0000,133250.0000,6017,43070,0,0,0.0000
19990429,133000.0000,133125.0000,132500.0000,132750.0000,7077,43505,0,0,0.0000
19990430,132750.0000,133125.0000,132250.0000,132625.0000,5963,44071,0,0,0.0000
19990503,132750.0000,132750.0000,132250.0000,132625.0000,2975,44773,0,0,0.0000
19990504,132500.0000,133250.0000,132500.0000,133250.0000,10047,41647,0,0,0.0000
19990505,133750.0000,135000.0000,133500.0000,134625.0000,25150,41035,0,0,0.0000
19990506,135250.0000,135500.0000,135000.0000,135500.0000,15666,42316,0,0,0.0000
19990507,135125.0000,135500.0000,134625.0000,134625.0000,6061,41734,0,0,0.0000
19990510,134500.0000,135750.0000,134375.0000,135250.0000,4923,40783,0,0,0.0000
19990511,134500.0000,134625.0000,134125.0000,134250.0000,7107,43107,0,0,0.0000
19990512,133375.0000,134375.0000,133375.0000,133375.0000,11519,44339,0,0,0.0000
19990513,133000.0000,133625.0000,132875.0000,133625.0000,4360,44716,0,0,0.0000
19990514,133625.0000,134500.0000,133250.0000,133375.0000,13534,45830,0,0,0.0000
19990517,133875.0000,133875.0000,133500.0000,133625.0000,2179,45431,0,0,0.0000
19990518,133875.0000,134125.0000,133500.0000,133875.0000,4122,44849,0,0,0.0000
19990519,133125.0000,133625.0000,133000.0000,133500.0000,4912,44939,0,0,0.0000
19990520,133125.0000,133375.0000,132875.0000,133125.0000,4005,45182,0,0,0.0000
19990521,132375.0000,132500.0000,132000.0000,132375.0000,9079,47594,0,0,0.0000
19990524,132500.0000,132750.0000,132250.0000,132625.0000,4666,45808,0,0,0.0000
19990525,132875.0000,133250.0000,132250.0000,132625.0000,7874,47196,0,0,0.0000
19990526,131750.0000,131875.0000,130875.0000,131000.0000,14523,53744,0,0,0.0000
19990527,131000.0000,131250.0000,130500.0000,130625.0000,14349,53529,0,0,0.0000
19990528,131000.0000,131375.0000,130125.0000,130125.0000,9589,55805,0,0,0.0000
19990601,130500.0000,131000.0000,130500.0000,130750.0000,4201,55370,0,0,0.0000
19990602,129625.0000,130000.0000,129250.0000,129500.0000,11429,54653,0,0,0.0000
19990603,129750.0000,130250.0000,129000.0000,129125.0000,15086,52007,0,0,0.0000
19990604,129125.0000,129750.0000,128625.0000,129750.0000,22383,45451,0,0,0.0000
19990607,128875.0000,129000.0000,128500.0000,128625.0000,16561,42452,199909,199909,0.0000
19990608,130625.0000,131625.0000,130625.0000,131625.0000,25018,23795,0,0,875.0000
19990609,131625.0000,131875.0000,131250.0000,131750.0000,19816,30800,0,0,0.0000
19990610,131750.0000,132250.0000,131625.0000,131875.0000,15908,32460,0,0,0.0000
19990611,131750.0000,132875.0000,131750.0000,132625.0000,11842,34959,0,0,0.0000
19990614,131250.0000,131500.0000,131000.0000,131125.0000,12341,37084,0,0,0.0000
19990615,130750.0000,131250.0000,130750.0000,131125.0000,6301,37275,0,0,0.0000
19990616,130125.0000,130125.0000,129500.0000,129750.0000,16868,39445,0,0,0.0000
19990617,130125.0000,130125.0000,129375.0000,130000.0000,10166,39165,0,0,0.0000
19990618,130750.0000,131125.0000,130250.0000,130625.0000,10086,37781,0,0,0.0000
19990621,130125.0000,130125.0000,129625.0000,130125.0000,9063,39732,0,0,0.0000
19990622,129625.0000,130000.0000,129500.0000,129750.0000,4427,39102,0,0,0.0000
19990623,129250.0000,129875.0000,129125.0000,129875.0000,8317,39065,0,0,0.0000
19990624,129750.0000,130875.0000,129625.0000,130875.0000,16179,39805,0,0,0.0000
19990625,131375.0000,131625.0000,131000.0000,131125.0000,9342,39553,0,0,0.0000
19990628,130500.0000,130750.0000,130125.0000,130125.0000,6007,39909,0,0,0.0000
19990629,130250.0000,130375.0000,129750.0000,129875.0000,2748,39692,0,0,0.0000
19990630,129875.0000,130250.0000,129375.0000,130000.0000,5473,39701,0,0,0.0000
19990701,129000.0000,129125.0000,128250.0000,128625.0000,14083,44856,0,0,0.0000
19990702,128625.0000,128750.0000,128375.0000,128750.0000,9440,45047,0,0,0.0000
19990706,128375.0000,128875.0000,128250.0000,128625.0000,7895,45047,0,0,0.0000
19990707,128250.0000,128500.0000,128125.0000,128500.0000,5319,46191,0,0,0.0000
19990708,127750.0000,128375.0000,127500.0000,128250.0000,13950,46870,0,0,0.0000
19990709,128125.0000,128625.0000,127625.0000,127750.0000,13612,46272,0,0,0.0000
19990712,127125.0000,127500.0000,127000.0000,127500.0000,8362,47317,0,0,0.0000
19990713,127875.0000,128250.0000,127625.0000,127750.0000,11805,45199,0,0,0.0000
19990714,127625.0000,128375.0000,127625.0000,128250.0000,7951,43260,0,0,0.0000
19990715,128000.0000,128750.0000,127875.0000,128125.0000,8444,44725,0,0,0.0000
19990716,128125.0000,128375.0000,128000.0000,128000.0000,4013,44455,0,0,0.0000
19990719,127250.0000,129750.0000,127250.0000,129250.0000,16257,46195,0,0,0.0000
19990720,130625.0000,131000.0000,130000.0000,130625.0000,16424,46198,0,0,0.0000
19990721,131250.0000,132375.0000,131250.0000,132000.0000,21541,44700,0,0,0.0000
19990722,131750.0000,132750.0000,131500.0000,132000.0000,10068,42957,0,0,0.0000
19990723,131625.0000,132250.0000,131125.0000,131875.0000,11559,44810,0,0,0.0000
19990726,134250.0000,134500.0000,133500.0000,133750.0000,26712,50139,0,0,0.0000
19990727,133375.0000,133750.0000,133125.0000,133250.0000,7791,50811,0,0,0.0000
19990728,133125.0000,133750.0000,132875.0000,133750.0000,8818,51080,0,0,0.0000
19990729,133875.0000,134750.0000,133750.0000,134500.0000,15986,50245,0,0,0.0000
19990730,134125.0000,134375.0000,133875.0000,134250.0000,7654,49730,0,0,0.0000
19990802,133625.0000,134250.0000,133500.0000,134000.0000,11535,53538,0,0,0.0000
19990803,133375.0000,134250.0000,133375.0000,134000.0000,7194,54387,0,0,0.0000
19990804,134875.0000,135250.0000,134750.0000,135125.0000,13882,59282,0,0,0.0000
19990805,135250.0000,135750.0000,134750.0000,134875.0000,11083,58331,0,0,0.0000
19990806,134625.0000,135250.0000,134375.0000,134875.0000,11074,58533,0,0,0.0000
19990809,134125.0000,134375.0000,133875.0000,134125.0000,4572,58674,0,0,0.0000
19990810,134625.0000,134750.0000,134250.0000,134250.0000,6148,57824,0,0,0.0000
19990811,133625.0000,133750.0000,133375.0000,133500.0000,11671,56952,0,0,0.0000
19990812,133250.0000,133625.0000,133125.0000,133625.0000,10802,57597,0,0,0.0000
19990813,133625.0000,133625.0000,132250.0000,132375.0000,17387,54819,0,0,0.0000
19990816,132125.0000,132500.0000,132125.0000,132375.0000,10344,52443,0,0,0.0000
19990817,131875.0000,131875.0000,131375.0000,131625.0000,13026,55249,0,0,0.0000
19990818,131750.0000,132250.0000,131500.0000,131875.0000,7760,54673,0,0,0.0000
19990819,131750.0000,133375.0000,131625.0000,133125.0000,14550,54713,0,0,0.0000
19990820,133625.0000,133875.0000,133125.0000,133625.0000,8713,53998,0,0,0.0000
19990823,132875.0000,132875.0000,130875.0000,131500.0000,16773,54596,0,0,0.0000
19990824,131625.0000,132125.0000,131125.0000,131875.0000,10131,54372,0,0,0.0000
19990825,130625.0000,131125.0000,130375.0000,130500.0000,14556,52498,0,0,0.0000
19990826,130750.0000,131000.0000,130375.0000,130750.0000,6437,52010,0,0,0.0000
19990827,130875.0000,131125.0000,130750.0000,130875.0000,4205,52518,0,0,0.0000
19990830,130750.0000,131000.0000,130625.0000,130875.0000,3405,51805,0,0,0.0000
19990831,132250.0000,132750.0000,132000.0000,132375.0000,25622,57356,0,0,0.0000
19990901,132750.0000,132750.0000,132250.0000,132500.0000,10693,56695,0,0,0.0000
19990902,133375.0000,134250.0000,133375.0000,133625.0000,22735,55026,0,0,0.0000
19990903,133625.0000,133625.0000,132375.0000,132750.0000,19614,52028,0,0,0.0000
19990907,132125.0000,132625.0000,132125.0000,132375.0000,43071,39519,199912,199912,0.0000
19990908,133625.0000,133750.0000,133125.0000,133375.0000,35223,27039,0,0,875.0000
19990909,133375.0000,133500.0000,132500.0000,132625.0000,28354,33627,0,0,0.0000
19990910,132375.0000,132625.0000,130250.0000,130375.0000,29202,37806,0,0,0.0000
19990913,130375.0000,131250.0000,130000.0000,131125.0000,13103,37414,0,0,0.0000
19990914,130375.0000,131375.0000,130000.0000,130375.0000,22227,36106,0,0,0.0000
19990915,130625.0000,131125.0000,129500.0000,130875.0000,15841,36731,0,0,0.0000
19990916,130500.0000,131250.0000,130375.0000,131000.0000,12942,38904,0,0,0.0000
19990917,130875.0000,131125.0000,130625.0000,131000.0000,4595,38520,0,0,0.0000
19990920,130875.0000,131125.0000,130625.0000,130625.0000,5506,39163,0,0,0.0000
19990921,130750.0000,132125.0000,130625.0000,131875.0000,22520,40710,0,0,0.0000
19990922,132250.0000,132500.0000,130875.0000,131375.0000,20695,40129,0,0,0.0000
19990923,131125.0000,131375.0000,130750.0000,131250.0000,11217,40129,0,0,0.0000
19990924,131750.0000,131750.0000,131125.0000,131500.0000,11164,40129,0,0,0.0000
19990927,130875.0000,131750.0000,130625.0000,131750.0000,11149,40129,0,0,0.0000
19990928,131750.0000,132875.0000,131750.0000,132625.0000,15279,40129,0,0,0.0000
19990929,132750.0000,134000.0000,132625.0000,133750.0000,17144,40129,0,0,0.0000
19990930,134000.0000,134250.0000,133500.0000,134125.0000,13018,40129,0,0,0.0000
19991001,134750.0000,135250.0000,134375.0000,135000.0000,20197,51192,0,0,0.0000
19991004,134625.0000,135000.0000,134375.0000,134875.0000,8650,51192,0,0,0.0000
19991005,134250.0000,135125.0000,134125.0000,135125.0000,8182,51192,0,0,0.0000
19991006,134875.0000,135000.0000,134250.0000,134250.0000,8164,51192,0,0,0.0000
19991007,134875.0000,135000.0000,134500.0000,134500.0000,8980,51192,0,0,0.0000
19991008,133875.0000,134125.0000,133125.0000,133250.0000,2475,50904,0,0,0.0000
19991012,134000.0000,135125.0000,133875.0000,135125.0000,11739,51534,0,0,0.0000
19991013,135375.0000,135500.0000,134750.0000,135500.0000,11336,51534,0,0,0.0000
19991014,135125.0000,136000.0000,135000.0000,135375.0000,12012,51534,0,0,0.0000
19991015,136375.0000,137000.0000,136125.0000,136750.0000,11298,51534,0,0,0.0000
19991018,136375.0000,136500.0000,135875.0000,136000.0000,8640,51534,0,0,0.0000
19991019,135875.0000,136125.0000,135250.0000,136000.0000,9297,51534,0,0,0.0000
19991020,135250.0000,135375.0000,134625.0000,134750.0000,11327,51534,0,0,0.0000
19991021,135500.0000,135875.0000,135375.0000,135750.0000,7531,51534,0,0,0.0000
19991022,134875.0000,134875.0000,133625.0000,133875.0000,12493,51534,0,0,0.0000
19991025,134000.0000,134125.0000,133625.0000,133750.0000,6033,51534,0,0,0.0000
19991026,133125.0000,133250.0000,132500.0000,132750.0000,11882,51534,0,0,0.0000
19991027,132375.0000,132375.0000,131375.0000,131750.0000,12944,51534,0,0,0.0000
19991028,132125.0000,132250.0000,131250.0000,131875.0000,14492,50542,0,0,0.0000
19991029,131000.0000,132250.0000,131000.0000,132125.0000,10888,50542,0,0,0.0000
19991101,132500.0000,132500.0000,131375.0000,131750.0000,10887,50542,0,0,0.0000
19991102,131625.0000,132125.0000,131375.0000,131875.0000,7894,50542,0,0,0.0000
19991103,131500.0000,131625.0000,131125.0000,131375.0000,9391,50542,0,0,0.0000
19991104,131500.0000,132125.0000,129625.0000,129875.0000,20129,51822,0,0,0.0000
19991105,130500.0000,130750.0000,130000.0000,130625.0000,20524,49311,0,0,0.0000
19991108,130375.0000,130500.0000,129625.0000,130125.0000,13177,50982,0,0,0.0000
19991109,130500.0000,130750.0000,130000.0000,130250.0000,10536,53950,0,0,0.0000
19991110,130250.0000,131000.0000,130125.0000,130875.0000,7536,53038,0,0,0.0000
19991112,129000.0000,129500.0000,128875.0000,129250.0000,23962,59356,0,0,0.0000
