DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,229925.0000,230000.0000,229750.0000,229775.0000,108900,108900,0,0,0.0000
19900103,229750.0000,229800.0000,229600.0000,229625.0000,153416,153416,0,0,0.0000
19900104,229625.0000,229875.0000,229600.0000,229725.0000,142375,142375,0,0,0.0000
19900105,229800.0000,230050.0000,229725.0000,229850.0000,227905,227905,0,0,0.0000
19900108,229775.0000,229900.0000,229750.0000,229850.0000,139868,139868,0,0,0.0000
19900109,229875.0000,229925.0000,229825.0000,229875.0000,84233,84233,0,0,0.0000
19900110,229900.0000,229975.0000,229850.0000,229925.0000,96195,96195,0,0,0.0000
19900111,229975.0000,230000.0000,229875.0000,229900.0000,89065,89065,0,0,0.0000
19900112,229800.0000,230075.0000,229650.0000,229950.0000,232013,232013,0,0,0.0000
19900115,229875.0000,229875.0000,229750.0000,229775.0000,64226,64226,0,0,0.0000
19900116,229775.0000,229900.0000,229550.0000,229575.0000,200551,200551,0,0,0.0000
19900117,229600.0000,229650.0000,229450.0000,229500.0000,200267,200267,0,0,0.0000
19900118,229175.0000,229275.0000,228950.0000,228975.0000,305612,305612,0,0,0.0000
19900119,229150.0000,229250.0000,229100.0000,229225.0000,143068,143068,0,0,0.0000
19900122,229300.0000,229350.0000,229200.0000,229300.0000,93763,93763,0,0,0.0000
19900123,229225.0000,229300.0000,229150.0000,229300.0000,100433,100433,0,0,0.0000
19900124,229100.0000,229300.0000,229100.0000,229275.0000,141406,141406,0,0,0.0000
19900125,229250.0000,229350.0000,229150.0000,229175.0000,136422,136422,0,0,0.0000
19900126,229200.0000,229300.0000,229025.0000,229150.0000,213544,213544,0,0,0.0000
19900129,229175.0000,229225.0000,229100.0000,229125.0000,76344,76344,0,0,0.0000
19900130,229100.0000,229175.0000,228950.0000,229100.0000,162930,162930,0,0,0.0000
19900131,229050.0000,229175.0000,228950.0000,229125.0000,122412,122412,0,0,0.0000
19900201,229175.0000,229225.0000,229100.0000,229150.0000,123949,123949,0,0,0.0000
19900202,229125.0000,229175.0000,229025.0000,229050.0000,152856,152856,0,0,0.0000
19900205,229025.0000,229050.0000,229000.0000,229050.0000,55799,55799,0,0,0.0000
19900206,229025.0000,229050.0000,228950.0000,229050.0000,115346,115346,0,0,0.0000
19900207,228975.0000,229025.0000,228925.0000,229025.0000,126841,126841,0,0,0.0000
19900208,229025.0000,229100.0000,229000.0000,229050.0000,140862,140862,0,0,0.0000
19900209,229050.0000,229200.0000,229050.0000,229150.0000,183651,183651,0,0,0.0000
19900212,229175.0000,229250.0000,229100.0000,229125.0000,137739,137739,0,0,0.0000
19900213,229150.0000,229250.0000,229100.0000,229225.0000,190428,190428,0,0,0.0000
19900214,229225.0000,229275.0000,229200.0000,229225.0000,119208,119208,0,0,0.0000
19900215,229200.0000,229225.0000,229100.0000,229125.0000,112382,112382,0,0,0.0000
19900216,229150.0000,229175.0000,229100.0000,229125.0000,127309,127309,0,0,0.0000
19900220,229075.0000,229075.0000,228900.0000,228925.0000,169366,169366,0,0,0.0000
19900221,228975.0000,229000.0000,228875.0000,228925.0000,153094,153094,199006,199006,0.0000
19900222,228725.0000,228925.0000,228650.0000,228875.0000,121233,121233,0,0,-225.0000
19900223,228875.0000,229000.0000,228850.0000,228925.0000,118991,118991,0,0,0.0000
19900226,229000.0000,229075.0000,228975.0000,229050.0000,79229,79229,0,0,0.0000
19900227,229050.0000,229175.0000,229050.0000,229125.0000,124594,124594,0,0,0.0000
19900228,229100.0000,229100.0000,228950.0000,228975.0000,96151,96151,0,0,0.0000
19900301,228925.0000,228950.0000,228700.0000,228750.0000,159266,159266,0,0,0.0000
19900302,228725.0000,228875.0000,228725.0000,228775.0000,103043,103043,0,0,0.0000
19900305,228750.0000,228775.0000,228550.0000,228575.0000,88349,88349,0,0,0.0000
19900306,228575.0000,228725.0000,228425.0000,228700.0000,160418,160418,0,0,0.0000
19900307,228700.0000,228750.0000,228625.0000,228700.0000,99527,99527,0,0,0.0000
19900308,228700.0000,228725.0000,228575.0000,228650.0000,74218,74218,0,0,0.0000
19900309,228625.0000,228650.0000,228150.0000,228250.0000,252713,252713,0,0,0.0000
19900312,228225.0000,228275.0000,228175.0000,228250.0000,86011,86011,0,0,0.0000
19900313,228175.0000,228250.0000,227950.0000,228025.0000,156235,156235,0,0,0.0000
19900314,228000.0000,228175.0000,228000.0000,228175.0000,128175,128175,0,0,0.0000
19900315,228150.0000,228175.0000,228075.0000,228100.0000,71207,71207,0,0,0.0000
19900316,228075.0000,228375.0000,227975.0000,228275.0000,213408,213408,0,0,0.0000
19900319,228225.0000,228225.0000,228125.0000,228200.0000,108692,108692,0,0,0.0000
19900320,228200.0000,228325.0000,228000.0000,228250.0000,213687,213687,0,0,0.0000
19900321,228225.0000,228275.0000,228175.0000,228200.0000,74981,74981,0,0,0.0000
19900322,228200.0000,228500.0000,228175.0000,228350.0000,177780,177780,0,0,0.0000
19900323,228375.0000,228500.0000,228300.0000,228375.0000,143909,143909,0,0,0.0000
19900326,228425.0000,228475.0000,228375.0000,228375.0000,63326,63326,0,0,0.0000
19900327,228375.0000,228375.0000,228325.0000,228350.0000,52497,52497,0,0,0.0000
19900328,228325.0000,228475.0000,228300.0000,228425.0000,93636,93636,0,0,0.0000
19900329,228425.0000,228425.0000,228325.0000,228350.0000,80685,80685,0,0,0.0000
19900330,228350.0000,228400.0000,228175.0000,228275.0000,116867,116867,0,0,0.0000
19900402,228300.0000,228400.0000,228275.0000,228325.0000,80969,80969,0,0,0.0000
19900403,228325.0000,228400.0000,228300.0000,228375.0000,44457,44457,0,0,0.0000
19900404,228350.0000,228675.0000,228325.0000,228600.0000,101708,101708,0,0,0.0000
19900405,228550.0000,228650.0000,228475.0000,228600.0000,108609,108609,0,0,0.0000
19900406,228550.0000,228875.0000,228550.0000,228700.0000,228584,228584,0,0,0.0000
19900409,228700.0000,228700.0000,228650.0000,228675.0000,67649,67649,0,0,0.0000
19900410,228650.0000,228750.0000,228600.0000,228675.0000,72533,72533,0,0,0.0000
19900411,228700.0000,228800.0000,228675.0000,228700.0000,97458,97458,0,0,0.0000
19900412,228725.0000,228825.0000,228700.0000,228700.0000,74631,74631,0,0,0.0000
19900416,228775.0000,228825.0000,228725.0000,228725.0000,46818,46818,0,0,0.0000
19900417,228800.0000,228825.0000,228425.0000,228525.0000,197263,197263,0,0,0.0000
19900418,228500.0000,228550.0000,228200.0000,228250.0000,231170,231170,0,0,0.0000
19900419,228175.0000,228300.0000,228150.0000,228250.0000,153562,153562,0,0,0.0000
19900420,228300.0000,228375.0000,228225.0000,228250.0000,110852,110852,0,0,0.0000
19900423,228175.0000,228200.0000,228100.0000,228150.0000,112900,112900,0,0,0.0000
19900424,228125.0000,228150.0000,228025.0000,228050.0000,143574,143574,0,0,0.0000
19900425,228025.0000,228075.0000,227900.0000,227925.0000,129137,129137,0,0,0.0000
19900426,227925.0000,228000.0000,227725.0000,227800.0000,188726,188726,0,0,0.0000
19900427,227725.0000,228100.0000,227700.0000,227975.0000,299255,299255,0,0,0.0000
19900430,228000.0000,228050.0000,227950.0000,227975.0000,69736,69736,0,0,0.0000
19900501,228025.0000,228075.0000,227725.0000,227825.0000,184751,184751,0,0,0.0000
19900502,227775.0000,227825.0000,227700.0000,227825.0000,163263,163263,0,0,0.0000
19900503,227850.0000,227925.0000,227850.0000,227850.0000,90135,90135,0,0,0.0000
19900504,227900.0000,228625.0000,227875.0000,228575.0000,419779,419779,0,0,0.0000
19900507,228525.0000,228575.0000,228500.0000,228525.0000,68415,68415,0,0,0.0000
19900508,228475.0000,228575.0000,228450.0000,228550.0000,88950,88950,0,0,0.0000
19900509,228575.0000,228600.0000,228525.0000,228550.0000,75235,75235,0,0,0.0000
19900510,228625.0000,228750.0000,228600.0000,228725.0000,159204,159204,0,0,0.0000
19900511,228725.0000,229075.0000,228700.0000,229025.0000,325264,325264,0,0,0.0000
19900514,229025.0000,229100.0000,228950.0000,229075.0000,132459,132459,0,0,0.0000
19900515,229000.0000,229025.0000,228950.0000,229025.0000,130686,130686,0,0,0.0000
19900516,228950.0000,229050.0000,228950.0000,229025.0000,127745,127745,0,0,0.0000
19900517,228975.0000,229100.0000,228850.0000,228900.0000,213252,213252,0,0,0.0000
19900518,228875.0000,228900.0000,228800.0000,228850.0000,116414,116414,0,0,0.0000
19900521,228800.0000,228875.0000,228800.0000,228850.0000,57441,57441,199009,199009,0.0000
19900522,228700.0000,228900.0000,228700.0000,228850.0000,115160,115160,0,0,-200.0000
19900523,228875.0000,229000.0000,228775.0000,228925.0000,183309,183309,0,0,0.0000
19900524,228975.0000,229100.0000,228900.0000,228925.0000,162695,162695,0,0,0.0000
19900525,228825.0000,228875.0000,228775.0000,228800.0000,70918,70918,0,0,0.0000
19900529,228825.0000,228875.0000,228800.0000,228850.0000,41131,41131,0,0,0.0000
19900530,228950.0000,229000.0000,228900.0000,228950.0000,87048,87048,0,0,0.0000
19900531,229000.0000,229000.0000,228875.0000,228950.0000,112850,112850,0,0,0.0000
19900601,228975.0000,229575.0000,228925.0000,229450.0000,296118,296118,0,0,0.0000
19900604,229475.0000,229475.0000,229400.0000,229450.0000,87076,87076,0,0,0.0000
19900605,229475.0000,229525.0000,229325.0000,229375.0000,113690,113690,0,0,0.0000
19900606,229225.0000,229325.0000,229225.0000,229325.0000,88781,88781,0,0,0.0000
19900607,229350.0000,229425.0000,229300.0000,229375.0000,78007,78007,0,0,0.0000
19900608,229425.0000,229450.0000,229350.0000,229375.0000,62291,62291,0,0,0.0000
19900611,229325.0000,229350.0000,229275.0000,229325.0000,49942,49942,0,0,0.0000
19900612,229325.0000,229350.0000,229300.0000,229325.0000,50388,50388,0,0,0.0000
19900613,229350.0000,229550.0000,229325.0000,229525.0000,145360,145360,0,0,0.0000
19900614,229700.0000,229700.0000,229500.0000,229550.0000,186525,186525,0,0,0.0000
19900615,229600.0000,229675.0000,229250.0000,229325.0000,256212,256212,0,0,0.0000
19900618,229275.0000,229275.0000,229150.0000,229200.0000,119917,119917,0,0,0.0000
19900619,229175.0000,229250.0000,229125.0000,229200.0000,97776,97776,0,0,0.0000
19900620,229175.0000,229300.0000,229150.0000,229175.0000,93577,93577,0,0,0.0000
19900621,229225.0000,229300.0000,229175.0000,229275.0000,97799,97799,0,0,0.0000
19900622,229350.0000,229400.0000,229300.0000,229350.0000,81806,81806,0,0,0.0000
19900625,229350.0000,229375.0000,229200.0000,229225.0000,61983,61983,0,0,0.0000
19900626,229200.0000,229400.0000,229150.0000,229250.0000,149001,149001,0,0,0.0000
19900627,229275.0000,229375.0000,229250.0000,229350.0000,91126,91126,0,0,0.0000
19900628,229450.0000,229550.0000,229425.0000,229525.0000,114342,114342,0,0,0.0000
19900629,229550.0000,229650.0000,229450.0000,229600.0000,143475,143475,0,0,0.0000
19900702,229550.0000,229600.0000,229500.0000,229575.0000,74198,74198,0,0,0.0000
19900703,229575.0000,229650.0000,229525.0000,229625.0000,65464,65464,0,0,0.0000
19900705,229600.0000,229650.0000,229525.0000,229550.0000,86236,86236,0,0,0.0000
19900706,229500.0000,229550.0000,229200.0000,229250.0000,195291,195291,0,0,0.0000
19900709,229200.0000,229225.0000,229175.0000,229225.0000,79973,79973,0,0,0.0000
19900710,229225.0000,229275.0000,229175.0000,229225.0000,74813,74813,0,0,0.0000
19900711,229275.0000,229325.0000,229250.0000,229275.0000,62459,62459,0,0,0.0000
19900712,229300.0000,229800.0000,229175.0000,229725.0000,319051,319051,0,0,0.0000
19900713,229725.0000,229975.0000,229500.0000,229875.0000,334098,334098,0,0,0.0000
19900716,229850.0000,229875.0000,229800.0000,229850.0000,103634,103634,0,0,0.0000
19900717,229775.0000,229900.0000,229775.0000,229875.0000,96322,96322,0,0,0.0000
19900718,229875.0000,229950.0000,229750.0000,229850.0000,219724,219724,0,0,0.0000
19900719,229850.0000,229900.0000,229750.0000,229850.0000,80337,80337,0,0,0.0000
19900720,229875.0000,229950.0000,229875.0000,229925.0000,55235,55235,0,0,0.0000
19900723,229850.0000,230275.0000,229800.0000,230175.0000,214909,214909,0,0,0.0000
19900724,230050.0000,230150.0000,230000.0000,230025.0000,137378,137378,0,0,0.0000
19900725,230050.0000,230150.0000,229900.0000,230000.0000,154133,154133,0,0,0.0000
19900726,230050.0000,230050.0000,229950.0000,230000.0000,84946,84946,0,0,0.0000
19900727,230000.0000,230250.0000,229975.0000,230150.0000,213330,213330,0,0,0.0000
19900730,230225.0000,230300.0000,230200.0000,230250.0000,136943,136943,0,0,0.0000
19900731,230300.0000,230350.0000,230225.0000,230275.0000,148621,148621,0,0,0.0000
19900801,230300.0000,230450.0000,230300.0000,230375.0000,191684,191684,0,0,0.0000
19900802,230250.0000,230375.0000,230200.0000,230250.0000,196224,196224,0,0,0.0000
19900803,230175.0000,230600.0000,230075.0000,230425.0000,345577,345577,0,0,0.0000
19900806,230425.0000,230650.0000,230325.0000,230350.0000,271435,271435,0,0,0.0000
19900807,230500.0000,230500.0000,230225.0000,230350.0000,274423,274423,0,0,0.0000
19900808,230350.0000,230375.0000,230275.0000,230325.0000,181549,181549,0,0,0.0000
19900809,230325.0000,230375.0000,230275.0000,230350.0000,131232,131232,0,0,0.0000
19900810,230400.0000,230500.0000,230275.0000,230300.0000,174816,174816,0,0,0.0000
