DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,17820.0000,18142.5000,17775.0000,18125.0000,33052,105621,0,0,0.0000
19900103,18160.0000,18240.0000,18065.0000,18085.0000,41456,105464,0,0,0.0000
19900104,18075.0000,18130.0000,17805.0000,17992.5000,45871,104880,0,0,0.0000
19900105,17962.5000,17980.0000,17715.0000,17730.0000,42786,103532,0,0,0.0000
19900108,17707.5000,17920.0000,17680.0000,17877.5000,41144,105653,0,0,0.0000
19900109,17890.0000,17905.0000,17595.0000,17610.0000,44695,104660,0,0,0.0000
19900110,17595.0000,17660.0000,17335.0000,17565.0000,57441,105042,0,0,0.0000
19900111,17625.0000,17675.0000,17542.5000,17592.5000,40235,104591,0,0,0.0000
19900112,17400.0000,17400.0000,16992.5000,17047.5000,54691,105144,0,0,0.0000
19900115,17060.0000,17085.0000,16937.5000,16960.0000,37450,107042,0,0,0.0000
19900116,16775.0000,17150.0000,16765.0000,17105.0000,52553,107384,0,0,0.0000
19900117,17125.0000,17245.0000,16892.5000,16937.5000,56889,105925,0,0,0.0000
19900118,16850.0000,17062.5000,16800.0000,17042.5000,56974,105175,0,0,0.0000
19900119,17125.0000,17160.0000,17070.0000,17110.0000,37202,104719,0,0,0.0000
19900122,17100.0000,17137.5000,16515.0000,16570.0000,57208,107951,0,0,0.0000
19900123,16695.0000,16760.0000,16495.0000,16512.5000,65077,107733,0,0,0.0000
19900124,16262.5000,16687.5000,16175.0000,16655.0000,58726,108576,0,0,0.0000
19900125,16700.0000,16720.0000,16300.0000,16337.5000,55040,109771,0,0,0.0000
19900126,16375.0000,16525.0000,16110.0000,16340.0000,57423,111139,0,0,0.0000
19900129,16400.0000,16462.5000,16150.0000,16335.0000,55802,112380,0,0,0.0000
19900130,16360.0000,16395.0000,16037.5000,16260.0000,62914,112677,0,0,0.0000
19900131,16350.0000,16532.5000,16302.5000,16525.0000,56175,107630,0,0,0.0000
19900201,16540.0000,16567.5000,16445.0000,16505.0000,38828,108165,0,0,0.0000
19900202,16455.0000,16700.0000,16440.0000,16625.0000,41584,107610,0,0,0.0000
19900205,16625.0000,16680.0000,16575.0000,16670.0000,32515,107968,0,0,0.0000
19900206,16645.0000,16645.0000,16455.0000,16512.5000,43993,108242,0,0,0.0000
19900207,16400.0000,16795.0000,16367.5000,16790.0000,63744,110029,0,0,0.0000
19900208,16785.0000,16915.0000,16665.0000,16765.0000,57581,108903,0,0,0.0000
19900209,16790.0000,16825.0000,16680.0000,16720.0000,40011,107054,0,0,0.0000
19900212,16710.0000,16740.0000,16522.5000,16537.5000,52184,105310,0,0,0.0000
19900213,16570.0000,16675.0000,16425.0000,16632.5000,55494,107378,0,0,0.0000
19900214,16615.0000,16740.0000,16575.0000,16665.0000,45207,105271,0,0,0.0000
19900215,16660.0000,16822.5000,16640.0000,16807.5000,38978,103780,0,0,0.0000
19900216,16800.0000,16830.0000,16645.0000,16660.0000,31637,101758,0,0,0.0000
19900220,16410.0000,16515.0000,16325.0000,16437.5000,48607,106545,0,0,0.0000
19900221,16287.5000,16482.5000,16275.0000,16465.0000,51073,106611,0,0,0.0000
19900222,16490.0000,16610.0000,16300.0000,16337.5000,57561,103311,0,0,0.0000
19900223,16200.0000,16360.0000,16125.0000,16275.0000,57011,103921,0,0,0.0000
19900226,16285.0000,16500.0000,16250.0000,16492.5000,57635,103507,0,0,0.0000
19900227,16460.0000,16660.0000,16457.5000,16567.5000,63073,99519,0,0,0.0000
19900228,16550.0000,16740.0000,16545.0000,16647.5000,61832,96729,0,0,0.0000
19900301,16625.0000,16775.0000,16577.5000,16690.0000,58936,94473,0,0,0.0000
19900302,16702.5000,16822.5000,16675.0000,16795.0000,51957,88986,0,0,0.0000
19900305,16777.5000,16865.0000,16677.5000,16725.0000,57991,82024,0,0,0.0000
19900306,16725.0000,16965.0000,16690.0000,16960.0000,60304,75651,0,0,0.0000
19900307,16980.0000,16987.5000,16825.0000,16847.5000,61905,70709,199006,199006,0.0000
19900308,17080.0000,17285.0000,17055.0000,17225.0000,58070,69934,0,0,180.0000
19900309,17162.5000,17247.5000,17035.0000,17102.5000,62511,77438,0,0,0.0000
19900312,17055.0000,17195.0000,17002.5000,17132.5000,50152,83235,0,0,0.0000
19900313,17075.0000,17140.0000,16945.0000,16977.5000,67804,92993,0,0,0.0000
19900314,16990.0000,17112.5000,16927.5000,17067.5000,63231,98465,0,0,0.0000
19900315,17067.5000,17175.0000,17032.5000,17110.0000,58395,104757,0,0,0.0000
19900316,17185.0000,17307.5000,17165.0000,17262.5000,43073,106119,0,0,0.0000
19900319,17180.0000,17390.0000,17125.0000,17380.0000,41356,106739,0,0,0.0000
19900320,17335.0000,17457.5000,17202.5000,17280.0000,54202,108284,0,0,0.0000
19900321,17315.0000,17335.0000,17100.0000,17110.0000,36480,108150,0,0,0.0000
19900322,17110.0000,17190.0000,16815.0000,16955.0000,52678,111028,0,0,0.0000
19900323,17000.0000,17070.0000,16947.5000,17040.0000,35715,110113,0,0,0.0000
19900326,17125.0000,17192.5000,17050.0000,17087.5000,30818,109673,0,0,0.0000
19900327,17070.0000,17297.5000,17012.5000,17277.5000,37938,107710,0,0,0.0000
19900328,17260.0000,17337.5000,17187.5000,17295.0000,35095,110180,0,0,0.0000
19900329,17220.0000,17277.5000,17130.0000,17195.0000,34867,109119,0,0,0.0000
19900330,17180.0000,17265.0000,17055.0000,17072.5000,39067,109172,0,0,0.0000
19900402,16930.0000,17110.0000,16930.0000,17095.0000,40169,111263,0,0,0.0000
19900403,17112.5000,17395.0000,17102.5000,17367.5000,48216,109584,0,0,0.0000
19900404,17380.0000,17390.0000,17150.0000,17160.0000,44769,108351,0,0,0.0000
19900405,17235.0000,17332.5000,17162.5000,17212.5000,36628,107310,0,0,0.0000
19900406,17215.0000,17260.0000,17070.0000,17185.0000,36556,108814,0,0,0.0000
19900409,17150.0000,17262.5000,17150.0000,17220.0000,26905,107880,0,0,0.0000
19900410,17200.0000,17292.5000,17162.5000,17215.0000,28590,107605,0,0,0.0000
19900411,17245.0000,17315.0000,17175.0000,17260.0000,29750,107042,0,0,0.0000
19900412,17260.0000,17417.5000,17260.0000,17405.0000,27486,108473,0,0,0.0000
19900416,17475.0000,17540.0000,17310.0000,17342.5000,40900,110170,0,0,0.0000
19900417,17225.0000,17395.0000,17195.0000,17360.0000,39584,110475,0,0,0.0000
19900418,17390.0000,17395.0000,17090.0000,17145.0000,46157,110766,0,0,0.0000
19900419,17100.0000,17155.0000,16960.0000,16980.0000,43353,110905,0,0,0.0000
19900420,16970.0000,17022.5000,16725.0000,16820.0000,54997,114027,0,0,0.0000
19900423,16765.0000,16790.0000,16585.0000,16632.5000,49106,116814,0,0,0.0000
19900424,16685.0000,16760.0000,16560.0000,16622.5000,43992,116020,0,0,0.0000
19900425,16715.0000,16745.0000,16612.5000,16712.5000,41069,116523,0,0,0.0000
19900426,16752.5000,16790.0000,16595.0000,16765.0000,46435,116536,0,0,0.0000
19900427,16755.0000,16775.0000,16430.0000,16442.5000,51819,117206,0,0,0.0000
19900430,16462.5000,16645.0000,16430.0000,16605.0000,42874,117783,0,0,0.0000
19900501,16650.0000,16725.0000,16587.5000,16682.5000,46287,117788,0,0,0.0000
19900502,16655.0000,16855.0000,16650.0000,16847.5000,45107,116434,0,0,0.0000
19900503,16857.5000,16945.0000,16810.0000,16857.5000,37990,115543,0,0,0.0000
19900504,16905.0000,17030.0000,16812.5000,16995.0000,47995,115873,0,0,0.0000
19900507,16972.5000,17130.0000,16955.0000,17125.0000,38777,113952,0,0,0.0000
19900508,17110.0000,17267.5000,17062.5000,17255.0000,36335,114155,0,0,0.0000
19900509,17215.0000,17260.0000,17105.0000,17247.5000,39793,114622,0,0,0.0000
19900510,17250.0000,17347.5000,17205.0000,17252.5000,41322,113789,0,0,0.0000
19900511,17327.5000,17727.5000,17320.0000,17712.5000,62819,114274,0,0,0.0000
19900514,17762.5000,18050.0000,17705.0000,17845.0000,70370,113350,0,0,0.0000
19900515,17775.0000,17857.5000,17740.0000,17825.0000,45247,111490,0,0,0.0000
19900516,17820.0000,17835.0000,17657.5000,17767.5000,42732,110789,0,0,0.0000
19900517,17810.0000,17940.0000,17755.0000,17797.5000,46326,108271,0,0,0.0000
19900518,17762.5000,17787.5000,17675.0000,17780.0000,39847,106799,0,0,0.0000
19900521,17770.0000,18047.5000,17745.0000,17950.0000,47377,107629,0,0,0.0000
19900522,18050.0000,18085.0000,17850.0000,18040.0000,55262,105858,0,0,0.0000
19900523,17975.0000,18040.0000,17905.0000,18037.5000,39161,103424,0,0,0.0000
19900524,18050.0000,18055.0000,17935.0000,17992.5000,34619,101757,0,0,0.0000
19900525,17900.0000,17915.0000,17740.0000,17767.5000,29665,101864,0,0,0.0000
19900529,17782.5000,18170.0000,17772.5000,18130.0000,47299,99786,0,0,0.0000
19900530,18180.0000,18195.0000,18035.0000,18150.0000,47924,97075,0,0,0.0000
19900531,18087.5000,18165.0000,18065.0000,18087.5000,44035,92574,0,0,0.0000
19900601,18190.0000,18215.0000,18090.0000,18177.5000,45903,90915,0,0,0.0000
19900604,18175.0000,18467.5000,18140.0000,18437.5000,49934,87032,0,0,0.0000
19900605,18437.5000,18495.0000,18317.5000,18387.5000,58946,80600,0,0,0.0000
19900606,18370.0000,18385.0000,18265.0000,18297.5000,49606,74822,0,0,0.0000
19900607,18340.0000,18350.0000,18092.5000,18195.0000,60103,65955,199009,199009,0.0000
19900608,18435.0000,18470.0000,18125.0000,18222.5000,63395,70122,0,0,245.0000
19900611,18200.0000,18395.0000,18175.0000,18390.0000,60365,77520,0,0,0.0000
19900612,18350.0000,18675.0000,18310.0000,18580.0000,63445,84428,0,0,0.0000
19900613,18540.0000,18662.5000,18465.0000,18520.0000,67249,92595,0,0,0.0000
19900614,18500.0000,18505.0000,18330.0000,18425.0000,58675,99238,0,0,0.0000
19900615,18355.0000,18455.0000,18285.0000,18397.5000,36382,102355,0,0,0.0000
19900618,18335.0000,18360.0000,18057.5000,18095.0000,45703,101164,0,0,0.0000
19900619,18090.0000,18212.5000,18022.5000,18180.0000,41943,102897,0,0,0.0000
19900620,18185.0000,18265.0000,18067.5000,18220.0000,36637,101704,0,0,0.0000
19900621,18265.0000,18350.0000,18105.0000,18345.0000,36275,103550,0,0,0.0000
19900622,18352.5000,18422.5000,17925.0000,18007.5000,39319,102017,0,0,0.0000
19900625,17995.0000,18047.5000,17790.0000,17880.0000,42159,101574,0,0,0.0000
19900626,17975.0000,18042.5000,17775.0000,17797.5000,43813,102103,0,0,0.0000
19900627,17790.0000,18035.0000,17750.0000,17972.5000,45173,104004,0,0,0.0000
19900628,17985.0000,18122.5000,17957.5000,18107.5000,34447,104005,0,0,0.0000
19900629,18070.0000,18195.0000,18055.0000,18117.5000,32179,102203,0,0,0.0000
19900702,18125.0000,18225.0000,18070.0000,18220.0000,25214,104311,0,0,0.0000
19900703,18210.0000,18265.0000,18180.0000,18200.0000,17415,104103,0,0,0.0000
19900705,18150.0000,18150.0000,17910.0000,17990.0000,31835,105521,0,0,0.0000
19900706,17910.0000,18167.5000,17900.0000,18112.5000,33685,107178,0,0,0.0000
19900709,18095.0000,18225.0000,18075.0000,18155.0000,29603,105048,0,0,0.0000
19900710,18142.5000,18202.5000,17970.0000,18025.0000,32124,103520,0,0,0.0000
19900711,18062.5000,18285.0000,18035.0000,18270.0000,36895,105550,0,0,0.0000
