DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,42350.0000,42525.0000,42325.0000,42350.0000,660,3026,0,0,0.0000
19900103,42350.0000,42350.0000,42125.0000,42237.5000,1695,3026,0,0,0.0000
19900104,42650.0000,42675.0000,42125.0000,42275.0000,1672,2919,199003,199003,0.0000
19900105,41550.0000,41675.0000,41450.0000,41475.0000,802,3705,0,0,-650.0000
19900108,41450.0000,41525.0000,41325.0000,41475.0000,905,3769,0,0,0.0000
19900109,41425.0000,41587.5000,41375.0000,41550.0000,1086,4045,0,0,0.0000
19900110,41450.0000,41562.5000,41350.0000,41475.0000,2017,4190,0,0,0.0000
19900111,41475.0000,41725.0000,41475.0000,41612.5000,1201,4333,0,0,0.0000
19900112,41500.0000,41737.5000,41175.0000,41212.5000,2191,4264,0,0,0.0000
19900115,41125.0000,41275.0000,41062.5000,41100.0000,2086,4161,0,0,0.0000
19900116,41075.0000,41075.0000,40925.0000,41000.0000,2265,4401,0,0,0.0000
19900117,41050.0000,41525.0000,41050.0000,41512.5000,2078,4542,0,0,0.0000
19900118,41525.0000,41625.0000,41400.0000,41437.5000,1434,4619,0,0,0.0000
19900119,41525.0000,41725.0000,41450.0000,41650.0000,1132,4630,0,0,0.0000
19900122,41725.0000,41837.5000,41675.0000,41800.0000,1488,4795,0,0,0.0000
19900123,41800.0000,41925.0000,41725.0000,41775.0000,2684,4872,0,0,0.0000
19900124,41550.0000,41750.0000,41537.5000,41562.5000,1342,4784,0,0,0.0000
19900125,41700.0000,42000.0000,41650.0000,41687.5000,2663,5060,0,0,0.0000
19900126,41662.5000,41725.0000,41425.0000,41712.5000,1318,5008,0,0,0.0000
19900129,41675.0000,41762.5000,41587.5000,41637.5000,609,4993,0,0,0.0000
19900130,41637.5000,41775.0000,41600.0000,41637.5000,846,4971,0,0,0.0000
19900131,41637.5000,41637.5000,41250.0000,41262.5000,1819,4956,0,0,0.0000
19900201,41275.0000,41550.0000,41225.0000,41312.5000,1517,4874,0,0,0.0000
19900202,41350.0000,41600.0000,41337.5000,41525.0000,1056,4795,0,0,0.0000
19900205,41475.0000,41750.0000,41400.0000,41587.5000,1434,4826,0,0,0.0000
19900206,41600.0000,41675.0000,41212.5000,41337.5000,1882,4790,0,0,0.0000
19900207,41325.0000,41412.5000,41225.0000,41275.0000,1281,4804,0,0,0.0000
19900208,41275.0000,41375.0000,41200.0000,41212.5000,1308,4935,0,0,0.0000
19900209,41200.0000,41250.0000,40800.0000,40887.5000,3587,4977,0,0,0.0000
19900212,40825.0000,41087.5000,40800.0000,40925.0000,3313,4630,0,0,0.0000
19900213,40950.0000,41100.0000,40925.0000,41037.5000,1455,4498,0,0,0.0000
19900214,41050.0000,41100.0000,40950.0000,40987.5000,905,4515,0,0,0.0000
19900215,40950.0000,41075.0000,40925.0000,41012.5000,1241,4488,0,0,0.0000
19900216,41050.0000,41175.0000,41000.0000,41087.5000,1064,4461,0,0,0.0000
19900220,40500.0000,40775.0000,40462.5000,40737.5000,2480,4256,0,0,0.0000
19900221,40675.0000,40675.0000,40050.0000,40125.0000,3025,3968,0,0,0.0000
19900222,40050.0000,40375.0000,40037.5000,40212.5000,2757,3871,0,0,0.0000
19900223,40175.0000,40250.0000,40075.0000,40112.5000,1479,3780,0,0,0.0000
19900226,40075.0000,40187.5000,39875.0000,39925.0000,1460,3634,0,0,0.0000
19900227,39950.0000,40075.0000,39825.0000,40000.0000,1753,3495,0,0,0.0000
19900228,40100.0000,40325.0000,40050.0000,40200.0000,1373,3471,0,0,0.0000
19900301,40250.0000,40275.0000,40150.0000,40250.0000,1219,3330,0,0,0.0000
19900302,40225.0000,40287.5000,40212.5000,40237.5000,1310,3296,199005,199005,0.0000
19900305,40150.0000,40300.0000,40150.0000,40162.5000,1323,3347,0,0,-225.0000
19900306,40237.5000,40462.5000,40237.5000,40412.5000,1982,3383,0,0,0.0000
19900307,40450.0000,40500.0000,40375.0000,40437.5000,1731,3415,0,0,0.0000
19900308,40475.0000,40862.5000,40437.5000,40862.5000,2380,3604,0,0,0.0000
19900309,40900.0000,41100.0000,40825.0000,40937.5000,3086,3723,0,0,0.0000
19900312,40950.0000,41087.5000,40850.0000,41025.0000,1797,3742,0,0,0.0000
19900313,41050.0000,41412.5000,41025.0000,41300.0000,5504,4165,0,0,0.0000
19900314,41275.0000,41350.0000,41025.0000,41037.5000,2389,4304,0,0,0.0000
19900315,40975.0000,41100.0000,40850.0000,40850.0000,1656,4320,0,0,0.0000
