DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,40060.0000,40460.0000,40020.0000,40210.0000,41724,41724,0,0,0.0000
19900103,39800.0000,39900.0000,39450.0000,39640.0000,57324,57324,0,0,0.0000
19900104,39760.0000,40110.0000,39710.0000,40080.0000,54288,54288,0,0,0.0000
19900105,40420.0000,40950.0000,40250.0000,40850.0000,56066,56066,0,0,0.0000
19900108,40600.0000,40760.0000,40470.0000,40500.0000,30404,30404,0,0,0.0000
19900109,40460.0000,40630.0000,40430.0000,40620.0000,23095,23095,0,0,0.0000
19900110,40820.0000,41530.0000,40810.0000,41420.0000,72827,72827,0,0,0.0000
19900111,41480.0000,41580.0000,41320.0000,41560.0000,47670,47670,0,0,0.0000
19900112,41700.0000,41980.0000,41400.0000,41470.0000,86145,86145,0,0,0.0000
19900115,41720.0000,41850.0000,41260.0000,41510.0000,54267,54267,0,0,0.0000
19900116,41370.0000,41590.0000,40900.0000,41220.0000,62924,62924,0,0,0.0000
19900117,41170.0000,41390.0000,41010.0000,41370.0000,44114,44114,0,0,0.0000
19900118,41480.0000,41640.0000,41090.0000,41120.0000,53544,53544,0,0,0.0000
19900119,41080.0000,41280.0000,40900.0000,41090.0000,43497,43497,199004,199004,0.0000
19900122,41350.0000,41500.0000,41040.0000,41360.0000,57484,57484,0,0,570.0000
19900123,41410.0000,42080.0000,41370.0000,41940.0000,77976,77976,0,0,0.0000
19900124,42300.0000,43150.0000,42100.0000,42350.0000,116353,116353,0,0,0.0000
19900125,42170.0000,42400.0000,41850.0000,42200.0000,66172,66172,0,0,0.0000
19900126,42550.0000,42700.0000,42260.0000,42610.0000,66634,66634,0,0,0.0000
19900129,42730.0000,42750.0000,42220.0000,42510.0000,71832,71832,0,0,0.0000
19900130,42430.0000,42700.0000,42270.0000,42390.0000,71567,71567,0,0,0.0000
19900131,42050.0000,42200.0000,41700.0000,41780.0000,69498,69498,0,0,0.0000
19900201,41870.0000,42350.0000,41870.0000,42330.0000,44850,44850,0,0,0.0000
19900202,42330.0000,42430.0000,42130.0000,42340.0000,32982,32982,0,0,0.0000
19900205,42500.0000,43030.0000,42480.0000,42750.0000,53337,53337,0,0,0.0000
19900206,42660.0000,42740.0000,42540.0000,42640.0000,33393,33393,0,0,0.0000
19900207,42550.0000,42970.0000,42220.0000,42310.0000,64953,64953,0,0,0.0000
19900208,42270.0000,42470.0000,42120.0000,42350.0000,39404,39404,0,0,0.0000
19900209,42250.0000,42380.0000,41950.0000,42060.0000,49208,49208,0,0,0.0000
19900212,42000.0000,42490.0000,41930.0000,42360.0000,42819,42819,0,0,0.0000
19900213,42430.0000,42580.0000,42120.0000,42200.0000,42270,42270,0,0,0.0000
19900214,41950.0000,42130.0000,41750.0000,42070.0000,62834,62834,0,0,0.0000
19900215,42100.0000,42200.0000,41550.0000,41620.0000,56974,56974,0,0,0.0000
19900216,41820.0000,42150.0000,41630.0000,42080.0000,62751,62751,0,0,0.0000
19900220,42220.0000,42470.0000,42130.0000,42360.0000,39766,39766,0,0,0.0000
19900221,42470.0000,42640.0000,42120.0000,42160.0000,49118,49118,0,0,0.0000
19900222,42100.0000,42240.0000,41810.0000,41900.0000,41155,41155,0,0,0.0000
19900223,41750.0000,42110.0000,41750.0000,41820.0000,38958,38958,0,0,0.0000
19900226,41550.0000,41600.0000,40960.0000,41180.0000,59672,59672,0,0,0.0000
19900227,41180.0000,41250.0000,40970.0000,41100.0000,29873,29873,0,0,0.0000
19900228,41200.0000,41230.0000,40750.0000,40890.0000,40181,40181,0,0,0.0000
19900301,40920.0000,41040.0000,40780.0000,40900.0000,31466,31466,0,0,0.0000
19900302,40820.0000,40870.0000,40400.0000,40560.0000,59412,59412,0,0,0.0000
19900305,40600.0000,40750.0000,40500.0000,40660.0000,22910,22910,0,0,0.0000
19900306,40690.0000,40830.0000,40570.0000,40610.0000,23296,23296,0,0,0.0000
19900307,40420.0000,40450.0000,40080.0000,40230.0000,40823,40823,0,0,0.0000
19900308,40260.0000,40390.0000,40180.0000,40190.0000,26904,26904,0,0,0.0000
19900309,39950.0000,40180.0000,39900.0000,40160.0000,33540,33540,0,0,0.0000
19900312,40220.0000,40360.0000,40020.0000,40110.0000,31444,31444,0,0,0.0000
19900313,39800.0000,40120.0000,39670.0000,40070.0000,54325,54325,0,0,0.0000
19900314,40000.0000,40150.0000,39880.0000,39950.0000,27947,27947,0,0,0.0000
19900315,39920.0000,40180.0000,39850.0000,39960.0000,51753,51753,0,0,0.0000
19900316,40010.0000,40260.0000,40010.0000,40090.0000,29870,29870,0,0,0.0000
19900319,40270.0000,40420.0000,40160.0000,40190.0000,33038,33038,0,0,0.0000
19900320,40200.0000,40270.0000,39250.0000,39330.0000,73524,73524,0,0,0.0000
19900321,39130.0000,39390.0000,39090.0000,39250.0000,38501,38501,199006,199006,0.0000
19900322,39700.0000,40040.0000,39700.0000,40010.0000,33126,33126,0,0,520.0000
