DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,26075.0000,26600.0000,26075.0000,26550.0000,4020,4020,0,0,0.0000
19900103,26675.0000,27450.0000,26675.0000,27412.5000,9806,9806,0,0,0.0000
19900104,27500.0000,27900.0000,27000.0000,27137.5000,10011,10011,0,0,0.0000
19900105,27375.0000,27550.0000,27175.0000,27375.0000,4158,4158,0,0,0.0000
19900108,27400.0000,27950.0000,27125.0000,27837.5000,7958,7958,0,0,0.0000
19900109,28000.0000,28125.0000,27500.0000,27550.0000,6074,6074,0,0,0.0000
19900110,27375.0000,27500.0000,26962.5000,27025.0000,5839,5839,0,0,0.0000
19900111,27200.0000,27375.0000,27162.5000,27300.0000,3028,3028,0,0,0.0000
19900112,27000.0000,27050.0000,26250.0000,26475.0000,8893,8893,0,0,0.0000
19900115,26250.0000,26325.0000,25750.0000,26000.0000,7654,7654,0,0,0.0000
19900116,25750.0000,26375.0000,25575.0000,26125.0000,9177,9177,0,0,0.0000
19900117,26100.0000,26325.0000,25825.0000,26000.0000,4371,4371,0,0,0.0000
19900118,25825.0000,26150.0000,25500.0000,25587.5000,6168,6168,0,0,0.0000
19900119,25000.0000,25200.0000,24700.0000,24825.0000,10791,10791,0,0,0.0000
19900122,24900.0000,25025.0000,24400.0000,24687.5000,6648,6648,0,0,0.0000
19900123,24000.0000,24475.0000,23937.5000,24362.5000,7133,7133,0,0,0.0000
19900124,23925.0000,24250.0000,23750.0000,24150.0000,6470,6470,0,0,0.0000
19900125,24600.0000,24800.0000,24375.0000,24425.0000,4914,4914,0,0,0.0000
19900126,24275.0000,24875.0000,24175.0000,24587.5000,6172,6172,0,0,0.0000
19900129,24875.0000,25050.0000,24075.0000,24187.5000,5860,5860,0,0,0.0000
19900130,24000.0000,24325.0000,23875.0000,23912.5000,6125,6125,0,0,0.0000
19900131,23750.0000,24712.5000,23750.0000,24650.0000,8632,8632,0,0,0.0000
19900201,24675.0000,24925.0000,24375.0000,24425.0000,7294,7294,0,0,0.0000
19900202,24650.0000,25175.0000,24650.0000,25012.5000,6731,6731,0,0,0.0000
19900205,24875.0000,24962.5000,24650.0000,24675.0000,3891,3891,0,0,0.0000
19900206,24675.0000,24925.0000,24575.0000,24800.0000,3576,3576,0,0,0.0000
19900207,24550.0000,25050.0000,24425.0000,25012.5000,4857,4857,0,0,0.0000
19900208,25025.0000,25300.0000,24775.0000,24937.5000,4912,4912,0,0,0.0000
19900209,25325.0000,25425.0000,25200.0000,25312.5000,4872,4872,0,0,0.0000
19900212,25450.0000,25650.0000,24950.0000,24975.0000,8161,8161,0,0,0.0000
19900213,24875.0000,26100.0000,24750.0000,26050.0000,12435,12435,0,0,0.0000
19900214,25900.0000,26825.0000,25900.0000,26425.0000,14929,14929,0,0,0.0000
19900215,26725.0000,26950.0000,26425.0000,26762.5000,6545,6545,0,0,0.0000
19900216,27250.0000,27900.0000,27137.5000,27837.5000,12101,12101,0,0,0.0000
19900220,28212.5000,28775.0000,28025.0000,28250.0000,12235,12235,0,0,0.0000
19900221,27625.0000,28600.0000,27550.0000,28550.0000,10687,10687,199005,199005,0.0000
19900222,27275.0000,27325.0000,26750.0000,27000.0000,7524,7524,0,0,-1450.0000
19900223,26750.0000,26975.0000,26600.0000,26875.0000,6259,6259,0,0,0.0000
19900226,26525.0000,26900.0000,26525.0000,26762.5000,5666,5666,0,0,0.0000
19900227,26700.0000,26850.0000,26450.0000,26687.5000,6469,6469,0,0,0.0000
19900228,26687.5000,27150.0000,26687.5000,27062.5000,5987,5987,0,0,0.0000
19900301,27250.0000,27475.0000,27150.0000,27300.0000,6802,6802,0,0,0.0000
19900302,27800.0000,28525.0000,27800.0000,28425.0000,12443,12443,0,0,0.0000
19900305,28575.0000,29275.0000,28475.0000,29200.0000,10773,10773,0,0,0.0000
19900306,29025.0000,29350.0000,28562.5000,28837.5000,10703,10703,0,0,0.0000
19900307,28775.0000,29125.0000,28625.0000,28662.5000,5110,5110,0,0,0.0000
19900308,28750.0000,29025.0000,28750.0000,28975.0000,3518,3518,0,0,0.0000
19900309,29425.0000,29487.5000,28750.0000,28875.0000,5968,5968,0,0,0.0000
19900312,28375.0000,28950.0000,28325.0000,28737.5000,4927,4927,0,0,0.0000
19900313,28600.0000,28900.0000,28050.0000,28175.0000,7132,7132,0,0,0.0000
19900314,28275.0000,29687.5000,28275.0000,29350.0000,11537,11537,0,0,0.0000
19900315,29875.0000,29975.0000,29475.0000,29887.5000,7853,7853,0,0,0.0000
19900316,30075.0000,30150.0000,29625.0000,29937.5000,6454,6454,0,0,0.0000
19900319,30050.0000,30225.0000,29525.0000,29775.0000,6551,6551,0,0,0.0000
19900320,29575.0000,29750.0000,29175.0000,29325.0000,7349,7349,0,0,0.0000
19900321,29400.0000,30600.0000,29400.0000,30300.0000,9970,9970,0,0,0.0000
19900322,30025.0000,30100.0000,29375.0000,29525.0000,8134,8134,0,0,0.0000
19900323,29125.0000,29575.0000,29050.0000,29475.0000,6979,6979,0,0,0.0000
19900326,28900.0000,29100.0000,28375.0000,28675.0000,6892,6892,0,0,0.0000
19900327,29025.0000,29100.0000,28000.0000,28062.5000,9835,9835,0,0,0.0000
19900328,28100.0000,29350.0000,27925.0000,29125.0000,12651,12651,0,0,0.0000
19900329,29750.0000,29825.0000,29275.0000,29475.0000,5765,5765,0,0,0.0000
19900330,30062.5000,30675.0000,29875.0000,30600.0000,9405,9405,0,0,0.0000
19900402,30775.0000,30850.0000,30125.0000,30225.0000,9090,9090,0,0,0.0000
19900403,30475.0000,31250.0000,30375.0000,31212.5000,7211,7211,0,0,0.0000
19900404,30875.0000,30950.0000,29900.0000,30037.5000,9292,9292,0,0,0.0000
19900405,30200.0000,30475.0000,29562.5000,29725.0000,7142,7142,0,0,0.0000
19900406,29800.0000,30775.0000,29625.0000,30275.0000,8426,8426,0,0,0.0000
19900409,29950.0000,30050.0000,29125.0000,29175.0000,9367,9367,0,0,0.0000
19900410,29475.0000,29875.0000,29187.5000,29837.5000,7558,7558,0,0,0.0000
19900411,29400.0000,30050.0000,29300.0000,29525.0000,7480,7480,0,0,0.0000
19900412,29675.0000,30000.0000,29050.0000,29212.5000,8094,8094,0,0,0.0000
19900416,28925.0000,29400.0000,28875.0000,29125.0000,4062,4062,0,0,0.0000
19900417,28825.0000,29275.0000,28625.0000,29062.5000,8759,8759,0,0,0.0000
19900418,29175.0000,29350.0000,28700.0000,29050.0000,7583,7583,0,0,0.0000
19900419,28775.0000,29225.0000,28725.0000,29150.0000,7214,7214,199007,199007,0.0000
19900420,27100.0000,27200.0000,26550.0000,26625.0000,11283,11283,0,0,-1500.0000
19900423,26875.0000,27037.5000,26350.0000,26425.0000,11434,11434,0,0,0.0000
19900424,26525.0000,27250.0000,26400.0000,27125.0000,15196,15196,0,0,0.0000
19900425,27450.0000,27975.0000,27400.0000,27775.0000,13166,13166,0,0,0.0000
19900426,27575.0000,28212.5000,27500.0000,28025.0000,10861,10861,0,0,0.0000
19900427,27700.0000,27900.0000,27325.0000,27900.0000,5899,5899,0,0,0.0000
19900430,27175.0000,27375.0000,26800.0000,27225.0000,7514,7514,0,0,0.0000
19900501,27625.0000,28625.0000,27600.0000,28325.0000,12255,12255,0,0,0.0000
19900502,27800.0000,28225.0000,27725.0000,28037.5000,5448,5448,0,0,0.0000
19900503,28450.0000,28600.0000,27850.0000,27900.0000,6493,6493,0,0,0.0000
19900504,27925.0000,28000.0000,27450.0000,27812.5000,6297,6297,0,0,0.0000
19900507,27475.0000,27950.0000,27375.0000,27412.5000,4416,4416,0,0,0.0000
19900508,27525.0000,28100.0000,27525.0000,28037.5000,6609,6609,0,0,0.0000
19900509,28387.5000,29500.0000,28387.5000,29375.0000,9658,9658,0,0,0.0000
19900510,29375.0000,29812.5000,29275.0000,29600.0000,12867,12867,0,0,0.0000
19900511,29325.0000,29725.0000,29275.0000,29412.5000,8979,8979,0,0,0.0000
19900514,29150.0000,29437.5000,28500.0000,28750.0000,8945,8945,0,0,0.0000
19900515,28600.0000,28775.0000,28162.5000,28525.0000,8887,8887,0,0,0.0000
19900516,28325.0000,28750.0000,28275.0000,28600.0000,5218,5218,0,0,0.0000
19900517,28850.0000,29100.0000,28475.0000,28725.0000,6172,6172,0,0,0.0000
19900518,28475.0000,28775.0000,28250.0000,28712.5000,5229,5229,0,0,0.0000
19900521,28250.0000,28437.5000,28050.0000,28362.5000,5314,5314,0,0,0.0000
19900522,28475.0000,29212.5000,28475.0000,29037.5000,7814,7814,0,0,0.0000
19900523,28825.0000,29075.0000,28525.0000,28762.5000,6150,6150,0,0,0.0000
19900524,28950.0000,29225.0000,28887.5000,29137.5000,4852,4852,0,0,0.0000
19900525,28825.0000,28925.0000,28525.0000,28812.5000,4984,4984,0,0,0.0000
19900529,28800.0000,28950.0000,28075.0000,28125.0000,7649,7649,0,0,0.0000
19900530,27750.0000,28200.0000,27750.0000,27875.0000,7291,7291,0,0,0.0000
19900531,28150.0000,28250.0000,27475.0000,27712.5000,9911,9911,0,0,0.0000
19900601,27575.0000,28125.0000,27575.0000,27950.0000,5986,5986,0,0,0.0000
19900604,28025.0000,28250.0000,27750.0000,27787.5000,4723,4723,0,0,0.0000
19900605,27600.0000,28450.0000,27550.0000,28275.0000,7809,7809,0,0,0.0000
19900606,28075.0000,28225.0000,27875.0000,28025.0000,4510,4510,0,0,0.0000
19900607,27825.0000,28250.0000,27725.0000,28037.5000,4547,4547,0,0,0.0000
19900608,28125.0000,28375.0000,27862.5000,27937.5000,6246,6246,0,0,0.0000
19900611,27950.0000,28125.0000,27350.0000,27412.5000,8125,8125,0,0,0.0000
19900612,27650.0000,27787.5000,27300.0000,27650.0000,8383,8383,0,0,0.0000
19900613,27250.0000,27425.0000,27225.0000,27400.0000,4737,4737,0,0,0.0000
19900614,27500.0000,27825.0000,27225.0000,27700.0000,5486,5486,0,0,0.0000
19900615,27850.0000,28125.0000,27650.0000,27950.0000,5845,5845,0,0,0.0000
19900618,27900.0000,28850.0000,27875.0000,28475.0000,12862,12862,0,0,0.0000
19900619,28525.0000,28825.0000,28200.0000,28250.0000,7677,7677,0,0,0.0000
19900620,27925.0000,28025.0000,27400.0000,27462.5000,8785,8785,0,0,0.0000
19900621,27562.5000,27750.0000,27350.0000,27650.0000,6930,6930,199009,199009,0.0000
19900622,27275.0000,27425.0000,27175.0000,27275.0000,4398,4398,0,0,-525.0000
19900625,27162.5000,27250.0000,26775.0000,26850.0000,6990,6990,0,0,0.0000
19900626,26312.5000,26725.0000,26312.5000,26712.5000,9114,9114,0,0,0.0000
19900627,26900.0000,27025.0000,26800.0000,27000.0000,4879,4879,0,0,0.0000
19900628,27162.5000,28375.0000,27150.0000,28325.0000,13861,13861,0,0,0.0000
19900629,28475.0000,29000.0000,28400.0000,28500.0000,14387,14387,0,0,0.0000
19900702,28425.0000,28687.5000,28200.0000,28225.0000,5188,5188,0,0,0.0000
19900703,28500.0000,28700.0000,28225.0000,28275.0000,4692,4692,0,0,0.0000
19900705,28525.0000,29237.5000,28500.0000,29012.5000,6884,6884,0,0,0.0000
19900706,29100.0000,29712.5000,29100.0000,29550.0000,7373,7373,0,0,0.0000
19900709,29675.0000,29775.0000,29200.0000,29337.5000,6305,6305,0,0,0.0000
19900710,29625.0000,29675.0000,29050.0000,29187.5000,5581,5581,0,0,0.0000
19900711,29900.0000,30600.0000,29900.0000,30500.0000,10355,10355,0,0,0.0000
19900712,30425.0000,31125.0000,30287.5000,31012.5000,9201,9201,0,0,0.0000
19900713,30800.0000,30975.0000,30637.5000,30737.5000,5686,5686,0,0,0.0000
19900716,30300.0000,30550.0000,30150.0000,30500.0000,6977,6977,0,0,0.0000
19900717,30400.0000,30475.0000,29812.5000,30000.0000,7142,7142,0,0,0.0000
19900718,30075.0000,30200.0000,29800.0000,29825.0000,4132,4132,0,0,0.0000
19900719,29600.0000,29775.0000,29375.0000,29475.0000,5783,5783,0,0,0.0000
19900720,29350.0000,30150.0000,29325.0000,29950.0000,5405,5405,0,0,0.0000
19900723,30200.0000,30325.0000,29475.0000,29775.0000,7114,7114,0,0,0.0000
19900724,29800.0000,30200.0000,29650.0000,30100.0000,5273,5273,0,0,0.0000
19900725,30075.0000,30625.0000,29912.5000,30412.5000,7668,7668,0,0,0.0000
19900726,30675.0000,30975.0000,30575.0000,30725.0000,8085,8085,0,0,0.0000
19900727,31400.0000,31650.0000,31175.0000,31475.0000,9419,9419,0,0,0.0000
19900730,31425.0000,31475.0000,30775.0000,30887.5000,6245,6245,0,0,0.0000
19900731,31275.0000,31450.0000,30900.0000,31150.0000,4097,4097,0,0,0.0000
19900801,31000.0000,32300.0000,30975.0000,32212.5000,7939,7939,0,0,0.0000
