DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,31395.0000,32592.0000,31143.0000,32503.8000,35306,35306,0,0,0.0000
19900103,32970.0000,32970.0000,31752.0000,32844.0000,37271,37271,0,0,0.0000
19900104,32844.0000,32844.0000,29904.0000,30739.8000,40397,40397,0,0,0.0000
19900105,30450.0000,30492.0000,28350.0000,28488.6000,46903,46903,0,0,0.0000
19900108,27510.0000,27888.0000,26460.0000,27018.6000,51161,51161,0,0,0.0000
19900109,27090.0000,28056.0000,26880.0000,27321.0000,41546,41546,0,0,0.0000
19900110,27594.0000,28140.0000,27006.0000,28089.6000,39634,39634,199003,199003,0.0000
19900111,25704.0000,26670.0000,25452.0000,26552.4000,37568,37568,0,0,-2058.0000
19900112,26796.0000,26880.0000,26082.0000,26313.0000,35139,35139,0,0,0.0000
19900115,25704.0000,25704.0000,25473.0000,25473.0000,31820,31820,0,0,0.0000
19900116,24717.0000,25347.0000,24276.0000,24973.2000,36292,36292,0,0,0.0000
19900117,24192.0000,24612.0000,24133.2000,24284.4000,46008,46008,0,0,0.0000
19900118,24948.0000,24948.0000,24297.0000,24641.4000,32055,32055,0,0,0.0000
19900119,24780.0000,25242.0000,24696.0000,25065.6000,21267,21267,0,0,0.0000
19900122,25116.0000,25200.0000,24276.0000,24360.0000,23300,23300,0,0,0.0000
19900123,23856.0000,24234.0000,23814.0000,23969.4000,32882,32882,0,0,0.0000
19900124,23520.0000,24192.0000,23436.0000,24091.2000,33066,33066,0,0,0.0000
19900125,24276.0000,24465.0000,23625.0000,24229.8000,32831,32831,0,0,0.0000
19900126,24045.0000,24423.0000,23940.0000,24259.2000,16605,16605,0,0,0.0000
19900129,24192.0000,24969.0000,24108.0000,24872.4000,27567,27567,0,0,0.0000
19900130,24780.0000,25074.0000,24402.0000,24435.6000,26323,26323,0,0,0.0000
19900131,23982.0000,24276.0000,23898.0000,24175.2000,29860,29860,0,0,0.0000
19900201,24318.0000,24486.0000,23772.0000,23830.8000,21231,21231,0,0,0.0000
19900202,23982.0000,24528.0000,23793.0000,24469.2000,19119,19119,0,0,0.0000
19900205,24465.0000,24465.0000,23436.0000,23499.0000,23664,23664,0,0,0.0000
19900206,23520.0000,23793.0000,23247.0000,23599.8000,19254,19254,0,0,0.0000
19900207,23310.0000,23520.0000,23121.0000,23473.8000,16942,16942,0,0,0.0000
19900208,23562.0000,23730.0000,23142.0000,23234.4000,17282,17282,199004,199004,0.0000
19900209,22806.0000,23100.0000,22743.0000,22940.4000,25064,25064,0,0,-336.0000
19900212,23058.0000,23268.0000,22995.0000,23213.4000,18059,18059,0,0,0.0000
19900213,23289.0000,23856.0000,23289.0000,23578.8000,28442,28442,0,0,0.0000
19900214,23562.0000,24108.0000,23478.0000,24049.2000,23067,23067,0,0,0.0000
19900215,24255.0000,24486.0000,24150.0000,24343.2000,27506,27506,0,0,0.0000
19900216,24108.0000,24318.0000,23604.0000,23860.2000,16328,16328,0,0,0.0000
19900220,23688.0000,24045.0000,23583.0000,23814.0000,16905,16905,0,0,0.0000
19900221,23751.0000,23898.0000,23646.0000,23835.0000,13483,13483,0,0,0.0000
19900222,23919.0000,24234.0000,23856.0000,23931.6000,25121,25121,0,0,0.0000
