DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,86925.0000,86925.0000,85437.5000,85587.5000,49171,49171,0,0,0.0000
19900103,85962.5000,86375.0000,85812.5000,86087.5000,39014,39014,0,0,0.0000
19900104,86712.5000,87875.0000,86550.0000,87600.0000,51940,51940,0,0,0.0000
19900105,86900.0000,87312.5000,86775.0000,86875.0000,30022,30022,0,0,0.0000
19900108,86700.0000,87150.0000,86700.0000,86987.5000,19829,19829,0,0,0.0000
19900109,86475.0000,86587.5000,86150.0000,86437.5000,31429,31429,0,0,0.0000
19900110,86312.5000,86750.0000,86062.5000,86087.5000,35167,35167,0,0,0.0000
19900111,86300.0000,86412.5000,86150.0000,86162.5000,19187,19187,0,0,0.0000
19900112,86112.5000,86587.5000,85900.0000,85912.5000,30315,30315,0,0,0.0000
19900115,86150.0000,86375.0000,86075.0000,86212.5000,11665,11665,0,0,0.0000
19900116,86050.0000,86300.0000,85937.5000,86212.5000,26739,26739,0,0,0.0000
19900117,86050.0000,86500.0000,86037.5000,86212.5000,16209,16209,0,0,0.0000
19900118,85750.0000,86000.0000,85550.0000,85662.5000,26947,26947,0,0,0.0000
19900119,85762.5000,86125.0000,85737.5000,85937.5000,18718,18718,0,0,0.0000
19900122,85712.5000,85750.0000,85487.5000,85525.0000,13688,13688,0,0,0.0000
19900123,85725.0000,85925.0000,85675.0000,85850.0000,18947,18947,0,0,0.0000
19900124,86375.0000,86562.5000,85950.0000,86050.0000,30837,30837,0,0,0.0000
19900125,86387.5000,87187.5000,86362.5000,86912.5000,43130,43130,0,0,0.0000
19900126,87350.0000,87875.0000,87012.5000,87775.0000,53358,53358,0,0,0.0000
19900129,87787.5000,87812.5000,87337.5000,87537.5000,35006,35006,0,0,0.0000
19900130,87150.0000,87300.0000,85500.0000,86362.5000,43974,43974,0,0,0.0000
19900131,86787.5000,86912.5000,86600.0000,86737.5000,27142,27142,0,0,0.0000
19900201,86500.0000,86562.5000,86337.5000,86425.0000,17090,17090,0,0,0.0000
19900202,86262.5000,86337.5000,86025.0000,86050.0000,17427,17427,0,0,0.0000
19900205,86000.0000,86525.0000,85975.0000,86475.0000,17365,17365,0,0,0.0000
19900206,86737.5000,86737.5000,86062.5000,86137.5000,28969,28969,0,0,0.0000
19900207,86212.5000,86262.5000,85912.5000,86012.5000,24332,24332,0,0,0.0000
19900208,86175.0000,86412.5000,86000.0000,86125.0000,22884,22884,0,0,0.0000
19900209,86237.5000,86487.5000,86112.5000,86462.5000,23026,23026,0,0,0.0000
19900212,86662.5000,86912.5000,86625.0000,86725.0000,24970,24970,0,0,0.0000
19900213,86600.0000,86825.0000,86575.0000,86712.5000,18006,18006,0,0,0.0000
19900214,86675.0000,86812.5000,86600.0000,86737.5000,20451,20451,0,0,0.0000
19900215,86662.5000,86725.0000,86400.0000,86500.0000,14437,14437,0,0,0.0000
19900216,86387.5000,86925.0000,86000.0000,86912.5000,26405,26405,0,0,0.0000
19900220,86150.0000,86275.0000,85937.5000,86200.0000,36604,36604,0,0,0.0000
19900221,86075.0000,86212.5000,85962.5000,86025.0000,27688,27688,0,0,0.0000
19900222,86037.5000,86062.5000,85250.0000,85275.0000,53819,53819,0,0,0.0000
19900223,85137.5000,85362.5000,84925.0000,85037.5000,46558,46558,0,0,0.0000
19900226,84175.0000,84262.5000,83975.0000,84112.5000,32741,32741,0,0,0.0000
19900227,83987.5000,84212.5000,83987.5000,84162.5000,22366,22366,0,0,0.0000
19900228,84175.0000,84200.0000,83837.5000,84000.0000,22246,22246,0,0,0.0000
19900301,83600.0000,83837.5000,83437.5000,83475.0000,51998,51998,0,0,0.0000
19900302,83550.0000,83750.0000,83137.5000,83262.5000,42826,42826,0,0,0.0000
19900305,84037.5000,84037.5000,83400.0000,83987.5000,35749,35749,0,0,0.0000
19900306,83625.0000,83712.5000,83437.5000,83500.0000,20395,20395,0,0,0.0000
19900307,82887.5000,82975.0000,82575.0000,82937.5000,38867,38867,199006,199006,0.0000
19900308,83062.5000,83212.5000,82937.5000,82975.0000,22367,22367,0,0,150.0000
19900309,82850.0000,82987.5000,82687.5000,82850.0000,33558,33558,0,0,0.0000
19900312,82350.0000,82462.5000,82100.0000,82175.0000,46910,46910,0,0,0.0000
19900313,81925.0000,82475.0000,81925.0000,82350.0000,65210,65210,0,0,0.0000
19900314,82337.5000,82462.5000,82075.0000,82350.0000,46851,46851,0,0,0.0000
19900315,81750.0000,82337.5000,81725.0000,82312.5000,47023,47023,0,0,0.0000
19900316,82237.5000,82462.5000,81950.0000,82025.0000,39494,39494,0,0,0.0000
19900319,81550.0000,81937.5000,81475.0000,81912.5000,35433,35433,0,0,0.0000
19900320,81675.0000,81725.0000,81062.5000,81175.0000,45017,45017,0,0,0.0000
19900321,81287.5000,81425.0000,81100.0000,81175.0000,19666,19666,0,0,0.0000
19900322,80650.0000,81000.0000,80625.0000,80700.0000,31745,31745,0,0,0.0000
19900323,81200.0000,82000.0000,81025.0000,81287.5000,49374,49374,0,0,0.0000
19900326,80350.0000,80450.0000,79950.0000,80075.0000,31248,31248,0,0,0.0000
19900327,79862.5000,79975.0000,79450.0000,79650.0000,29973,29973,0,0,0.0000
19900328,79100.0000,79200.0000,78625.0000,78825.0000,42904,42904,0,0,0.0000
19900329,79887.5000,80237.5000,79662.5000,80087.5000,36725,36725,0,0,0.0000
19900330,79412.5000,79775.0000,79037.5000,79275.0000,37105,37105,0,0,0.0000
19900402,78550.0000,79000.0000,78362.5000,78912.5000,33458,33458,0,0,0.0000
19900403,79062.5000,79175.0000,78525.0000,78612.5000,26953,26953,0,0,0.0000
19900404,78937.5000,79375.0000,78787.5000,78850.0000,39453,39453,0,0,0.0000
19900405,79487.5000,79675.0000,79325.0000,79600.0000,22874,22874,0,0,0.0000
19900406,79600.0000,79787.5000,79387.5000,79437.5000,24625,24625,0,0,0.0000
19900409,79862.5000,80037.5000,79075.0000,79150.0000,33411,33411,0,0,0.0000
19900410,79225.0000,79412.5000,78912.5000,79387.5000,26692,26692,0,0,0.0000
19900411,79037.5000,79387.5000,79012.5000,79287.5000,25956,25956,0,0,0.0000
19900412,79100.0000,79275.0000,79087.5000,79250.0000,12432,12432,0,0,0.0000
19900416,78487.5000,78737.5000,78387.5000,78587.5000,14460,14460,0,0,0.0000
19900417,78312.5000,78462.5000,78175.0000,78412.5000,24938,24938,0,0,0.0000
19900418,78400.0000,79100.0000,78250.0000,79075.0000,29754,29754,0,0,0.0000
19900419,79787.5000,80250.0000,79662.5000,79900.0000,48958,48958,0,0,0.0000
19900420,79525.0000,79700.0000,79125.0000,79587.5000,26302,26302,0,0,0.0000
19900423,79525.0000,79650.0000,79350.0000,79475.0000,19835,19835,0,0,0.0000
19900424,78950.0000,79037.5000,78787.5000,78800.0000,22652,22652,0,0,0.0000
19900425,78750.0000,79037.5000,78712.5000,78925.0000,21826,21826,0,0,0.0000
19900426,78812.5000,79162.5000,78625.0000,78662.5000,23656,23656,0,0,0.0000
19900427,78912.5000,79000.0000,78587.5000,78600.0000,23048,23048,0,0,0.0000
19900430,78662.5000,78900.0000,78562.5000,78837.5000,15326,15326,0,0,0.0000
19900501,78875.0000,79100.0000,78700.0000,78837.5000,18982,18982,0,0,0.0000
19900502,79262.5000,79312.5000,79062.5000,79137.5000,21569,21569,0,0,0.0000
19900503,79375.0000,79412.5000,79125.0000,79212.5000,19283,19283,0,0,0.0000
19900504,78925.0000,79212.5000,78812.5000,79162.5000,21366,21366,0,0,0.0000
19900507,79387.5000,79487.5000,79100.0000,79162.5000,21895,21895,0,0,0.0000
19900508,79275.0000,79437.5000,79212.5000,79412.5000,18984,18984,0,0,0.0000
19900509,80000.0000,80100.0000,79762.5000,79950.0000,43757,43757,0,0,0.0000
19900510,79675.0000,79812.5000,79600.0000,79787.5000,14971,14971,0,0,0.0000
19900511,81937.5000,82037.5000,81550.0000,81875.0000,52295,52295,0,0,0.0000
19900514,81775.0000,82075.0000,81737.5000,82037.5000,34047,34047,0,0,0.0000
19900515,83025.0000,83112.5000,82587.5000,83000.0000,42712,42712,0,0,0.0000
19900516,82450.0000,82737.5000,82250.0000,82487.5000,27933,27933,0,0,0.0000
19900517,82350.0000,82500.0000,82062.5000,82250.0000,24393,24393,0,0,0.0000
19900518,81862.5000,81962.5000,81700.0000,81725.0000,14846,14846,0,0,0.0000
19900521,81550.0000,81662.5000,81362.5000,81412.5000,17421,17421,0,0,0.0000
19900522,82312.5000,82725.0000,82237.5000,82637.5000,29901,29901,0,0,0.0000
19900523,82650.0000,82950.0000,82537.5000,82575.0000,25949,25949,0,0,0.0000
19900524,82550.0000,82900.0000,82400.0000,82862.5000,16875,16875,0,0,0.0000
19900525,83587.5000,83712.5000,83475.0000,83575.0000,21425,21425,0,0,0.0000
19900529,82875.0000,83000.0000,82687.5000,82825.0000,21916,21916,0,0,0.0000
19900530,82975.0000,83025.0000,82587.5000,82625.0000,18067,18067,0,0,0.0000
19900531,82137.5000,82362.5000,81912.5000,82162.5000,21474,21474,0,0,0.0000
19900601,82137.5000,82975.0000,82137.5000,82437.5000,26201,26201,0,0,0.0000
19900604,81875.0000,81987.5000,81725.0000,81850.0000,18708,18708,0,0,0.0000
19900605,81825.0000,82112.5000,81787.5000,81987.5000,17758,17758,0,0,0.0000
19900606,81900.0000,82062.5000,81900.0000,81962.5000,9661,9661,0,0,0.0000
19900607,81925.0000,82012.5000,81850.0000,81975.0000,10203,10203,199009,199009,0.0000
19900608,81712.5000,81787.5000,81625.0000,81675.0000,22590,22590,0,0,125.0000
19900611,81200.0000,81237.5000,80987.5000,81025.0000,48726,48726,0,0,0.0000
19900612,81200.0000,81212.5000,81012.5000,81050.0000,25611,25611,0,0,0.0000
19900613,81075.0000,81237.5000,80850.0000,80962.5000,31311,31311,0,0,0.0000
19900614,81562.5000,81575.0000,81125.0000,81237.5000,29282,29282,0,0,0.0000
19900615,81075.0000,81575.0000,80812.5000,81400.0000,52445,52445,0,0,0.0000
19900618,81262.5000,81587.5000,81262.5000,81487.5000,26956,26956,0,0,0.0000
19900619,81362.5000,81675.0000,81337.5000,81650.0000,17214,17214,0,0,0.0000
19900620,81350.0000,81437.5000,81275.0000,81400.0000,12168,12168,0,0,0.0000
19900621,80950.0000,81037.5000,80862.5000,81000.0000,14363,14363,0,0,0.0000
19900622,80900.0000,80987.5000,80825.0000,80887.5000,11188,11188,0,0,0.0000
19900625,80450.0000,80687.5000,80450.0000,80550.0000,17667,17667,0,0,0.0000
19900626,80850.0000,81000.0000,80662.5000,80962.5000,23545,23545,0,0,0.0000
19900627,81237.5000,81237.5000,81075.0000,81137.5000,11367,11367,0,0,0.0000
19900628,81437.5000,82012.5000,81375.0000,81825.0000,37953,37953,0,0,0.0000
19900629,82237.5000,82562.5000,82125.0000,82325.0000,28301,28301,0,0,0.0000
19900702,82862.5000,82987.5000,82687.5000,82950.0000,24424,24424,0,0,0.0000
19900703,82587.5000,83012.5000,82512.5000,82975.0000,23014,23014,0,0,0.0000
19900705,83150.0000,83237.5000,82900.0000,83075.0000,23636,23636,0,0,0.0000
19900706,82850.0000,83150.0000,82475.0000,82587.5000,24372,24372,0,0,0.0000
19900709,83025.0000,83037.5000,82750.0000,82800.0000,13607,13607,0,0,0.0000
19900710,83900.0000,84475.0000,83812.5000,84462.5000,48939,48939,0,0,0.0000
19900711,84512.5000,84562.5000,84137.5000,84462.5000,38724,38724,0,0,0.0000
19900712,83987.5000,85312.5000,83937.5000,84762.5000,39089,39089,0,0,0.0000
19900713,84775.0000,84962.5000,84437.5000,84500.0000,23712,23712,0,0,0.0000
19900716,84612.5000,84787.5000,84375.0000,84400.0000,19044,19044,0,0,0.0000
19900717,84425.0000,84625.0000,84275.0000,84612.5000,24233,24233,0,0,0.0000
19900718,84950.0000,85125.0000,84637.5000,84675.0000,28385,28385,0,0,0.0000
19900719,84775.0000,84850.0000,84450.0000,84587.5000,15539,15539,0,0,0.0000
19900720,83925.0000,84100.0000,83850.0000,84025.0000,19398,19398,0,0,0.0000
19900723,84050.0000,84450.0000,84012.5000,84400.0000,21214,21214,0,0,0.0000
19900724,84150.0000,84437.5000,84112.5000,84250.0000,18189,18189,0,0,0.0000
19900725,83900.0000,84087.5000,83325.0000,83412.5000,33322,33322,0,0,0.0000
19900726,83187.5000,83287.5000,82862.5000,83087.5000,27654,27654,0,0,0.0000
19900727,82987.5000,84000.0000,82975.0000,83925.0000,35224,35224,0,0,0.0000
19900730,84375.0000,84562.5000,84262.5000,84512.5000,20584,20584,0,0,0.0000
19900731,85400.0000,85787.5000,85275.0000,85737.5000,39153,39153,0,0,0.0000
19900801,85300.0000,85412.5000,84687.5000,85075.0000,40831,40831,0,0,0.0000
19900802,83000.0000,84175.0000,82837.5000,83712.5000,50765,50765,0,0,0.0000
19900803,83850.0000,84125.0000,83100.0000,83325.0000,35955,35955,0,0,0.0000
19900806,83625.0000,83862.5000,83037.5000,83237.5000,25998,25998,0,0,0.0000
19900807,83650.0000,83812.5000,83000.0000,83125.0000,29741,29741,0,0,0.0000
19900808,83100.0000,83587.5000,83050.0000,83437.5000,22580,22580,0,0,0.0000
19900809,83525.0000,83650.0000,83412.5000,83462.5000,15881,15881,0,0,0.0000
19900810,83287.5000,83525.0000,83087.5000,83100.0000,18651,18651,0,0,0.0000
19900813,83175.0000,83350.0000,83087.5000,83225.0000,14332,14332,0,0,0.0000
19900814,83412.5000,84112.5000,83362.5000,84075.0000,25461,25461,0,0,0.0000
19900815,84962.5000,85250.0000,84725.0000,84775.0000,38275,38275,0,0,0.0000
19900816,84725.0000,84950.0000,84212.5000,84925.0000,33362,33362,0,0,0.0000
19900817,84612.5000,84962.5000,84500.0000,84812.5000,20278,20278,0,0,0.0000
19900820,85412.5000,85475.0000,85075.0000,85450.0000,25180,25180,0,0,0.0000
19900821,85175.0000,85525.0000,85037.5000,85212.5000,25575,25575,0,0,0.0000
19900822,85712.5000,86087.5000,85537.5000,85587.5000,33081,33081,0,0,0.0000
19900823,85625.0000,85762.5000,85287.5000,85587.5000,24179,24179,0,0,0.0000
19900824,85500.0000,85725.0000,85200.0000,85262.5000,17318,17318,0,0,0.0000
19900827,86525.0000,86787.5000,86212.5000,86712.5000,35372,35372,0,0,0.0000
19900828,87387.5000,87387.5000,86950.0000,87062.5000,30072,30072,0,0,0.0000
19900829,86837.5000,87150.0000,86775.0000,87012.5000,20832,20832,0,0,0.0000
19900830,86475.0000,86900.0000,86425.0000,86700.0000,18201,18201,0,0,0.0000
19900831,87137.5000,87287.5000,86812.5000,86975.0000,23037,23037,0,0,0.0000
19900904,86887.5000,87275.0000,86850.0000,87162.5000,30274,30274,0,0,0.0000
19900905,88237.5000,88312.5000,88075.0000,88287.5000,39022,39022,0,0,0.0000
19900906,88637.5000,88912.5000,88400.0000,88837.5000,31186,31186,199012,199012,0.0000
19900907,89000.0000,89300.0000,88762.5000,89275.0000,27656,27656,0,0,-12.5000
19900910,89937.5000,89975.0000,89550.0000,89562.5000,57049,57049,0,0,0.0000
19900911,89012.5000,89537.5000,88850.0000,89050.0000,46972,46972,0,0,0.0000
19900912,90587.5000,90850.0000,90337.5000,90500.0000,57042,57042,0,0,0.0000
19900913,90337.5000,91712.5000,90212.5000,91687.5000,47035,47035,0,0,0.0000
19900914,91400.0000,91625.0000,90912.5000,91237.5000,40377,40377,0,0,0.0000
19900917,90937.5000,91562.5000,90912.5000,91525.0000,38595,38595,0,0,0.0000
19900918,90900.0000,91275.0000,90525.0000,90562.5000,28787,28787,0,0,0.0000
19900919,91075.0000,91225.0000,90537.5000,91000.0000,29785,29785,0,0,0.0000
19900920,91300.0000,91487.5000,90725.0000,90762.5000,18568,18568,0,0,0.0000
19900921,91425.0000,91625.0000,91125.0000,91512.5000,26039,26039,0,0,0.0000
19900924,92212.5000,92237.5000,90750.0000,90987.5000,43853,43853,0,0,0.0000
19900925,91275.0000,91512.5000,90787.5000,91362.5000,33372,33372,0,0,0.0000
19900926,91150.0000,91412.5000,90925.0000,91287.5000,21428,21428,0,0,0.0000
19900927,90537.5000,90625.0000,90200.0000,90475.0000,40459,40459,0,0,0.0000
19900928,90375.0000,90637.5000,90200.0000,90225.0000,23057,23057,0,0,0.0000
19901001,91037.5000,91562.5000,91012.5000,91362.5000,35472,35472,0,0,0.0000
19901002,91287.5000,91400.0000,91075.0000,91350.0000,24448,24448,0,0,0.0000
19901003,91400.0000,92275.0000,91350.0000,91937.5000,36023,36023,0,0,0.0000
19901004,92937.5000,93500.0000,92825.0000,93337.5000,33895,33895,0,0,0.0000
19901005,93875.0000,94750.0000,93787.5000,94562.5000,55921,55921,0,0,0.0000
19901008,95612.5000,95937.5000,95500.0000,95775.0000,20016,20016,0,0,0.0000
19901009,95712.5000,96100.0000,95437.5000,95650.0000,34698,34698,0,0,0.0000
19901010,96025.0000,96575.0000,95775.0000,96487.5000,26698,26698,0,0,0.0000
19901011,95875.0000,96637.5000,95787.5000,96587.5000,26981,26981,0,0,0.0000
19901012,97100.0000,97250.0000,96912.5000,96925.0000,25378,25378,0,0,0.0000
19901015,97762.5000,97937.5000,97512.5000,97887.5000,18323,18323,0,0,0.0000
19901016,97250.0000,98800.0000,97125.0000,98562.5000,32810,32810,0,0,0.0000
19901017,100062.5000,100150.0000,99387.5000,99550.0000,44321,44321,0,0,0.0000
19901018,100087.5000,100575.0000,99462.5000,100375.0000,47238,47238,0,0,0.0000
19901019,98212.5000,99625.0000,98087.5000,99237.5000,37031,37031,0,0,0.0000
19901022,99150.0000,99337.5000,98762.5000,99000.0000,27497,27497,0,0,0.0000
19901023,97900.0000,98612.5000,97575.0000,97687.5000,31859,31859,0,0,0.0000
19901024,97100.0000,99037.5000,97100.0000,98787.5000,43120,43120,0,0,0.0000
19901025,98600.0000,99000.0000,97437.5000,97675.0000,37305,37305,0,0,0.0000
19901026,97787.5000,98012.5000,97312.5000,97375.0000,24481,24481,0,0,0.0000
19901029,97500.0000,97662.5000,97087.5000,97275.0000,20642,20642,0,0,0.0000
19901030,96587.5000,97312.5000,95950.0000,97112.5000,52465,52465,0,0,0.0000
19901031,96400.0000,96862.5000,96125.0000,96150.0000,31151,31151,0,0,0.0000
19901101,95250.0000,96037.5000,95250.0000,95725.0000,41594,41594,0,0,0.0000
19901102,97225.0000,97825.0000,96712.5000,97800.0000,39673,39673,0,0,0.0000
19901105,98225.0000,98925.0000,98025.0000,98675.0000,31681,31681,0,0,0.0000
19901106,97912.5000,98412.5000,97475.0000,97525.0000,34893,34893,0,0,0.0000
19901107,97900.0000,98225.0000,96812.5000,96975.0000,39365,39365,0,0,0.0000
19901108,96125.0000,96637.5000,96062.5000,96212.5000,30472,30472,0,0,0.0000
19901109,96400.0000,96950.0000,96150.0000,96250.0000,32473,32473,0,0,0.0000
19901112,97200.0000,97400.0000,96850.0000,97362.5000,15167,15167,0,0,0.0000
19901113,96775.0000,97100.0000,96275.0000,96412.5000,31073,31073,0,0,0.0000
19901114,96475.0000,97000.0000,96000.0000,96937.5000,36147,36147,0,0,0.0000
19901115,96887.5000,97175.0000,96275.0000,96337.5000,30897,30897,0,0,0.0000
19901116,96412.5000,96912.5000,96350.0000,96450.0000,31459,31459,0,0,0.0000
19901119,97500.0000,97500.0000,96812.5000,97075.0000,39063,39063,0,0,0.0000
19901120,97175.0000,97250.0000,96762.5000,96850.0000,21362,21362,0,0,0.0000
19901121,97937.5000,98337.5000,97887.5000,98325.0000,42358,42358,0,0,0.0000
19901123,98225.0000,98400.0000,98012.5000,98362.5000,12742,12742,0,0,0.0000
19901126,96925.0000,97137.5000,96787.5000,96837.5000,26279,26279,0,0,0.0000
19901127,97062.5000,97662.5000,97000.0000,97450.0000,25482,25482,0,0,0.0000
19901128,96737.5000,96775.0000,96075.0000,96100.0000,49385,49385,0,0,0.0000
19901129,95687.5000,95762.5000,93487.5000,93662.5000,55811,55811,0,0,0.0000
19901130,93775.0000,94312.5000,93375.0000,94225.0000,46999,46999,0,0,0.0000
19901203,92937.5000,93375.0000,92712.5000,92762.5000,41862,41862,0,0,0.0000
19901204,93375.0000,93425.0000,93087.5000,93425.0000,39527,39527,0,0,0.0000
19901205,93275.0000,93312.5000,92825.0000,93275.0000,29811,29811,0,0,0.0000
19901206,94362.5000,95250.0000,94187.5000,94337.5000,45196,45196,199103,199103,0.0000
19901207,94750.0000,95750.0000,94650.0000,95550.0000,41838,41838,0,0,0.0000
19901210,94875.0000,94937.5000,94312.5000,94425.0000,38230,38230,0,0,0.0000
19901211,94662.5000,95300.0000,94187.5000,94212.5000,33665,33665,0,0,0.0000
19901212,94787.5000,94937.5000,94587.5000,94875.0000,23985,23985,0,0,0.0000
19901213,94950.0000,95012.5000,94387.5000,94462.5000,27730,27730,0,0,0.0000
19901214,94337.5000,94462.5000,93712.5000,93850.0000,36577,36577,0,0,0.0000
19901217,93812.5000,94062.5000,93650.0000,93887.5000,28292,28292,0,0,0.0000
19901218,93962.5000,94337.5000,93675.0000,93737.5000,13694,13694,0,0,0.0000
19901219,93412.5000,93412.5000,92987.5000,93150.0000,19919,19919,0,0,0.0000
19901220,92937.5000,93225.0000,92525.0000,92575.0000,19761,19761,0,0,0.0000
19901221,92162.5000,92562.5000,91837.5000,92387.5000,20629,20629,0,0,0.0000
19901224,92000.0000,92037.5000,91712.5000,91862.5000,6438,6438,0,0,0.0000
19901226,91750.0000,92250.0000,91750.0000,91875.0000,5818,5818,0,0,0.0000
19901227,91525.0000,91775.0000,91412.5000,91675.0000,9981,9981,0,0,0.0000
19901228,92212.5000,92737.5000,92075.0000,92587.5000,15860,15860,0,0,0.0000
19901231,92050.0000,92437.5000,91712.5000,92300.0000,7773,7773,0,0,0.0000
19910102,92962.5000,93300.0000,92512.5000,92862.5000,26731,26731,0,0,0.0000
19910103,93712.5000,94150.0000,93525.0000,93912.5000,32742,32742,0,0,0.0000
19910104,93712.5000,93850.0000,92275.0000,92625.0000,34095,34095,0,0,0.0000
19910107,91275.0000,91825.0000,91162.5000,91687.5000,29856,29856,0,0,0.0000
