DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,29839.0000,30450.0000,29681.0000,30210.0000,2649,2649,0,0,0.0000
19900103,30394.0000,30844.0000,30300.0000,30656.0000,5409,5409,0,0,0.0000
19900104,30656.0000,30975.0000,30656.0000,30930.0000,4649,4649,0,0,0.0000
19900105,31013.0000,31388.0000,30000.0000,30435.0000,9624,9624,0,0,0.0000
19900108,30488.0000,30713.0000,30300.0000,30518.0000,3373,3373,0,0,0.0000
19900109,30150.0000,31125.0000,30150.0000,31065.0000,7031,7031,0,0,0.0000
19900110,31050.0000,31313.0000,30563.0000,30964.0000,9250,9250,0,0,0.0000
19900111,30563.0000,30731.0000,30281.0000,30600.0000,8459,8459,0,0,0.0000
19900112,30188.0000,30375.0000,29513.0000,29640.0000,8668,8668,0,0,0.0000
19900115,29419.0000,29925.0000,29063.0000,29085.0000,9465,9465,0,0,0.0000
19900116,29156.0000,29344.0000,28725.0000,29081.0000,7648,7648,0,0,0.0000
19900117,29288.0000,29775.0000,29100.0000,29535.0000,5168,5168,0,0,0.0000
19900118,29531.0000,29794.0000,29363.0000,29764.0000,4908,4908,0,0,0.0000
19900119,29775.0000,30544.0000,29719.0000,30491.0000,7430,7430,0,0,0.0000
19900122,30413.0000,30750.0000,30281.0000,30559.0000,5207,5207,0,0,0.0000
19900123,30469.0000,30563.0000,30000.0000,30023.0000,4900,4900,0,0,0.0000
19900124,29888.0000,30506.0000,29831.0000,30199.0000,4785,4785,0,0,0.0000
19900125,30713.0000,30769.0000,30225.0000,30491.0000,3843,3843,0,0,0.0000
19900126,30469.0000,30731.0000,30300.0000,30720.0000,4342,4342,0,0,0.0000
19900129,30694.0000,30825.0000,30263.0000,30300.0000,5327,5327,0,0,0.0000
19900130,30000.0000,30281.0000,29963.0000,30139.0000,3951,3951,0,0,0.0000
19900131,29906.0000,30375.0000,29906.0000,29996.0000,4137,4137,0,0,0.0000
19900201,29925.0000,30281.0000,29925.0000,30240.0000,3610,3610,0,0,0.0000
19900202,30525.0000,30600.0000,30075.0000,30143.0000,5851,5851,0,0,0.0000
19900205,29981.0000,30281.0000,29850.0000,30015.0000,5028,5028,0,0,0.0000
19900206,29906.0000,30075.0000,29869.0000,30015.0000,5624,5624,0,0,0.0000
19900207,30094.0000,30675.0000,30019.0000,30623.0000,7882,7882,0,0,0.0000
19900208,30656.0000,30938.0000,30563.0000,30784.0000,9120,9120,199005,199005,0.0000
19900209,31575.0000,32700.0000,31294.0000,32531.0000,16595,16595,0,0,637.5000
19900212,32475.0000,33656.0000,32475.0000,33019.0000,13803,13803,0,0,0.0000
19900213,33113.0000,33525.0000,32663.0000,33105.0000,12316,12316,0,0,0.0000
19900214,33750.0000,34275.0000,32813.0000,33041.0000,15724,15724,0,0,0.0000
19900215,33300.0000,33563.0000,32531.0000,32745.0000,10922,10922,0,0,0.0000
19900216,32550.0000,33525.0000,32550.0000,33274.0000,11110,11110,0,0,0.0000
19900220,33394.0000,33825.0000,33394.0000,33480.0000,7943,7943,0,0,0.0000
19900221,33656.0000,34350.0000,33263.0000,34316.0000,9560,9560,0,0,0.0000
19900222,34406.0000,35025.0000,33956.0000,34980.0000,10077,10077,0,0,0.0000
19900223,35250.0000,35400.0000,34575.0000,34826.0000,11406,11406,0,0,0.0000
19900226,34388.0000,35138.0000,34388.0000,34748.0000,2387,2387,0,0,0.0000
19900227,34313.0000,34763.0000,34031.0000,34144.0000,6817,6817,0,0,0.0000
19900228,34200.0000,35213.0000,34069.0000,35171.0000,8340,8340,0,0,0.0000
19900301,35250.0000,36563.0000,35250.0000,36184.0000,11198,11198,0,0,0.0000
19900302,36469.0000,37313.0000,36413.0000,37305.0000,11548,11548,0,0,0.0000
19900305,37350.0000,39356.0000,37350.0000,39090.0000,12371,12371,0,0,0.0000
19900306,38888.0000,39563.0000,37500.0000,38003.0000,14804,14804,0,0,0.0000
19900307,38475.0000,39131.0000,38006.0000,38468.0000,9536,9536,0,0,0.0000
19900308,38719.0000,39281.0000,38288.0000,38314.0000,8980,8980,0,0,0.0000
19900309,37219.0000,37838.0000,35906.0000,35944.0000,14088,14088,0,0,0.0000
19900312,35850.0000,36469.0000,34631.0000,35576.0000,15491,15491,0,0,0.0000
19900313,35906.0000,36938.0000,35813.0000,36698.0000,9591,9591,0,0,0.0000
19900314,37125.0000,37313.0000,35250.0000,35261.0000,11822,11822,0,0,0.0000
19900315,34875.0000,36281.0000,34875.0000,36143.0000,8544,8544,0,0,0.0000
19900316,34969.0000,36000.0000,33563.0000,33900.0000,15809,15809,0,0,0.0000
19900319,33000.0000,33844.0000,32738.0000,32899.0000,13354,13354,0,0,0.0000
19900320,33544.0000,34575.0000,33450.0000,34204.0000,10918,10918,0,0,0.0000
19900321,33900.0000,34425.0000,33563.0000,33773.0000,7543,7543,0,0,0.0000
19900322,33563.0000,34988.0000,33563.0000,34729.0000,8352,8352,0,0,0.0000
19900323,35100.0000,35363.0000,33413.0000,33488.0000,11181,11181,0,0,0.0000
19900326,33394.0000,34406.0000,33300.0000,34140.0000,5858,5858,0,0,0.0000
19900327,34425.0000,34650.0000,33469.0000,33761.0000,8924,8924,0,0,0.0000
19900328,33656.0000,34650.0000,33656.0000,34050.0000,5666,5666,0,0,0.0000
19900329,34388.0000,34425.0000,33713.0000,34275.0000,4154,4154,0,0,0.0000
19900330,34219.0000,34650.0000,34181.0000,34553.0000,4191,4191,0,0,0.0000
19900402,34688.0000,34819.0000,34238.0000,34294.0000,3554,3554,0,0,0.0000
19900403,33975.0000,34594.0000,33975.0000,34511.0000,3580,3580,0,0,0.0000
19900404,34706.0000,35625.0000,34706.0000,35621.0000,9092,9092,0,0,0.0000
19900405,36000.0000,36938.0000,36000.0000,36281.0000,12342,12342,0,0,0.0000
19900406,35925.0000,36525.0000,35644.0000,35876.0000,7673,7673,0,0,0.0000
19900409,35813.0000,36563.0000,35775.0000,36424.0000,6772,6772,0,0,0.0000
19900410,36938.0000,37425.0000,36638.0000,36664.0000,9652,9652,199007,199007,0.0000
19900411,37219.0000,37819.0000,36300.0000,36446.0000,10552,10552,0,0,656.2500
19900412,36488.0000,36900.0000,36150.0000,36705.0000,6401,6401,0,0,0.0000
19900416,36806.0000,37313.0000,36750.0000,37106.0000,3896,3896,0,0,0.0000
19900417,36788.0000,37088.0000,36525.0000,36698.0000,5910,5910,0,0,0.0000
19900418,36225.0000,36450.0000,35569.0000,35584.0000,12308,12308,0,0,0.0000
19900419,35494.0000,36000.0000,35494.0000,35936.0000,13033,13033,0,0,0.0000
19900420,36094.0000,37350.0000,36094.0000,36626.0000,8361,8361,0,0,0.0000
19900423,36938.0000,37163.0000,36638.0000,36851.0000,3833,3833,0,0,0.0000
19900424,36844.0000,36938.0000,36281.0000,36510.0000,4646,4646,0,0,0.0000
19900425,36225.0000,36338.0000,35288.0000,35303.0000,8365,8365,0,0,0.0000
19900426,35175.0000,35831.0000,35138.0000,35411.0000,7345,7345,0,0,0.0000
19900427,35381.0000,35550.0000,35063.0000,35183.0000,3256,3256,0,0,0.0000
19900430,35025.0000,35419.0000,34913.0000,35149.0000,4070,4070,0,0,0.0000
19900501,35025.0000,35550.0000,34688.0000,34808.0000,3935,3935,0,0,0.0000
19900502,34406.0000,34819.0000,34406.0000,34628.0000,4949,4949,0,0,0.0000
19900503,34781.0000,35250.0000,34575.0000,34703.0000,5776,5776,0,0,0.0000
19900504,34800.0000,35063.0000,34406.0000,34661.0000,4414,4414,0,0,0.0000
19900507,34650.0000,34913.0000,34444.0000,34601.0000,2409,2409,0,0,0.0000
19900508,34650.0000,35138.0000,34650.0000,35104.0000,4086,4086,0,0,0.0000
19900509,35438.0000,35531.0000,35194.0000,35359.0000,3491,3491,0,0,0.0000
19900510,35231.0000,35419.0000,34800.0000,34939.0000,4184,4184,0,0,0.0000
19900511,34538.0000,34688.0000,33863.0000,34279.0000,9899,9899,0,0,0.0000
19900514,33825.0000,34388.0000,33769.0000,34099.0000,4508,4508,0,0,0.0000
19900515,34238.0000,34969.0000,34238.0000,34961.0000,5517,5517,0,0,0.0000
19900516,35438.0000,36075.0000,34988.0000,35711.0000,10973,10973,0,0,0.0000
19900517,35531.0000,36038.0000,35363.0000,35561.0000,6760,6760,0,0,0.0000
19900518,35175.0000,36169.0000,35175.0000,35929.0000,8391,8391,0,0,0.0000
19900521,36094.0000,36600.0000,36056.0000,36289.0000,5989,5989,0,0,0.0000
19900522,36375.0000,36488.0000,35925.0000,36469.0000,5490,5490,0,0,0.0000
19900523,36488.0000,36825.0000,36094.0000,36131.0000,6331,6331,0,0,0.0000
19900524,35925.0000,36600.0000,35925.0000,36488.0000,3284,3284,0,0,0.0000
19900525,36656.0000,36863.0000,36225.0000,36450.0000,5061,5061,0,0,0.0000
19900529,36338.0000,36488.0000,35531.0000,35681.0000,6224,6224,0,0,0.0000
19900530,35550.0000,36263.0000,35550.0000,36038.0000,5908,5908,0,0,0.0000
19900531,35963.0000,36113.0000,35025.0000,35269.0000,10542,10542,0,0,0.0000
19900601,35063.0000,35588.0000,34894.0000,34913.0000,7480,7480,0,0,0.0000
19900604,34800.0000,35119.0000,34725.0000,34838.0000,3016,3016,0,0,0.0000
19900605,34706.0000,35681.0000,34706.0000,35494.0000,6292,6292,0,0,0.0000
19900606,35663.0000,35700.0000,35063.0000,35231.0000,4703,4703,0,0,0.0000
19900607,34988.0000,35775.0000,34988.0000,35531.0000,5956,5956,0,0,0.0000
19900608,35269.0000,35550.0000,34856.0000,34894.0000,6613,6613,199009,199009,0.0000
19900611,35531.0000,35625.0000,35100.0000,35288.0000,6034,6034,0,0,637.5000
19900612,35063.0000,35438.0000,35063.0000,35325.0000,8086,8086,0,0,0.0000
19900613,35438.0000,35569.0000,35250.0000,35250.0000,5252,5252,0,0,0.0000
19900614,34988.0000,35044.0000,33394.0000,33525.0000,16072,16072,0,0,0.0000
19900615,33600.0000,34163.0000,33469.0000,33881.0000,9545,9545,0,0,0.0000
19900618,33788.0000,34256.0000,33675.0000,34200.0000,5956,5956,0,0,0.0000
19900619,34031.0000,34406.0000,33975.0000,34069.0000,8750,8750,0,0,0.0000
19900620,33769.0000,33844.0000,33075.0000,33413.0000,12253,12253,0,0,0.0000
19900621,33413.0000,33900.0000,33281.0000,33488.0000,7573,7573,0,0,0.0000
19900622,33300.0000,33581.0000,32738.0000,33038.0000,7410,7410,0,0,0.0000
19900625,33075.0000,33300.0000,33056.0000,33188.0000,2694,2694,0,0,0.0000
19900626,32963.0000,33094.0000,32306.0000,32831.0000,6363,6363,0,0,0.0000
19900627,32663.0000,33450.0000,32663.0000,33131.0000,5289,5289,0,0,0.0000
19900628,33300.0000,33319.0000,32475.0000,32644.0000,5766,5766,0,0,0.0000
19900629,32363.0000,32588.0000,31969.0000,32100.0000,6502,6502,0,0,0.0000
19900702,31913.0000,32925.0000,31800.0000,32569.0000,5225,5225,0,0,0.0000
19900703,32906.0000,33263.0000,32719.0000,33188.0000,5481,5481,0,0,0.0000
19900705,34313.0000,34500.0000,33075.0000,33225.0000,8322,8322,0,0,0.0000
19900706,32906.0000,33150.0000,32438.0000,32813.0000,4580,4580,0,0,0.0000
19900709,32475.0000,32775.0000,32363.0000,32569.0000,3054,3054,0,0,0.0000
19900710,32644.0000,33225.0000,32644.0000,33188.0000,5425,5425,0,0,0.0000
19900711,33375.0000,33600.0000,32588.0000,33000.0000,6263,6263,0,0,0.0000
19900712,32813.0000,33244.0000,32063.0000,32231.0000,7272,7272,0,0,0.0000
19900713,31950.0000,32344.0000,31688.0000,31931.0000,6098,6098,0,0,0.0000
19900716,32063.0000,32606.0000,32063.0000,32344.0000,3665,3665,0,0,0.0000
19900717,32438.0000,32681.0000,32250.0000,32344.0000,4971,4971,0,0,0.0000
19900718,32738.0000,33338.0000,32475.0000,32981.0000,7244,7244,0,0,0.0000
19900719,33375.0000,33450.0000,32813.0000,33319.0000,6543,6543,0,0,0.0000
19900720,33188.0000,33281.0000,32475.0000,32588.0000,4289,4289,0,0,0.0000
19900723,32531.0000,32775.0000,32363.0000,32681.0000,2546,2546,0,0,0.0000
19900724,32850.0000,33000.0000,32550.0000,32981.0000,4016,4016,0,0,0.0000
19900725,32925.0000,33356.0000,32850.0000,33300.0000,5699,5699,0,0,0.0000
19900726,33225.0000,34088.0000,33225.0000,34069.0000,10744,10744,0,0,0.0000
19900727,34050.0000,34463.0000,33731.0000,34406.0000,7723,7723,0,0,0.0000
19900730,34594.0000,34819.0000,33694.0000,33919.0000,7858,7858,0,0,0.0000
19900731,33938.0000,35175.0000,33938.0000,35175.0000,10749,10749,0,0,0.0000
19900801,35156.0000,35494.0000,34744.0000,34969.0000,9391,9391,0,0,0.0000
19900802,34125.0000,34875.0000,34125.0000,34538.0000,5880,5880,0,0,0.0000
19900803,34444.0000,34556.0000,33994.0000,34031.0000,6218,6218,0,0,0.0000
19900806,33919.0000,34744.0000,33806.0000,34631.0000,6315,6315,0,0,0.0000
19900807,34725.0000,35100.0000,34500.0000,34725.0000,6207,6207,0,0,0.0000
