DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,30940.0000,31050.0000,30880.0000,30980.0000,7781,36233,0,0,0.0000
19900103,30820.0000,30880.0000,30640.0000,30860.0000,13262,35995,0,0,0.0000
19900104,31080.0000,31080.0000,30660.0000,30780.0000,20986,36380,0,0,0.0000
19900105,30730.0000,30850.0000,30660.0000,30750.0000,12345,36782,0,0,0.0000
19900108,30600.0000,30700.0000,30540.0000,30670.0000,10550,36537,0,0,0.0000
19900109,30620.0000,30670.0000,30530.0000,30590.0000,9418,36205,0,0,0.0000
19900110,30500.0000,30870.0000,30450.0000,30850.0000,18649,36377,0,0,0.0000
19900111,30840.0000,31040.0000,30810.0000,31010.0000,20456,36453,0,0,0.0000
19900112,30940.0000,31200.0000,30760.0000,30880.0000,24194,36026,0,0,0.0000
19900115,30800.0000,30950.0000,30760.0000,30910.0000,10148,36114,0,0,0.0000
19900116,30880.0000,31120.0000,30800.0000,31040.0000,17206,36039,0,0,0.0000
19900117,31080.0000,31300.0000,31050.0000,31290.0000,22384,35384,0,0,0.0000
19900118,31320.0000,31560.0000,31300.0000,31520.0000,25695,34197,0,0,0.0000
19900119,31560.0000,31750.0000,31480.0000,31740.0000,20461,32337,0,0,0.0000
19900122,31640.0000,31740.0000,31590.0000,31700.0000,14517,32348,0,0,0.0000
19900123,31760.0000,31760.0000,31400.0000,31460.0000,23853,29100,0,0,0.0000
19900124,31360.0000,31510.0000,31280.0000,31480.0000,20248,26532,0,0,0.0000
19900125,31760.0000,32020.0000,31760.0000,31800.0000,32775,24961,199004,199004,0.0000
19900126,30700.0000,30850.0000,30600.0000,30730.0000,23063,39248,0,0,-1100.0000
19900129,30750.0000,30810.0000,30620.0000,30740.0000,14502,40330,0,0,0.0000
19900130,30760.0000,30910.0000,30710.0000,30830.0000,17543,41314,0,0,0.0000
19900131,30760.0000,30790.0000,30400.0000,30410.0000,20499,41951,0,0,0.0000
19900201,30440.0000,30640.0000,30370.0000,30440.0000,20070,41299,0,0,0.0000
19900202,30500.0000,30600.0000,30390.0000,30590.0000,12519,41611,0,0,0.0000
19900205,30620.0000,30920.0000,30610.0000,30810.0000,17802,42401,0,0,0.0000
19900206,30820.0000,31060.0000,30790.0000,30910.0000,21787,43783,0,0,0.0000
19900207,30840.0000,30990.0000,30780.0000,30970.0000,14899,44203,0,0,0.0000
19900208,30980.0000,31100.0000,30930.0000,30990.0000,15881,44351,0,0,0.0000
19900209,30880.0000,30930.0000,30790.0000,30840.0000,14403,45695,0,0,0.0000
19900212,30810.0000,31060.0000,30710.0000,31030.0000,14620,46207,0,0,0.0000
19900213,31030.0000,31060.0000,30920.0000,30970.0000,13732,46820,0,0,0.0000
19900214,31000.0000,31040.0000,30920.0000,30950.0000,13959,47507,0,0,0.0000
19900215,30980.0000,31140.0000,30960.0000,31090.0000,14645,48841,0,0,0.0000
19900216,31080.0000,31150.0000,31020.0000,31050.0000,17842,50064,0,0,0.0000
19900220,30760.0000,30920.0000,30660.0000,30850.0000,26059,51174,0,0,0.0000
19900221,30800.0000,30800.0000,30250.0000,30250.0000,35361,49740,0,0,0.0000
19900222,30200.0000,30320.0000,30050.0000,30220.0000,34694,47731,0,0,0.0000
19900223,30250.0000,30300.0000,30080.0000,30220.0000,20108,46736,0,0,0.0000
19900226,30180.0000,30300.0000,30100.0000,30110.0000,11860,46462,0,0,0.0000
19900227,30080.0000,30160.0000,29900.0000,30150.0000,16618,45325,0,0,0.0000
19900228,30170.0000,30290.0000,30150.0000,30180.0000,12823,44580,0,0,0.0000
19900301,30160.0000,30380.0000,30160.0000,30370.0000,10878,44965,0,0,0.0000
19900302,30390.0000,30520.0000,30390.0000,30500.0000,13433,45426,0,0,0.0000
19900305,30600.0000,30670.0000,30530.0000,30600.0000,11730,45850,0,0,0.0000
19900306,30680.0000,30740.0000,30580.0000,30680.0000,14545,45168,0,0,0.0000
19900307,30680.0000,30740.0000,30580.0000,30670.0000,14943,45173,0,0,0.0000
19900308,30680.0000,30920.0000,30650.0000,30910.0000,20807,45476,0,0,0.0000
19900309,30940.0000,31120.0000,30930.0000,31050.0000,21231,43928,0,0,0.0000
19900312,31040.0000,31220.0000,30960.0000,31210.0000,18047,43771,0,0,0.0000
19900313,31240.0000,31280.0000,31140.0000,31250.0000,23683,43827,0,0,0.0000
19900314,31250.0000,31310.0000,30970.0000,31010.0000,19714,44452,0,0,0.0000
19900315,31040.0000,31100.0000,30910.0000,30920.0000,14190,44122,0,0,0.0000
19900316,30940.0000,31020.0000,30940.0000,30990.0000,8609,43106,0,0,0.0000
19900319,31150.0000,31340.0000,31140.0000,31260.0000,17510,42204,0,0,0.0000
19900320,31180.0000,31200.0000,30700.0000,30730.0000,23747,41328,0,0,0.0000
19900321,30780.0000,30840.0000,30600.0000,30610.0000,16485,39963,0,0,0.0000
19900322,30740.0000,30870.0000,30660.0000,30730.0000,13623,39325,0,0,0.0000
19900323,30770.0000,30900.0000,30650.0000,30880.0000,13446,38572,0,0,0.0000
19900326,30940.0000,30980.0000,30880.0000,30930.0000,11231,36604,199006,199006,0.0000
19900327,29140.0000,29170.0000,29040.0000,29060.0000,15092,29664,0,0,-1810.0000
19900328,29080.0000,29380.0000,29070.0000,29320.0000,23611,30359,0,0,0.0000
19900329,29320.0000,29320.0000,29240.0000,29270.0000,12823,31230,0,0,0.0000
19900330,29260.0000,29280.0000,29160.0000,29170.0000,14710,31755,0,0,0.0000
19900402,29180.0000,29360.0000,29170.0000,29340.0000,15546,32436,0,0,0.0000
19900403,29350.0000,29480.0000,29230.0000,29240.0000,16779,33981,0,0,0.0000
19900404,29240.0000,29310.0000,29080.0000,29120.0000,15854,35468,0,0,0.0000
19900405,29120.0000,29440.0000,29030.0000,29370.0000,17280,35729,0,0,0.0000
19900406,29460.0000,29590.0000,29460.0000,29580.0000,19702,36636,0,0,0.0000
19900409,29580.0000,29630.0000,29470.0000,29570.0000,19305,37179,0,0,0.0000
19900410,29620.0000,29680.0000,29550.0000,29630.0000,14364,38174,0,0,0.0000
19900411,29660.0000,29670.0000,29520.0000,29590.0000,15513,38552,0,0,0.0000
