DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,19400.0000,19540.0000,19320.0000,19490.0000,4305,4305,0,0,0.0000
19900103,19440.0000,19680.0000,19360.0000,19600.0000,5241,5241,0,0,0.0000
19900104,20200.0000,20200.0000,20200.0000,20200.0000,783,783,0,0,0.0000
19900105,20500.0000,20660.0000,20360.0000,20390.0000,17934,17934,0,0,0.0000
19900108,20380.0000,20720.0000,20370.0000,20650.0000,11866,11866,0,0,0.0000
19900109,20560.0000,20660.0000,20460.0000,20520.0000,7366,7366,0,0,0.0000
19900110,20400.0000,20460.0000,20300.0000,20410.0000,7335,7335,0,0,0.0000
19900111,20380.0000,20640.0000,20380.0000,20510.0000,6632,6632,0,0,0.0000
19900112,20480.0000,20530.0000,20210.0000,20270.0000,7246,7246,0,0,0.0000
19900115,20200.0000,20350.0000,20090.0000,20120.0000,7496,7496,0,0,0.0000
19900116,20040.0000,20140.0000,19810.0000,19880.0000,9110,9110,0,0,0.0000
19900117,19880.0000,20040.0000,19750.0000,19910.0000,8914,8914,0,0,0.0000
19900118,20060.0000,20120.0000,19810.0000,19840.0000,9516,9516,0,0,0.0000
19900119,19900.0000,19930.0000,19680.0000,19820.0000,7704,7704,0,0,0.0000
19900122,19740.0000,20060.0000,19740.0000,20050.0000,7326,7326,0,0,0.0000
19900123,20120.0000,20210.0000,19840.0000,19910.0000,11078,11078,0,0,0.0000
19900124,19800.0000,19830.0000,19650.0000,19660.0000,7686,7686,0,0,0.0000
19900125,19840.0000,19960.0000,19620.0000,19700.0000,10386,10386,199004,199004,0.0000
19900126,19140.0000,19160.0000,18920.0000,18950.0000,8097,8097,0,0,-620.0000
19900129,18920.0000,19000.0000,18730.0000,18880.0000,11734,11734,0,0,0.0000
19900130,18880.0000,19070.0000,18850.0000,18930.0000,7069,7069,0,0,0.0000
19900131,18940.0000,18990.0000,18730.0000,18750.0000,6210,6210,0,0,0.0000
19900201,18720.0000,18770.0000,18610.0000,18680.0000,7235,7235,0,0,0.0000
19900202,18680.0000,18730.0000,18560.0000,18620.0000,6290,6290,0,0,0.0000
19900205,18700.0000,18920.0000,18700.0000,18810.0000,6135,6135,0,0,0.0000
19900206,18800.0000,18800.0000,18650.0000,18690.0000,4887,4887,0,0,0.0000
19900207,18640.0000,18870.0000,18620.0000,18850.0000,4650,4650,0,0,0.0000
19900208,18920.0000,19010.0000,18780.0000,18850.0000,5546,5546,0,0,0.0000
19900209,18840.0000,18860.0000,18740.0000,18780.0000,2747,2747,0,0,0.0000
19900212,18780.0000,18940.0000,18740.0000,18920.0000,3415,3415,0,0,0.0000
19900213,18940.0000,19080.0000,18940.0000,19070.0000,5526,5526,0,0,0.0000
19900214,19130.0000,19180.0000,19020.0000,19100.0000,6668,6668,0,0,0.0000
19900215,19100.0000,19100.0000,18940.0000,19070.0000,4629,4629,0,0,0.0000
19900216,19040.0000,19060.0000,18890.0000,18970.0000,3920,3920,0,0,0.0000
19900220,18920.0000,19120.0000,18840.0000,19080.0000,7719,7719,0,0,0.0000
19900221,19080.0000,19180.0000,18940.0000,19170.0000,6273,6273,0,0,0.0000
19900222,19120.0000,19580.0000,19120.0000,19460.0000,11684,11684,0,0,0.0000
19900223,19520.0000,19680.0000,19460.0000,19660.0000,8403,8403,0,0,0.0000
19900226,19700.0000,19910.0000,19680.0000,19890.0000,7066,7066,0,0,0.0000
19900227,19880.0000,19940.0000,19680.0000,19930.0000,8156,8156,0,0,0.0000
19900228,19920.0000,20270.0000,19840.0000,20140.0000,8818,8818,0,0,0.0000
19900301,20180.0000,20200.0000,19940.0000,19980.0000,7474,7474,0,0,0.0000
19900302,19960.0000,20190.0000,19960.0000,20110.0000,4699,4699,0,0,0.0000
19900305,20000.0000,20300.0000,19760.0000,19890.0000,9117,9117,0,0,0.0000
19900306,19880.0000,20200.0000,19860.0000,20130.0000,8583,8583,0,0,0.0000
19900307,20300.0000,20590.0000,20200.0000,20570.0000,10207,10207,0,0,0.0000
19900308,20560.0000,20870.0000,20500.0000,20830.0000,11514,11514,0,0,0.0000
19900309,20780.0000,20890.0000,20700.0000,20770.0000,6303,6303,0,0,0.0000
19900312,20680.0000,21160.0000,20640.0000,21130.0000,11007,11007,0,0,0.0000
19900313,21160.0000,21320.0000,20980.0000,21130.0000,11251,11251,0,0,0.0000
19900314,21110.0000,21270.0000,20890.0000,20910.0000,8975,8975,0,0,0.0000
19900315,20930.0000,21240.0000,20800.0000,21080.0000,8178,8178,0,0,0.0000
19900316,21160.0000,21400.0000,21070.0000,21370.0000,7020,7020,0,0,0.0000
19900319,21360.0000,21720.0000,21280.0000,21490.0000,11383,11383,0,0,0.0000
19900320,21460.0000,21520.0000,21250.0000,21300.0000,8603,8603,0,0,0.0000
19900321,21180.0000,21240.0000,21000.0000,21140.0000,8369,8369,0,0,0.0000
19900322,21160.0000,21220.0000,21060.0000,21210.0000,6765,6765,0,0,0.0000
19900323,21240.0000,21540.0000,21200.0000,21500.0000,7698,7698,0,0,0.0000
19900326,21500.0000,21540.0000,21290.0000,21390.0000,7769,7769,199006,199006,0.0000
19900327,22920.0000,22920.0000,22730.0000,22840.0000,9158,9158,0,0,1700.0000
19900328,22800.0000,22980.0000,22720.0000,22940.0000,8446,8446,0,0,0.0000
19900329,22880.0000,22960.0000,22680.0000,22750.0000,7820,7820,0,0,0.0000
19900330,22720.0000,22860.0000,22540.0000,22810.0000,9327,9327,0,0,0.0000
19900402,22840.0000,23400.0000,22840.0000,23390.0000,14152,14152,0,0,0.0000
19900403,23440.0000,23570.0000,23290.0000,23370.0000,10769,10769,0,0,0.0000
19900404,23360.0000,23500.0000,23240.0000,23360.0000,8752,8752,0,0,0.0000
19900405,23320.0000,23400.0000,23250.0000,23340.0000,6773,6773,0,0,0.0000
19900406,23340.0000,23500.0000,23220.0000,23420.0000,6193,6193,0,0,0.0000
19900409,23400.0000,23720.0000,23340.0000,23670.0000,8430,8430,0,0,0.0000
19900410,23660.0000,23850.0000,23660.0000,23830.0000,7405,7405,0,0,0.0000
19900411,23900.0000,24000.0000,23830.0000,23960.0000,10103,10103,0,0,0.0000
19900412,23950.0000,24080.0000,23800.0000,24020.0000,7805,7805,0,0,0.0000
19900416,23980.0000,24120.0000,23920.0000,23960.0000,8477,8477,0,0,0.0000
19900417,23840.0000,24120.0000,23810.0000,24020.0000,10949,10949,0,0,0.0000
19900418,23980.0000,24190.0000,23930.0000,24150.0000,9643,9643,0,0,0.0000
19900419,24120.0000,24670.0000,24120.0000,24450.0000,14389,14389,0,0,0.0000
19900420,24460.0000,24620.0000,24340.0000,24480.0000,9487,9487,0,0,0.0000
19900423,24700.0000,24870.0000,24610.0000,24810.0000,9245,9245,0,0,0.0000
19900424,24860.0000,24900.0000,24550.0000,24730.0000,9984,9984,0,0,0.0000
19900425,24800.0000,25040.0000,24760.0000,25010.0000,9406,9406,0,0,0.0000
19900426,24920.0000,25300.0000,24920.0000,25260.0000,9432,9432,0,0,0.0000
19900427,25260.0000,25480.0000,25010.0000,25200.0000,10436,10436,0,0,0.0000
19900430,25040.0000,25310.0000,25020.0000,25250.0000,6839,6839,0,0,0.0000
19900501,25380.0000,25820.0000,25380.0000,25540.0000,14539,14539,0,0,0.0000
19900502,25620.0000,25740.0000,25360.0000,25550.0000,12439,12439,0,0,0.0000
19900503,25420.0000,25560.0000,25300.0000,25540.0000,9613,9613,0,0,0.0000
19900504,25460.0000,25720.0000,25440.0000,25590.0000,8422,8422,0,0,0.0000
19900507,25680.0000,25980.0000,25620.0000,25960.0000,9055,9055,0,0,0.0000
19900508,26140.0000,26180.0000,25400.0000,25430.0000,15595,15595,0,0,0.0000
19900509,25380.0000,25820.0000,25280.0000,25770.0000,15293,15293,0,0,0.0000
19900510,25880.0000,26070.0000,25280.0000,25450.0000,16837,16837,0,0,0.0000
19900511,25410.0000,25600.0000,25120.0000,25460.0000,18184,18184,0,0,0.0000
19900514,25500.0000,25620.0000,25140.0000,25400.0000,11508,11508,0,0,0.0000
19900515,25300.0000,25500.0000,25240.0000,25400.0000,9388,9388,0,0,0.0000
19900516,25560.0000,26000.0000,25500.0000,26000.0000,13830,13830,0,0,0.0000
19900517,26120.0000,26540.0000,26080.0000,26440.0000,16993,16993,0,0,0.0000
19900518,26540.0000,26790.0000,26360.0000,26730.0000,13633,13633,0,0,0.0000
19900521,26730.0000,26860.0000,26610.0000,26800.0000,12066,12066,0,0,0.0000
19900522,26770.0000,26830.0000,26610.0000,26770.0000,9022,9022,0,0,0.0000
19900523,26660.0000,26660.0000,26170.0000,26280.0000,12213,12213,0,0,0.0000
19900524,26300.0000,26380.0000,26120.0000,26340.0000,10124,10124,199007,199007,0.0000
19900525,25440.0000,25600.0000,25440.0000,25530.0000,5979,5979,0,0,-1020.0000
19900529,25540.0000,26130.0000,25530.0000,25980.0000,12236,12236,0,0,0.0000
19900530,26120.0000,26120.0000,25380.0000,25480.0000,14399,14399,0,0,0.0000
19900531,25460.0000,25640.0000,24920.0000,24960.0000,16891,16891,0,0,0.0000
19900601,25000.0000,25300.0000,24820.0000,25040.0000,13518,13518,0,0,0.0000
19900604,25140.0000,25400.0000,24920.0000,25220.0000,12676,12676,0,0,0.0000
19900605,25280.0000,25800.0000,25160.0000,25770.0000,15792,15792,0,0,0.0000
19900606,25600.0000,25680.0000,25300.0000,25480.0000,12448,12448,0,0,0.0000
19900607,25400.0000,25440.0000,24880.0000,25020.0000,17782,17782,0,0,0.0000
19900608,24880.0000,25020.0000,24540.0000,24930.0000,17128,17128,0,0,0.0000
19900611,24840.0000,25260.0000,24740.0000,25240.0000,12660,12660,0,0,0.0000
19900612,25220.0000,25290.0000,24860.0000,25080.0000,11375,11375,0,0,0.0000
19900613,25100.0000,25180.0000,24880.0000,24920.0000,11281,11281,0,0,0.0000
19900614,24820.0000,24820.0000,24320.0000,24320.0000,11875,11875,0,0,0.0000
19900615,24160.0000,24160.0000,23720.0000,23720.0000,16849,16849,0,0,0.0000
19900618,23480.0000,23880.0000,23240.0000,23820.0000,21975,21975,0,0,0.0000
19900619,23700.0000,23860.0000,23450.0000,23620.0000,16627,16627,0,0,0.0000
19900620,23740.0000,23880.0000,23320.0000,23730.0000,12429,12429,0,0,0.0000
19900621,23800.0000,23800.0000,23130.0000,23490.0000,16876,16876,0,0,0.0000
19900622,23520.0000,23800.0000,23330.0000,23780.0000,11220,11220,0,0,0.0000
19900625,23740.0000,23990.0000,23680.0000,23950.0000,7797,7797,0,0,0.0000
19900626,24100.0000,24240.0000,23920.0000,24180.0000,10133,10133,199008,199008,0.0000
19900627,23500.0000,23700.0000,23460.0000,23570.0000,10827,10827,0,0,-700.0000
19900628,23600.0000,23600.0000,23290.0000,23340.0000,8296,8296,0,0,0.0000
19900629,23360.0000,23500.0000,23240.0000,23320.0000,7327,7327,0,0,0.0000
19900702,23800.0000,23920.0000,23590.0000,23670.0000,10857,10857,0,0,0.0000
19900703,23640.0000,23680.0000,23260.0000,23490.0000,9951,9951,0,0,0.0000
19900705,23640.0000,23980.0000,23400.0000,23850.0000,9815,9815,0,0,0.0000
19900706,23880.0000,23940.0000,23260.0000,23350.0000,9522,9522,0,0,0.0000
19900709,23100.0000,23260.0000,22780.0000,23140.0000,12226,12226,0,0,0.0000
19900710,23130.0000,23380.0000,23020.0000,23260.0000,8101,8101,0,0,0.0000
19900711,23000.0000,23350.0000,22880.0000,23200.0000,8023,8023,0,0,0.0000
19900712,23120.0000,23300.0000,23020.0000,23260.0000,6484,6484,0,0,0.0000
19900713,23280.0000,23640.0000,23280.0000,23550.0000,7578,7578,0,0,0.0000
19900716,23800.0000,24150.0000,23760.0000,24150.0000,12941,12941,0,0,0.0000
19900717,24280.0000,24500.0000,24080.0000,24240.0000,14818,14818,0,0,0.0000
19900718,24400.0000,24400.0000,23740.0000,23890.0000,12962,12962,0,0,0.0000
19900719,23820.0000,23880.0000,23520.0000,23570.0000,11685,11685,0,0,0.0000
19900720,23600.0000,23910.0000,23440.0000,23830.0000,8307,8307,0,0,0.0000
19900723,23780.0000,23960.0000,23590.0000,23880.0000,8239,8239,0,0,0.0000
19900724,23700.0000,23860.0000,23550.0000,23750.0000,11508,11508,0,0,0.0000
19900725,24040.0000,24320.0000,23950.0000,24270.0000,11104,11104,0,0,0.0000
19900726,24180.0000,24200.0000,23970.0000,24050.0000,9219,9219,199010,199010,0.0000
19900727,21240.0000,21420.0000,21120.0000,21370.0000,8211,8211,0,0,-2640.0000
19900730,21300.0000,21680.0000,21300.0000,21640.0000,9444,9444,0,0,0.0000
19900731,21700.0000,21980.0000,21700.0000,21930.0000,11422,11422,0,0,0.0000
19900801,21960.0000,21960.0000,21460.0000,21510.0000,11676,11676,0,0,0.0000
19900802,21360.0000,21360.0000,20910.0000,20910.0000,10038,10038,0,0,0.0000
19900803,20560.0000,21080.0000,20440.0000,20640.0000,10530,10530,0,0,0.0000
19900806,20400.0000,20820.0000,20360.0000,20720.0000,8192,8192,0,0,0.0000
19900807,20800.0000,20800.0000,20250.0000,20340.0000,7806,7806,0,0,0.0000
19900808,20140.0000,20200.0000,19740.0000,19790.0000,15561,15561,0,0,0.0000
19900809,19760.0000,19880.0000,19600.0000,19640.0000,12713,12713,0,0,0.0000
19900810,19680.0000,19960.0000,19680.0000,19930.0000,7456,7456,0,0,0.0000
19900813,20080.0000,20180.0000,20020.0000,20050.0000,6490,6490,0,0,0.0000
19900814,19960.0000,19960.0000,19450.0000,19840.0000,10876,10876,0,0,0.0000
19900815,19860.0000,20000.0000,19770.0000,19810.0000,5442,5442,0,0,0.0000
19900816,19810.0000,20050.0000,19790.0000,19940.0000,5383,5383,0,0,0.0000
19900817,19940.0000,19940.0000,19660.0000,19770.0000,4955,4955,0,0,0.0000
19900820,19600.0000,20100.0000,19520.0000,20030.0000,7768,7768,0,0,0.0000
19900821,19940.0000,20020.0000,19640.0000,19720.0000,6091,6091,0,0,0.0000
19900822,19560.0000,19580.0000,19280.0000,19420.0000,7347,7347,0,0,0.0000
19900823,19200.0000,19540.0000,19050.0000,19370.0000,7918,7918,0,0,0.0000
19900824,19500.0000,19560.0000,19370.0000,19370.0000,3632,3632,0,0,0.0000
19900827,19720.0000,19740.0000,19540.0000,19680.0000,5210,5210,0,0,0.0000
19900828,19600.0000,19740.0000,19300.0000,19380.0000,5133,5133,0,0,0.0000
19900829,19420.0000,19540.0000,19290.0000,19530.0000,3859,3859,0,0,0.0000
19900830,19600.0000,19700.0000,19480.0000,19490.0000,2771,2771,0,0,0.0000
19900831,19420.0000,19420.0000,19220.0000,19320.0000,2989,2989,0,0,0.0000
19900904,19320.0000,19620.0000,19320.0000,19570.0000,5353,5353,0,0,0.0000
19900905,19760.0000,19820.0000,19670.0000,19710.0000,5918,5918,0,0,0.0000
19900906,19780.0000,19840.0000,19690.0000,19740.0000,5190,5190,0,0,0.0000
19900907,19770.0000,19770.0000,19560.0000,19740.0000,4577,4577,0,0,0.0000
19900910,19740.0000,20090.0000,19700.0000,20070.0000,7715,7715,0,0,0.0000
19900911,20100.0000,20340.0000,20060.0000,20290.0000,9131,9131,0,0,0.0000
19900912,20300.0000,20380.0000,20210.0000,20270.0000,6012,6012,0,0,0.0000
19900913,20200.0000,20490.0000,20070.0000,20250.0000,8176,8176,0,0,0.0000
19900914,20250.0000,20780.0000,20220.0000,20750.0000,9000,9000,0,0,0.0000
