DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19920213,15570.0000,15600.0000,15345.0000,15405.0000,3082,3082,0,0,0.0000
19920214,15340.0000,15370.0000,15270.0000,15310.0000,1707,1707,0,0,0.0000
19920218,15300.0000,15360.0000,15060.0000,15130.0000,888,888,0,0,0.0000
19920219,15105.0000,15120.0000,14920.0000,15025.0000,557,557,0,0,0.0000
19920220,15000.0000,15250.0000,15000.0000,15250.0000,447,447,0,0,0.0000
19920221,15230.0000,15320.0000,15090.0000,15225.0000,528,528,0,0,0.0000
19920224,15190.0000,15210.0000,14990.0000,15010.0000,255,255,0,0,0.0000
19920225,14985.0000,15015.0000,14820.0000,14885.0000,540,540,0,0,0.0000
19920226,14900.0000,15150.0000,14900.0000,15130.0000,248,248,0,0,0.0000
19920227,15140.0000,15210.0000,15125.0000,15180.0000,277,277,0,0,0.0000
19920228,15225.0000,15230.0000,15050.0000,15100.0000,224,224,0,0,0.0000
19920302,15075.0000,15115.0000,15015.0000,15110.0000,343,343,0,0,0.0000
19920303,15050.0000,15110.0000,15050.0000,15080.0000,203,203,0,0,0.0000
19920304,15100.0000,15100.0000,14960.0000,14965.0000,495,495,0,0,0.0000
19920305,14920.0000,14950.0000,14725.0000,14780.0000,306,306,199206,199206,0.0000
19920306,14850.0000,14965.0000,14680.0000,14725.0000,695,695,0,0,130.0000
19920309,14690.0000,14730.0000,14675.0000,14690.0000,736,736,0,0,0.0000
19920310,14850.0000,14880.0000,14815.0000,14815.0000,447,447,0,0,0.0000
19920311,14750.0000,14810.0000,14700.0000,14730.0000,903,903,0,0,0.0000
19920312,14730.0000,14745.0000,14600.0000,14745.0000,616,616,0,0,0.0000
19920313,14775.0000,14815.0000,14715.0000,14740.0000,827,827,0,0,0.0000
19920316,14720.0000,14840.0000,14710.0000,14840.0000,1020,1020,0,0,0.0000
19920317,14870.0000,14930.0000,14830.0000,14915.0000,1012,1012,0,0,0.0000
19920318,14890.0000,15000.0000,14885.0000,14925.0000,1012,1012,0,0,0.0000
19920319,14960.0000,15040.0000,14940.0000,14950.0000,894,894,0,0,0.0000
19920320,14955.0000,14980.0000,14925.0000,14945.0000,375,375,0,0,0.0000
19920323,14930.0000,14940.0000,14910.0000,14930.0000,156,156,0,0,0.0000
19920324,14940.0000,14960.0000,14790.0000,14810.0000,205,205,0,0,0.0000
19920325,14810.0000,14840.0000,14785.0000,14815.0000,80,80,0,0,0.0000
19920326,14855.0000,14855.0000,14775.0000,14790.0000,158,158,0,0,0.0000
19920327,14730.0000,14735.0000,14525.0000,14570.0000,260,260,0,0,0.0000
19920330,14565.0000,14575.0000,14460.0000,14475.0000,196,196,0,0,0.0000
19920331,14480.0000,14530.0000,14460.0000,14495.0000,205,205,0,0,0.0000
19920401,14400.0000,14545.0000,14380.0000,14520.0000,371,371,0,0,0.0000
19920402,14540.0000,14550.0000,14280.0000,14325.0000,420,420,0,0,0.0000
19920403,14310.0000,14330.0000,14215.0000,14305.0000,286,286,0,0,0.0000
19920406,14360.0000,14470.0000,14350.0000,14450.0000,250,250,0,0,0.0000
19920407,14435.0000,14450.0000,14090.0000,14100.0000,384,384,0,0,0.0000
19920408,14050.0000,14050.0000,13790.0000,13960.0000,181,181,0,0,0.0000
19920409,14010.0000,14425.0000,13960.0000,14390.0000,505,505,0,0,0.0000
19920410,14440.0000,14460.0000,14310.0000,14385.0000,292,292,0,0,0.0000
19920413,14360.0000,14370.0000,14310.0000,14350.0000,73,73,0,0,0.0000
19920414,14500.0000,14710.0000,14500.0000,14630.0000,336,336,0,0,0.0000
19920415,14680.0000,14690.0000,14610.0000,14685.0000,370,370,0,0,0.0000
19920416,14670.0000,14670.0000,14445.0000,14485.0000,514,514,0,0,0.0000
19920420,14410.0000,14450.0000,14025.0000,14140.0000,371,371,0,0,0.0000
19920421,14160.0000,14170.0000,13940.0000,13990.0000,390,390,0,0,0.0000
19920422,13960.0000,14085.0000,13960.0000,14080.0000,417,417,0,0,0.0000
19920423,14090.0000,14110.0000,13950.0000,14045.0000,290,290,0,0,0.0000
19920424,14080.0000,14100.0000,13960.0000,13960.0000,95,95,0,0,0.0000
19920427,13995.0000,14015.0000,13930.0000,13960.0000,598,598,0,0,0.0000
19920428,13940.0000,13960.0000,13740.0000,13805.0000,340,340,0,0,0.0000
19920429,13850.0000,14160.0000,13850.0000,14150.0000,471,471,0,0,0.0000
19920430,14150.0000,14395.0000,14145.0000,14380.0000,1037,1037,0,0,0.0000
19920501,14410.0000,14425.0000,14240.0000,14310.0000,799,799,0,0,0.0000
19920504,14320.0000,14510.0000,14320.0000,14450.0000,308,308,0,0,0.0000
19920505,14430.0000,14560.0000,14415.0000,14545.0000,353,353,0,0,0.0000
19920506,14600.0000,14610.0000,14490.0000,14560.0000,296,296,0,0,0.0000
19920507,14550.0000,14570.0000,14475.0000,14530.0000,267,267,0,0,0.0000
19920508,14555.0000,14560.0000,14440.0000,14480.0000,238,238,0,0,0.0000
19920511,14485.0000,14570.0000,14460.0000,14560.0000,190,190,0,0,0.0000
19920512,14575.0000,14575.0000,14430.0000,14485.0000,178,178,0,0,0.0000
19920513,14450.0000,14470.0000,14390.0000,14415.0000,303,303,0,0,0.0000
19920514,14380.0000,14380.0000,14205.0000,14250.0000,366,366,0,0,0.0000
19920515,14170.0000,14300.0000,14160.0000,14300.0000,197,197,0,0,0.0000
19920518,14350.0000,14410.0000,14340.0000,14360.0000,240,240,0,0,0.0000
19920519,14370.0000,14440.0000,14295.0000,14440.0000,316,316,0,0,0.0000
19920520,14410.0000,14420.0000,14360.0000,14395.0000,402,402,0,0,0.0000
19920521,14335.0000,14340.0000,14260.0000,14300.0000,252,252,0,0,0.0000
19920522,14320.0000,14365.0000,14310.0000,14360.0000,194,194,0,0,0.0000
19920526,14240.0000,14270.0000,14185.0000,14240.0000,216,216,0,0,0.0000
19920527,14220.0000,14250.0000,14200.0000,14235.0000,151,151,0,0,0.0000
19920528,14240.0000,14340.0000,14205.0000,14330.0000,132,132,0,0,0.0000
19920529,14325.0000,14460.0000,14325.0000,14390.0000,213,213,0,0,0.0000
19920601,14365.0000,14580.0000,14330.0000,14580.0000,309,309,0,0,0.0000
19920602,14580.0000,14600.0000,14510.0000,14525.0000,851,851,0,0,0.0000
19920603,14510.0000,14595.0000,14490.0000,14555.0000,461,461,0,0,0.0000
19920604,14560.0000,14600.0000,14510.0000,14530.0000,230,230,0,0,0.0000
19920605,14520.0000,14525.0000,14400.0000,14450.0000,423,423,199209,199209,0.0000
19920608,14500.0000,14510.0000,14415.0000,14465.0000,91,91,0,0,70.0000
19920609,14440.0000,14440.0000,14195.0000,14195.0000,1462,1462,0,0,0.0000
19920610,14200.0000,14250.0000,14070.0000,14070.0000,393,393,0,0,0.0000
19920611,14080.0000,14130.0000,14015.0000,14125.0000,646,646,0,0,0.0000
19920612,14180.0000,14260.0000,14130.0000,14145.0000,448,448,0,0,0.0000
