DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19950425,81250.0000,81500.0000,77500.0000,78400.0000,832,832,0,0,0.0000
19950426,78500.0000,79600.0000,78500.0000,79450.0000,866,866,0,0,0.0000
19950427,79350.0000,79850.0000,75000.0000,77500.0000,918,918,0,0,0.0000
19950428,78000.0000,78500.0000,76500.0000,77850.0000,557,557,0,0,0.0000
19950501,78750.0000,78750.0000,78400.0000,78500.0000,53,53,0,0,0.0000
19950502,78250.0000,79450.0000,77900.0000,79350.0000,551,551,0,0,0.0000
19950503,79450.0000,80600.0000,79250.0000,79900.0000,656,656,0,0,0.0000
19950504,80000.0000,80100.0000,79350.0000,80000.0000,286,286,0,0,0.0000
19950505,80050.0000,80200.0000,80050.0000,80150.0000,86,86,0,0,0.0000
19950508,80250.0000,80500.0000,80000.0000,80450.0000,350,350,0,0,0.0000
19950509,80450.0000,81200.0000,79950.0000,80250.0000,589,589,0,0,0.0000
19950510,80500.0000,81000.0000,79000.0000,80150.0000,734,734,0,0,0.0000
19950511,80500.0000,81100.0000,80100.0000,80800.0000,339,339,0,0,0.0000
19950512,80850.0000,80850.0000,80300.0000,80400.0000,445,445,0,0,0.0000
19950515,80500.0000,80500.0000,80100.0000,80500.0000,1063,1063,0,0,0.0000
19950516,80650.0000,80750.0000,80600.0000,80600.0000,357,357,0,0,0.0000
19950517,80600.0000,81150.0000,80550.0000,81000.0000,306,306,0,0,0.0000
19950518,81300.0000,82000.0000,81100.0000,82000.0000,575,575,0,0,0.0000
19950519,81900.0000,82250.0000,81750.0000,81800.0000,538,538,0,0,0.0000
19950522,81800.0000,82200.0000,81800.0000,82200.0000,656,656,0,0,0.0000
19950523,82100.0000,82150.0000,81300.0000,81400.0000,687,687,0,0,0.0000
19950524,81000.0000,81000.0000,79500.0000,80900.0000,759,759,0,0,0.0000
19950525,80250.0000,80800.0000,79500.0000,80450.0000,700,700,0,0,0.0000
19950526,80100.0000,80100.0000,79250.0000,79400.0000,217,217,0,0,0.0000
19950530,79250.0000,79250.0000,77400.0000,78250.0000,661,661,0,0,0.0000
19950531,78750.0000,79550.0000,78500.0000,78650.0000,469,469,0,0,0.0000
19950601,78250.0000,79300.0000,78250.0000,79300.0000,315,315,0,0,0.0000
19950602,79250.0000,79450.0000,79100.0000,79350.0000,282,282,0,0,0.0000
19950605,78800.0000,80400.0000,78600.0000,80250.0000,707,707,0,0,0.0000
19950606,80050.0000,80750.0000,79900.0000,80500.0000,782,782,0,0,0.0000
19950607,79250.0000,80100.0000,79250.0000,79950.0000,448,448,199509,199509,0.0000
19950608,72500.0000,72600.0000,72000.0000,72250.0000,474,474,0,0,-7450.0000
19950609,72250.0000,72300.0000,71500.0000,71500.0000,743,743,0,0,0.0000
19950612,72000.0000,72600.0000,71900.0000,72500.0000,283,283,0,0,0.0000
19950613,73400.0000,73500.0000,73150.0000,73350.0000,715,715,0,0,0.0000
19950614,73100.0000,73450.0000,73000.0000,73400.0000,533,533,0,0,0.0000
19950615,73700.0000,74400.0000,73700.0000,74250.0000,1148,1148,0,0,0.0000
19950616,74300.0000,74500.0000,74150.0000,74200.0000,436,436,0,0,0.0000
19950619,73750.0000,74400.0000,73750.0000,74300.0000,135,135,0,0,0.0000
19950620,74050.0000,74100.0000,73750.0000,73800.0000,742,742,0,0,0.0000
19950621,73400.0000,73500.0000,73050.0000,73500.0000,571,571,0,0,0.0000
19950622,73500.0000,74300.0000,73500.0000,74300.0000,473,473,0,0,0.0000
19950623,74000.0000,74250.0000,73850.0000,74200.0000,264,264,0,0,0.0000
19950626,74250.0000,74350.0000,74150.0000,74350.0000,222,222,0,0,0.0000
19950627,74450.0000,74750.0000,74250.0000,74650.0000,418,418,0,0,0.0000
19950628,74600.0000,74700.0000,74100.0000,74700.0000,646,646,0,0,0.0000
19950629,74600.0000,75250.0000,74500.0000,75150.0000,306,306,0,0,0.0000
19950630,75250.0000,75400.0000,75100.0000,75200.0000,353,353,0,0,0.0000
