DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900403,15800.0000,16550.0000,15800.0000,16350.0000,918,110,0,0,0.0000
19900404,16200.0000,16500.0000,15990.0000,16200.0000,656,127,0,0,0.0000
19900405,16150.0000,16350.0000,16100.0000,16150.0000,554,112,0,0,0.0000
19900406,16150.0000,16350.0000,16100.0000,16250.0000,436,136,0,0,0.0000
19900409,16120.0000,16400.0000,16120.0000,16370.0000,307,145,0,0,0.0000
19900410,16250.0000,16300.0000,16130.0000,16200.0000,107,150,0,0,0.0000
19900411,16100.0000,16100.0000,15950.0000,16050.0000,160,170,0,0,0.0000
19900412,15950.0000,16000.0000,15900.0000,15980.0000,198,172,0,0,0.0000
19900416,15970.0000,16000.0000,15920.0000,15980.0000,71,168,0,0,0.0000
19900417,15940.0000,16000.0000,15850.0000,15850.0000,141,179,0,0,0.0000
19900418,15830.0000,15870.0000,15830.0000,15830.0000,143,176,0,0,0.0000
19900419,15810.0000,15810.0000,15500.0000,15700.0000,247,158,0,0,0.0000
19900420,15600.0000,15600.0000,15400.0000,15430.0000,331,174,0,0,0.0000
19900423,15250.0000,15600.0000,15250.0000,15550.0000,143,175,0,0,0.0000
19900424,15400.0000,15560.0000,15400.0000,15550.0000,203,183,0,0,0.0000
19900425,15600.0000,15700.0000,15520.0000,15520.0000,163,188,0,0,0.0000
19900426,15550.0000,15640.0000,15550.0000,15580.0000,150,191,0,0,0.0000
19900427,15600.0000,15600.0000,15500.0000,15550.0000,24,211,0,0,0.0000
19900430,15650.0000,15700.0000,15650.0000,15650.0000,78,203,0,0,0.0000
19900501,15750.0000,15750.0000,15650.0000,15650.0000,191,195,0,0,0.0000
19900502,15750.0000,15800.0000,15750.0000,15750.0000,167,197,0,0,0.0000
19900503,15750.0000,15750.0000,15750.0000,15750.0000,207,197,0,0,0.0000
19900504,15700.0000,15750.0000,15700.0000,15750.0000,148,186,0,0,0.0000
19900507,15800.0000,15850.0000,15750.0000,15800.0000,185,154,0,0,0.0000
19900508,15840.0000,15890.0000,15820.0000,15830.0000,240,154,0,0,0.0000
19900509,15870.0000,15870.0000,15760.0000,15760.0000,192,155,0,0,0.0000
19900510,15800.0000,15800.0000,15740.0000,15740.0000,314,152,0,0,0.0000
19900511,15710.0000,15750.0000,15650.0000,15650.0000,493,167,0,0,0.0000
19900514,15590.0000,15590.0000,15550.0000,15560.0000,566,168,0,0,0.0000
19900515,15550.0000,15550.0000,15520.0000,15520.0000,423,172,0,0,0.0000
19900516,15590.0000,15750.0000,15590.0000,15700.0000,244,203,0,0,0.0000
19900517,15700.0000,15750.0000,15700.0000,15700.0000,519,190,199007,199007,0.0000
19900518,16220.0000,16350.0000,16100.0000,16330.0000,420,554,0,0,570.0000
19900521,16200.0000,16250.0000,16150.0000,16200.0000,199,559,0,0,0.0000
19900522,16100.0000,16200.0000,16050.0000,16130.0000,329,577,0,0,0.0000
19900523,16030.0000,16060.0000,15970.0000,16020.0000,449,566,0,0,0.0000
19900524,16020.0000,16020.0000,15950.0000,16000.0000,98,561,0,0,0.0000
19900525,15950.0000,16000.0000,15900.0000,15920.0000,120,524,0,0,0.0000
19900529,15850.0000,15880.0000,15850.0000,15850.0000,194,512,0,0,0.0000
19900530,15850.0000,15950.0000,15850.0000,15850.0000,301,498,0,0,0.0000
19900531,15850.0000,16040.0000,15850.0000,15900.0000,366,506,0,0,0.0000
19900601,15870.0000,15900.0000,15850.0000,15850.0000,264,461,0,0,0.0000
19900604,15850.0000,15850.0000,15700.0000,15820.0000,701,480,0,0,0.0000
19900605,15700.0000,15750.0000,15670.0000,15670.0000,466,503,0,0,0.0000
19900606,15620.0000,15640.0000,15560.0000,15600.0000,446,487,0,0,0.0000
19900607,15650.0000,15850.0000,15650.0000,15730.0000,352,566,0,0,0.0000
19900608,15650.0000,15800.0000,15640.0000,15750.0000,398,520,0,0,0.0000
19900611,15730.0000,15750.0000,15650.0000,15720.0000,350,525,0,0,0.0000
19900612,15690.0000,15740.0000,15530.0000,15580.0000,558,426,0,0,0.0000
19900613,15500.0000,15500.0000,15430.0000,15450.0000,629,392,0,0,0.0000
19900614,15400.0000,15500.0000,15400.0000,15470.0000,482,392,0,0,0.0000
19900615,15400.0000,15500.0000,15400.0000,15470.0000,275,388,199008,199008,0.0000
19900618,15750.0000,15800.0000,15700.0000,15700.0000,159,516,0,0,400.0000
19900619,15650.0000,15650.0000,15600.0000,15650.0000,577,477,0,0,0.0000
19900620,15610.0000,15620.0000,15570.0000,15590.0000,784,445,0,0,0.0000
19900621,15580.0000,15600.0000,15280.0000,15280.0000,1146,582,0,0,0.0000
19900622,15150.0000,15240.0000,15120.0000,15220.0000,634,538,0,0,0.0000
19900625,15100.0000,15200.0000,15060.0000,15160.0000,259,505,0,0,0.0000
19900626,15100.0000,15150.0000,15050.0000,15070.0000,399,473,0,0,0.0000
19900627,15050.0000,15050.0000,14950.0000,15000.0000,573,516,0,0,0.0000
19900628,14960.0000,15200.0000,14960.0000,15150.0000,778,459,0,0,0.0000
19900629,15100.0000,15190.0000,15100.0000,15190.0000,540,467,0,0,0.0000
19900702,15250.0000,15250.0000,15160.0000,15190.0000,348,415,0,0,0.0000
19900703,15170.0000,15250.0000,15170.0000,15250.0000,664,432,0,0,0.0000
19900705,15180.0000,15180.0000,15110.0000,15140.0000,342,418,0,0,0.0000
19900706,15110.0000,15110.0000,14950.0000,14980.0000,810,346,0,0,0.0000
19900709,14930.0000,14950.0000,14880.0000,14930.0000,436,323,0,0,0.0000
19900710,14930.0000,15000.0000,14920.0000,15000.0000,496,336,0,0,0.0000
19900711,15080.0000,15080.0000,14950.0000,15000.0000,669,313,0,0,0.0000
19900712,15000.0000,15020.0000,14950.0000,15020.0000,410,326,0,0,0.0000
19900713,15200.0000,15200.0000,15000.0000,15000.0000,958,362,0,0,0.0000
19900716,15100.0000,15150.0000,14900.0000,14950.0000,531,327,0,0,0.0000
19900717,14850.0000,14850.0000,14550.0000,14620.0000,677,222,199009,199009,0.0000
19900718,15100.0000,15250.0000,15020.0000,15220.0000,908,599,0,0,550.0000
19900719,15100.0000,15280.0000,15050.0000,15050.0000,1405,657,0,0,0.0000
19900720,15050.0000,15050.0000,14730.0000,14820.0000,751,716,0,0,0.0000
19900723,14650.0000,14700.0000,14550.0000,14600.0000,616,706,0,0,0.0000
19900724,14560.0000,14580.0000,14400.0000,14400.0000,678,695,0,0,0.0000
19900725,14270.0000,14450.0000,14220.0000,14400.0000,878,605,0,0,0.0000
19900726,14400.0000,14400.0000,14170.0000,14350.0000,567,654,0,0,0.0000
19900727,14270.0000,14390.0000,14270.0000,14390.0000,717,638,0,0,0.0000
19900730,14360.0000,14360.0000,14250.0000,14300.0000,934,641,0,0,0.0000
19900731,14250.0000,14250.0000,14100.0000,14110.0000,919,658,0,0,0.0000
19900801,14050.0000,14050.0000,13960.0000,14020.0000,771,658,0,0,0.0000
19900802,14310.0000,14600.0000,14300.0000,14320.0000,981,696,0,0,0.0000
19900803,14450.0000,15300.0000,14450.0000,15100.0000,2070,703,0,0,0.0000
19900806,15300.0000,16000.0000,15200.0000,15880.0000,1483,742,0,0,0.0000
19900807,15200.0000,15250.0000,14600.0000,14770.0000,1819,780,0,0,0.0000
19900808,14800.0000,15100.0000,14500.0000,14750.0000,331,719,0,0,0.0000
19900809,14550.0000,14900.0000,14550.0000,14700.0000,456,719,0,0,0.0000
19900810,14550.0000,15000.0000,14500.0000,14900.0000,338,700,0,0,0.0000
19900814,14900.0000,14900.0000,14460.0000,14480.0000,714,634,0,0,0.0000
