DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19960410,12450.0000,12494.0000,12200.0000,12275.0000,2282,2282,0,0,0.0000
19960411,12200.0000,12360.0000,12000.0000,12195.0000,1627,1627,0,0,0.0000
19960412,12240.0000,12280.0000,12160.0000,12215.0000,686,686,0,0,0.0000
19960415,12240.0000,12355.0000,12220.0000,12325.0000,744,744,0,0,0.0000
19960416,12440.0000,12620.0000,12440.0000,12620.0000,1166,1166,0,0,0.0000
19960417,12580.0000,12655.0000,12470.0000,12530.0000,707,707,0,0,0.0000
19960418,12580.0000,12760.0000,12580.0000,12742.0000,605,605,0,0,0.0000
19960419,12895.0000,12910.0000,12740.0000,12760.0000,529,529,0,0,0.0000
19960422,12920.0000,12974.0000,12912.0000,12970.0000,461,461,0,0,0.0000
19960423,13010.0000,13166.0000,12945.0000,13156.0000,1092,1092,0,0,0.0000
19960424,13300.0000,13338.0000,13228.0000,13315.0000,873,873,0,0,0.0000
19960425,13350.0000,13415.0000,13244.0000,13410.0000,1138,1138,0,0,0.0000
19960426,13470.0000,13480.0000,13380.0000,13416.0000,545,545,0,0,0.0000
19960429,13310.0000,13430.0000,13310.0000,13405.0000,329,329,0,0,0.0000
19960430,13400.0000,13420.0000,13330.0000,13380.0000,322,322,0,0,0.0000
19960501,13365.0000,13550.0000,13360.0000,13527.0000,552,552,0,0,0.0000
19960502,13465.0000,13530.0000,13210.0000,13232.0000,1496,1496,0,0,0.0000
19960503,13338.0000,13450.0000,13170.0000,13290.0000,1677,1677,0,0,0.0000
19960506,13347.0000,13360.0000,13180.0000,13330.0000,972,972,0,0,0.0000
19960507,13350.0000,13385.0000,13240.0000,13260.0000,851,851,0,0,0.0000
19960508,13218.0000,13355.0000,12990.0000,13350.0000,2055,2055,0,0,0.0000
19960509,13360.0000,13450.0000,13265.0000,13330.0000,577,577,0,0,0.0000
19960510,13460.0000,13535.0000,13400.0000,13530.0000,725,725,0,0,0.0000
19960513,13510.0000,13845.0000,13510.0000,13835.0000,1319,1319,0,0,0.0000
19960514,13908.0000,14010.0000,13865.0000,13980.0000,1152,1152,0,0,0.0000
19960515,13979.0000,14100.0000,13880.0000,13884.0000,1927,1927,0,0,0.0000
19960516,13800.0000,13980.0000,13740.0000,13960.0000,930,930,0,0,0.0000
19960517,14040.0000,14040.0000,13890.0000,13900.0000,2615,2615,0,0,0.0000
19960520,13990.0000,14010.0000,13870.0000,13925.0000,1011,1011,0,0,0.0000
19960521,13940.0000,13958.0000,13800.0000,13812.0000,549,549,0,0,0.0000
19960522,13796.0000,13880.0000,13745.0000,13805.0000,814,814,0,0,0.0000
19960523,13810.0000,13930.0000,13785.0000,13860.0000,773,773,0,0,0.0000
19960524,13920.0000,13940.0000,13810.0000,13842.0000,481,481,0,0,0.0000
19960528,13865.0000,13885.0000,13705.0000,13760.0000,519,519,0,0,0.0000
19960529,13760.0000,13785.0000,13541.0000,13580.0000,1455,1455,0,0,0.0000
19960530,13560.0000,13740.0000,13530.0000,13710.0000,705,705,0,0,0.0000
19960531,13780.0000,13892.0000,13720.0000,13820.0000,1962,1962,0,0,0.0000
19960603,13790.0000,13910.0000,13770.0000,13825.0000,995,995,0,0,0.0000
19960604,13920.0000,13920.0000,13760.0000,13870.0000,805,805,0,0,0.0000
19960605,13840.0000,14010.0000,13816.0000,13990.0000,1018,1018,0,0,0.0000
19960606,14090.0000,14090.0000,13730.0000,13731.0000,1399,1399,199609,199609,0.0000
19960607,13840.0000,14009.0000,13830.0000,14009.0000,2453,2453,0,0,440.0000
19960610,13980.0000,14011.0000,13950.0000,13950.0000,809,809,0,0,0.0000
19960611,13990.0000,14095.0000,13960.0000,14020.0000,1297,1297,0,0,0.0000
19960612,14115.0000,14200.0000,14090.0000,14145.0000,1230,1230,0,0,0.0000
19960613,14120.0000,14120.0000,13925.0000,14020.0000,1467,1467,0,0,0.0000
19960614,14035.0000,14035.0000,13815.0000,13815.0000,1030,1030,0,0,0.0000
19960617,13840.0000,13845.0000,13700.0000,13761.0000,1037,1037,0,0,0.0000
19960618,13790.0000,13790.0000,13470.0000,13490.0000,2601,2601,0,0,0.0000
19960619,13520.0000,13635.0000,13491.0000,13530.0000,1022,1022,0,0,0.0000
19960620,13570.0000,13595.0000,13130.0000,13455.0000,5029,5029,0,0,0.0000
19960621,13580.0000,13620.0000,13497.0000,13620.0000,1092,1092,0,0,0.0000
19960624,13640.0000,13770.0000,13590.0000,13670.0000,893,893,0,0,0.0000
19960625,13740.0000,13740.0000,13505.0000,13515.0000,946,946,0,0,0.0000
19960626,13500.0000,13520.0000,13175.0000,13320.0000,1821,1821,0,0,0.0000
19960627,13330.0000,13560.0000,13220.0000,13550.0000,1160,1160,0,0,0.0000
19960628,13660.0000,13770.0000,13605.0000,13700.0000,1333,1333,0,0,0.0000
19960701,13730.0000,13922.0000,13710.0000,13895.0000,546,546,0,0,0.0000
19960702,13874.0000,13874.0000,13754.0000,13757.0000,767,767,0,0,0.0000
19960703,13730.0000,13750.0000,13600.0000,13618.0000,727,727,0,0,0.0000
19960705,13250.0000,13465.0000,13240.0000,13280.0000,440,440,0,0,0.0000
19960708,13260.0000,13405.0000,13225.0000,13255.0000,1621,1621,0,0,0.0000
19960709,13360.0000,13390.0000,13290.0000,13322.0000,621,621,0,0,0.0000
19960710,13300.0000,13333.0000,13100.0000,13318.0000,2191,2191,0,0,0.0000
19960711,13140.0000,13160.0000,12660.0000,12863.0000,2896,2896,0,0,0.0000
19960712,12980.0000,13020.0000,12640.0000,12785.0000,2452,2452,0,0,0.0000
19960715,12760.0000,12770.0000,12210.0000,12245.0000,2588,2588,0,0,0.0000
19960716,12240.0000,12460.0000,11645.0000,12450.0000,3563,3563,0,0,0.0000
19960717,12600.0000,12840.0000,12500.0000,12707.0000,3530,3530,0,0,0.0000
19960718,12760.0000,12970.0000,12650.0000,12950.0000,3176,3176,0,0,0.0000
19960719,12900.0000,12900.0000,12600.0000,12753.0000,2851,2851,0,0,0.0000
19960722,12662.0000,12662.0000,12480.0000,12570.0000,2321,2321,0,0,0.0000
19960723,12680.0000,12690.0000,12005.0000,12023.0000,1816,1816,0,0,0.0000
19960724,11780.0000,12300.0000,11690.0000,12205.0000,2362,2362,0,0,0.0000
19960725,12201.0000,12510.0000,12201.0000,12495.0000,1307,1307,0,0,0.0000
19960726,12517.0000,12750.0000,12510.0000,12742.0000,1355,1355,0,0,0.0000
19960729,12710.0000,12820.0000,12450.0000,12470.0000,1117,1117,0,0,0.0000
19960730,12620.0000,12710.0000,12450.0000,12705.0000,1344,1344,0,0,0.0000
19960731,12720.0000,12900.0000,12630.0000,12800.0000,1520,1520,0,0,0.0000
19960801,12790.0000,13125.0000,12790.0000,13035.0000,1561,1561,0,0,0.0000
19960802,13240.0000,13495.0000,13240.0000,13427.0000,2314,2314,0,0,0.0000
19960805,13440.0000,13480.0000,13300.0000,13308.0000,1245,1245,0,0,0.0000
