DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,15200.0000,15240.0000,15180.0000,15180.0000,43,43,0,0,0.0000
19900103,15140.0000,15140.0000,15040.0000,15140.0000,213,213,0,0,0.0000
19900104,15280.0000,15300.0000,15220.0000,15260.0000,232,232,0,0,0.0000
19900105,15300.0000,15420.0000,15300.0000,15400.0000,532,532,0,0,0.0000
19900108,15600.0000,16000.0000,15600.0000,16000.0000,406,406,0,0,0.0000
19900109,16120.0000,16120.0000,15980.0000,15990.0000,674,674,0,0,0.0000
19900110,15840.0000,16060.0000,15840.0000,15860.0000,398,398,0,0,0.0000
19900111,15900.0000,16040.0000,15880.0000,15940.0000,745,745,0,0,0.0000
19900112,16500.0000,16500.0000,16060.0000,16100.0000,407,407,0,0,0.0000
19900115,16120.0000,16320.0000,16120.0000,16300.0000,85,85,0,0,0.0000
19900116,16500.0000,16860.0000,16420.0000,16860.0000,517,517,0,0,0.0000
19900117,16900.0000,16900.0000,16670.0000,16680.0000,645,645,0,0,0.0000
19900118,16760.0000,17080.0000,16760.0000,17000.0000,393,393,0,0,0.0000
19900119,16940.0000,17040.0000,16820.0000,16840.0000,336,336,0,0,0.0000
19900122,16840.0000,16840.0000,16680.0000,16760.0000,126,126,0,0,0.0000
19900123,16680.0000,16760.0000,16680.0000,16720.0000,264,264,0,0,0.0000
19900124,16640.0000,16660.0000,16480.0000,16560.0000,216,216,0,0,0.0000
19900125,16600.0000,16760.0000,16600.0000,16720.0000,214,214,0,0,0.0000
19900126,16680.0000,16680.0000,16460.0000,16520.0000,273,273,0,0,0.0000
19900129,16660.0000,16660.0000,16520.0000,16580.0000,166,166,0,0,0.0000
19900130,16560.0000,16660.0000,16560.0000,16620.0000,268,268,0,0,0.0000
19900131,16620.0000,16720.0000,16620.0000,16720.0000,164,164,0,0,0.0000
19900201,16720.0000,16800.0000,16660.0000,16740.0000,327,327,0,0,0.0000
19900202,16740.0000,16800.0000,16680.0000,16780.0000,237,237,0,0,0.0000
19900205,16740.0000,16800.0000,16740.0000,16780.0000,335,335,0,0,0.0000
19900206,16840.0000,16880.0000,16720.0000,16800.0000,276,276,0,0,0.0000
19900207,16800.0000,16800.0000,16700.0000,16780.0000,188,188,0,0,0.0000
19900208,16820.0000,16840.0000,16660.0000,16660.0000,137,137,0,0,0.0000
19900209,16640.0000,16840.0000,16560.0000,16820.0000,329,329,0,0,0.0000
19900212,16900.0000,16900.0000,16820.0000,16860.0000,221,221,0,0,0.0000
19900213,16860.0000,16940.0000,16800.0000,16880.0000,279,279,0,0,0.0000
19900214,16860.0000,16860.0000,16620.0000,16800.0000,372,372,0,0,0.0000
19900215,16700.0000,16760.0000,16640.0000,16740.0000,157,157,0,0,0.0000
19900216,16600.0000,16600.0000,16440.0000,16500.0000,328,328,0,0,0.0000
19900220,16460.0000,16480.0000,16280.0000,16380.0000,237,237,0,0,0.0000
19900221,16200.0000,16200.0000,15920.0000,15980.0000,486,486,199005,199005,0.0000
19900222,16300.0000,16500.0000,16300.0000,16350.0000,289,289,0,0,360.0000
19900223,16360.0000,16500.0000,16360.0000,16500.0000,353,353,0,0,0.0000
19900226,16580.0000,16600.0000,16400.0000,16400.0000,381,381,0,0,0.0000
19900227,16320.0000,16440.0000,16280.0000,16370.0000,560,560,0,0,0.0000
19900228,16300.0000,16380.0000,16060.0000,16280.0000,273,273,0,0,0.0000
19900301,16300.0000,16400.0000,16200.0000,16400.0000,218,218,0,0,0.0000
19900302,16400.0000,16560.0000,16400.0000,16550.0000,424,424,0,0,0.0000
19900305,16560.0000,16660.0000,16560.0000,16640.0000,148,148,0,0,0.0000
19900306,16600.0000,16700.0000,16600.0000,16660.0000,93,93,0,0,0.0000
19900307,16660.0000,16880.0000,16660.0000,16870.0000,384,384,0,0,0.0000
19900308,16800.0000,16960.0000,16760.0000,16860.0000,115,115,0,0,0.0000
19900309,16860.0000,16860.0000,16640.0000,16680.0000,159,159,0,0,0.0000
19900312,16680.0000,16720.0000,16580.0000,16600.0000,216,216,0,0,0.0000
19900313,16640.0000,16640.0000,16420.0000,16480.0000,221,221,0,0,0.0000
19900314,16460.0000,16760.0000,16440.0000,16760.0000,289,289,0,0,0.0000
19900315,16760.0000,16840.0000,16660.0000,16760.0000,152,152,0,0,0.0000
19900316,16780.0000,16840.0000,16520.0000,16520.0000,190,190,0,0,0.0000
19900319,16480.0000,16620.0000,16480.0000,16620.0000,169,169,0,0,0.0000
19900320,16580.0000,16620.0000,16480.0000,16490.0000,67,67,0,0,0.0000
19900321,16560.0000,16590.0000,16500.0000,16590.0000,207,207,0,0,0.0000
19900322,16600.0000,16600.0000,16280.0000,16280.0000,124,124,0,0,0.0000
19900323,16200.0000,16220.0000,15860.0000,16040.0000,351,351,0,0,0.0000
19900326,16040.0000,16120.0000,16020.0000,16120.0000,56,56,0,0,0.0000
19900327,16180.0000,16300.0000,16090.0000,16220.0000,217,217,0,0,0.0000
19900328,16220.0000,16220.0000,16180.0000,16200.0000,35,35,0,0,0.0000
19900329,16210.0000,16210.0000,15600.0000,15840.0000,329,329,0,0,0.0000
19900330,15760.0000,15800.0000,15700.0000,15800.0000,113,113,0,0,0.0000
19900402,16000.0000,16340.0000,16000.0000,16330.0000,173,173,0,0,0.0000
19900403,16360.0000,16540.0000,16300.0000,16460.0000,337,337,0,0,0.0000
19900404,16400.0000,16520.0000,16380.0000,16500.0000,308,308,0,0,0.0000
19900405,16500.0000,16600.0000,16420.0000,16420.0000,251,251,0,0,0.0000
19900406,16400.0000,16400.0000,16320.0000,16360.0000,84,84,0,0,0.0000
19900409,16440.0000,16440.0000,16200.0000,16200.0000,202,202,0,0,0.0000
19900410,16100.0000,16240.0000,16060.0000,16230.0000,433,433,0,0,0.0000
19900411,16400.0000,16400.0000,16240.0000,16280.0000,67,67,0,0,0.0000
19900412,16360.0000,16540.0000,16360.0000,16540.0000,224,224,0,0,0.0000
19900416,16580.0000,16660.0000,16540.0000,16540.0000,164,164,0,0,0.0000
19900417,16480.0000,16520.0000,16360.0000,16520.0000,154,154,0,0,0.0000
19900418,16520.0000,16740.0000,16520.0000,16640.0000,269,269,0,0,0.0000
19900419,16600.0000,16640.0000,16560.0000,16580.0000,350,350,199007,199007,0.0000
19900420,17100.0000,17100.0000,16860.0000,16860.0000,295,295,0,0,640.0000
19900423,16740.0000,16780.0000,16600.0000,16630.0000,427,427,0,0,0.0000
19900424,16580.0000,16700.0000,16580.0000,16620.0000,529,529,0,0,0.0000
19900425,16400.0000,16480.0000,16300.0000,16480.0000,623,623,0,0,0.0000
19900426,16460.0000,16620.0000,16440.0000,16440.0000,210,210,0,0,0.0000
19900427,16400.0000,16480.0000,16280.0000,16400.0000,309,309,0,0,0.0000
19900430,16450.0000,16540.0000,16260.0000,16260.0000,280,280,0,0,0.0000
19900501,16360.0000,16460.0000,16300.0000,16330.0000,251,251,0,0,0.0000
19900502,16240.0000,16260.0000,16100.0000,16240.0000,395,395,0,0,0.0000
19900503,16260.0000,16300.0000,15940.0000,15940.0000,457,457,0,0,0.0000
19900504,15840.0000,15860.0000,15480.0000,15490.0000,703,703,0,0,0.0000
19900507,15500.0000,15600.0000,14900.0000,15060.0000,368,368,0,0,0.0000
19900508,15000.0000,15040.0000,14820.0000,14920.0000,475,475,0,0,0.0000
19900509,14940.0000,15160.0000,14920.0000,15020.0000,383,383,0,0,0.0000
19900510,15000.0000,15120.0000,14840.0000,15040.0000,112,112,0,0,0.0000
19900511,15100.0000,15200.0000,15100.0000,15180.0000,112,112,0,0,0.0000
19900514,15380.0000,15700.0000,15380.0000,15670.0000,325,325,0,0,0.0000
19900515,15760.0000,15760.0000,15600.0000,15720.0000,200,200,0,0,0.0000
19900516,15800.0000,15940.0000,15780.0000,15880.0000,208,208,0,0,0.0000
19900517,15880.0000,16160.0000,15860.0000,15860.0000,407,407,0,0,0.0000
19900518,15800.0000,15800.0000,15400.0000,15400.0000,372,372,0,0,0.0000
19900521,15500.0000,15840.0000,15440.0000,15840.0000,334,334,0,0,0.0000
19900522,15880.0000,16220.0000,15880.0000,16100.0000,317,317,0,0,0.0000
19900523,16160.0000,16460.0000,16100.0000,16260.0000,237,237,0,0,0.0000
19900524,16200.0000,16260.0000,16120.0000,16180.0000,203,203,0,0,0.0000
19900525,16100.0000,16240.0000,16030.0000,16100.0000,160,160,0,0,0.0000
19900529,16140.0000,16140.0000,15970.0000,15980.0000,96,96,0,0,0.0000
19900530,15880.0000,15880.0000,15560.0000,15570.0000,352,352,0,0,0.0000
19900531,15520.0000,15640.0000,15460.0000,15640.0000,247,247,0,0,0.0000
19900601,15640.0000,15760.0000,15620.0000,15760.0000,185,185,0,0,0.0000
19900604,15740.0000,15740.0000,15540.0000,15600.0000,121,121,0,0,0.0000
19900605,15640.0000,15660.0000,15640.0000,15640.0000,78,78,0,0,0.0000
19900606,15640.0000,15660.0000,15540.0000,15580.0000,119,119,0,0,0.0000
19900607,15620.0000,15920.0000,15620.0000,15890.0000,122,122,0,0,0.0000
19900608,15900.0000,15900.0000,15700.0000,15700.0000,44,44,0,0,0.0000
19900611,15680.0000,15680.0000,15460.0000,15540.0000,202,202,0,0,0.0000
19900612,15600.0000,15620.0000,15480.0000,15520.0000,238,238,0,0,0.0000
19900613,15480.0000,15800.0000,15440.0000,15800.0000,177,177,0,0,0.0000
19900614,15700.0000,15800.0000,15620.0000,15800.0000,391,391,0,0,0.0000
19900615,15880.0000,16100.0000,15880.0000,16060.0000,280,280,0,0,0.0000
19900618,16060.0000,16060.0000,15900.0000,16000.0000,230,230,0,0,0.0000
19900619,16000.0000,16000.0000,15880.0000,15910.0000,210,210,0,0,0.0000
