DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,7675.0000,7675.0000,7562.5000,7562.5000,411,411,0,0,0.0000
19900103,7525.0000,7662.5000,7512.5000,7650.0000,869,869,0,0,0.0000
19900104,7750.0000,7750.0000,7500.0000,7537.5000,1812,1812,0,0,0.0000
19900105,7525.0000,7600.0000,7525.0000,7587.5000,284,284,0,0,0.0000
19900108,7612.5000,7650.0000,7475.0000,7537.5000,977,977,0,0,0.0000
19900109,7575.0000,7587.5000,7475.0000,7475.0000,506,506,0,0,0.0000
19900110,7325.0000,7400.0000,7250.0000,7250.0000,3862,3862,0,0,0.0000
19900111,7225.0000,7250.0000,7162.5000,7175.0000,1597,1597,0,0,0.0000
19900112,7200.0000,7237.5000,7125.0000,7150.0000,1227,1227,0,0,0.0000
19900115,7137.5000,7187.5000,7125.0000,7175.0000,584,584,0,0,0.0000
19900116,7150.0000,7200.0000,7112.5000,7112.5000,827,827,0,0,0.0000
19900117,7087.5000,7100.0000,6937.5000,6975.0000,1644,1644,0,0,0.0000
19900118,6875.0000,6962.5000,6875.0000,6912.5000,2013,2013,0,0,0.0000
19900119,6962.5000,7000.0000,6912.5000,6950.0000,1063,1063,0,0,0.0000
19900122,6912.5000,6950.0000,6787.5000,6837.5000,1832,1832,0,0,0.0000
19900123,6850.0000,6937.5000,6825.0000,6925.0000,783,783,0,0,0.0000
19900124,6912.5000,6975.0000,6912.5000,6950.0000,283,283,0,0,0.0000
19900125,6912.5000,6925.0000,6850.0000,6850.0000,759,759,0,0,0.0000
19900126,6825.0000,6887.5000,6812.5000,6862.5000,573,573,0,0,0.0000
19900129,6900.0000,6925.0000,6800.0000,6912.5000,881,881,0,0,0.0000
19900130,6937.5000,6937.5000,6850.0000,6862.5000,389,389,0,0,0.0000
19900131,6825.0000,6825.0000,6750.0000,6762.5000,1487,1487,0,0,0.0000
19900201,6737.5000,6887.5000,6675.0000,6787.5000,1892,1892,0,0,0.0000
19900202,6737.5000,6812.5000,6725.0000,6800.0000,947,947,0,0,0.0000
19900205,6762.5000,6762.5000,6725.0000,6750.0000,1185,1185,0,0,0.0000
19900206,6737.5000,6787.5000,6737.5000,6775.0000,922,922,0,0,0.0000
19900207,6750.0000,6862.5000,6750.0000,6862.5000,1494,1494,0,0,0.0000
19900208,6850.0000,6850.0000,6800.0000,6850.0000,701,701,0,0,0.0000
19900209,6862.5000,6925.0000,6837.5000,6900.0000,1022,1022,0,0,0.0000
19900212,6925.0000,6975.0000,6900.0000,6975.0000,1743,1743,199005,199005,0.0000
19900213,7400.0000,7475.0000,7400.0000,7425.0000,1589,1589,0,0,425.0000
19900214,7412.5000,7475.0000,7375.0000,7475.0000,1951,1951,0,0,0.0000
19900215,7475.0000,7487.5000,7437.5000,7450.0000,1376,1376,0,0,0.0000
19900216,7425.0000,7425.0000,7325.0000,7337.5000,615,615,0,0,0.0000
19900220,7250.0000,7287.5000,7125.0000,7137.5000,2393,2393,0,0,0.0000
19900221,7100.0000,7225.0000,7100.0000,7212.5000,2219,2219,0,0,0.0000
19900222,7200.0000,7300.0000,7162.5000,7237.5000,2196,2196,0,0,0.0000
