DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,25208.0000,25208.0000,25208.0000,25208.0000,3047,3047,0,0,0.0000
19900103,25275.0000,26408.0000,24975.0000,26288.0000,5417,5417,0,0,0.0000
19900104,26325.0000,26460.0000,25740.0000,25890.0000,3115,3115,0,0,0.0000
19900105,25770.0000,26640.0000,25770.0000,26640.0000,1524,1524,0,0,0.0000
19900108,27390.0000,27390.0000,27390.0000,27390.0000,819,819,0,0,0.0000
19900109,28140.0000,28140.0000,28140.0000,28140.0000,2721,2721,0,0,0.0000
19900110,28200.0000,29100.0000,28088.0000,28275.0000,5323,5323,0,0,0.0000
19900111,28200.0000,28410.0000,28020.0000,28275.0000,2685,2685,0,0,0.0000
19900112,29025.0000,29025.0000,29025.0000,29025.0000,1111,1111,0,0,0.0000
19900115,29775.0000,29775.0000,28875.0000,29273.0000,3323,3323,0,0,0.0000
19900116,29100.0000,30023.0000,29025.0000,29805.0000,2256,2256,0,0,0.0000
19900117,29775.0000,30150.0000,29700.0000,30075.0000,2875,2875,0,0,0.0000
19900118,29850.0000,29955.0000,29325.0000,29325.0000,2712,2712,0,0,0.0000
19900119,29175.0000,29850.0000,29175.0000,29670.0000,1663,1663,0,0,0.0000
19900122,30375.0000,30975.0000,30375.0000,30803.0000,1981,1981,0,0,0.0000
19900123,30863.0000,30863.0000,30450.0000,30675.0000,3217,3217,0,0,0.0000
19900124,30188.0000,30338.0000,29190.0000,29273.0000,2296,2296,0,0,0.0000
19900125,29400.0000,29700.0000,29115.0000,29610.0000,3003,3003,0,0,0.0000
19900126,29475.0000,29610.0000,29138.0000,29520.0000,1709,1709,0,0,0.0000
19900129,29663.0000,29843.0000,29025.0000,29640.0000,1495,1495,0,0,0.0000
19900130,29640.0000,29693.0000,29363.0000,29588.0000,770,770,0,0,0.0000
19900131,29550.0000,29738.0000,29490.0000,29715.0000,1123,1123,0,0,0.0000
19900201,29738.0000,29760.0000,29415.0000,29490.0000,974,974,0,0,0.0000
19900202,29340.0000,29565.0000,29288.0000,29550.0000,1020,1020,0,0,0.0000
19900205,29325.0000,29400.0000,28538.0000,28598.0000,2370,2370,0,0,0.0000
19900206,28200.0000,29325.0000,28140.0000,29258.0000,2934,2934,0,0,0.0000
19900207,29175.0000,30000.0000,28838.0000,29768.0000,3027,3027,0,0,0.0000
19900208,29625.0000,29888.0000,29475.0000,29775.0000,2000,2000,0,0,0.0000
19900209,29640.0000,29738.0000,29445.0000,29663.0000,1499,1499,0,0,0.0000
19900212,29363.0000,29685.0000,29190.0000,29648.0000,1629,1629,0,0,0.0000
19900213,29715.0000,30563.0000,29715.0000,30510.0000,2339,2339,0,0,0.0000
19900214,30510.0000,30510.0000,30165.0000,30360.0000,1013,1013,0,0,0.0000
19900215,30360.0000,30435.0000,30083.0000,30180.0000,742,742,0,0,0.0000
19900216,30083.0000,30090.0000,29790.0000,29948.0000,834,834,0,0,0.0000
19900220,30000.0000,30143.0000,29970.0000,30113.0000,871,871,0,0,0.0000
19900221,30113.0000,30263.0000,30000.0000,30158.0000,1509,1509,0,0,0.0000
19900222,30338.0000,30338.0000,29475.0000,29730.0000,1360,1360,199005,199005,0.0000
19900223,29025.0000,29130.0000,28830.0000,28958.0000,1842,1842,0,0,-750.0000
19900226,28755.0000,28800.0000,28515.0000,28553.0000,2751,2751,0,0,0.0000
19900227,28515.0000,29025.0000,28440.0000,28748.0000,2198,2198,0,0,0.0000
19900228,28575.0000,28860.0000,28523.0000,28628.0000,1524,1524,0,0,0.0000
19900301,28725.0000,28845.0000,28590.0000,28620.0000,1178,1178,0,0,0.0000
19900302,28650.0000,28650.0000,28155.0000,28238.0000,1887,1887,0,0,0.0000
19900305,27930.0000,28988.0000,27923.0000,28695.0000,2227,2227,0,0,0.0000
19900306,28590.0000,28950.0000,28590.0000,28778.0000,1729,1729,0,0,0.0000
19900307,29025.0000,29228.0000,28680.0000,29063.0000,1698,1698,0,0,0.0000
19900308,28913.0000,29040.0000,28800.0000,28875.0000,1075,1075,0,0,0.0000
19900309,28725.0000,28793.0000,28508.0000,28530.0000,1230,1230,0,0,0.0000
19900312,28275.0000,28575.0000,28245.0000,28320.0000,1126,1126,0,0,0.0000
19900313,28050.0000,28710.0000,28005.0000,28598.0000,1573,1573,0,0,0.0000
19900314,28628.0000,28650.0000,28365.0000,28448.0000,1099,1099,0,0,0.0000
19900315,28448.0000,28860.0000,28440.0000,28830.0000,1163,1163,0,0,0.0000
