DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,13400.0000,13575.0000,13200.0000,13570.0000,169,169,0,0,0.0000
19900103,13570.0000,13575.0000,13400.0000,13475.0000,109,109,0,0,0.0000
19900104,13650.0000,13650.0000,13500.0000,13625.0000,110,110,0,0,0.0000
19900105,13700.0000,13900.0000,13550.0000,13690.0000,309,309,0,0,0.0000
19900108,13700.0000,13750.0000,13650.0000,13680.0000,1,1,0,0,0.0000
19900109,13670.0000,13750.0000,13650.0000,13695.0000,422,422,0,0,0.0000
19900110,13700.0000,13775.0000,13700.0000,13770.0000,119,119,0,0,0.0000
19900111,13775.0000,13790.0000,13700.0000,13725.0000,153,153,0,0,0.0000
19900112,13800.0000,13900.0000,13800.0000,13830.0000,372,372,0,0,0.0000
19900115,13875.0000,13990.0000,13850.0000,13910.0000,575,575,0,0,0.0000
19900116,13800.0000,13850.0000,13500.0000,13720.0000,268,268,0,0,0.0000
19900117,13725.0000,13725.0000,13575.0000,13630.0000,412,412,0,0,0.0000
19900118,13700.0000,13725.0000,13575.0000,13575.0000,239,239,0,0,0.0000
19900119,13550.0000,13625.0000,13510.0000,13590.0000,310,310,0,0,0.0000
19900122,13575.0000,13600.0000,13475.0000,13525.0000,136,136,0,0,0.0000
19900123,13600.0000,13640.0000,13575.0000,13635.0000,161,161,0,0,0.0000
19900124,13700.0000,13750.0000,13600.0000,13615.0000,341,341,0,0,0.0000
19900125,13650.0000,13700.0000,13575.0000,13655.0000,135,135,0,0,0.0000
19900126,13705.0000,13775.0000,13700.0000,13765.0000,171,171,0,0,0.0000
19900129,13800.0000,13840.0000,13750.0000,13780.0000,151,151,0,0,0.0000
19900130,13700.0000,13775.0000,13700.0000,13770.0000,147,147,0,0,0.0000
19900131,13650.0000,13725.0000,13650.0000,13680.0000,214,214,0,0,0.0000
19900201,13700.0000,13720.0000,13675.0000,13695.0000,299,299,0,0,0.0000
19900202,13675.0000,13700.0000,13500.0000,13605.0000,409,409,0,0,0.0000
19900205,13700.0000,13750.0000,13675.0000,13700.0000,254,254,0,0,0.0000
19900206,13700.0000,13725.0000,13675.0000,13685.0000,515,515,0,0,0.0000
19900207,13650.0000,13775.0000,13600.0000,13635.0000,569,569,0,0,0.0000
19900208,13650.0000,13725.0000,13625.0000,13700.0000,421,421,0,0,0.0000
19900209,13700.0000,13700.0000,13600.0000,13625.0000,514,514,0,0,0.0000
19900212,13600.0000,13800.0000,13575.0000,13665.0000,709,709,0,0,0.0000
19900213,13650.0000,13775.0000,13650.0000,13730.0000,795,795,0,0,0.0000
19900214,13700.0000,13725.0000,13650.0000,13675.0000,249,249,0,0,0.0000
19900215,13725.0000,13800.0000,13500.0000,13510.0000,4296,4296,0,0,0.0000
19900216,13600.0000,13625.0000,13450.0000,13495.0000,955,955,0,0,0.0000
19900220,13575.0000,13775.0000,13575.0000,13600.0000,545,545,0,0,0.0000
19900221,13625.0000,13650.0000,13500.0000,13545.0000,531,531,199006,199006,0.0000
19900222,13675.0000,13700.0000,13600.0000,13635.0000,689,689,0,0,125.0000
19900223,13625.0000,13650.0000,13500.0000,13535.0000,841,841,0,0,0.0000
19900226,13500.0000,13500.0000,12935.0000,12935.0000,1617,1617,0,0,0.0000
19900227,12850.0000,12950.0000,12650.0000,12825.0000,1832,1832,0,0,0.0000
19900228,12890.0000,13000.0000,12800.0000,12900.0000,1183,1183,0,0,0.0000
19900301,12850.0000,12925.0000,12805.0000,12850.0000,372,372,0,0,0.0000
19900302,12875.0000,13300.0000,12875.0000,13185.0000,766,766,0,0,0.0000
19900305,13150.0000,13275.0000,13050.0000,13235.0000,606,606,0,0,0.0000
19900306,13250.0000,13340.0000,13225.0000,13235.0000,397,397,0,0,0.0000
19900307,13300.0000,13300.0000,13100.0000,13240.0000,242,242,0,0,0.0000
