DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,24200.0000,24250.0000,23975.0000,24110.0000,5236,5236,0,0,0.0000
19900103,24210.0000,24250.0000,23650.0000,23905.0000,6051,6051,0,0,0.0000
19900104,24475.0000,24745.0000,24275.0000,24720.0000,7098,7098,0,0,0.0000
19900105,24900.0000,25175.0000,24850.0000,24990.0000,5806,5806,0,0,0.0000
19900108,24850.0000,24950.0000,24510.0000,24610.0000,3143,3143,0,0,0.0000
19900109,24725.0000,24900.0000,24725.0000,24870.0000,1876,1876,0,0,0.0000
19900110,24975.0000,25400.0000,24925.0000,25270.0000,3830,3830,0,0,0.0000
19900111,25225.0000,25290.0000,25130.0000,25180.0000,2105,2105,0,0,0.0000
19900112,25450.0000,25730.0000,25300.0000,25375.0000,4988,4988,0,0,0.0000
19900115,25550.0000,25550.0000,25025.0000,25305.0000,2552,2552,0,0,0.0000
19900116,25150.0000,25250.0000,24975.0000,25100.0000,2787,2787,0,0,0.0000
19900117,25100.0000,25225.0000,24975.0000,25205.0000,1833,1833,0,0,0.0000
19900118,25300.0000,25400.0000,24910.0000,25005.0000,2526,2526,0,0,0.0000
19900119,25000.0000,25240.0000,24900.0000,25200.0000,1594,1594,0,0,0.0000
19900122,25030.0000,25125.0000,24800.0000,25100.0000,2520,2520,0,0,0.0000
19900123,25125.0000,25300.0000,25075.0000,25230.0000,3614,3614,0,0,0.0000
19900124,25400.0000,25775.0000,25325.0000,25490.0000,5038,5038,0,0,0.0000
19900125,25450.0000,25800.0000,25400.0000,25665.0000,3142,3142,0,0,0.0000
19900126,25950.0000,26245.0000,25825.0000,26180.0000,5635,5635,0,0,0.0000
19900129,26150.0000,26450.0000,26055.0000,26195.0000,6218,6218,0,0,0.0000
19900130,26000.0000,26125.0000,25875.0000,25980.0000,4259,4259,0,0,0.0000
19900131,25725.0000,25850.0000,25575.0000,25610.0000,3791,3791,0,0,0.0000
19900201,25650.0000,25875.0000,25625.0000,25870.0000,1966,1966,0,0,0.0000
19900202,25900.0000,25925.0000,25775.0000,25790.0000,908,908,0,0,0.0000
19900205,25925.0000,26125.0000,25900.0000,25950.0000,2340,2340,0,0,0.0000
19900206,25950.0000,25990.0000,25825.0000,25915.0000,1530,1530,0,0,0.0000
19900207,25825.0000,26075.0000,25500.0000,25600.0000,4328,4328,0,0,0.0000
19900208,25675.0000,25770.0000,25600.0000,25680.0000,2185,2185,0,0,0.0000
19900209,25725.0000,25775.0000,25525.0000,25705.0000,2223,2223,0,0,0.0000
19900212,25700.0000,26375.0000,25650.0000,26195.0000,5938,5938,0,0,0.0000
19900213,26200.0000,26265.0000,26080.0000,26125.0000,2997,2997,0,0,0.0000
19900214,26050.0000,26575.0000,25950.0000,26345.0000,6389,6389,0,0,0.0000
19900215,26450.0000,26490.0000,26050.0000,26145.0000,9862,9862,0,0,0.0000
19900216,26225.0000,26450.0000,26125.0000,26270.0000,5324,5324,0,0,0.0000
19900220,26500.0000,26750.0000,26350.0000,26720.0000,6237,6237,0,0,0.0000
19900221,26725.0000,26845.0000,26530.0000,26540.0000,3436,3436,0,0,0.0000
19900222,26450.0000,26550.0000,26250.0000,26305.0000,4297,4297,0,0,0.0000
19900223,26350.0000,26440.0000,26200.0000,26325.0000,2495,2495,0,0,0.0000
19900226,26100.0000,26100.0000,25300.0000,25555.0000,7942,7942,0,0,0.0000
