DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
20060523,93240.0000,93870.0000,93030.0000,93555.0000,NaN,NaN,0,0,0.0000
20060524,91980.0000,92505.0000,90090.0000,90266.4000,NaN,NaN,0,0,0.0000
20060525,91140.0000,92610.0000,91140.0000,92542.8000,NaN,NaN,0,0,0.0000
20060526,93030.0000,95130.0000,93030.0000,95088.0000,NaN,NaN,0,0,0.0000
20060530,97230.0000,97440.0000,95760.0000,96692.4000,NaN,NaN,0,0,0.0000
20060531,94815.0000,95340.0000,92715.0000,94714.2000,10162,10162,0,0,0.0000
20060601,94290.0000,98385.0000,94248.0000,95533.2000,6301,6301,0,0,0.0000
20060602,96810.0000,99330.0000,96390.0000,99225.0000,6301,6301,0,0,0.0000
20060605,99960.0000,99960.0000,98070.0000,98141.4000,6301,6301,0,0,0.0000
20060606,97650.0000,98700.0000,96810.0000,98548.8000,6301,6301,0,0,0.0000
20060607,97440.0000,97440.0000,94710.0000,95025.0000,6301,6301,0,0,0.0000
20060608,93555.0000,96180.0000,93135.0000,95705.4000,6301,6301,200608,200608,0.0000
20060609,95760.0000,97650.0000,95235.0000,97540.8000,6301,6301,0,0,0.0000
20060612,95340.0000,95760.0000,95340.0000,95466.0000,6301,6301,0,0,0.0000
20060613,93240.0000,93240.0000,91770.0000,91963.2000,6301,6301,0,0,0.0000
20060614,91140.0000,91560.0000,90300.0000,91560.0000,6301,6301,0,0,0.0000
20060615,91980.0000,92862.0000,91980.0000,92362.2000,6301,6301,0,0,0.0000
20060616,91140.0000,92190.0000,91140.0000,92177.4000,6301,6301,0,0,0.0000
20060619,91560.0000,91560.0000,90300.0000,90598.2000,6301,6301,0,0,0.0000
20060620,91560.0000,91770.0000,90615.0000,91068.6000,6301,6301,0,0,0.0000
20060621,91980.0000,93660.0000,91980.0000,92916.6000,6301,6301,0,0,0.0000
20060622,93450.0000,95340.0000,93240.0000,95033.4000,6301,6301,0,0,0.0000
20060623,95550.0000,96075.0000,95340.0000,96003.6000,6301,6301,0,0,0.0000
20060626,95865.0000,98280.0000,95760.0000,97717.2000,6301,6301,0,0,0.0000
20060627,98490.0000,98805.0000,97020.0000,97322.4000,6301,6301,0,0,0.0000
20060628,97440.0000,97650.0000,95970.0000,97099.8000,6301,6301,0,0,0.0000
20060629,98490.0000,99855.0000,98490.0000,98763.0000,6301,6301,0,0,0.0000
20060630,98805.0000,100380.0000,98700.0000,100153.2000,6301,6301,0,0,0.0000
20060705,102060.0000,102690.0000,100380.0000,101396.4000,6301,6301,0,0,0.0000
20060706,100800.0000,101115.0000,99120.0000,101031.0000,6301,6301,0,0,0.0000
20060707,101325.0000,101325.0000,99750.0000,100279.2000,6301,6301,0,0,0.0000
20060710,99015.0000,99015.0000,96600.0000,96805.8000,6301,6301,200609,200609,0.0000
20060711,97440.0000,97440.0000,96600.0000,96726.0000,6301,6301,0,0,420.0000
20060712,97440.0000,99330.0000,96915.0000,98884.8000,6301,6301,0,0,0.0000
20060713,100065.0000,100800.0000,99540.0000,100094.4000,6301,6301,0,0,0.0000
20060714,97440.0000,102060.0000,97440.0000,101778.6000,6301,6301,0,0,0.0000
20060717,101640.0000,101640.0000,99960.0000,100031.4000,6301,6301,0,0,0.0000
