DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,29100.0000,29100.0000,28750.0000,28787.5000,39296,41185,0,0,0.0000
19900103,28750.0000,29112.5000,28700.0000,29075.0000,41543,42002,0,0,0.0000
19900104,29150.0000,29212.5000,28800.0000,28825.0000,38533,42314,0,0,0.0000
19900105,28775.0000,28975.0000,28712.5000,28850.0000,31070,42684,0,0,0.0000
19900108,28925.0000,29200.0000,28900.0000,29175.0000,32373,42409,0,0,0.0000
19900109,29150.0000,29225.0000,29075.0000,29137.5000,25414,42582,0,0,0.0000
19900110,29100.0000,29137.5000,28900.0000,28987.5000,24550,42152,0,0,0.0000
19900111,29050.0000,29162.5000,29000.0000,29100.0000,22410,41396,0,0,0.0000
19900112,29250.0000,29325.0000,28825.0000,28887.5000,38319,42398,0,0,0.0000
19900115,28850.0000,28925.0000,28775.0000,28787.5000,22181,41570,0,0,0.0000
19900116,28725.0000,28762.5000,28362.5000,28400.0000,42643,41270,0,0,0.0000
19900117,28375.0000,28575.0000,28350.0000,28375.0000,31536,40902,0,0,0.0000
19900118,28425.0000,28550.0000,28350.0000,28512.5000,21448,41308,0,0,0.0000
19900119,28525.0000,28525.0000,28250.0000,28275.0000,21950,41140,0,0,0.0000
19900122,28225.0000,28350.0000,28075.0000,28300.0000,29017,40181,0,0,0.0000
19900123,28325.0000,28437.5000,28275.0000,28362.5000,16172,39789,0,0,0.0000
19900124,28350.0000,28600.0000,28237.5000,28300.0000,27572,39239,0,0,0.0000
19900125,28225.0000,28275.0000,27900.0000,27912.5000,36722,38233,0,0,0.0000
19900126,27950.0000,28050.0000,27875.0000,27925.0000,24119,36596,0,0,0.0000
19900129,27825.0000,28200.0000,27675.0000,28175.0000,31861,36750,0,0,0.0000
19900130,28200.0000,28225.0000,27850.0000,27925.0000,30111,36274,0,0,0.0000
19900131,27950.0000,28175.0000,27900.0000,28050.0000,26744,35523,0,0,0.0000
19900201,28075.0000,28375.0000,27975.0000,27987.5000,31746,35881,0,0,0.0000
19900202,27950.0000,28075.0000,27900.0000,28012.5000,20714,35503,0,0,0.0000
19900205,28050.0000,28162.5000,27900.0000,27912.5000,20824,35752,0,0,0.0000
19900206,27925.0000,28150.0000,27875.0000,28137.5000,23062,35394,0,0,0.0000
19900207,28175.0000,28425.0000,28175.0000,28387.5000,33691,35518,0,0,0.0000
19900208,28350.0000,28425.0000,28212.5000,28237.5000,24042,35175,0,0,0.0000
19900209,28300.0000,28525.0000,28212.5000,28337.5000,25690,34072,0,0,0.0000
19900212,28400.0000,28475.0000,28250.0000,28262.5000,23908,33357,0,0,0.0000
19900213,28200.0000,28325.0000,28175.0000,28200.0000,26044,32570,0,0,0.0000
19900214,28200.0000,28375.0000,28162.5000,28337.5000,20729,32330,0,0,0.0000
19900215,28425.0000,28575.0000,28375.0000,28550.0000,26929,30811,0,0,0.0000
19900216,28500.0000,28562.5000,28400.0000,28487.5000,21238,27884,0,0,0.0000
19900220,28450.0000,28537.5000,28300.0000,28312.5000,26018,25881,0,0,0.0000
19900221,28300.0000,28700.0000,28275.0000,28550.0000,33101,23557,199005,199005,0.0000
19900222,29100.0000,29175.0000,28987.5000,29012.5000,25952,31330,0,0,625.0000
19900223,29075.0000,29075.0000,28875.0000,28887.5000,24756,31410,0,0,0.0000
19900226,28850.0000,28850.0000,28637.5000,28712.5000,37322,32064,0,0,0.0000
19900227,28650.0000,28812.5000,28650.0000,28737.5000,40487,35101,0,0,0.0000
19900228,28700.0000,29050.0000,28687.5000,29037.5000,48355,39006,0,0,0.0000
19900301,29025.0000,29400.0000,28975.0000,29050.0000,49352,41217,0,0,0.0000
19900302,29075.0000,29150.0000,28875.0000,29137.5000,38138,41287,0,0,0.0000
