DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,14773.0000,14874.0000,14560.0000,14582.0000,8048,64830,0,0,0.0000
19900103,14538.0000,15960.0000,14538.0000,15926.0000,36950,65107,0,0,0.0000
19900104,15736.0000,15960.0000,15602.0000,15870.0000,33602,62775,0,0,0.0000
19900105,15814.0000,15982.0000,15702.0000,15859.0000,18548,63951,0,0,0.0000
19900108,15904.0000,16094.0000,15736.0000,15747.0000,18273,64061,0,0,0.0000
19900109,15826.0000,16061.0000,15725.0000,16050.0000,19707,64064,0,0,0.0000
19900110,16240.0000,16341.0000,16072.0000,16285.0000,32784,64753,0,0,0.0000
19900111,16240.0000,16330.0000,16173.0000,16262.0000,17258,63366,0,0,0.0000
19900112,16274.0000,16531.0000,16229.0000,16307.0000,32109,61254,0,0,0.0000
19900115,16218.0000,16464.0000,16218.0000,16408.0000,16329,59897,0,0,0.0000
19900116,15960.0000,16397.0000,15882.0000,16218.0000,36941,59497,0,0,0.0000
19900117,16240.0000,16498.0000,15994.0000,16016.0000,30236,59031,0,0,0.0000
19900118,16016.0000,16173.0000,15982.0000,16139.0000,15750,58729,0,0,0.0000
19900119,16128.0000,16162.0000,15960.0000,15971.0000,9533,58377,0,0,0.0000
19900122,15904.0000,16419.0000,15904.0000,16352.0000,22498,58771,0,0,0.0000
19900123,16442.0000,16688.0000,16442.0000,16475.0000,21968,58333,0,0,0.0000
19900124,16408.0000,16632.0000,16341.0000,16632.0000,15642,58296,0,0,0.0000
19900125,16778.0000,17080.0000,16666.0000,16979.0000,39443,59062,0,0,0.0000
19900126,16957.0000,16990.0000,16643.0000,16643.0000,26886,58400,0,0,0.0000
19900129,16722.0000,16755.0000,16542.0000,16654.0000,17438,56138,0,0,0.0000
19900130,16722.0000,16856.0000,16162.0000,16173.0000,32366,52725,0,0,0.0000
19900131,16206.0000,16520.0000,16139.0000,16498.0000,17577,51578,0,0,0.0000
19900201,16632.0000,16934.0000,16240.0000,16576.0000,35021,50750,0,0,0.0000
19900202,16598.0000,16710.0000,16430.0000,16587.0000,15552,50732,0,0,0.0000
19900205,16464.0000,16699.0000,16464.0000,16643.0000,10379,49636,0,0,0.0000
19900206,16520.0000,16542.0000,16330.0000,16352.0000,19734,50902,0,0,0.0000
19900207,16184.0000,16800.0000,16184.0000,16766.0000,40273,47606,0,0,0.0000
19900208,16666.0000,16755.0000,16576.0000,16643.0000,21595,46050,0,0,0.0000
19900209,16666.0000,16968.0000,16621.0000,16934.0000,57393,46454,0,0,0.0000
19900212,16856.0000,16990.0000,16699.0000,16733.0000,20689,43718,0,0,0.0000
19900213,16632.0000,16654.0000,16296.0000,16307.0000,34734,37736,0,0,0.0000
19900214,16453.0000,16621.0000,16408.0000,16464.0000,26333,34061,0,0,0.0000
19900215,16374.0000,16554.0000,16341.0000,16509.0000,22004,28940,0,0,0.0000
19900216,16453.0000,16610.0000,16442.0000,16554.0000,17407,27112,0,0,0.0000
19900220,16554.0000,16576.0000,16173.0000,16229.0000,28903,23590,0,0,0.0000
19900221,16184.0000,16330.0000,16184.0000,16318.0000,23734,21414,199005,199005,0.0000
19900222,16274.0000,16654.0000,16195.0000,16632.0000,32200,55389,0,0,56.0000
19900223,16542.0000,16610.0000,16285.0000,16307.0000,22899,55182,0,0,0.0000
19900226,16218.0000,16442.0000,16206.0000,16218.0000,26129,54387,0,0,0.0000
19900227,16128.0000,16229.0000,15938.0000,16218.0000,42703,54476,0,0,0.0000
19900228,16128.0000,16274.0000,16106.0000,16195.0000,24904,55366,0,0,0.0000
19900301,16173.0000,16262.0000,15926.0000,15938.0000,17711,53733,0,0,0.0000
19900302,15994.0000,16251.0000,15882.0000,16206.0000,24749,51243,0,0,0.0000
19900305,16330.0000,16800.0000,16274.0000,16778.0000,35246,50888,0,0,0.0000
19900306,16733.0000,16845.0000,16621.0000,16643.0000,28942,51015,0,0,0.0000
19900307,16834.0000,16912.0000,16755.0000,16867.0000,17576,51724,0,0,0.0000
19900308,16934.0000,17438.0000,16934.0000,17382.0000,54906,59381,0,0,0.0000
19900309,17416.0000,17651.0000,17416.0000,17640.0000,41044,64633,0,0,0.0000
19900312,17338.0000,17562.0000,17293.0000,17438.0000,21146,63626,0,0,0.0000
19900313,17382.0000,17640.0000,17382.0000,17618.0000,17303,63813,0,0,0.0000
19900314,17763.0000,17808.0000,17394.0000,17405.0000,25827,62899,0,0,0.0000
19900315,17438.0000,17942.0000,17427.0000,17842.0000,28731,65175,0,0,0.0000
19900316,18144.0000,18234.0000,18054.0000,18066.0000,34510,64776,0,0,0.0000
19900319,17763.0000,17886.0000,17618.0000,17774.0000,31867,62684,0,0,0.0000
19900320,17920.0000,17976.0000,17618.0000,17730.0000,33172,60027,0,0,0.0000
19900321,17550.0000,17898.0000,17550.0000,17685.0000,23940,59898,0,0,0.0000
19900322,17550.0000,17584.0000,17315.0000,17338.0000,36323,56849,0,0,0.0000
19900323,17450.0000,17528.0000,17349.0000,17405.0000,14779,57113,0,0,0.0000
19900326,17270.0000,17472.0000,17270.0000,17416.0000,11226,55280,0,0,0.0000
19900327,17248.0000,17405.0000,17102.0000,17192.0000,26685,53309,0,0,0.0000
19900328,17181.0000,17562.0000,17181.0000,17461.0000,25643,52202,0,0,0.0000
19900329,17326.0000,17606.0000,17326.0000,17584.0000,19724,50189,0,0,0.0000
19900330,17696.0000,17774.0000,17550.0000,17573.0000,16971,50797,0,0,0.0000
19900402,17416.0000,17528.0000,16890.0000,16901.0000,30910,47183,0,0,0.0000
19900403,16957.0000,17226.0000,16957.0000,17080.0000,32593,44068,0,0,0.0000
19900404,17002.0000,17136.0000,16890.0000,17024.0000,23064,42015,0,0,0.0000
19900405,17002.0000,17125.0000,16834.0000,16934.0000,24144,39797,0,0,0.0000
19900406,16856.0000,17102.0000,16845.0000,16979.0000,19208,37243,0,0,0.0000
19900409,16856.0000,17326.0000,16856.0000,17315.0000,24186,36062,0,0,0.0000
19900410,17304.0000,17382.0000,17170.0000,17360.0000,21261,33694,0,0,0.0000
19900411,17382.0000,17405.0000,17237.0000,17326.0000,21960,29928,0,0,0.0000
19900412,17382.0000,17405.0000,17181.0000,17192.0000,30469,28247,0,0,0.0000
19900416,17147.0000,17170.0000,16710.0000,16778.0000,31516,24783,0,0,0.0000
19900417,16789.0000,16957.0000,16699.0000,16710.0000,21893,21376,0,0,0.0000
19900418,16688.0000,17349.0000,16688.0000,17248.0000,30471,18894,0,0,0.0000
19900419,17181.0000,17214.0000,16890.0000,16979.0000,24140,16730,199007,199007,0.0000
19900420,17192.0000,17282.0000,17069.0000,17214.0000,21186,53161,0,0,168.0000
19900423,17226.0000,17237.0000,17125.0000,17181.0000,12261,53576,0,0,0.0000
19900424,17270.0000,17427.0000,17270.0000,17315.0000,27679,55812,0,0,0.0000
19900425,17618.0000,17842.0000,17618.0000,17752.0000,37070,59622,0,0,0.0000
19900426,17741.0000,17819.0000,17595.0000,17730.0000,31436,64054,0,0,0.0000
19900427,17942.0000,17976.0000,17909.0000,17976.0000,12986,65511,0,0,0.0000
19900430,17920.0000,17976.0000,17763.0000,17942.0000,26959,66679,0,0,0.0000
19900501,17920.0000,18222.0000,17606.0000,17875.0000,38927,69069,0,0,0.0000
19900502,17808.0000,17965.0000,17674.0000,17808.0000,18909,69504,0,0,0.0000
19900503,17651.0000,17797.0000,17461.0000,17472.0000,23706,68052,0,0,0.0000
19900504,17371.0000,17450.0000,15960.0000,16173.0000,81320,58854,0,0,0.0000
19900507,16262.0000,16554.0000,16128.0000,16352.0000,35945,53287,0,0,0.0000
19900508,16442.0000,16565.0000,16352.0000,16554.0000,23034,50934,0,0,0.0000
19900509,16587.0000,16632.0000,16173.0000,16419.0000,26256,51035,0,0,0.0000
19900510,16274.0000,16498.0000,16240.0000,16408.0000,16710,50163,0,0,0.0000
19900511,16576.0000,16733.0000,16576.0000,16666.0000,21307,50264,0,0,0.0000
19900514,16677.0000,16856.0000,16430.0000,16565.0000,20150,49430,0,0,0.0000
