DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,80287.5000,80337.5000,78700.0000,78725.0000,30286,30286,0,0,0.0000
19900103,79250.0000,79387.5000,78750.0000,78912.5000,23619,23619,0,0,0.0000
19900104,79925.0000,81387.5000,79762.5000,81187.5000,29407,29407,0,0,0.0000
19900105,80437.5000,81437.5000,80437.5000,81012.5000,25572,25572,0,0,0.0000
19900108,81562.5000,82125.0000,81537.5000,81875.0000,21005,21005,0,0,0.0000
19900109,81750.0000,82350.0000,81425.0000,82112.5000,21607,21607,0,0,0.0000
19900110,82500.0000,82975.0000,82150.0000,82312.5000,29335,29335,0,0,0.0000
19900111,82375.0000,83050.0000,81950.0000,82787.5000,31145,31145,0,0,0.0000
19900112,83200.0000,83862.5000,82875.0000,83250.0000,35868,35868,0,0,0.0000
19900115,83175.0000,83275.0000,82325.0000,82550.0000,16929,16929,0,0,0.0000
19900116,81625.0000,82750.0000,81587.5000,82487.5000,27995,27995,0,0,0.0000
19900117,82700.0000,83312.5000,82550.0000,82837.5000,22152,22152,0,0,0.0000
19900118,82312.5000,82575.0000,81725.0000,81912.5000,23469,23469,0,0,0.0000
19900119,81800.0000,82450.0000,81800.0000,82012.5000,20291,20291,0,0,0.0000
19900122,81762.5000,81787.5000,81037.5000,81212.5000,22244,22244,0,0,0.0000
19900123,82137.5000,82962.5000,82100.0000,82600.0000,30484,30484,0,0,0.0000
19900124,83525.0000,83887.5000,83000.0000,83150.0000,30694,30694,0,0,0.0000
19900125,83725.0000,84062.5000,83500.0000,83875.0000,25392,25392,0,0,0.0000
19900126,83725.0000,83850.0000,83237.5000,83725.0000,24956,24956,0,0,0.0000
19900129,84250.0000,84300.0000,83787.5000,84100.0000,24185,24185,0,0,0.0000
19900130,83925.0000,84100.0000,82437.5000,82975.0000,25808,25808,0,0,0.0000
19900131,83562.5000,83750.0000,82925.0000,83187.5000,27463,27463,0,0,0.0000
19900201,83375.0000,83712.5000,83012.5000,83687.5000,20201,20201,0,0,0.0000
19900202,83362.5000,83700.0000,83112.5000,83650.0000,21788,21788,0,0,0.0000
19900205,84000.0000,84750.0000,83962.5000,84712.5000,22444,22444,0,0,0.0000
19900206,84687.5000,84750.0000,84300.0000,84450.0000,19859,19859,0,0,0.0000
19900207,84537.5000,84587.5000,83562.5000,83700.0000,32071,32071,0,0,0.0000
19900208,83875.0000,83875.0000,83450.0000,83775.0000,25301,25301,0,0,0.0000
19900209,83700.0000,83837.5000,83225.0000,83737.5000,24359,24359,0,0,0.0000
19900212,83350.0000,83612.5000,83162.5000,83212.5000,22548,22548,0,0,0.0000
19900213,83087.5000,83575.0000,82875.0000,83300.0000,23069,23069,0,0,0.0000
19900214,83512.5000,83812.5000,83450.0000,83612.5000,16372,16372,0,0,0.0000
19900215,83625.0000,83687.5000,82825.0000,82987.5000,18989,18989,0,0,0.0000
19900216,83000.0000,83812.5000,82500.0000,83787.5000,32758,32758,0,0,0.0000
19900220,84262.5000,84537.5000,83987.5000,84512.5000,24740,24740,0,0,0.0000
19900221,84775.0000,84912.5000,84425.0000,84575.0000,20513,20513,0,0,0.0000
19900222,84600.0000,85062.5000,84375.0000,84575.0000,27586,27586,0,0,0.0000
19900223,84737.5000,84887.5000,84487.5000,84850.0000,17299,17299,0,0,0.0000
19900226,84412.5000,84475.0000,83662.5000,83787.5000,28229,28229,0,0,0.0000
19900227,83887.5000,84350.0000,83800.0000,84187.5000,23517,23517,0,0,0.0000
19900228,84062.5000,84100.0000,83187.5000,83362.5000,27802,27802,0,0,0.0000
19900301,83225.0000,83350.0000,82500.0000,82712.5000,35818,35818,0,0,0.0000
19900302,83000.0000,83375.0000,82312.5000,82837.5000,35227,35227,0,0,0.0000
19900305,83400.0000,83650.0000,83050.0000,83550.0000,26136,26136,0,0,0.0000
19900306,83550.0000,83637.5000,83187.5000,83312.5000,16554,16554,0,0,0.0000
19900307,83162.5000,83325.0000,82687.5000,83125.0000,22775,22775,199006,199006,0.0000
19900308,83062.5000,83100.0000,82750.0000,82912.5000,19886,19886,0,0,-50.0000
19900309,82700.0000,82875.0000,82375.0000,82762.5000,21068,21068,0,0,0.0000
19900312,82412.5000,82587.5000,81512.5000,81712.5000,33909,33909,0,0,0.0000
19900313,81662.5000,82225.0000,81400.0000,81950.0000,42838,42838,0,0,0.0000
19900314,81862.5000,82100.0000,81637.5000,81862.5000,20694,20694,0,0,0.0000
19900315,81737.5000,82362.5000,81662.5000,82287.5000,21302,21302,0,0,0.0000
19900316,82350.0000,83000.0000,82312.5000,82700.0000,24510,24510,0,0,0.0000
19900319,82750.0000,82962.5000,82650.0000,82762.5000,17285,17285,0,0,0.0000
19900320,82837.5000,83000.0000,81775.0000,81887.5000,31524,31524,0,0,0.0000
19900321,82037.5000,82250.0000,81875.0000,82050.0000,20598,20598,0,0,0.0000
19900322,81975.0000,82875.0000,81962.5000,82675.0000,24269,24269,0,0,0.0000
19900323,82562.5000,82912.5000,82012.5000,82212.5000,23867,23867,0,0,0.0000
19900326,82225.0000,82437.5000,81600.0000,82112.5000,25997,25997,0,0,0.0000
19900327,82037.5000,82300.0000,81837.5000,82175.0000,18480,18480,0,0,0.0000
19900328,82175.0000,82612.5000,82100.0000,82300.0000,23105,23105,0,0,0.0000
19900329,82862.5000,83587.5000,82862.5000,83525.0000,29327,29327,0,0,0.0000
19900330,83175.0000,83675.0000,82900.0000,83450.0000,25909,25909,0,0,0.0000
19900402,82912.5000,83112.5000,82737.5000,83087.5000,15478,15478,0,0,0.0000
19900403,83075.0000,83225.0000,82962.5000,83062.5000,14724,14724,0,0,0.0000
19900404,82937.5000,83062.5000,82775.0000,82925.0000,12484,12484,0,0,0.0000
19900405,83087.5000,83225.0000,82987.5000,83112.5000,5960,5960,0,0,0.0000
19900406,83312.5000,83500.0000,83062.5000,83187.5000,11040,11040,0,0,0.0000
19900409,83475.0000,83562.5000,83250.0000,83275.0000,11524,11524,0,0,0.0000
19900410,83262.5000,84275.0000,83225.0000,84237.5000,19392,19392,0,0,0.0000
19900411,84000.0000,84400.0000,83937.5000,84362.5000,16771,16771,0,0,0.0000
19900412,84037.5000,84450.0000,84037.5000,84337.5000,10772,10772,0,0,0.0000
19900416,83900.0000,83900.0000,83375.0000,83775.0000,10892,10892,0,0,0.0000
19900417,83637.5000,83850.0000,83537.5000,83787.5000,8649,8649,0,0,0.0000
19900418,83650.0000,84625.0000,83575.0000,84587.5000,19589,19589,0,0,0.0000
19900419,84375.0000,84537.5000,83775.0000,84100.0000,20574,20574,0,0,0.0000
19900420,84087.5000,84175.0000,83512.5000,83925.0000,21325,21325,0,0,0.0000
19900423,83750.0000,83812.5000,83475.0000,83575.0000,14835,14835,0,0,0.0000
19900424,83725.0000,84025.0000,83612.5000,83787.5000,14231,14231,0,0,0.0000
19900425,84400.0000,85562.5000,84325.0000,85462.5000,37511,37511,0,0,0.0000
19900426,85537.5000,85750.0000,85375.0000,85575.0000,27854,27854,0,0,0.0000
19900427,85575.0000,86100.0000,85200.0000,85962.5000,23947,23947,0,0,0.0000
19900430,85700.0000,86275.0000,85500.0000,86075.0000,20795,20795,0,0,0.0000
19900501,85637.5000,86037.5000,85587.5000,85862.5000,13942,13942,0,0,0.0000
19900502,85500.0000,86100.0000,85475.0000,85837.5000,16896,16896,0,0,0.0000
19900503,85825.0000,86025.0000,85737.5000,85837.5000,11587,11587,0,0,0.0000
19900504,85862.5000,86725.0000,85825.0000,86612.5000,22781,22781,0,0,0.0000
19900507,86800.0000,87450.0000,86775.0000,87250.0000,27858,27858,0,0,0.0000
19900508,87075.0000,87375.0000,86912.5000,87300.0000,18197,18197,0,0,0.0000
19900509,88762.5000,89537.5000,88537.5000,89175.0000,40281,40281,0,0,0.0000
19900510,89562.5000,89750.0000,89100.0000,89737.5000,31154,31154,0,0,0.0000
19900511,89525.0000,90062.5000,88912.5000,89175.0000,30623,30623,0,0,0.0000
19900514,89437.5000,89775.0000,89337.5000,89775.0000,22362,22362,0,0,0.0000
19900515,89787.5000,89837.5000,89012.5000,89525.0000,28200,28200,0,0,0.0000
19900516,89200.0000,89400.0000,89050.0000,89175.0000,22431,22431,0,0,0.0000
19900517,89237.5000,89537.5000,88612.5000,88887.5000,32561,32561,0,0,0.0000
19900518,89012.5000,89100.0000,88712.5000,89012.5000,13472,13472,0,0,0.0000
19900521,88150.0000,88212.5000,87687.5000,87875.0000,25446,25446,0,0,0.0000
