DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,26125.0000,26750.0000,26125.0000,26265.0000,16538,16538,0,0,0.0000
19900103,26125.0000,26300.0000,25880.0000,26100.0000,15805,15805,0,0,0.0000
19900104,26325.0000,26750.0000,26325.0000,26675.0000,19740,19740,0,0,0.0000
19900105,26650.0000,27000.0000,26375.0000,26925.0000,21103,21103,0,0,0.0000
19900108,26650.0000,26875.0000,26530.0000,26550.0000,10083,10083,0,0,0.0000
19900109,26550.0000,26625.0000,26325.0000,26490.0000,11111,11111,0,0,0.0000
19900110,26600.0000,26975.0000,26600.0000,26840.0000,16811,16811,0,0,0.0000
19900111,26800.0000,27050.0000,26725.0000,26825.0000,10944,10944,0,0,0.0000
19900112,26930.0000,27225.0000,26925.0000,26940.0000,22921,22921,0,0,0.0000
19900115,26950.0000,26975.0000,26400.0000,26490.0000,15898,15898,0,0,0.0000
19900116,26375.0000,26700.0000,26275.0000,26425.0000,16271,16271,0,0,0.0000
19900117,26350.0000,26550.0000,26275.0000,26540.0000,9187,9187,0,0,0.0000
19900118,26575.0000,26670.0000,26175.0000,26200.0000,19598,19598,0,0,0.0000
19900119,26100.0000,26375.0000,26100.0000,26250.0000,8251,8251,0,0,0.0000
19900122,26125.0000,26625.0000,26000.0000,26575.0000,13996,13996,0,0,0.0000
19900123,26500.0000,26800.0000,26475.0000,26700.0000,16982,16982,0,0,0.0000
19900124,26850.0000,27050.0000,26225.0000,26290.0000,29574,29574,0,0,0.0000
19900125,26250.0000,26450.0000,26225.0000,26265.0000,15361,15361,0,0,0.0000
19900126,26450.0000,26700.0000,26150.0000,26300.0000,16374,16374,0,0,0.0000
19900129,26325.0000,26375.0000,26100.0000,26265.0000,12746,12746,0,0,0.0000
19900130,26175.0000,26400.0000,26150.0000,26225.0000,10464,10464,0,0,0.0000
19900131,26100.0000,26250.0000,26000.0000,26140.0000,12782,12782,0,0,0.0000
19900201,26175.0000,26650.0000,26175.0000,26640.0000,17559,17559,0,0,0.0000
19900202,26630.0000,26800.0000,26480.0000,26690.0000,13727,13727,0,0,0.0000
19900205,26725.0000,27025.0000,26700.0000,26790.0000,20279,20279,0,0,0.0000
19900206,26625.0000,26800.0000,26555.0000,26675.0000,13426,13426,0,0,0.0000
19900207,26580.0000,27200.0000,26580.0000,26680.0000,27962,27962,0,0,0.0000
19900208,26625.0000,26825.0000,26575.0000,26715.0000,12589,12589,0,0,0.0000
19900209,26575.0000,26650.0000,26300.0000,26365.0000,17505,17505,0,0,0.0000
19900212,26425.0000,26725.0000,26425.0000,26525.0000,12670,12670,0,0,0.0000
19900213,26725.0000,26950.0000,26600.0000,26665.0000,19479,19479,0,0,0.0000
19900214,26500.0000,26750.0000,26450.0000,26650.0000,13415,13415,0,0,0.0000
19900215,26705.0000,26920.0000,26575.0000,26650.0000,20341,20341,0,0,0.0000
19900216,26625.0000,26920.0000,26575.0000,26700.0000,15225,15225,0,0,0.0000
