DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,18140.0000,18140.0000,17920.0000,17960.0000,11838,11838,0,0,0.0000
19900103,17920.0000,18090.0000,17880.0000,18030.0000,13436,13436,0,0,0.0000
19900104,18120.0000,18180.0000,17970.0000,17980.0000,12653,12653,0,0,0.0000
19900105,17900.0000,18030.0000,17880.0000,17960.0000,9933,9933,0,0,0.0000
19900108,17950.0000,18020.0000,17900.0000,17990.0000,10709,10709,0,0,0.0000
19900109,17990.0000,18020.0000,17920.0000,17940.0000,14828,14828,0,0,0.0000
19900110,17950.0000,17950.0000,17830.0000,17850.0000,14035,14035,0,0,0.0000
19900111,17900.0000,17940.0000,17850.0000,17930.0000,14228,14228,0,0,0.0000
19900112,18080.0000,18080.0000,17780.0000,17800.0000,21132,21132,0,0,0.0000
19900115,17750.0000,17800.0000,17610.0000,17620.0000,16549,16549,0,0,0.0000
19900116,17570.0000,17600.0000,17380.0000,17390.0000,22153,22153,0,0,0.0000
19900117,17360.0000,17450.0000,17310.0000,17340.0000,16495,16495,0,0,0.0000
19900118,17400.0000,17420.0000,17300.0000,17350.0000,10776,10776,0,0,0.0000
19900119,17350.0000,17380.0000,17150.0000,17160.0000,15785,15785,0,0,0.0000
19900122,17110.0000,17150.0000,16970.0000,17090.0000,18692,18692,0,0,0.0000
19900123,17130.0000,17220.0000,17120.0000,17190.0000,8077,8077,0,0,0.0000
19900124,17100.0000,17370.0000,17080.0000,17120.0000,14424,14424,0,0,0.0000
19900125,17100.0000,17100.0000,16920.0000,16940.0000,14431,14431,0,0,0.0000
19900126,16960.0000,16990.0000,16850.0000,16890.0000,9758,9758,0,0,0.0000
19900129,16870.0000,16980.0000,16710.0000,16970.0000,13011,13011,0,0,0.0000
19900130,17000.0000,17000.0000,16720.0000,16760.0000,13804,13804,0,0,0.0000
19900131,16720.0000,16840.0000,16680.0000,16790.0000,11832,11832,0,0,0.0000
19900201,16800.0000,16880.0000,16730.0000,16740.0000,10103,10103,0,0,0.0000
19900202,16720.0000,16720.0000,16560.0000,16640.0000,12147,12147,0,0,0.0000
19900205,16640.0000,16700.0000,16570.0000,16620.0000,9911,9911,0,0,0.0000
19900206,16590.0000,16750.0000,16580.0000,16740.0000,13257,13257,0,0,0.0000
19900207,16800.0000,16910.0000,16770.0000,16880.0000,16358,16358,0,0,0.0000
19900208,16950.0000,16950.0000,16670.0000,16710.0000,14320,14320,0,0,0.0000
19900209,16700.0000,16800.0000,16670.0000,16720.0000,9044,9044,0,0,0.0000
19900212,16750.0000,16770.0000,16600.0000,16650.0000,10991,10991,0,0,0.0000
19900213,16630.0000,16670.0000,16540.0000,16570.0000,12936,12936,0,0,0.0000
19900214,16530.0000,16630.0000,16440.0000,16510.0000,13257,13257,0,0,0.0000
19900215,16580.0000,16630.0000,16550.0000,16560.0000,12755,12755,0,0,0.0000
19900216,16550.0000,16670.0000,16490.0000,16620.0000,11535,11535,0,0,0.0000
19900220,16620.0000,16700.0000,16560.0000,16590.0000,12234,12234,0,0,0.0000
19900221,16530.0000,16590.0000,16430.0000,16500.0000,13958,13958,199005,199005,0.0000
19900222,16900.0000,16900.0000,16730.0000,16750.0000,18162,18162,0,0,400.0000
19900223,16770.0000,16800.0000,16530.0000,16560.0000,19161,19161,0,0,0.0000
19900226,16520.0000,16570.0000,16380.0000,16540.0000,23560,23560,0,0,0.0000
19900227,16550.0000,16650.0000,16510.0000,16550.0000,23409,23409,0,0,0.0000
19900228,16500.0000,16630.0000,16460.0000,16610.0000,19297,19297,0,0,0.0000
19900301,16600.0000,16800.0000,16560.0000,16640.0000,25755,25755,0,0,0.0000
19900302,16560.0000,16610.0000,16300.0000,16440.0000,22409,22409,0,0,0.0000
19900305,16440.0000,16520.0000,16400.0000,16430.0000,14143,14143,0,0,0.0000
19900306,16430.0000,16800.0000,16400.0000,16690.0000,19069,19069,0,0,0.0000
