DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900622,198437.6000,198453.2000,198406.2000,198421.8000,3394,3394,0,0,0.0000
19900625,198437.6000,198437.6000,198250.0000,198265.6000,755,755,0,0,0.0000
19900626,198218.8000,198531.2000,198156.2000,198281.2000,1448,1448,0,0,0.0000
19900627,198312.6000,198453.2000,198312.6000,198453.2000,235,235,0,0,0.0000
19900628,198468.8000,198703.2000,198468.8000,198687.6000,725,725,0,0,0.0000
19900629,198718.8000,198937.6000,198593.8000,198906.2000,148,148,0,0,0.0000
19900702,198843.8000,198953.2000,198843.8000,198890.6000,168,168,0,0,0.0000
19900703,198875.0000,199031.2000,198859.4000,199031.2000,94,94,0,0,0.0000
19900705,199000.0000,199062.6000,198921.8000,198921.8000,962,962,0,0,0.0000
19900706,198828.2000,198828.2000,198437.6000,198500.0000,204,204,0,0,0.0000
19900709,198406.2000,198406.2000,198312.6000,198343.8000,331,331,0,0,0.0000
19900710,198406.2000,198406.2000,198234.4000,198281.2000,221,221,0,0,0.0000
19900711,198343.8000,198468.8000,198343.8000,198375.0000,719,719,0,0,0.0000
19900712,198406.2000,199000.0000,198140.6000,198953.2000,735,735,0,0,0.0000
19900713,199125.0000,199375.0000,198750.0000,199171.8000,1396,1396,0,0,0.0000
19900716,199093.8000,199156.2000,199093.8000,199156.2000,662,662,0,0,0.0000
19900717,199093.8000,199250.0000,199093.8000,199218.8000,499,499,0,0,0.0000
19900718,199140.6000,199312.6000,199031.2000,199187.6000,442,442,0,0,0.0000
19900719,199062.6000,199250.0000,199062.6000,199234.4000,652,652,0,0,0.0000
19900720,199343.8000,199437.6000,199312.6000,199406.2000,1272,1272,0,0,0.0000
19900723,199156.2000,199875.0000,199156.2000,199500.0000,1302,1302,0,0,0.0000
19900724,199312.6000,199390.6000,199250.0000,199250.0000,516,516,0,0,0.0000
19900725,199296.8000,199500.0000,199281.2000,199312.6000,1113,1113,0,0,0.0000
19900726,199312.6000,199375.0000,199312.6000,199343.8000,168,168,0,0,0.0000
19900727,199312.6000,199718.8000,199312.6000,199687.6000,1341,1341,0,0,0.0000
19900730,199750.0000,200062.6000,199750.0000,200062.6000,831,831,0,0,0.0000
19900731,200000.0000,200140.6000,199953.2000,200140.6000,292,292,0,0,0.0000
19900801,200140.6000,200500.0000,200140.6000,200437.6000,1094,1094,0,0,0.0000
19900802,200218.8000,200375.0000,200125.0000,200125.0000,538,538,0,0,0.0000
19900803,200062.6000,200812.6000,200062.6000,200468.8000,1136,1136,0,0,0.0000
19900806,200375.0000,200812.6000,200078.2000,200078.2000,2713,2713,0,0,0.0000
19900807,200250.0000,200265.6000,199718.8000,199718.8000,683,683,0,0,0.0000
19900808,199812.6000,199875.0000,199625.0000,199625.0000,561,561,0,0,0.0000
19900809,199812.6000,199937.6000,199656.2000,199781.2000,1016,1016,0,0,0.0000
19900810,199968.8000,199968.8000,199968.8000,199968.8000,155,155,0,0,0.0000
19900813,199968.8000,200062.6000,199968.8000,200031.2000,79,79,0,0,0.0000
19900814,200000.0000,200062.6000,199984.4000,200015.6000,229,229,0,0,0.0000
19900815,200093.8000,200218.8000,199968.8000,200000.0000,347,347,0,0,0.0000
19900816,199875.0000,199875.0000,199468.8000,199500.0000,539,539,0,0,0.0000
19900817,199390.6000,199500.0000,199281.2000,199406.2000,605,605,0,0,0.0000
19900820,199406.2000,199421.8000,199343.8000,199390.6000,567,567,0,0,0.0000
19900821,199093.8000,199234.4000,199093.8000,199156.2000,182,182,0,0,0.0000
19900822,199062.6000,199187.6000,198937.6000,199000.0000,505,505,0,0,0.0000
19900823,198812.6000,199093.8000,198750.0000,198937.6000,2412,2412,199012,199012,0.0000
19900824,198750.0000,198843.8000,198593.8000,198656.2000,582,582,0,0,-187.6000
19900827,198984.4000,199000.0000,198937.6000,199000.0000,794,794,0,0,0.0000
19900828,198937.6000,198937.6000,198812.6000,198843.8000,263,263,0,0,0.0000
19900829,198953.2000,199125.0000,198921.8000,199125.0000,3347,3347,0,0,0.0000
19900830,199171.8000,199281.2000,199062.6000,199234.4000,3351,3351,0,0,0.0000
19900831,199437.6000,199437.6000,199343.8000,199437.6000,888,888,0,0,0.0000
19900904,199343.8000,199468.8000,199312.6000,199375.0000,1536,1536,0,0,0.0000
19900905,199531.2000,199562.6000,199453.2000,199562.6000,591,591,0,0,0.0000
19900906,199562.6000,199593.8000,199500.0000,199515.6000,1935,1935,0,0,0.0000
