DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,20400.0000,20537.5000,20362.5000,20437.5000,5769,24514,0,0,0.0000
19900103,20400.0000,20512.5000,20350.0000,20500.0000,4989,24484,0,0,0.0000
19900104,20512.5000,20550.0000,20425.0000,20462.5000,6399,24204,0,0,0.0000
19900105,20400.0000,20525.0000,20375.0000,20487.5000,5656,24340,0,0,0.0000
19900108,20575.0000,20600.0000,20475.0000,20500.0000,6619,24182,0,0,0.0000
19900109,20450.0000,20450.0000,20312.5000,20337.5000,8262,24163,0,0,0.0000
19900110,20300.0000,20312.5000,20162.5000,20275.0000,10753,23930,0,0,0.0000
19900111,20300.0000,20362.5000,20150.0000,20237.5000,12580,23303,0,0,0.0000
19900112,20375.0000,20375.0000,20025.0000,20075.0000,18777,23549,0,0,0.0000
19900115,20050.0000,20075.0000,19875.0000,19975.0000,16853,23908,0,0,0.0000
19900116,19975.0000,20050.0000,19887.5000,19912.5000,10214,23216,0,0,0.0000
19900117,19900.0000,20075.0000,19862.5000,20050.0000,7782,23164,0,0,0.0000
19900118,20075.0000,20100.0000,19800.0000,19887.5000,10847,23553,0,0,0.0000
19900119,19850.0000,19850.0000,19587.5000,19600.0000,12119,23532,0,0,0.0000
19900122,19575.0000,19712.5000,19562.5000,19625.0000,8700,23013,0,0,0.0000
19900123,19650.0000,19687.5000,19575.0000,19637.5000,4555,22761,0,0,0.0000
19900124,19587.5000,19675.0000,19562.5000,19575.0000,6415,22763,0,0,0.0000
19900125,19500.0000,19500.0000,19212.5000,19275.0000,13260,22478,0,0,0.0000
19900126,19275.0000,19325.0000,19050.0000,19062.5000,10586,21573,0,0,0.0000
19900129,19037.5000,19125.0000,18575.0000,18937.5000,18305,20760,0,0,0.0000
19900130,19012.5000,19025.0000,18762.5000,18800.0000,6908,20515,0,0,0.0000
19900131,18850.0000,18975.0000,18750.0000,18787.5000,5421,20438,0,0,0.0000
19900201,18775.0000,18875.0000,18662.5000,18762.5000,6945,20225,0,0,0.0000
19900202,18712.5000,18975.0000,18687.5000,18950.0000,8032,20540,0,0,0.0000
19900205,19000.0000,19200.0000,19000.0000,19175.0000,10240,20279,0,0,0.0000
19900206,19100.0000,19225.0000,19062.5000,19137.5000,8532,20246,0,0,0.0000
19900207,19200.0000,19250.0000,19137.5000,19150.0000,7093,19485,0,0,0.0000
19900208,19137.5000,19150.0000,19012.5000,19125.0000,6643,19744,0,0,0.0000
19900209,19175.0000,19400.0000,19175.0000,19337.5000,13912,18940,0,0,0.0000
19900212,19375.0000,19512.5000,19375.0000,19500.0000,8394,18349,0,0,0.0000
19900213,19475.0000,19475.0000,19262.5000,19275.0000,10148,19213,0,0,0.0000
19900214,19250.0000,19387.5000,19150.0000,19362.5000,11767,18651,0,0,0.0000
19900215,19412.5000,19450.0000,19212.5000,19312.5000,8748,18080,0,0,0.0000
19900216,19312.5000,19387.5000,19175.0000,19200.0000,9454,16623,0,0,0.0000
