DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
20020604,32830.0000,32870.0000,32300.0000,32300.0000,1884,1884,0,0,0.0000
20020605,32410.0000,32590.0000,32260.0000,32280.0000,3388,3388,0,0,0.0000
20020606,32430.0000,32700.0000,32040.0000,32100.0000,1034,1034,200209,200209,0.0000
20020607,31310.0000,31570.0000,31310.0000,31570.0000,1820,1820,0,0,-140.0000
20020610,31920.0000,31920.0000,31680.0000,31680.0000,5157,5157,0,0,0.0000
20020611,32040.0000,32280.0000,32040.0000,32250.0000,1792,1792,0,0,0.0000
20020612,31610.0000,31620.0000,31300.0000,31320.0000,2050,2050,0,0,0.0000
20020613,31540.0000,31540.0000,30830.0000,30940.0000,2058,2058,0,0,0.0000
20020614,30580.0000,30580.0000,29860.0000,30090.0000,3755,3755,0,0,0.0000
20020617,30490.0000,31510.0000,30360.0000,31510.0000,5479,5479,0,0,0.0000
20020618,31370.0000,31410.0000,30990.0000,31080.0000,9102,9102,0,0,0.0000
20020619,30500.0000,30730.0000,30320.0000,30350.0000,19413,19413,0,0,0.0000
20020620,30250.0000,30520.0000,29750.0000,29860.0000,11819,11819,0,0,0.0000
20020621,29400.0000,30220.0000,29230.0000,29700.0000,3264,3264,0,0,0.0000
20020624,29950.0000,30000.0000,28600.0000,29230.0000,2200,2200,0,0,0.0000
20020625,29600.0000,29870.0000,29480.0000,29660.0000,2245,2245,0,0,0.0000
20020626,28180.0000,29150.0000,27950.0000,28950.0000,6322,6322,0,0,0.0000
20020627,29530.0000,29920.0000,29200.0000,29700.0000,2373,2373,0,0,0.0000
20020628,30250.0000,30670.0000,29960.0000,30560.0000,1503,1503,0,0,0.0000
20020701,30320.0000,31200.0000,30260.0000,30660.0000,2880,2880,0,0,0.0000
20020702,30060.0000,30370.0000,29420.0000,29610.0000,2585,2585,0,0,0.0000
20020703,29780.0000,29890.0000,28710.0000,28880.0000,2744,2744,0,0,0.0000
20020704,29560.0000,29840.0000,29200.0000,29785.0000,2439,2439,0,0,0.0000
20020705,30000.0000,31260.0000,29950.0000,31070.0000,2572,2572,0,0,0.0000
20020708,30700.0000,30930.0000,30470.0000,30780.0000,1462,1462,0,0,0.0000
20020709,30720.0000,30940.0000,30030.0000,30410.0000,1385,1385,0,0,0.0000
20020710,29770.0000,30070.0000,29150.0000,29310.0000,2061,2061,0,0,0.0000
20020711,28360.0000,28830.0000,27800.0000,28240.0000,2577,2577,0,0,0.0000
20020712,29150.0000,29150.0000,27870.0000,28280.0000,1637,1637,0,0,0.0000
20020715,28300.0000,28470.0000,26350.0000,26350.0000,7593,7593,0,0,0.0000
20020716,27140.0000,27140.0000,25270.0000,26670.0000,6075,6075,0,0,0.0000
20020717,26250.0000,27850.0000,26060.0000,27480.0000,1805,1805,0,0,0.0000
20020718,27280.0000,28280.0000,27280.0000,27840.0000,4542,4542,0,0,0.0000
20020719,27150.0000,27150.0000,26310.0000,26310.0000,1555,1555,0,0,0.0000
20020722,25500.0000,26010.0000,24300.0000,24790.0000,2523,2523,0,0,0.0000
20020723,25290.0000,25800.0000,24130.0000,24130.0000,1648,1648,0,0,0.0000
20020724,24310.0000,24750.0000,22950.0000,24700.0000,4642,4642,0,0,0.0000
20020725,25700.0000,25770.0000,24600.0000,25000.0000,4241,4241,0,0,0.0000
20020726,25100.0000,25880.0000,24330.0000,25670.0000,4505,4505,0,0,0.0000
20020729,26010.0000,27760.0000,25950.0000,27730.0000,2225,2225,0,0,0.0000
20020730,28000.0000,28000.0000,26840.0000,27470.0000,1240,1240,0,0,0.0000
20020731,27410.0000,28050.0000,26830.0000,27430.0000,2485,2485,0,0,0.0000
20020801,27190.0000,27640.0000,25810.0000,26110.0000,1628,1628,0,0,0.0000
20020802,25900.0000,26190.0000,25550.0000,25750.0000,1132,1132,0,0,0.0000
20020805,25610.0000,25760.0000,24770.0000,24980.0000,1379,1379,0,0,0.0000
20020806,24680.0000,26660.0000,24360.0000,26400.0000,1316,1316,0,0,0.0000
