DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19971006,40750.0000,40890.0000,40600.0000,40855.0000,22596,22596,0,0,0.0000
19971007,40780.0000,41250.0000,40775.0000,41160.0000,21302,21302,0,0,0.0000
19971008,41250.0000,41250.0000,40500.0000,40800.0000,15260,15260,0,0,0.0000
19971009,40525.0000,40785.0000,40225.0000,40620.0000,13656,13656,0,0,0.0000
19971010,40250.0000,40650.0000,40175.0000,40615.0000,9502,9502,0,0,0.0000
19971013,40740.0000,40830.0000,40615.0000,40655.0000,7347,7347,0,0,0.0000
19971014,40775.0000,40850.0000,40390.0000,40740.0000,15156,15156,0,0,0.0000
19971015,40450.0000,40700.0000,40400.0000,40565.0000,13803,13803,0,0,0.0000
19971016,40785.0000,40810.0000,39625.0000,39840.0000,15284,15284,0,0,0.0000
19971017,39700.0000,39820.0000,38880.0000,39475.0000,15924,15924,0,0,0.0000
19971020,39550.0000,39825.0000,39325.0000,39805.0000,14766,14766,0,0,0.0000
19971021,39975.0000,40585.0000,39915.0000,40570.0000,15872,15872,0,0,0.0000
19971022,40500.0000,40535.0000,40125.0000,40375.0000,16075,16075,0,0,0.0000
19971023,39250.0000,39825.0000,38750.0000,39425.0000,12400,12400,0,0,0.0000
19971024,39875.0000,39920.0000,38600.0000,38650.0000,16013,16013,0,0,0.0000
19971027,38300.0000,38675.0000,35900.0000,35900.0000,15859,15859,0,0,0.0000
19971028,34750.0000,37900.0000,34350.0000,37525.0000,17981,17981,0,0,0.0000
19971029,37700.0000,38300.0000,37300.0000,37760.0000,17471,17471,0,0,0.0000
19971030,36900.0000,37875.0000,36750.0000,36825.0000,11896,11896,0,0,0.0000
19971031,37500.0000,37675.0000,36875.0000,37500.0000,12641,12641,0,0,0.0000
19971103,37925.0000,38675.0000,37875.0000,38635.0000,9565,9565,0,0,0.0000
19971104,38335.0000,38675.0000,38200.0000,38515.0000,12268,12268,0,0,0.0000
19971105,38550.0000,39000.0000,38400.0000,38540.0000,11822,11822,0,0,0.0000
19971106,38460.0000,38650.0000,38260.0000,38575.0000,9753,9753,0,0,0.0000
19971107,37875.0000,38175.0000,37450.0000,38065.0000,11916,11916,0,0,0.0000
19971110,38300.0000,38400.0000,37775.0000,37895.0000,11492,11492,0,0,0.0000
19971111,37975.0000,38100.0000,37700.0000,37900.0000,5247,5247,0,0,0.0000
19971112,37325.0000,37810.0000,37000.0000,37050.0000,13371,13371,0,0,0.0000
19971113,37400.0000,37650.0000,36775.0000,37585.0000,14677,14677,0,0,0.0000
19971114,37675.0000,38075.0000,37400.0000,38000.0000,10879,10879,0,0,0.0000
19971117,38425.0000,38825.0000,38325.0000,38610.0000,10607,10607,0,0,0.0000
19971118,38650.0000,38725.0000,38275.0000,38425.0000,11005,11005,0,0,0.0000
19971119,38400.0000,38900.0000,38225.0000,38775.0000,12512,12512,0,0,0.0000
19971120,38900.0000,39375.0000,38875.0000,39285.0000,12112,12112,0,0,0.0000
19971121,39375.0000,39625.0000,39050.0000,39600.0000,11808,11808,0,0,0.0000
19971124,39275.0000,39350.0000,38850.0000,38940.0000,11309,11309,0,0,0.0000
19971125,39050.0000,39200.0000,38750.0000,39100.0000,12758,12758,0,0,0.0000
19971126,39350.0000,39350.0000,39025.0000,39075.0000,7009,7009,0,0,0.0000
19971128,39150.0000,39400.0000,39075.0000,39105.0000,3404,3404,0,0,0.0000
19971201,39350.0000,40250.0000,39295.0000,40225.0000,11335,11335,0,0,0.0000
19971202,40150.0000,40300.0000,40050.0000,40185.0000,9658,9658,0,0,0.0000
19971203,40275.0000,40475.0000,39865.0000,40200.0000,12676,12676,0,0,0.0000
19971204,40350.0000,40625.0000,40200.0000,40365.0000,14706,14706,0,0,0.0000
19971205,40000.0000,40900.0000,39950.0000,40870.0000,12910,12910,199803,199803,0.0000
19971208,41300.0000,41325.0000,40850.0000,41015.0000,11169,11169,0,0,375.0000
19971209,40800.0000,40995.0000,40575.0000,40740.0000,13768,13768,0,0,0.0000
19971210,40525.0000,40625.0000,40000.0000,40285.0000,36803,36803,0,0,0.0000
19971211,39800.0000,40025.0000,39425.0000,39640.0000,17253,17253,0,0,0.0000
19971212,39900.0000,40000.0000,39325.0000,39685.0000,17500,17500,0,0,0.0000
19971215,39800.0000,40175.0000,39750.0000,40025.0000,13278,13278,0,0,0.0000
19971216,40200.0000,40540.0000,40175.0000,40325.0000,12705,12705,0,0,0.0000
19971217,40500.0000,40570.0000,40015.0000,40095.0000,18070,18070,0,0,0.0000
19971218,40150.0000,40150.0000,39350.0000,39600.0000,16134,16134,0,0,0.0000
19971219,39200.0000,39420.0000,38175.0000,39215.0000,15518,15518,0,0,0.0000
19971222,39250.0000,39625.0000,39050.0000,39410.0000,8423,8423,0,0,0.0000
19971223,39450.0000,39500.0000,38600.0000,38725.0000,6208,6208,0,0,0.0000
19971224,38970.0000,39050.0000,38600.0000,38700.0000,3561,3561,0,0,0.0000
19971226,38850.0000,38925.0000,38625.0000,38725.0000,2281,2281,0,0,0.0000
19971229,39050.0000,39445.0000,39000.0000,39420.0000,5859,5859,0,0,0.0000
19971230,39550.0000,39975.0000,39450.0000,39900.0000,7144,7144,0,0,0.0000
19971231,39925.0000,40140.0000,39725.0000,39825.0000,4252,4252,0,0,0.0000
19980102,39975.0000,40200.0000,39675.0000,40170.0000,5314,5314,0,0,0.0000
19980105,40200.0000,40525.0000,39800.0000,40260.0000,13115,13115,0,0,0.0000
19980106,40050.0000,40075.0000,39590.0000,39675.0000,12071,12071,0,0,0.0000
19980107,39550.0000,39880.0000,39165.0000,39855.0000,13822,13822,0,0,0.0000
19980108,39575.0000,39675.0000,39190.0000,39215.0000,12319,12319,0,0,0.0000
19980109,39150.0000,39250.0000,37725.0000,37940.0000,18242,18242,0,0,0.0000
19980112,37425.0000,38550.0000,37225.0000,38475.0000,17311,17311,0,0,0.0000
19980113,38625.0000,38900.0000,38500.0000,38875.0000,14069,14069,0,0,0.0000
19980114,39075.0000,39150.0000,38700.0000,39100.0000,11748,11748,0,0,0.0000
19980115,39075.0000,39090.0000,38550.0000,38565.0000,10238,10238,0,0,0.0000
