DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,100000.0000,100062.5000,98875.0000,98962.5000,7096,19018,0,0,0.0000
19900103,99412.5000,99525.0000,99112.5000,99300.0000,7495,19103,0,0,0.0000
19900104,100037.5000,101125.0000,99900.0000,100975.0000,11911,20893,0,0,0.0000
19900105,100412.5000,101250.0000,100375.0000,101075.0000,9776,22418,0,0,0.0000
19900108,101750.0000,102225.0000,101650.0000,102125.0000,8756,22638,0,0,0.0000
19900109,102150.0000,102337.5000,101787.5000,102262.5000,7283,23074,0,0,0.0000
19900110,102537.5000,102900.0000,102250.0000,102737.5000,8444,23074,0,0,0.0000
19900111,102450.0000,102600.0000,102175.0000,102500.0000,5674,23019,0,0,0.0000
19900112,102775.0000,103362.5000,102675.0000,102850.0000,7813,23207,0,0,0.0000
19900115,103287.5000,103312.5000,102550.0000,102700.0000,6241,22819,0,0,0.0000
19900116,102137.5000,102587.5000,102075.0000,102437.5000,8153,22291,0,0,0.0000
19900117,102062.5000,102562.5000,101737.5000,102062.5000,13510,21063,0,0,0.0000
19900118,101662.5000,102087.5000,101562.5000,101687.5000,8007,21084,0,0,0.0000
19900119,101437.5000,102037.5000,101250.0000,101850.0000,6682,21298,0,0,0.0000
19900122,101525.0000,101587.5000,101050.0000,101275.0000,7842,20451,0,0,0.0000
19900123,101662.5000,102462.5000,101362.5000,102125.0000,9814,21947,0,0,0.0000
19900124,102687.5000,102875.0000,102125.0000,102200.0000,7684,21879,0,0,0.0000
19900125,102500.0000,102800.0000,102337.5000,102700.0000,6021,22097,0,0,0.0000
19900126,103025.0000,103187.5000,102487.5000,103062.5000,6862,22342,0,0,0.0000
19900129,103950.0000,104175.0000,103762.5000,104150.0000,9999,23585,0,0,0.0000
19900130,104212.5000,104512.5000,102437.5000,103600.0000,14089,24107,0,0,0.0000
19900131,104250.0000,104387.5000,103875.0000,104125.0000,7491,24461,0,0,0.0000
19900201,104375.0000,104587.5000,104175.0000,104400.0000,8022,24780,0,0,0.0000
19900202,104312.5000,104450.0000,104012.5000,104412.5000,5457,24976,0,0,0.0000
19900205,104925.0000,105487.5000,104850.0000,105437.5000,9215,26214,0,0,0.0000
19900206,105712.5000,105800.0000,105362.5000,105600.0000,8058,26467,0,0,0.0000
19900207,105775.0000,105775.0000,105025.0000,105175.0000,9289,25602,0,0,0.0000
19900208,104962.5000,105137.5000,104662.5000,105062.5000,8428,26256,0,0,0.0000
19900209,104975.0000,105375.0000,104750.0000,105250.0000,8778,26590,0,0,0.0000
19900212,105187.5000,105437.5000,105087.5000,105150.0000,10059,29687,0,0,0.0000
19900213,104625.0000,105150.0000,104500.0000,104912.5000,16622,30540,0,0,0.0000
19900214,105287.5000,105450.0000,105225.0000,105350.0000,7136,30304,0,0,0.0000
19900215,105362.5000,105450.0000,104750.0000,104850.0000,12452,28469,0,0,0.0000
19900216,104787.5000,105525.0000,104375.0000,105425.0000,10368,29003,0,0,0.0000
19900220,106162.5000,106475.0000,105862.5000,106450.0000,22235,29780,0,0,0.0000
19900221,106662.5000,106787.5000,106437.5000,106600.0000,9262,30361,0,0,0.0000
19900222,106562.5000,106862.5000,106412.5000,106500.0000,11489,30938,0,0,0.0000
19900223,106425.0000,106737.5000,106187.5000,106462.5000,7576,30449,0,0,0.0000
19900226,105800.0000,105850.0000,105037.5000,105062.5000,17867,26937,0,0,0.0000
19900227,105037.5000,105462.5000,105012.5000,105275.0000,7242,26934,0,0,0.0000
19900228,105087.5000,105400.0000,104625.0000,104700.0000,13865,27159,0,0,0.0000
19900301,104062.5000,104112.5000,103450.0000,103600.0000,24412,24780,0,0,0.0000
19900302,103712.5000,103725.0000,102437.5000,102762.5000,14543,24130,0,0,0.0000
19900305,102725.0000,102787.5000,101937.5000,102525.0000,17262,22306,0,0,0.0000
19900306,103050.0000,103050.0000,102537.5000,102712.5000,8262,21241,0,0,0.0000
19900307,102250.0000,102550.0000,102062.5000,102500.0000,9306,21204,199006,199006,0.0000
19900308,101000.0000,101050.0000,100637.5000,100837.5000,8960,6652,0,0,-1675.0000
19900309,99687.5000,99812.5000,99062.5000,99137.5000,26085,9758,0,0,0.0000
19900312,98950.0000,99075.0000,98662.5000,98875.0000,33761,16313,0,0,0.0000
19900313,98250.0000,99312.5000,98137.5000,98987.5000,21479,16956,0,0,0.0000
19900314,98650.0000,99087.5000,98600.0000,98937.5000,6859,18877,0,0,0.0000
19900315,98912.5000,99875.0000,98825.0000,99787.5000,11833,19604,0,0,0.0000
19900316,99800.0000,100125.0000,99400.0000,99600.0000,9636,19822,0,0,0.0000
19900319,99475.0000,99525.0000,98937.5000,99250.0000,9432,20807,0,0,0.0000
19900320,99675.0000,99750.0000,98262.5000,98425.0000,15603,18802,0,0,0.0000
