DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,11950.0000,11950.0000,11875.0000,11887.5000,26330,102797,0,0,0.0000
19900103,11875.0000,11925.0000,11850.0000,11925.0000,23895,101558,0,0,0.0000
19900104,11937.5000,11975.0000,11887.5000,11912.5000,26937,100750,0,0,0.0000
19900105,11887.5000,11925.0000,11875.0000,11887.5000,21812,99932,0,0,0.0000
19900108,11912.5000,11950.0000,11875.0000,11950.0000,21044,100062,0,0,0.0000
19900109,11937.5000,11950.0000,11900.0000,11937.5000,19531,99623,0,0,0.0000
19900110,11925.0000,11925.0000,11875.0000,11900.0000,21301,98098,0,0,0.0000
19900111,11900.0000,11925.0000,11887.5000,11925.0000,19130,96007,0,0,0.0000
19900112,12100.0000,12200.0000,12062.5000,12112.5000,56189,94156,0,0,0.0000
19900115,12112.5000,12212.5000,12075.0000,12187.5000,53207,92721,0,0,0.0000
19900116,12150.0000,12162.5000,12100.0000,12125.0000,39377,90897,0,0,0.0000
19900117,12087.5000,12125.0000,12062.5000,12075.0000,28529,89978,0,0,0.0000
19900118,12075.0000,12112.5000,12062.5000,12100.0000,30535,87128,0,0,0.0000
19900119,12075.0000,12100.0000,12075.0000,12087.5000,22161,86132,0,0,0.0000
19900122,12075.0000,12075.0000,12012.5000,12025.0000,29770,83790,0,0,0.0000
19900123,12025.0000,12050.0000,11987.5000,12050.0000,24184,81074,0,0,0.0000
19900124,12037.5000,12087.5000,12012.5000,12037.5000,22338,79687,0,0,0.0000
19900125,12025.0000,12025.0000,11950.0000,11962.5000,31780,77508,0,0,0.0000
19900126,11962.5000,11975.0000,11900.0000,11912.5000,31342,75440,0,0,0.0000
19900129,11875.0000,11987.5000,11800.0000,11975.0000,50105,71772,0,0,0.0000
19900130,11987.5000,11987.5000,11912.5000,11925.0000,24785,71418,0,0,0.0000
19900131,11912.5000,11937.5000,11887.5000,11912.5000,25280,70766,0,0,0.0000
19900201,11925.0000,11925.0000,11862.5000,11875.0000,24356,69859,0,0,0.0000
19900202,11875.0000,11887.5000,11825.0000,11837.5000,34139,69832,0,0,0.0000
19900205,11825.0000,11862.5000,11812.5000,11825.0000,31212,70119,0,0,0.0000
19900206,11837.5000,11925.0000,11825.0000,11887.5000,28659,69368,0,0,0.0000
19900207,11925.0000,11975.0000,11900.0000,11962.5000,28193,69099,0,0,0.0000
19900208,11962.5000,11987.5000,11925.0000,11950.0000,24316,67668,0,0,0.0000
19900209,11950.0000,12000.0000,11925.0000,11975.0000,24202,67733,0,0,0.0000
19900212,12012.5000,12125.0000,12012.5000,12100.0000,52291,65959,0,0,0.0000
19900213,12062.5000,12137.5000,12062.5000,12087.5000,45814,62569,0,0,0.0000
19900214,12075.0000,12150.0000,12062.5000,12150.0000,30334,60096,0,0,0.0000
19900215,12150.0000,12212.5000,12125.0000,12137.5000,49826,58676,0,0,0.0000
19900216,12112.5000,12137.5000,12050.0000,12062.5000,34104,54031,0,0,0.0000
19900220,12062.5000,12087.5000,12025.0000,12075.0000,30095,52497,0,0,0.0000
19900221,12075.0000,12162.5000,12050.0000,12150.0000,45771,49516,199005,199005,0.0000
19900222,12475.0000,12725.0000,12437.5000,12625.0000,71589,69065,0,0,337.5000
19900223,12625.0000,12687.5000,12587.5000,12662.5000,64370,70540,0,0,0.0000
