DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,21800.0000,22890.0000,21790.0000,22890.0000,100943,66308,0,0,0.0000
19900103,23200.0000,23800.0000,23000.0000,23680.0000,121957,61428,0,0,0.0000
19900104,23880.0000,23920.0000,22830.0000,23410.0000,130841,60995,0,0,0.0000
19900105,23420.0000,23700.0000,23030.0000,23080.0000,112860,57258,0,0,0.0000
19900108,22600.0000,22600.0000,21550.0000,21620.0000,117388,54644,0,0,0.0000
19900109,21500.0000,22120.0000,21480.0000,22070.0000,98166,51669,0,0,0.0000
19900110,22480.0000,22920.0000,22280.0000,22900.0000,114959,52154,199003,199003,0.0000
19900111,21850.0000,22200.0000,21630.0000,22170.0000,74632,69547,0,0,-930.0000
19900112,22200.0000,22400.0000,21960.0000,22130.0000,88006,73265,0,0,0.0000
19900115,22000.0000,22000.0000,21450.0000,21490.0000,91939,72160,0,0,0.0000
19900116,21300.0000,21850.0000,21050.0000,21730.0000,100846,73790,0,0,0.0000
19900117,21330.0000,21480.0000,21100.0000,21260.0000,111385,73836,0,0,0.0000
19900118,21520.0000,21670.0000,21400.0000,21590.0000,89094,74101,0,0,0.0000
19900119,21840.0000,22230.0000,21710.0000,22080.0000,106081,70958,0,0,0.0000
19900122,22200.0000,22310.0000,21550.0000,21770.0000,94068,69870,0,0,0.0000
19900123,21500.0000,21680.0000,21300.0000,21600.0000,89369,67197,0,0,0.0000
19900124,21350.0000,21900.0000,21250.0000,21590.0000,92197,64646,0,0,0.0000
19900125,21860.0000,22300.0000,21660.0000,22240.0000,109946,61790,0,0,0.0000
19900126,22150.0000,22600.0000,21920.0000,22560.0000,83383,65431,0,0,0.0000
19900129,22530.0000,22850.0000,22380.0000,22800.0000,68946,65857,0,0,0.0000
19900130,22700.0000,22760.0000,22360.0000,22460.0000,75129,66039,0,0,0.0000
19900131,22170.0000,22700.0000,22110.0000,22680.0000,81274,65463,0,0,0.0000
19900201,22600.0000,22840.0000,22460.0000,22700.0000,69521,63951,0,0,0.0000
19900202,22700.0000,23050.0000,22660.0000,23020.0000,80757,62516,0,0,0.0000
19900205,23000.0000,23060.0000,22370.0000,22390.0000,84965,61693,0,0,0.0000
19900206,22450.0000,22720.0000,22300.0000,22510.0000,76641,60583,0,0,0.0000
19900207,22330.0000,22430.0000,22120.0000,22320.0000,102379,58309,0,0,0.0000
19900208,22290.0000,22460.0000,22030.0000,22090.0000,91231,55744,199004,199004,0.0000
19900209,21580.0000,21700.0000,21410.0000,21560.0000,107966,65331,0,0,-490.0000
19900212,21580.0000,21870.0000,21510.0000,21840.0000,93448,65842,0,0,0.0000
19900213,21900.0000,22240.0000,21730.0000,21820.0000,149213,65943,0,0,0.0000
19900214,21750.0000,21990.0000,21620.0000,21950.0000,99843,66128,0,0,0.0000
19900215,22050.0000,22480.0000,22020.0000,22430.0000,118491,66598,0,0,0.0000
19900216,22330.0000,22430.0000,22020.0000,22250.0000,82971,67384,0,0,0.0000
19900220,22100.0000,22200.0000,21970.0000,22140.0000,88746,70234,0,0,0.0000
19900221,22100.0000,22170.0000,21700.0000,21740.0000,77811,68581,0,0,0.0000
19900222,21810.0000,21970.0000,21630.0000,21750.0000,93042,67170,0,0,0.0000
19900223,21620.0000,21660.0000,21400.0000,21420.0000,108663,67867,0,0,0.0000
19900226,21600.0000,21930.0000,21480.0000,21790.0000,96258,64725,0,0,0.0000
19900227,21880.0000,21950.0000,21560.0000,21580.0000,85728,64484,0,0,0.0000
19900228,21580.0000,21710.0000,21460.0000,21540.0000,73173,64604,0,0,0.0000
19900301,21700.0000,21770.0000,21150.0000,21170.0000,108935,60333,0,0,0.0000
19900302,21220.0000,21370.0000,21070.0000,21350.0000,74295,60263,0,0,0.0000
19900305,21300.0000,21650.0000,21200.0000,21580.0000,74922,59456,0,0,0.0000
19900306,21600.0000,21620.0000,21270.0000,21300.0000,72787,57493,0,0,0.0000
19900307,21210.0000,21220.0000,20900.0000,20930.0000,101470,54947,0,0,0.0000
19900308,20760.0000,20840.0000,20640.0000,20780.0000,97252,53134,199005,199005,0.0000
19900309,21180.0000,21180.0000,20620.0000,20650.0000,89474,65416,0,0,280.0000
19900312,20550.0000,20580.0000,20270.0000,20400.0000,92554,65304,0,0,0.0000
19900313,20550.0000,20710.0000,20350.0000,20390.0000,76473,62949,0,0,0.0000
19900314,20300.0000,20580.0000,20200.0000,20320.0000,87196,61603,0,0,0.0000
19900315,20410.0000,20750.0000,20300.0000,20680.0000,87946,61950,0,0,0.0000
19900316,20640.0000,20640.0000,20350.0000,20380.0000,67273,62070,0,0,0.0000
19900319,20050.0000,20050.0000,19830.0000,19960.0000,121712,65556,0,0,0.0000
19900320,20050.0000,20130.0000,19650.0000,19770.0000,116861,68992,0,0,0.0000
19900321,19890.0000,20080.0000,19800.0000,19960.0000,70067,68716,0,0,0.0000
19900322,20000.0000,20180.0000,19940.0000,20000.0000,68967,70467,0,0,0.0000
19900323,20060.0000,20410.0000,20040.0000,20390.0000,71698,70377,0,0,0.0000
19900326,20530.0000,20640.0000,20320.0000,20460.0000,58039,68458,0,0,0.0000
19900327,20410.0000,20580.0000,20260.0000,20480.0000,51788,70938,0,0,0.0000
19900328,20400.0000,20480.0000,20060.0000,20080.0000,72422,72610,0,0,0.0000
19900329,20010.0000,20340.0000,19970.0000,20030.0000,72663,72996,0,0,0.0000
19900330,20140.0000,20300.0000,20120.0000,20280.0000,50456,69783,0,0,0.0000
19900402,20200.0000,20530.0000,20180.0000,20480.0000,65017,68000,0,0,0.0000
19900403,20480.0000,20550.0000,20290.0000,20300.0000,59927,65276,0,0,0.0000
19900404,20200.0000,20220.0000,19750.0000,19780.0000,95184,67128,0,0,0.0000
19900405,19800.0000,19840.0000,19300.0000,19430.0000,115409,66057,0,0,0.0000
19900406,19550.0000,19610.0000,19100.0000,19150.0000,101735,63781,0,0,0.0000
19900409,19000.0000,19070.0000,18400.0000,18440.0000,101322,62121,0,0,0.0000
19900410,18400.0000,18550.0000,17580.0000,17680.0000,124159,55962,199006,199006,0.0000
19900411,18000.0000,18800.0000,17350.0000,18720.0000,158240,72765,0,0,670.0000
19900412,19050.0000,19080.0000,18450.0000,18510.0000,88491,73143,0,0,0.0000
19900416,18620.0000,18900.0000,18500.0000,18670.0000,66201,75791,0,0,0.0000
19900417,18850.0000,19000.0000,18330.0000,18390.0000,95935,74968,0,0,0.0000
19900418,18150.0000,18190.0000,17700.0000,18090.0000,124316,77360,0,0,0.0000
19900419,18550.0000,18990.0000,18300.0000,18870.0000,127645,82024,0,0,0.0000
19900420,19000.0000,19050.0000,18530.0000,18820.0000,103643,83993,0,0,0.0000
19900423,19000.0000,19490.0000,18980.0000,19070.0000,84333,78626,0,0,0.0000
19900424,19350.0000,19470.0000,18920.0000,19000.0000,86886,78732,0,0,0.0000
19900425,18780.0000,18850.0000,18540.0000,18660.0000,70757,77420,0,0,0.0000
19900426,18710.0000,18880.0000,18450.0000,18470.0000,50089,76560,0,0,0.0000
19900427,18450.0000,18570.0000,18350.0000,18540.0000,22325,82101,0,0,0.0000
19900430,18600.0000,18810.0000,18410.0000,18540.0000,61366,76193,0,0,0.0000
19900501,18500.0000,18920.0000,18390.0000,18810.0000,74858,77276,0,0,0.0000
19900502,18950.0000,19100.0000,18610.0000,18680.0000,79772,75631,0,0,0.0000
19900503,18750.0000,18830.0000,17950.0000,17990.0000,106386,74896,0,0,0.0000
19900504,17900.0000,18200.0000,17820.0000,17980.0000,84417,74203,0,0,0.0000
19900507,17990.0000,18300.0000,17930.0000,18270.0000,46071,71825,0,0,0.0000
19900508,18400.0000,18580.0000,18250.0000,18280.0000,73985,70373,0,0,0.0000
19900509,18400.0000,19030.0000,18350.0000,18990.0000,95223,68851,0,0,0.0000
19900510,18930.0000,19310.0000,18740.0000,19020.0000,96507,65817,199007,199007,0.0000
19900511,19480.0000,19480.0000,19220.0000,19340.0000,65155,51880,0,0,500.0000
19900514,19490.0000,20040.0000,19490.0000,19980.0000,103078,56674,0,0,0.0000
19900515,19870.0000,20010.0000,19760.0000,19920.0000,93055,58533,0,0,0.0000
19900516,19920.0000,19960.0000,19500.0000,19520.0000,88081,61685,0,0,0.0000
