DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,34425.0000,34500.0000,34035.0000,34170.0000,3557,16188,0,0,0.0000
19900103,34175.0000,34570.0000,33900.0000,34550.0000,5406,16440,0,0,0.0000
19900104,34525.0000,34635.0000,33550.0000,33675.0000,8463,16594,0,0,0.0000
19900105,33250.0000,33870.0000,33125.0000,33155.0000,8128,16907,0,0,0.0000
19900108,33155.0000,33525.0000,32925.0000,33200.0000,6534,17086,0,0,0.0000
19900109,33400.0000,33595.0000,33200.0000,33315.0000,4855,17257,0,0,0.0000
19900110,33205.0000,33275.0000,32500.0000,32740.0000,9943,16647,0,0,0.0000
19900111,32950.0000,33450.0000,32950.0000,33325.0000,5533,16174,0,0,0.0000
19900112,32725.0000,34150.0000,32630.0000,33075.0000,8493,15546,0,0,0.0000
19900115,33300.0000,33340.0000,32875.0000,33110.0000,3031,15304,0,0,0.0000
19900116,32950.0000,33100.0000,32700.0000,32925.0000,3973,15333,0,0,0.0000
19900117,32925.0000,33475.0000,32925.0000,33450.0000,5345,15685,0,0,0.0000
19900118,33550.0000,33600.0000,33025.0000,33250.0000,5550,15517,0,0,0.0000
19900119,33225.0000,33650.0000,33225.0000,33510.0000,4905,15046,0,0,0.0000
19900122,33050.0000,33460.0000,33050.0000,33355.0000,4145,14960,0,0,0.0000
19900123,33400.0000,33525.0000,33125.0000,33395.0000,5159,14791,0,0,0.0000
19900124,33155.0000,33225.0000,32900.0000,32975.0000,6629,14143,0,0,0.0000
19900125,33100.0000,33350.0000,32390.0000,32585.0000,8605,14259,0,0,0.0000
19900126,32510.0000,32800.0000,32250.0000,32255.0000,6164,13609,0,0,0.0000
19900129,32105.0000,32575.0000,32075.0000,32330.0000,5677,13317,0,0,0.0000
19900130,32600.0000,33000.0000,32475.0000,32860.0000,5745,13132,0,0,0.0000
19900131,33250.0000,33800.0000,33125.0000,33525.0000,9420,12509,0,0,0.0000
19900201,33525.0000,33625.0000,33350.0000,33455.0000,5320,11971,0,0,0.0000
19900202,33475.0000,33575.0000,33405.0000,33555.0000,2551,10158,0,0,0.0000
19900205,33650.0000,33895.0000,33650.0000,33820.0000,3844,10422,0,0,0.0000
19900206,33825.0000,33875.0000,33200.0000,33260.0000,6419,10354,0,0,0.0000
19900207,33250.0000,33480.0000,33075.0000,33465.0000,4757,9768,0,0,0.0000
19900208,33500.0000,33600.0000,33450.0000,33585.0000,3572,9487,0,0,0.0000
19900209,33775.0000,33900.0000,33010.0000,33250.0000,5338,9198,0,0,0.0000
19900212,33475.0000,33650.0000,33250.0000,33640.0000,4914,8909,0,0,0.0000
19900213,33725.0000,34290.0000,33600.0000,34215.0000,8378,7789,0,0,0.0000
19900214,34225.0000,34750.0000,34100.0000,34640.0000,11641,6679,199005,199005,0.0000
19900215,35125.0000,35500.0000,35000.0000,35480.0000,10117,15670,0,0,650.0000
19900216,35300.0000,35525.0000,35250.0000,35295.0000,7080,15296,0,0,0.0000
19900220,35050.0000,35200.0000,35000.0000,35095.0000,6589,15627,0,0,0.0000
19900221,35025.0000,35530.0000,34975.0000,35490.0000,9685,16166,0,0,0.0000
19900222,35600.0000,35650.0000,35200.0000,35235.0000,5863,16345,0,0,0.0000
19900223,35075.0000,35250.0000,34925.0000,35240.0000,4610,16439,0,0,0.0000
19900226,35125.0000,35200.0000,35030.0000,35040.0000,2460,16584,0,0,0.0000
19900227,35000.0000,35375.0000,34960.0000,35170.0000,4248,16792,0,0,0.0000
19900228,35170.0000,35310.0000,35050.0000,35080.0000,2466,16620,0,0,0.0000
19900301,35125.0000,35200.0000,34750.0000,34775.0000,4600,16566,0,0,0.0000
19900302,34680.0000,34920.0000,34675.0000,34895.0000,3272,16415,0,0,0.0000
19900305,34925.0000,35895.0000,34900.0000,35895.0000,7415,16590,0,0,0.0000
19900306,35915.0000,36400.0000,35825.0000,35850.0000,12326,16292,0,0,0.0000
19900307,35925.0000,36050.0000,35775.0000,36010.0000,4623,16260,0,0,0.0000
19900308,36125.0000,36225.0000,35905.0000,36185.0000,5304,15889,0,0,0.0000
19900309,36190.0000,36245.0000,35900.0000,36225.0000,4140,16065,0,0,0.0000
19900312,36050.0000,36100.0000,35525.0000,35650.0000,5161,15649,0,0,0.0000
19900313,35500.0000,36040.0000,35500.0000,36015.0000,5403,15622,0,0,0.0000
19900314,35970.0000,36215.0000,35775.0000,35825.0000,4058,15353,0,0,0.0000
19900315,35700.0000,35940.0000,35530.0000,35870.0000,4146,15000,0,0,0.0000
19900316,35870.0000,36005.0000,35630.0000,35850.0000,4578,14772,0,0,0.0000
19900319,35650.0000,35825.0000,35630.0000,35805.0000,2496,14613,0,0,0.0000
19900320,35875.0000,35975.0000,35275.0000,35305.0000,8553,14537,0,0,0.0000
19900321,35300.0000,35525.0000,34905.0000,35010.0000,7780,13702,0,0,0.0000
19900322,35105.0000,35245.0000,34905.0000,34980.0000,6394,13351,0,0,0.0000
19900323,35300.0000,35400.0000,35175.0000,35345.0000,5498,13022,0,0,0.0000
19900326,35315.0000,35350.0000,35225.0000,35285.0000,2550,12751,0,0,0.0000
19900327,35240.0000,35465.0000,35225.0000,35380.0000,3782,12537,0,0,0.0000
19900328,35495.0000,35550.0000,35270.0000,35315.0000,4674,12340,0,0,0.0000
19900329,35425.0000,36125.0000,35425.0000,36060.0000,9373,12245,0,0,0.0000
19900330,36125.0000,36625.0000,36060.0000,36350.0000,10694,12298,0,0,0.0000
19900402,36675.0000,37100.0000,36575.0000,37080.0000,10478,12719,0,0,0.0000
19900403,36910.0000,37025.0000,36675.0000,37005.0000,5406,12788,0,0,0.0000
19900404,36875.0000,37275.0000,36825.0000,36985.0000,5692,12759,0,0,0.0000
19900405,36900.0000,36990.0000,36625.0000,36880.0000,5421,12283,0,0,0.0000
19900406,37250.0000,37375.0000,36475.0000,36515.0000,5503,11771,0,0,0.0000
19900409,36600.0000,36800.0000,36525.0000,36565.0000,3487,10969,0,0,0.0000
19900410,36725.0000,37300.0000,36700.0000,37195.0000,6812,10577,0,0,0.0000
19900411,37025.0000,37280.0000,36750.0000,36915.0000,6218,9418,0,0,0.0000
19900412,37000.0000,37050.0000,36745.0000,36940.0000,4237,8666,199007,199007,0.0000
19900416,36750.0000,36925.0000,36660.0000,36850.0000,2626,13825,0,0,-175.0000
19900417,36850.0000,37075.0000,36720.0000,36900.0000,6848,14322,0,0,0.0000
19900418,36950.0000,36975.0000,36210.0000,36375.0000,10935,14390,0,0,0.0000
19900419,36525.0000,36575.0000,36155.0000,36490.0000,6447,14747,0,0,0.0000
19900420,36550.0000,36965.0000,36550.0000,36775.0000,6926,15183,0,0,0.0000
19900423,36900.0000,37425.0000,36900.0000,37415.0000,11856,16307,0,0,0.0000
19900424,37315.0000,37400.0000,37080.0000,37235.0000,6493,16396,0,0,0.0000
19900425,37350.0000,37550.0000,37150.0000,37180.0000,5800,16714,0,0,0.0000
19900426,37250.0000,37475.0000,37000.0000,37450.0000,4180,16570,0,0,0.0000
19900427,37530.0000,37575.0000,37300.0000,37440.0000,1720,16578,0,0,0.0000
19900430,37425.0000,37440.0000,37055.0000,37180.0000,4018,16777,0,0,0.0000
19900501,37000.0000,37350.0000,36870.0000,37100.0000,7302,16426,0,0,0.0000
19900502,37125.0000,37470.0000,37125.0000,37450.0000,4687,16436,0,0,0.0000
19900503,37375.0000,37500.0000,37250.0000,37365.0000,3304,16133,0,0,0.0000
19900504,37400.0000,37425.0000,36700.0000,36880.0000,5746,15642,0,0,0.0000
19900507,36855.0000,37470.0000,36760.0000,37160.0000,7778,15086,0,0,0.0000
19900508,37350.0000,37420.0000,37010.0000,37310.0000,5315,15027,0,0,0.0000
19900509,37350.0000,37525.0000,37225.0000,37485.0000,5196,15323,0,0,0.0000
19900510,37550.0000,37775.0000,37400.0000,37690.0000,7506,15676,0,0,0.0000
19900511,37700.0000,37750.0000,37525.0000,37680.0000,4759,15637,0,0,0.0000
19900514,37575.0000,37825.0000,37450.0000,37460.0000,5526,15418,0,0,0.0000
19900515,37430.0000,37625.0000,37325.0000,37575.0000,4997,15675,0,0,0.0000
19900516,37550.0000,37625.0000,37280.0000,37620.0000,5223,15741,0,0,0.0000
19900517,37665.0000,38090.0000,37665.0000,38075.0000,6262,16105,0,0,0.0000
19900518,37975.0000,38195.0000,37975.0000,38065.0000,3702,15906,0,0,0.0000
19900521,38290.0000,39065.0000,38100.0000,39065.0000,9390,16729,0,0,0.0000
19900522,39050.0000,39970.0000,38900.0000,39885.0000,11479,17414,0,0,0.0000
19900523,39500.0000,40650.0000,39500.0000,39925.0000,10465,17815,0,0,0.0000
19900524,40075.0000,40235.0000,39575.0000,39770.0000,5012,17412,0,0,0.0000
19900525,39920.0000,40250.0000,39750.0000,40015.0000,6109,17663,0,0,0.0000
19900529,40200.0000,41015.0000,40015.0000,41015.0000,7991,18338,0,0,0.0000
19900530,40875.0000,41075.0000,40025.0000,40565.0000,6466,16948,0,0,0.0000
19900531,40950.0000,41075.0000,39880.0000,39960.0000,5274,16600,0,0,0.0000
19900601,39900.0000,40550.0000,39750.0000,40510.0000,5711,15841,0,0,0.0000
19900604,40575.0000,40625.0000,40200.0000,40530.0000,4373,14799,0,0,0.0000
19900605,40475.0000,40700.0000,40310.0000,40670.0000,5411,14283,0,0,0.0000
19900606,40650.0000,41280.0000,40430.0000,40550.0000,10603,13748,0,0,0.0000
19900607,40525.0000,40625.0000,39900.0000,40420.0000,9260,12587,0,0,0.0000
19900608,40245.0000,40300.0000,39500.0000,40005.0000,8260,11391,0,0,0.0000
19900611,40100.0000,40125.0000,39625.0000,39770.0000,5501,10747,0,0,0.0000
19900612,39635.0000,40720.0000,39635.0000,40310.0000,7556,10573,0,0,0.0000
19900613,40130.0000,40475.0000,40050.0000,40140.0000,4880,10032,0,0,0.0000
19900614,40125.0000,40560.0000,39700.0000,40340.0000,8001,9387,199012,199012,0.0000
19900615,36100.0000,36250.0000,35800.0000,36230.0000,5281,18932,0,0,-4350.0000
19900618,36335.0000,36900.0000,36335.0000,36875.0000,7621,19456,0,0,0.0000
19900619,36925.0000,37025.0000,36600.0000,36615.0000,7336,19901,0,0,0.0000
19900620,36700.0000,36900.0000,36525.0000,36835.0000,9063,20143,0,0,0.0000
19900621,36650.0000,37045.0000,36650.0000,36920.0000,6389,20439,0,0,0.0000
19900622,36800.0000,37000.0000,36725.0000,36795.0000,6572,20668,0,0,0.0000
19900625,37050.0000,37395.0000,37050.0000,37275.0000,6074,21298,0,0,0.0000
19900626,37200.0000,37290.0000,36810.0000,37125.0000,5767,21241,0,0,0.0000
19900627,37075.0000,37225.0000,36875.0000,36915.0000,4443,21182,0,0,0.0000
19900628,36925.0000,37150.0000,36850.0000,37100.0000,2754,21060,0,0,0.0000
19900629,37025.0000,37300.0000,36850.0000,37290.0000,4184,21320,0,0,0.0000
19900702,37400.0000,37625.0000,37375.0000,37615.0000,4786,21941,0,0,0.0000
19900703,37700.0000,37920.0000,37625.0000,37890.0000,4738,22564,0,0,0.0000
19900705,37940.0000,38500.0000,37725.0000,37810.0000,9432,22892,0,0,0.0000
19900706,37650.0000,37685.0000,36810.0000,36810.0000,8916,22656,0,0,0.0000
19900709,36765.0000,37175.0000,35810.0000,35975.0000,11376,21498,0,0,0.0000
19900710,35900.0000,36250.0000,35375.0000,35430.0000,11525,20840,0,0,0.0000
19900711,35700.0000,36350.0000,35700.0000,36025.0000,9014,20844,0,0,0.0000
19900712,36075.0000,36950.0000,36035.0000,36940.0000,6779,21058,0,0,0.0000
19900713,37940.0000,37940.0000,37075.0000,37140.0000,7662,21149,0,0,0.0000
19900716,37000.0000,37750.0000,36775.0000,37440.0000,6756,21070,0,0,0.0000
19900717,37425.0000,37640.0000,37200.0000,37365.0000,6103,21271,0,0,0.0000
19900718,37550.0000,37590.0000,36975.0000,37040.0000,4501,21473,0,0,0.0000
19900719,36575.0000,36825.0000,36540.0000,36710.0000,4643,20972,0,0,0.0000
19900720,36475.0000,36700.0000,36350.0000,36430.0000,4315,20404,0,0,0.0000
19900723,35725.0000,36950.0000,35430.0000,36860.0000,7332,19910,0,0,0.0000
19900724,36930.0000,37185.0000,36675.0000,36920.0000,4613,19860,0,0,0.0000
19900725,36920.0000,37140.0000,36605.0000,36645.0000,4312,19508,0,0,0.0000
19900726,36550.0000,36975.0000,36375.0000,36855.0000,3889,19721,0,0,0.0000
19900727,36800.0000,36875.0000,36575.0000,36700.0000,1713,19148,0,0,0.0000
19900730,35925.0000,36550.0000,35925.0000,36220.0000,4561,19064,0,0,0.0000
19900731,36050.0000,36425.0000,35950.0000,36240.0000,5363,18468,0,0,0.0000
19900801,35925.0000,36150.0000,35650.0000,35685.0000,5571,18134,0,0,0.0000
19900802,35575.0000,35900.0000,35005.0000,35830.0000,10556,17989,0,0,0.0000
19900803,35625.0000,36625.0000,35475.0000,36385.0000,6778,17540,0,0,0.0000
19900806,36125.0000,36705.0000,36125.0000,36215.0000,5804,17054,0,0,0.0000
19900807,36250.0000,36365.0000,36025.0000,36055.0000,3271,16821,0,0,0.0000
19900808,36050.0000,36205.0000,35905.0000,35935.0000,3109,17068,0,0,0.0000
19900809,35925.0000,36025.0000,35400.0000,35475.0000,5119,17268,0,0,0.0000
19900810,35625.0000,35700.0000,35035.0000,35325.0000,7604,19250,0,0,0.0000
19900814,34950.0000,35025.0000,34340.0000,34415.0000,14002,17323,0,0,0.0000
19900815,34525.0000,34825.0000,34255.0000,34430.0000,9550,17383,0,0,0.0000
19900816,34825.0000,34875.0000,34200.0000,34445.0000,7610,16921,0,0,0.0000
19900817,34440.0000,34725.0000,34400.0000,34605.0000,3387,16650,0,0,0.0000
19900820,34605.0000,35325.0000,34525.0000,35050.0000,5095,16764,0,0,0.0000
19900821,35065.0000,35260.0000,34850.0000,35215.0000,4056,16991,0,0,0.0000
19900822,35400.0000,35500.0000,35250.0000,35260.0000,4117,16604,0,0,0.0000
19900823,35010.0000,35325.0000,34960.0000,35215.0000,2833,17012,0,0,0.0000
19900824,35275.0000,36200.0000,35275.0000,36175.0000,7109,16006,0,0,0.0000
19900827,36300.0000,36620.0000,36175.0000,36495.0000,7521,16777,0,0,0.0000
19900828,36350.0000,36390.0000,35930.0000,35950.0000,6036,16661,0,0,0.0000
19900829,36075.0000,36275.0000,35850.0000,36190.0000,3509,16537,0,0,0.0000
19900830,36300.0000,36475.0000,36275.0000,36430.0000,2688,16381,0,0,0.0000
19900831,36350.0000,36520.0000,35930.0000,36095.0000,3756,16731,0,0,0.0000
19900904,36050.0000,36495.0000,35725.0000,36420.0000,4813,16589,0,0,0.0000
19900905,36520.0000,36725.0000,36320.0000,36580.0000,4638,16435,0,0,0.0000
19900906,36425.0000,36740.0000,36325.0000,36355.0000,6075,16764,0,0,0.0000
19900907,36225.0000,36500.0000,36125.0000,36470.0000,4247,16799,0,0,0.0000
19900910,36475.0000,36475.0000,35700.0000,36030.0000,4789,16892,0,0,0.0000
19900911,35850.0000,36150.0000,35775.0000,35920.0000,3267,16524,0,0,0.0000
19900912,35900.0000,36300.0000,35810.0000,36270.0000,4226,16406,0,0,0.0000
19900913,36360.0000,36535.0000,36210.0000,36230.0000,4333,16475,0,0,0.0000
19900914,36015.0000,36200.0000,35775.0000,35795.0000,3980,17117,0,0,0.0000
19900917,35625.0000,36050.0000,35600.0000,35800.0000,3899,17064,0,0,0.0000
19900918,35700.0000,36175.0000,35650.0000,36150.0000,4170,17426,0,0,0.0000
19900919,36125.0000,37125.0000,36125.0000,36975.0000,12630,18274,0,0,0.0000
19900920,36850.0000,37050.0000,36635.0000,36900.0000,8026,18494,0,0,0.0000
19900921,36825.0000,36975.0000,36500.0000,36520.0000,5026,18537,0,0,0.0000
19900924,36275.0000,36305.0000,35520.0000,35570.0000,9929,17871,0,0,0.0000
19900925,35875.0000,36150.0000,35575.0000,35910.0000,8218,17942,0,0,0.0000
19900926,35865.0000,36150.0000,35750.0000,36140.0000,4035,17345,0,0,0.0000
19900927,36150.0000,36245.0000,35975.0000,36170.0000,3026,17158,0,0,0.0000
19900928,35860.0000,36200.0000,35800.0000,35960.0000,4667,17137,0,0,0.0000
19901001,35855.0000,35970.0000,35710.0000,35790.0000,4530,17132,0,0,0.0000
19901002,35850.0000,36350.0000,35850.0000,36175.0000,5840,17126,0,0,0.0000
