DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,100468.8000,100656.3000,100312.5000,100484.4000,6096,80449,0,0,0.0000
19900103,100468.8000,100468.8000,100203.1000,100281.3000,9133,80815,0,0,0.0000
19900104,100265.6000,100437.5000,100250.0000,100312.5000,8148,82865,0,0,0.0000
19900105,100343.8000,100531.3000,100203.1000,100296.9000,5640,82868,0,0,0.0000
19900108,100281.3000,100328.1000,100171.9000,100250.0000,7353,83010,0,0,0.0000
19900109,100250.0000,100296.9000,100171.9000,100203.1000,4675,82448,0,0,0.0000
19900110,100187.5000,100265.6000,100062.5000,100171.9000,7189,81718,0,0,0.0000
19900111,100312.5000,100312.5000,100156.3000,100156.3000,3946,80984,0,0,0.0000
19900112,99859.4000,100093.8000,99718.8000,100015.6000,6182,80747,0,0,0.0000
19900115,99906.3000,99937.5000,99687.5000,99781.3000,478,80941,0,0,0.0000
19900116,99781.3000,99843.8000,99468.8000,99484.4000,13629,84520,0,0,0.0000
19900117,99531.3000,99578.1000,99406.3000,99468.8000,10368,83499,0,0,0.0000
19900118,99125.0000,99281.3000,98828.1000,98828.1000,8912,83760,0,0,0.0000
19900119,99062.5000,99093.8000,98906.3000,99093.8000,6563,83333,0,0,0.0000
19900122,99250.0000,99250.0000,99031.3000,99140.6000,3634,82776,0,0,0.0000
19900123,99125.0000,99250.0000,99046.9000,99250.0000,6580,84445,0,0,0.0000
19900124,98625.0000,98906.3000,98625.0000,98796.9000,12900,81579,0,0,0.0000
19900125,98921.9000,99000.0000,98609.4000,98640.6000,6166,79950,0,0,0.0000
19900126,98750.0000,98750.0000,98281.3000,98359.4000,11221,78923,0,0,0.0000
19900129,98421.9000,98468.8000,98312.5000,98343.8000,11858,75593,0,0,0.0000
19900130,98250.0000,98328.1000,97921.9000,98234.4000,16325,73444,0,0,0.0000
19900131,98140.6000,98484.4000,98031.3000,98484.4000,17469,71794,0,0,0.0000
19900201,98625.0000,98718.8000,98375.0000,98531.3000,12134,69923,0,0,0.0000
19900202,98468.8000,98531.3000,98156.3000,98250.0000,7042,68748,0,0,0.0000
19900205,98125.0000,98203.1000,98093.8000,98187.5000,8911,66199,0,0,0.0000
19900206,98093.8000,98093.8000,97921.9000,98015.6000,7791,65515,0,0,0.0000
19900207,97796.9000,97984.4000,97781.3000,97984.4000,10566,64339,0,0,0.0000
19900208,98031.3000,98312.5000,97984.4000,98203.1000,6391,64323,0,0,0.0000
19900209,98375.0000,98828.1000,98375.0000,98750.0000,7462,63445,0,0,0.0000
19900212,98750.0000,98890.6000,98468.8000,98484.4000,20289,60849,0,0,0.0000
19900213,98531.3000,98781.3000,98421.9000,98718.8000,23477,57645,0,0,0.0000
19900214,98781.3000,98812.5000,98578.1000,98671.9000,14326,55565,0,0,0.0000
19900215,98593.8000,98593.8000,98328.1000,98375.0000,14702,53681,0,0,0.0000
19900216,98406.3000,98468.8000,98281.3000,98390.6000,6231,53602,0,0,0.0000
19900220,98062.5000,98062.5000,97515.6000,97625.0000,7407,52572,0,0,0.0000
19900221,97656.3000,97687.5000,97406.3000,97609.4000,12288,51097,0,0,0.0000
19900222,97593.8000,97843.8000,97468.8000,97812.5000,17936,47725,199006,199006,0.0000
19900223,97953.1000,98109.4000,97875.0000,97984.4000,22266,39145,0,0,0.0000
19900226,98093.8000,98265.6000,98015.6000,98265.6000,21417,45746,0,0,0.0000
19900227,98328.1000,98468.8000,98328.1000,98468.8000,20388,50993,0,0,0.0000
19900228,98437.5000,98437.5000,98062.5000,98093.8000,36470,63630,0,0,0.0000
19900301,98046.9000,98046.9000,97656.3000,97703.1000,9167,65960,0,0,0.0000
19900302,97734.4000,97968.8000,97609.4000,97781.3000,13690,69739,0,0,0.0000
19900305,97718.8000,97734.4000,97343.8000,97375.0000,13845,73151,0,0,0.0000
19900306,97437.5000,97593.8000,97312.5000,97562.5000,6590,71830,0,0,0.0000
19900307,97609.4000,97718.8000,97562.5000,97625.0000,7009,71822,0,0,0.0000
19900308,97656.3000,97687.5000,97531.3000,97609.4000,9492,72490,0,0,0.0000
19900309,97640.6000,97656.3000,97015.6000,97125.0000,7467,71287,0,0,0.0000
19900312,97109.4000,97171.9000,97062.5000,97171.9000,2918,71664,0,0,0.0000
19900313,97125.0000,97156.3000,96781.3000,96843.8000,6797,71428,0,0,0.0000
19900314,96875.0000,97187.5000,96859.4000,97187.5000,9160,69646,0,0,0.0000
19900315,97203.1000,97203.1000,97015.6000,97093.8000,3831,69273,0,0,0.0000
19900316,97093.8000,97468.8000,97015.6000,97421.9000,3780,69958,0,0,0.0000
19900319,97328.1000,97343.8000,97218.8000,97328.1000,2784,70185,0,0,0.0000
19900320,97343.8000,97500.0000,96968.8000,97453.1000,6090,70179,0,0,0.0000
19900321,97375.0000,97468.8000,97312.5000,97421.9000,8783,70188,0,0,0.0000
19900322,97328.1000,97859.4000,97328.1000,97609.4000,7147,69147,0,0,0.0000
19900323,97656.3000,97875.0000,97546.9000,97750.0000,9993,70771,0,0,0.0000
19900326,97968.8000,98031.3000,97765.6000,97781.3000,1953,70374,0,0,0.0000
19900327,97718.8000,97812.5000,97593.8000,97687.5000,5399,70698,0,0,0.0000
19900328,97578.1000,97828.1000,97546.9000,97750.0000,6782,72133,0,0,0.0000
19900329,97671.9000,97750.0000,97437.5000,97453.1000,6282,72492,0,0,0.0000
19900330,97468.8000,97546.9000,97125.0000,97171.9000,15974,67986,0,0,0.0000
19900402,97265.6000,97421.9000,97218.8000,97250.0000,6764,65475,0,0,0.0000
19900403,97312.5000,97375.0000,97234.4000,97312.5000,4013,63920,0,0,0.0000
19900404,97328.1000,97843.8000,97281.3000,97687.5000,2959,64093,0,0,0.0000
19900405,97250.0000,97640.6000,97250.0000,97625.0000,2442,63538,0,0,0.0000
19900406,97593.8000,98000.0000,97468.8000,97656.3000,10363,63171,0,0,0.0000
19900409,97500.0000,97531.3000,97421.9000,97531.3000,1809,63046,0,0,0.0000
19900410,97375.0000,97703.1000,97312.5000,97500.0000,4357,62372,0,0,0.0000
19900411,97406.3000,97656.3000,97359.4000,97421.9000,3952,61765,0,0,0.0000
19900412,97468.8000,97562.5000,97312.5000,97312.5000,3506,61046,0,0,0.0000
19900416,97437.5000,97468.8000,97218.8000,97265.6000,3817,59927,0,0,0.0000
19900417,97375.0000,97453.1000,96750.0000,96937.5000,8405,58936,0,0,0.0000
19900418,97000.0000,97062.5000,96500.0000,96562.5000,6316,58607,0,0,0.0000
19900419,96421.9000,96640.6000,96406.3000,96578.1000,5916,58372,0,0,0.0000
19900420,96656.3000,96734.4000,96343.8000,96437.5000,4923,57924,0,0,0.0000
19900423,96312.5000,96437.5000,96265.6000,96328.1000,2430,57863,0,0,0.0000
19900424,96359.4000,96375.0000,96062.5000,96140.6000,7629,56897,0,0,0.0000
19900425,96078.1000,96187.5000,95906.3000,95984.4000,6297,58133,0,0,0.0000
19900426,96015.6000,96046.9000,95546.9000,95671.9000,9054,57769,0,0,0.0000
19900427,95656.3000,96062.5000,95562.5000,95781.3000,9078,59413,0,0,0.0000
19900430,95781.3000,95875.0000,95765.6000,95859.4000,3585,59256,0,0,0.0000
19900501,96015.6000,96093.8000,95562.5000,95687.5000,12888,52826,0,0,0.0000
19900502,95656.3000,95718.8000,95468.8000,95625.0000,4804,51431,0,0,0.0000
19900503,95828.1000,95906.3000,95781.3000,95843.8000,7390,51485,0,0,0.0000
19900504,95906.3000,96812.5000,95906.3000,96765.6000,9806,50877,0,0,0.0000
19900507,96687.5000,96687.5000,96593.8000,96625.0000,3920,51219,0,0,0.0000
19900508,96718.8000,96843.8000,96687.5000,96812.5000,10181,50111,0,0,0.0000
19900509,96625.0000,96640.6000,96484.4000,96515.6000,16632,48381,0,0,0.0000
19900510,96625.0000,96812.5000,96625.0000,96796.9000,12810,47431,0,0,0.0000
19900511,96921.9000,97453.1000,96906.3000,97421.9000,16976,45655,0,0,0.0000
19900514,97359.4000,97609.4000,97312.5000,97609.4000,11266,43127,0,0,0.0000
