DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,40060.0000,40460.0000,40020.0000,40210.0000,41724,68855,0,0,0.0000
19900103,39800.0000,39900.0000,39450.0000,39640.0000,57324,66990,0,0,0.0000
19900104,39760.0000,40110.0000,39710.0000,40080.0000,54288,67619,0,0,0.0000
19900105,40420.0000,40950.0000,40250.0000,40850.0000,56066,69405,0,0,0.0000
19900108,40600.0000,40760.0000,40470.0000,40500.0000,30404,66886,0,0,0.0000
19900109,40460.0000,40630.0000,40430.0000,40620.0000,23095,67086,0,0,0.0000
19900110,40820.0000,41530.0000,40810.0000,41420.0000,72827,71528,0,0,0.0000
19900111,41480.0000,41580.0000,41320.0000,41560.0000,47670,73892,0,0,0.0000
19900112,41700.0000,41980.0000,41400.0000,41470.0000,86145,70570,0,0,0.0000
19900115,41720.0000,41850.0000,41260.0000,41510.0000,54267,62011,0,0,0.0000
19900116,41370.0000,41590.0000,40900.0000,41220.0000,62924,57756,0,0,0.0000
19900117,41170.0000,41390.0000,41010.0000,41370.0000,44114,56325,0,0,0.0000
19900118,41480.0000,41640.0000,41090.0000,41120.0000,53544,54392,0,0,0.0000
19900119,41080.0000,41280.0000,40900.0000,41090.0000,43497,51178,199004,199004,0.0000
19900122,41350.0000,41500.0000,41040.0000,41360.0000,57484,25565,0,0,570.0000
19900123,41410.0000,42080.0000,41370.0000,41940.0000,77976,32434,0,0,0.0000
19900124,42300.0000,43150.0000,42100.0000,42350.0000,116353,39993,0,0,0.0000
19900125,42170.0000,42400.0000,41850.0000,42200.0000,66172,41948,0,0,0.0000
19900126,42550.0000,42700.0000,42260.0000,42610.0000,66634,44646,0,0,0.0000
19900129,42730.0000,42750.0000,42220.0000,42510.0000,71832,51472,0,0,0.0000
19900130,42430.0000,42700.0000,42270.0000,42390.0000,71567,57547,0,0,0.0000
19900131,42050.0000,42200.0000,41700.0000,41780.0000,69498,54468,0,0,0.0000
19900201,41870.0000,42350.0000,41870.0000,42330.0000,44850,55085,0,0,0.0000
