DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,86925.0000,86925.0000,85437.5000,85587.5000,49171,51473,0,0,0.0000
19900103,85962.5000,86375.0000,85812.5000,86087.5000,39014,53860,0,0,0.0000
19900104,86712.5000,87875.0000,86550.0000,87600.0000,51940,55699,0,0,0.0000
19900105,86900.0000,87312.5000,86775.0000,86875.0000,30022,53111,0,0,0.0000
19900108,86700.0000,87150.0000,86700.0000,86987.5000,19829,52072,0,0,0.0000
19900109,86475.0000,86587.5000,86150.0000,86437.5000,31429,52111,0,0,0.0000
19900110,86312.5000,86750.0000,86062.5000,86087.5000,35167,54735,0,0,0.0000
19900111,86300.0000,86412.5000,86150.0000,86162.5000,19187,54018,0,0,0.0000
19900112,86112.5000,86587.5000,85900.0000,85912.5000,30315,55290,0,0,0.0000
19900115,86150.0000,86375.0000,86075.0000,86212.5000,11665,54868,0,0,0.0000
19900116,86050.0000,86300.0000,85937.5000,86212.5000,26739,54223,0,0,0.0000
19900117,86050.0000,86500.0000,86037.5000,86212.5000,16209,53624,0,0,0.0000
19900118,85750.0000,86000.0000,85550.0000,85662.5000,26947,56642,0,0,0.0000
19900119,85762.5000,86125.0000,85737.5000,85937.5000,18718,56076,0,0,0.0000
19900122,85712.5000,85750.0000,85487.5000,85525.0000,13688,56133,0,0,0.0000
19900123,85725.0000,85925.0000,85675.0000,85850.0000,18947,58052,0,0,0.0000
19900124,86375.0000,86562.5000,85950.0000,86050.0000,30837,58337,0,0,0.0000
19900125,86387.5000,87187.5000,86362.5000,86912.5000,43130,65463,0,0,0.0000
19900126,87350.0000,87875.0000,87012.5000,87775.0000,53358,67667,0,0,0.0000
19900129,87787.5000,87812.5000,87337.5000,87537.5000,35006,63108,0,0,0.0000
19900130,87150.0000,87300.0000,85500.0000,86362.5000,43974,62846,0,0,0.0000
19900131,86787.5000,86912.5000,86600.0000,86737.5000,27142,59352,0,0,0.0000
19900201,86500.0000,86562.5000,86337.5000,86425.0000,17090,58732,0,0,0.0000
19900202,86262.5000,86337.5000,86025.0000,86050.0000,17427,57599,0,0,0.0000
19900205,86000.0000,86525.0000,85975.0000,86475.0000,17365,58856,0,0,0.0000
19900206,86737.5000,86737.5000,86062.5000,86137.5000,28969,60189,0,0,0.0000
