DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,21175.0000,21175.0000,20988.0000,20999.0000,983,2442,0,0,286.0000
19900103,20999.0000,21032.0000,20911.0000,21010.0000,1559,2397,0,0,0.0000
19900104,21021.0000,21538.0000,20988.0000,21329.0000,2268,2740,0,0,0.0000
19900105,21373.0000,21527.0000,21340.0000,21428.0000,1468,2869,0,0,0.0000
19900108,21439.0000,21560.0000,21406.0000,21516.0000,1445,3051,0,0,0.0000
19900109,21450.0000,21472.0000,21395.0000,21439.0000,647,3098,0,0,0.0000
19900110,21450.0000,21527.0000,21406.0000,21516.0000,733,3117,0,0,0.0000
19900111,21538.0000,21703.0000,21538.0000,21681.0000,1710,3071,0,0,0.0000
19900112,21615.0000,21692.0000,21505.0000,21604.0000,1375,3208,0,0,0.0000
19900115,21538.0000,21648.0000,21516.0000,21538.0000,951,3132,0,0,0.0000
19900116,21505.0000,21725.0000,21483.0000,21703.0000,1083,3257,0,0,0.0000
19900117,21780.0000,22253.0000,21780.0000,22253.0000,2315,3255,0,0,0.0000
19900118,22165.0000,22539.0000,22143.0000,22517.0000,1567,3195,0,0,0.0000
19900119,22517.0000,22572.0000,22253.0000,22385.0000,1472,3145,0,0,0.0000
19900122,22297.0000,22407.0000,22242.0000,22275.0000,721,3183,0,0,0.0000
19900123,22209.0000,22297.0000,22033.0000,22198.0000,1306,3218,0,0,0.0000
19900124,22055.0000,22253.0000,21758.0000,22242.0000,2135,3344,0,0,0.0000
19900125,22286.0000,22352.0000,22033.0000,22088.0000,978,3355,0,0,0.0000
19900126,22000.0000,22165.0000,21945.0000,22022.0000,752,3349,0,0,0.0000
19900129,22022.0000,22165.0000,22011.0000,22077.0000,358,3395,0,0,0.0000
19900130,22033.0000,22110.0000,22000.0000,22044.0000,348,3368,0,0,0.0000
19900131,22044.0000,22385.0000,21923.0000,22253.0000,1192,3318,0,0,0.0000
19900201,22330.0000,22374.0000,22165.0000,22330.0000,645,3235,0,0,0.0000
19900202,22275.0000,22330.0000,22176.0000,22198.0000,443,3168,0,0,0.0000
19900205,22165.0000,22308.0000,22121.0000,22264.0000,286,3119,0,0,0.0000
19900206,22242.0000,22308.0000,22154.0000,22198.0000,330,3079,0,0,0.0000
19900207,22198.0000,22231.0000,22066.0000,22209.0000,590,3138,0,0,0.0000
19900208,22264.0000,22550.0000,22253.0000,22473.0000,1407,3255,0,0,0.0000
19900209,22539.0000,22572.0000,22440.0000,22506.0000,1187,3121,0,0,0.0000
19900212,22517.0000,22605.0000,22429.0000,22605.0000,593,3146,0,0,0.0000
19900213,22616.0000,22814.0000,22594.0000,22803.0000,1235,3202,0,0,0.0000
19900214,22825.0000,22880.0000,22715.0000,22803.0000,991,3107,0,0,0.0000
19900215,22913.0000,23045.0000,22825.0000,23034.0000,1744,2882,0,0,0.0000
19900216,23100.0000,23177.0000,22605.0000,22627.0000,1505,2722,0,0,0.0000
19900220,22594.0000,22682.0000,22242.0000,22385.0000,1710,2497,0,0,0.0000
19900221,22385.0000,22539.0000,22242.0000,22528.0000,1209,2410,0,0,0.0000
19900222,22550.0000,22583.0000,22462.0000,22550.0000,525,2367,0,0,0.0000
19900223,22550.0000,22550.0000,22000.0000,22000.0000,1693,2123,0,0,0.0000
19900226,21945.0000,21945.0000,21472.0000,21813.0000,2094,1756,0,0,0.0000
19900227,21868.0000,21890.0000,21769.0000,21846.0000,2044,1497,0,0,0.0000
19900228,21813.0000,21923.0000,21758.0000,21824.0000,1683,1225,0,0,0.0000
19900301,21483.0000,21516.0000,21010.0000,21197.0000,2064,2116,199007,199007,0.0000
19900302,20955.0000,21197.0000,20933.0000,21010.0000,1758,2293,0,0,-341.0000
19900305,21032.0000,21307.0000,21032.0000,21164.0000,1389,2318,0,0,0.0000
19900306,21175.0000,21384.0000,21175.0000,21373.0000,770,2254,0,0,0.0000
19900307,21373.0000,21373.0000,21241.0000,21318.0000,526,2292,0,0,0.0000
19900308,21329.0000,21483.0000,21252.0000,21318.0000,957,2410,0,0,0.0000
19900309,21296.0000,21615.0000,21230.0000,21483.0000,877,2400,0,0,0.0000
19900312,21505.0000,21527.0000,21285.0000,21461.0000,724,2484,0,0,0.0000
19900313,21417.0000,21450.0000,21285.0000,21307.0000,489,2512,0,0,0.0000
19900314,21263.0000,21274.0000,21065.0000,21098.0000,922,2539,0,0,0.0000
19900315,21120.0000,21527.0000,21109.0000,21428.0000,1161,2605,0,0,0.0000
19900316,21384.0000,21582.0000,21285.0000,21527.0000,632,2678,0,0,0.0000
19900319,21483.0000,21593.0000,21461.0000,21582.0000,419,2689,0,0,0.0000
19900320,21582.0000,21703.0000,21494.0000,21681.0000,1545,2560,0,0,0.0000
19900321,21670.0000,21681.0000,21417.0000,21527.0000,1846,2681,0,0,0.0000
19900322,21505.0000,21505.0000,21208.0000,21263.0000,1153,2660,0,0,0.0000
19900323,21208.0000,21571.0000,21153.0000,21560.0000,857,2641,0,0,0.0000
19900326,21637.0000,21648.0000,21428.0000,21604.0000,495,2681,0,0,0.0000
19900327,21560.0000,21560.0000,21406.0000,21417.0000,370,2716,0,0,0.0000
19900328,21340.0000,21538.0000,21296.0000,21516.0000,338,2735,0,0,0.0000
19900329,21483.0000,21593.0000,21395.0000,21560.0000,380,2776,0,0,0.0000
19900330,21615.0000,21802.0000,21527.0000,21802.0000,1232,2676,0,0,0.0000
19900402,21725.0000,21813.0000,21571.0000,21626.0000,810,2724,0,0,0.0000
19900403,21560.0000,21604.0000,21428.0000,21461.0000,682,2795,0,0,0.0000
19900404,21505.0000,21758.0000,21483.0000,21692.0000,1085,2795,0,0,0.0000
19900405,21736.0000,21956.0000,21736.0000,21802.0000,1267,2705,0,0,0.0000
19900406,21879.0000,21956.0000,21692.0000,21769.0000,756,2684,0,0,0.0000
19900409,21835.0000,21956.0000,21714.0000,21945.0000,1154,2592,0,0,0.0000
19900410,21945.0000,21989.0000,21395.0000,21494.0000,1135,2483,0,0,0.0000
19900411,21527.0000,21615.0000,21373.0000,21483.0000,1023,2386,0,0,0.0000
19900412,21428.0000,21538.0000,21098.0000,21241.0000,982,2252,0,0,0.0000
19900416,21120.0000,21340.0000,21098.0000,21241.0000,843,2224,0,0,0.0000
19900417,21153.0000,21494.0000,21087.0000,21340.0000,922,2124,0,0,0.0000
19900418,21175.0000,21406.0000,21120.0000,21362.0000,740,2156,0,0,0.0000
19900419,21318.0000,21483.0000,21296.0000,21373.0000,657,2079,0,0,0.0000
19900420,21329.0000,21362.0000,21186.0000,21329.0000,613,2027,0,0,0.0000
19900423,21318.0000,21318.0000,21032.0000,21186.0000,644,1949,0,0,0.0000
19900424,21175.0000,21241.0000,21109.0000,21197.0000,584,1891,0,0,0.0000
19900425,21175.0000,21230.0000,21065.0000,21164.0000,1468,1716,0,0,0.0000
19900426,21230.0000,21406.0000,21230.0000,21285.0000,1467,1458,0,0,0.0000
19900427,21318.0000,21329.0000,21175.0000,21241.0000,1003,1355,0,0,0.0000
19900430,21307.0000,21362.0000,21241.0000,21307.0000,527,1126,0,0,0.0000
19900501,21780.0000,21912.0000,21747.0000,21846.0000,910,2359,199009,199009,0.0000
19900502,21890.0000,21934.0000,21747.0000,21912.0000,616,2376,0,0,462.0000
19900503,21912.0000,21956.0000,21868.0000,21945.0000,524,2387,0,0,0.0000
19900504,22000.0000,22165.0000,22000.0000,22165.0000,1064,2346,0,0,0.0000
19900507,22275.0000,22605.0000,22187.0000,22605.0000,2158,2143,0,0,0.0000
19900508,22660.0000,22660.0000,22484.0000,22627.0000,1217,2061,0,0,0.0000
19900509,22594.0000,22660.0000,22440.0000,22583.0000,1605,2327,0,0,0.0000
19900510,22715.0000,22715.0000,22517.0000,22539.0000,1527,2568,0,0,0.0000
19900511,22528.0000,22605.0000,22429.0000,22539.0000,873,2567,0,0,0.0000
19900514,22605.0000,22770.0000,22517.0000,22737.0000,1349,2806,0,0,0.0000
19900515,22682.0000,22726.0000,22297.0000,22396.0000,1372,2761,0,0,0.0000
19900516,22275.0000,22407.0000,22154.0000,22187.0000,729,2671,0,0,0.0000
19900517,22198.0000,22308.0000,22165.0000,22253.0000,420,2674,0,0,0.0000
19900518,22253.0000,22308.0000,22154.0000,22275.0000,335,2705,0,0,0.0000
19900521,22264.0000,22385.0000,22231.0000,22308.0000,289,2674,0,0,0.0000
19900522,22341.0000,22385.0000,22044.0000,22088.0000,1022,2531,0,0,0.0000
19900523,22055.0000,22165.0000,22000.0000,22055.0000,519,2490,0,0,0.0000
19900524,22066.0000,22495.0000,22066.0000,22484.0000,1037,2483,0,0,0.0000
19900525,22462.0000,22473.0000,22341.0000,22385.0000,395,2492,0,0,0.0000
19900529,22407.0000,22473.0000,22275.0000,22286.0000,261,2520,0,0,0.0000
19900530,22308.0000,22429.0000,22264.0000,22396.0000,349,2531,0,0,0.0000
19900531,22352.0000,22418.0000,22253.0000,22352.0000,372,2420,0,0,0.0000
19900601,22385.0000,22583.0000,22363.0000,22561.0000,772,2445,0,0,0.0000
19900604,22550.0000,22605.0000,22418.0000,22561.0000,986,2240,0,0,0.0000
19900605,22561.0000,22704.0000,22462.0000,22484.0000,871,2356,0,0,0.0000
19900606,22473.0000,22528.0000,22374.0000,22440.0000,373,2332,0,0,0.0000
19900607,22385.0000,22385.0000,22220.0000,22319.0000,758,2154,0,0,0.0000
19900608,22308.0000,22407.0000,22253.0000,22374.0000,428,2126,0,0,0.0000
19900611,22374.0000,22572.0000,22330.0000,22539.0000,739,2098,0,0,0.0000
19900612,22528.0000,22583.0000,22440.0000,22539.0000,634,2075,0,0,0.0000
19900613,22572.0000,22726.0000,22572.0000,22726.0000,988,2052,0,0,0.0000
19900614,22748.0000,22759.0000,22616.0000,22649.0000,659,2007,0,0,0.0000
19900615,22649.0000,22847.0000,22561.0000,22594.0000,792,1966,0,0,0.0000
19900618,22583.0000,22583.0000,22451.0000,22462.0000,574,1991,0,0,0.0000
19900619,22418.0000,22429.0000,22176.0000,22275.0000,1554,2062,0,0,0.0000
19900620,22330.0000,22792.0000,22330.0000,22671.0000,1318,1901,0,0,0.0000
19900621,22649.0000,22748.0000,22385.0000,22726.0000,879,1809,0,0,0.0000
19900622,22726.0000,22737.0000,22572.0000,22638.0000,610,1774,0,0,0.0000
19900625,22605.0000,22682.0000,22440.0000,22594.0000,418,1759,0,0,0.0000
19900626,22605.0000,22627.0000,22385.0000,22484.0000,787,1630,0,0,0.0000
19900627,22396.0000,22407.0000,22253.0000,22385.0000,806,1460,0,0,0.0000
19900628,22385.0000,22605.0000,22385.0000,22594.0000,573,1428,199009,199009,0.0000
19900629,22605.0000,22638.0000,22539.0000,22616.0000,562,2169,0,0,22.0000
19900702,22583.0000,22594.0000,22363.0000,22429.0000,607,2275,0,0,0.0000
19900703,22451.0000,22451.0000,22242.0000,22330.0000,1153,2442,0,0,0.0000
19900705,22275.0000,22407.0000,22176.0000,22363.0000,738,2518,0,0,0.0000
19900706,22275.0000,22539.0000,22275.0000,22396.0000,605,2584,0,0,0.0000
19900709,22352.0000,22396.0000,22176.0000,22198.0000,597,2553,0,0,0.0000
19900710,22055.0000,22099.0000,21934.0000,21989.0000,1255,2541,0,0,0.0000
19900711,21956.0000,22055.0000,21912.0000,22044.0000,1359,2400,0,0,0.0000
19900712,22055.0000,22132.0000,21967.0000,22099.0000,729,2406,0,0,0.0000
19900713,22099.0000,22143.0000,21791.0000,21824.0000,1355,2412,0,0,0.0000
19900716,21780.0000,21802.0000,21571.0000,21593.0000,675,2419,0,0,0.0000
19900717,21593.0000,21813.0000,21505.0000,21747.0000,1159,2225,0,0,0.0000
19900718,21725.0000,21747.0000,21461.0000,21516.0000,738,2174,0,0,0.0000
19900719,21472.0000,21615.0000,21395.0000,21604.0000,605,2130,0,0,0.0000
19900720,21527.0000,21692.0000,21483.0000,21571.0000,349,2041,0,0,0.0000
19900723,21560.0000,21560.0000,21021.0000,21054.0000,1233,1950,0,0,0.0000
19900724,21109.0000,21230.0000,20823.0000,21054.0000,1306,1946,0,0,0.0000
19900725,21054.0000,21307.0000,21054.0000,21197.0000,483,1900,0,0,0.0000
19900726,21131.0000,21384.0000,21032.0000,21164.0000,495,1868,0,0,0.0000
19900727,21208.0000,21285.0000,21142.0000,21164.0000,199,1905,0,0,0.0000
19900730,21175.0000,21307.0000,21076.0000,21296.0000,292,1930,0,0,0.0000
19900731,21340.0000,21417.0000,21208.0000,21395.0000,470,1946,0,0,0.0000
19900801,21384.0000,21450.0000,21351.0000,21373.0000,320,1972,0,0,0.0000
19900802,21285.0000,21285.0000,21032.0000,21208.0000,539,1857,0,0,0.0000
19900803,21120.0000,21120.0000,20900.0000,20966.0000,536,1833,0,0,0.0000
19900806,20867.0000,20966.0000,20581.0000,20889.0000,1011,1617,0,0,0.0000
19900807,20977.0000,21120.0000,20955.0000,21010.0000,358,1545,0,0,0.0000
19900808,21043.0000,21109.0000,20801.0000,20834.0000,340,1537,0,0,0.0000
19900809,20867.0000,21065.0000,20746.0000,20977.0000,413,1491,0,0,0.0000
