DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19920213,15570.0000,15600.0000,15345.0000,15405.0000,3082,1241,0,0,0.0000
19920214,15340.0000,15370.0000,15270.0000,15310.0000,1707,1754,0,0,0.0000
19920218,15300.0000,15360.0000,15060.0000,15130.0000,888,2061,0,0,0.0000
19920219,15105.0000,15120.0000,14920.0000,15025.0000,557,2168,0,0,0.0000
19920220,15000.0000,15250.0000,15000.0000,15250.0000,447,2246,0,0,0.0000
19920221,15230.0000,15320.0000,15090.0000,15225.0000,528,2404,0,0,0.0000
19920224,15190.0000,15210.0000,14990.0000,15010.0000,255,2427,0,0,0.0000
19920225,14985.0000,15015.0000,14820.0000,14885.0000,540,2604,0,0,0.0000
19920226,14900.0000,15150.0000,14900.0000,15130.0000,248,2560,0,0,0.0000
19920227,15140.0000,15210.0000,15125.0000,15180.0000,277,2599,0,0,0.0000
19920228,15225.0000,15230.0000,15050.0000,15100.0000,224,2660,0,0,0.0000
19920302,15075.0000,15115.0000,15015.0000,15110.0000,343,2496,0,0,0.0000
19920303,15050.0000,15110.0000,15050.0000,15080.0000,203,2492,0,0,0.0000
19920304,15100.0000,15100.0000,14960.0000,14965.0000,495,2510,0,0,0.0000
19920305,14920.0000,14950.0000,14725.0000,14780.0000,306,2529,199206,199206,0.0000
19920306,14850.0000,14965.0000,14680.0000,14725.0000,695,759,0,0,130.0000
19920309,14690.0000,14730.0000,14675.0000,14690.0000,736,863,0,0,0.0000
19920310,14850.0000,14880.0000,14815.0000,14815.0000,447,919,0,0,0.0000
19920311,14750.0000,14810.0000,14700.0000,14730.0000,903,1133,0,0,0.0000
19920312,14730.0000,14745.0000,14600.0000,14745.0000,616,1246,0,0,0.0000
19920313,14775.0000,14815.0000,14715.0000,14740.0000,827,1437,0,0,0.0000
19920316,14720.0000,14840.0000,14710.0000,14840.0000,1020,1735,0,0,0.0000
19920317,14870.0000,14930.0000,14830.0000,14915.0000,1012,2048,0,0,0.0000
19920318,14890.0000,15000.0000,14885.0000,14925.0000,1012,2048,0,0,0.0000
19920319,14960.0000,15040.0000,14940.0000,14950.0000,894,2129,0,0,0.0000
19920320,14955.0000,14980.0000,14925.0000,14945.0000,375,2330,0,0,0.0000
19920323,14930.0000,14940.0000,14910.0000,14930.0000,156,2318,0,0,0.0000
19920324,14940.0000,14960.0000,14790.0000,14810.0000,205,2345,0,0,0.0000
19920325,14810.0000,14840.0000,14785.0000,14815.0000,80,2343,0,0,0.0000
19920326,14855.0000,14855.0000,14775.0000,14790.0000,158,2314,0,0,0.0000
19920327,14730.0000,14735.0000,14525.0000,14570.0000,260,2396,0,0,0.0000
19920330,14565.0000,14575.0000,14460.0000,14475.0000,196,2410,0,0,0.0000
19920331,14480.0000,14530.0000,14460.0000,14495.0000,205,2416,0,0,0.0000
19920401,14400.0000,14545.0000,14380.0000,14520.0000,371,2594,0,0,0.0000
19920402,14540.0000,14550.0000,14280.0000,14325.0000,420,2801,0,0,0.0000
19920403,14310.0000,14330.0000,14215.0000,14305.0000,286,2787,0,0,0.0000
19920406,14360.0000,14470.0000,14350.0000,14450.0000,250,2837,0,0,0.0000
19920407,14435.0000,14450.0000,14090.0000,14100.0000,384,2860,0,0,0.0000
19920408,14050.0000,14050.0000,13790.0000,13960.0000,181,2903,0,0,0.0000
19920409,14010.0000,14425.0000,13960.0000,14390.0000,505,2887,0,0,0.0000
19920410,14440.0000,14460.0000,14310.0000,14385.0000,292,2824,0,0,0.0000
19920413,14360.0000,14370.0000,14310.0000,14350.0000,73,2846,0,0,0.0000
19920414,14500.0000,14710.0000,14500.0000,14630.0000,336,2876,0,0,0.0000
19920415,14680.0000,14690.0000,14610.0000,14685.0000,370,2954,0,0,0.0000
19920416,14670.0000,14670.0000,14445.0000,14485.0000,514,3123,0,0,0.0000
19920420,14410.0000,14450.0000,14025.0000,14140.0000,371,3142,0,0,0.0000
19920421,14160.0000,14170.0000,13940.0000,13990.0000,390,3069,0,0,0.0000
19920422,13960.0000,14085.0000,13960.0000,14080.0000,417,2919,0,0,0.0000
19920423,14090.0000,14110.0000,13950.0000,14045.0000,290,2911,0,0,0.0000
19920424,14080.0000,14100.0000,13960.0000,13960.0000,95,2932,0,0,0.0000
19920427,13995.0000,14015.0000,13930.0000,13960.0000,598,3394,0,0,0.0000
19920428,13940.0000,13960.0000,13740.0000,13805.0000,340,3436,0,0,0.0000
19920429,13850.0000,14160.0000,13850.0000,14150.0000,471,3536,0,0,0.0000
19920430,14150.0000,14395.0000,14145.0000,14380.0000,1037,3527,0,0,0.0000
19920501,14410.0000,14425.0000,14240.0000,14310.0000,799,3403,0,0,0.0000
19920504,14320.0000,14510.0000,14320.0000,14450.0000,308,3309,0,0,0.0000
19920505,14430.0000,14560.0000,14415.0000,14545.0000,353,3296,0,0,0.0000
19920506,14600.0000,14610.0000,14490.0000,14560.0000,296,3332,0,0,0.0000
19920507,14550.0000,14570.0000,14475.0000,14530.0000,267,3333,0,0,0.0000
19920508,14555.0000,14560.0000,14440.0000,14480.0000,238,3314,0,0,0.0000
19920511,14485.0000,14570.0000,14460.0000,14560.0000,190,3360,0,0,0.0000
19920512,14575.0000,14575.0000,14430.0000,14485.0000,178,3346,0,0,0.0000
19920513,14450.0000,14470.0000,14390.0000,14415.0000,303,3359,0,0,0.0000
19920514,14380.0000,14380.0000,14205.0000,14250.0000,366,3383,0,0,0.0000
19920515,14170.0000,14300.0000,14160.0000,14300.0000,197,3344,0,0,0.0000
19920518,14350.0000,14410.0000,14340.0000,14360.0000,240,3405,0,0,0.0000
19920519,14370.0000,14440.0000,14295.0000,14440.0000,316,3427,0,0,0.0000
19920520,14410.0000,14420.0000,14360.0000,14395.0000,402,3461,0,0,0.0000
19920521,14335.0000,14340.0000,14260.0000,14300.0000,252,3413,0,0,0.0000
19920522,14320.0000,14365.0000,14310.0000,14360.0000,194,3523,0,0,0.0000
19920526,14240.0000,14270.0000,14185.0000,14240.0000,216,3488,0,0,0.0000
19920527,14220.0000,14250.0000,14200.0000,14235.0000,151,3550,0,0,0.0000
19920528,14240.0000,14340.0000,14205.0000,14330.0000,132,3533,0,0,0.0000
19920529,14325.0000,14460.0000,14325.0000,14390.0000,213,3572,0,0,0.0000
19920601,14365.0000,14580.0000,14330.0000,14580.0000,309,3607,0,0,0.0000
19920602,14580.0000,14600.0000,14510.0000,14525.0000,851,3597,0,0,0.0000
19920603,14510.0000,14595.0000,14490.0000,14555.0000,461,3525,0,0,0.0000
19920604,14560.0000,14600.0000,14510.0000,14530.0000,230,3480,0,0,0.0000
19920605,14520.0000,14525.0000,14400.0000,14450.0000,423,3370,199209,199209,0.0000
19920608,14500.0000,14510.0000,14415.0000,14465.0000,91,961,0,0,70.0000
19920609,14440.0000,14440.0000,14195.0000,14195.0000,1462,1575,0,0,0.0000
19920610,14200.0000,14250.0000,14070.0000,14070.0000,393,1636,0,0,0.0000
19920611,14080.0000,14130.0000,14015.0000,14125.0000,646,1858,0,0,0.0000
19920612,14180.0000,14260.0000,14130.0000,14145.0000,448,1997,0,0,0.0000
19920615,14125.0000,14150.0000,14060.0000,14075.0000,1466,2390,0,0,0.0000
19920616,14050.0000,14110.0000,14000.0000,14010.0000,1299,2751,0,0,0.0000
19920617,13975.0000,14000.0000,13730.0000,13740.0000,1119,3047,0,0,0.0000
19920618,13740.0000,13740.0000,13610.0000,13680.0000,1687,3284,0,0,0.0000
19920619,13730.0000,13780.0000,13680.0000,13720.0000,600,3446,0,0,0.0000
19920622,13640.0000,13690.0000,13525.0000,13690.0000,417,3659,0,0,0.0000
19920623,13700.0000,13775.0000,13695.0000,13740.0000,197,3728,0,0,0.0000
19920624,13710.0000,13775.0000,13685.0000,13715.0000,132,3721,0,0,0.0000
19920625,13790.0000,13790.0000,13630.0000,13650.0000,232,3796,0,0,0.0000
19920626,13640.0000,13700.0000,13600.0000,13665.0000,127,3697,0,0,0.0000
19920629,13680.0000,13975.0000,13680.0000,13975.0000,196,3746,0,0,0.0000
19920630,13980.0000,14100.0000,13940.0000,14070.0000,350,3845,0,0,0.0000
19920701,14040.0000,14250.0000,14020.0000,14215.0000,738,3820,0,0,0.0000
19920702,14270.0000,14340.0000,14060.0000,14145.0000,600,3808,0,0,0.0000
19920706,14140.0000,14170.0000,14030.0000,14170.0000,299,3895,0,0,0.0000
19920707,14155.0000,14240.0000,13950.0000,13950.0000,462,4121,0,0,0.0000
19920708,13930.0000,14040.0000,13900.0000,14040.0000,253,4130,0,0,0.0000
19920709,14060.0000,14245.0000,14050.0000,14230.0000,239,4104,0,0,0.0000
19920710,14310.0000,14325.0000,14210.0000,14310.0000,99,4194,0,0,0.0000
19920713,14300.0000,14380.0000,14290.0000,14370.0000,148,4026,0,0,0.0000
19920714,14370.0000,14540.0000,14365.0000,14510.0000,700,3960,0,0,0.0000
19920715,14515.0000,14565.0000,14440.0000,14480.0000,214,4092,0,0,0.0000
19920716,14420.0000,14490.0000,14350.0000,14450.0000,312,4050,0,0,0.0000
19920717,14375.0000,14390.0000,14250.0000,14370.0000,87,4111,0,0,0.0000
19920720,14240.0000,14290.0000,14080.0000,14240.0000,146,4024,0,0,0.0000
19920721,14280.0000,14320.0000,14220.0000,14270.0000,113,4005,0,0,0.0000
19920722,14180.0000,14230.0000,14125.0000,14150.0000,127,4021,0,0,0.0000
19920723,14140.0000,14230.0000,14100.0000,14195.0000,197,3958,0,0,0.0000
19920724,14140.0000,14240.0000,14110.0000,14210.0000,100,3978,0,0,0.0000
19920727,14190.0000,14240.0000,14165.0000,14210.0000,50,4023,0,0,0.0000
19920728,14225.0000,14430.0000,14225.0000,14415.0000,306,4048,0,0,0.0000
19920729,14500.0000,14595.0000,14500.0000,14585.0000,244,4082,0,0,0.0000
19920730,14590.0000,14680.0000,14570.0000,14680.0000,95,4067,0,0,0.0000
19920731,14680.0000,14690.0000,14620.0000,14670.0000,225,4114,0,0,0.0000
19920803,14680.0000,14755.0000,14640.0000,14710.0000,137,4159,0,0,0.0000
