DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,7675.0000,7675.0000,7562.5000,7562.5000,411,8267,0,0,0.0000
19900103,7525.0000,7662.5000,7512.5000,7650.0000,869,8360,0,0,0.0000
19900104,7750.0000,7750.0000,7500.0000,7537.5000,1812,8187,0,0,0.0000
19900105,7525.0000,7600.0000,7525.0000,7587.5000,284,8117,0,0,0.0000
19900108,7612.5000,7650.0000,7475.0000,7537.5000,977,8049,0,0,0.0000
19900109,7575.0000,7587.5000,7475.0000,7475.0000,506,7996,0,0,0.0000
19900110,7325.0000,7400.0000,7250.0000,7250.0000,3862,7608,0,0,0.0000
19900111,7225.0000,7250.0000,7162.5000,7175.0000,1597,7608,0,0,0.0000
19900112,7200.0000,7237.5000,7125.0000,7150.0000,1227,7620,0,0,0.0000
19900115,7137.5000,7187.5000,7125.0000,7175.0000,584,7562,0,0,0.0000
19900116,7150.0000,7200.0000,7112.5000,7112.5000,827,7608,0,0,0.0000
19900117,7087.5000,7100.0000,6937.5000,6975.0000,1644,7417,0,0,0.0000
19900118,6875.0000,6962.5000,6875.0000,6912.5000,2013,7413,0,0,0.0000
19900119,6962.5000,7000.0000,6912.5000,6950.0000,1063,7318,0,0,0.0000
19900122,6912.5000,6950.0000,6787.5000,6837.5000,1832,7014,0,0,0.0000
19900123,6850.0000,6937.5000,6825.0000,6925.0000,783,6925,0,0,0.0000
19900124,6912.5000,6975.0000,6912.5000,6950.0000,283,6896,0,0,0.0000
19900125,6912.5000,6925.0000,6850.0000,6850.0000,759,6836,0,0,0.0000
19900126,6825.0000,6887.5000,6812.5000,6862.5000,573,6837,0,0,0.0000
19900129,6900.0000,6925.0000,6800.0000,6912.5000,881,6793,0,0,0.0000
19900130,6937.5000,6937.5000,6850.0000,6862.5000,389,6749,0,0,0.0000
19900131,6825.0000,6825.0000,6750.0000,6762.5000,1487,6620,0,0,0.0000
19900201,6737.5000,6887.5000,6675.0000,6787.5000,1892,6337,0,0,0.0000
19900202,6737.5000,6812.5000,6725.0000,6800.0000,947,6122,0,0,0.0000
19900205,6762.5000,6762.5000,6725.0000,6750.0000,1185,5920,0,0,0.0000
19900206,6737.5000,6787.5000,6737.5000,6775.0000,922,5860,0,0,0.0000
19900207,6750.0000,6862.5000,6750.0000,6862.5000,1494,5735,0,0,0.0000
19900208,6850.0000,6850.0000,6800.0000,6850.0000,701,5628,0,0,0.0000
19900209,6862.5000,6925.0000,6837.5000,6900.0000,1022,5469,0,0,0.0000
19900212,6925.0000,6975.0000,6900.0000,6975.0000,1743,5184,199005,199005,0.0000
