DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,13400.0000,13575.0000,13200.0000,13570.0000,169,4179,0,0,0.0000
19900103,13570.0000,13575.0000,13400.0000,13475.0000,109,4156,0,0,0.0000
19900104,13650.0000,13650.0000,13500.0000,13625.0000,110,4176,0,0,0.0000
19900105,13700.0000,13900.0000,13550.0000,13690.0000,309,4241,0,0,0.0000
19900108,13700.0000,13750.0000,13650.0000,13680.0000,1,4178,0,0,0.0000
19900109,13670.0000,13750.0000,13650.0000,13695.0000,422,4145,0,0,0.0000
19900110,13700.0000,13775.0000,13700.0000,13770.0000,119,4157,0,0,0.0000
19900111,13775.0000,13790.0000,13700.0000,13725.0000,153,4151,0,0,0.0000
19900112,13800.0000,13900.0000,13800.0000,13830.0000,372,4200,0,0,0.0000
19900115,13875.0000,13990.0000,13850.0000,13910.0000,575,3993,0,0,0.0000
19900116,13800.0000,13850.0000,13500.0000,13720.0000,268,4015,0,0,0.0000
19900117,13725.0000,13725.0000,13575.0000,13630.0000,412,3922,0,0,0.0000
19900118,13700.0000,13725.0000,13575.0000,13575.0000,239,3911,0,0,0.0000
19900119,13550.0000,13625.0000,13510.0000,13590.0000,310,3902,0,0,0.0000
19900122,13575.0000,13600.0000,13475.0000,13525.0000,136,3888,0,0,0.0000
19900123,13600.0000,13640.0000,13575.0000,13635.0000,161,3869,0,0,0.0000
19900124,13700.0000,13750.0000,13600.0000,13615.0000,341,3933,0,0,0.0000
19900125,13650.0000,13700.0000,13575.0000,13655.0000,135,3904,0,0,0.0000
19900126,13705.0000,13775.0000,13700.0000,13765.0000,171,3890,0,0,0.0000
19900129,13800.0000,13840.0000,13750.0000,13780.0000,151,3895,0,0,0.0000
19900130,13700.0000,13775.0000,13700.0000,13770.0000,147,3852,0,0,0.0000
19900131,13650.0000,13725.0000,13650.0000,13680.0000,214,3799,0,0,0.0000
19900201,13700.0000,13720.0000,13675.0000,13695.0000,299,3839,0,0,0.0000
19900202,13675.0000,13700.0000,13500.0000,13605.0000,409,3815,0,0,0.0000
19900205,13700.0000,13750.0000,13675.0000,13700.0000,254,3753,0,0,0.0000
19900206,13700.0000,13725.0000,13675.0000,13685.0000,515,3552,0,0,0.0000
19900207,13650.0000,13775.0000,13600.0000,13635.0000,569,3517,0,0,0.0000
19900208,13650.0000,13725.0000,13625.0000,13700.0000,421,3420,0,0,0.0000
19900209,13700.0000,13700.0000,13600.0000,13625.0000,514,3253,0,0,0.0000
19900212,13600.0000,13800.0000,13575.0000,13665.0000,709,3175,0,0,0.0000
19900213,13650.0000,13775.0000,13650.0000,13730.0000,795,2997,0,0,0.0000
19900214,13700.0000,13725.0000,13650.0000,13675.0000,249,2910,0,0,0.0000
19900215,13725.0000,13800.0000,13500.0000,13510.0000,4296,2907,0,0,0.0000
19900216,13600.0000,13625.0000,13450.0000,13495.0000,955,2128,0,0,0.0000
19900220,13575.0000,13775.0000,13575.0000,13600.0000,545,2046,0,0,0.0000
19900221,13625.0000,13650.0000,13500.0000,13545.0000,531,1919,199006,199006,0.0000
19900222,13675.0000,13700.0000,13600.0000,13635.0000,689,3432,0,0,125.0000
19900223,13625.0000,13650.0000,13500.0000,13535.0000,841,3440,0,0,0.0000
19900226,13500.0000,13500.0000,12935.0000,12935.0000,1617,3569,0,0,0.0000
19900227,12850.0000,12950.0000,12650.0000,12825.0000,1832,3780,0,0,0.0000
19900228,12890.0000,13000.0000,12800.0000,12900.0000,1183,3820,0,0,0.0000
19900301,12850.0000,12925.0000,12805.0000,12850.0000,372,3906,0,0,0.0000
19900302,12875.0000,13300.0000,12875.0000,13185.0000,766,3765,0,0,0.0000
19900305,13150.0000,13275.0000,13050.0000,13235.0000,606,3577,0,0,0.0000
19900306,13250.0000,13340.0000,13225.0000,13235.0000,397,3785,0,0,0.0000
19900307,13300.0000,13300.0000,13100.0000,13240.0000,242,3760,0,0,0.0000
19900308,13250.0000,13250.0000,13150.0000,13225.0000,109,3744,0,0,0.0000
19900309,13100.0000,13250.0000,13100.0000,13190.0000,213,3878,0,0,0.0000
19900312,13150.0000,13250.0000,13150.0000,13205.0000,117,3771,0,0,0.0000
19900313,13125.0000,13230.0000,13100.0000,13225.0000,291,3816,0,0,0.0000
