DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,24200.0000,24250.0000,23975.0000,24110.0000,5236,13256,0,0,0.0000
19900103,24210.0000,24250.0000,23650.0000,23905.0000,6051,14121,0,0,0.0000
19900104,24475.0000,24745.0000,24275.0000,24720.0000,7098,15126,0,0,0.0000
19900105,24900.0000,25175.0000,24850.0000,24990.0000,5806,14840,0,0,0.0000
19900108,24850.0000,24950.0000,24510.0000,24610.0000,3143,14736,0,0,0.0000
19900109,24725.0000,24900.0000,24725.0000,24870.0000,1876,15059,0,0,0.0000
19900110,24975.0000,25400.0000,24925.0000,25270.0000,3830,15068,0,0,0.0000
19900111,25225.0000,25290.0000,25130.0000,25180.0000,2105,14812,0,0,0.0000
19900112,25450.0000,25730.0000,25300.0000,25375.0000,4988,14838,0,0,0.0000
19900115,25550.0000,25550.0000,25025.0000,25305.0000,2552,14397,0,0,0.0000
19900116,25150.0000,25250.0000,24975.0000,25100.0000,2787,13982,0,0,0.0000
19900117,25100.0000,25225.0000,24975.0000,25205.0000,1833,14388,0,0,0.0000
19900118,25300.0000,25400.0000,24910.0000,25005.0000,2526,14580,0,0,0.0000
19900119,25000.0000,25240.0000,24900.0000,25200.0000,1594,14527,0,0,0.0000
19900122,25030.0000,25125.0000,24800.0000,25100.0000,2520,14583,0,0,0.0000
19900123,25125.0000,25300.0000,25075.0000,25230.0000,3614,14851,0,0,0.0000
19900124,25400.0000,25775.0000,25325.0000,25490.0000,5038,14912,0,0,0.0000
19900125,25450.0000,25800.0000,25400.0000,25665.0000,3142,13972,0,0,0.0000
19900126,25950.0000,26245.0000,25825.0000,26180.0000,5635,13579,0,0,0.0000
19900129,26150.0000,26450.0000,26055.0000,26195.0000,6218,12903,0,0,0.0000
19900130,26000.0000,26125.0000,25875.0000,25980.0000,4259,13359,0,0,0.0000
19900131,25725.0000,25850.0000,25575.0000,25610.0000,3791,12951,0,0,0.0000
19900201,25650.0000,25875.0000,25625.0000,25870.0000,1966,12639,0,0,0.0000
19900202,25900.0000,25925.0000,25775.0000,25790.0000,908,12425,0,0,0.0000
19900205,25925.0000,26125.0000,25900.0000,25950.0000,2340,12804,0,0,0.0000
19900206,25950.0000,25990.0000,25825.0000,25915.0000,1530,12686,0,0,0.0000
19900207,25825.0000,26075.0000,25500.0000,25600.0000,4328,12371,0,0,0.0000
