DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19930204,23370.0000,23380.0000,23225.0000,23270.0000,41,32,0,0,0.0000
19930205,23255.0000,23270.0000,22945.0000,23020.0000,91,72,0,0,0.0000
19930208,23020.0000,23080.0000,23010.0000,23050.0000,43,92,0,0,0.0000
19930209,22990.0000,23040.0000,22825.0000,22830.0000,46,108,0,0,0.0000
19930210,22850.0000,22900.0000,22815.0000,22870.0000,46,125,0,0,0.0000
19930211,22950.0000,23000.0000,22950.0000,22970.0000,11,123,0,0,0.0000
19930212,22990.0000,23020.0000,22840.0000,22840.0000,79,183,0,0,0.0000
19930216,22780.0000,22780.0000,22050.0000,22140.0000,57,220,0,0,0.0000
19930217,22100.0000,22100.0000,21830.0000,21860.0000,134,281,0,0,0.0000
19930218,22000.0000,22120.0000,21700.0000,21950.0000,126,295,0,0,0.0000
19930219,22100.0000,22100.0000,22070.0000,22090.0000,12,306,0,0,0.0000
19930222,22070.0000,22070.0000,21820.0000,21850.0000,104,363,0,0,0.0000
19930223,21870.0000,21900.0000,21725.0000,21830.0000,132,379,0,0,0.0000
19930224,21850.0000,22170.0000,21790.0000,22170.0000,46,374,0,0,0.0000
19930225,22140.0000,22195.0000,22120.0000,22180.0000,81,407,0,0,0.0000
19930226,22180.0000,22270.0000,22180.0000,22270.0000,29,409,0,0,0.0000
19930301,22320.0000,22375.0000,22285.0000,22300.0000,64,441,0,0,0.0000
19930302,22300.0000,22500.0000,22280.0000,22500.0000,18,458,0,0,0.0000
19930303,22520.0000,22660.0000,22520.0000,22655.0000,263,445,0,0,0.0000
19930304,22620.0000,22660.0000,22520.0000,22560.0000,37,455,0,0,0.0000
19930305,22570.0000,22735.0000,22550.0000,22600.0000,88,503,199306,199306,0.0000
19930308,22800.0000,23060.0000,22800.0000,23060.0000,124,82,0,0,180.0000
19930309,23110.0000,23110.0000,23060.0000,23060.0000,59,108,0,0,0.0000
19930310,23000.0000,23170.0000,22960.0000,23170.0000,199,185,0,0,0.0000
19930311,23200.0000,23250.0000,23165.0000,23190.0000,93,217,0,0,0.0000
19930312,23160.0000,23160.0000,22840.0000,23010.0000,190,318,0,0,0.0000
19930315,23020.0000,23215.0000,22970.0000,23215.0000,95,347,0,0,0.0000
19930316,23210.0000,23210.0000,23090.0000,23090.0000,152,421,0,0,0.0000
19930317,23100.0000,23120.0000,22955.0000,22965.0000,166,488,0,0,0.0000
19930318,23010.0000,23050.0000,23010.0000,23030.0000,42,503,0,0,0.0000
19930319,23060.0000,23060.0000,22880.0000,22880.0000,66,547,0,0,0.0000
19930322,22840.0000,22850.0000,22680.0000,22755.0000,73,572,0,0,0.0000
19930323,22720.0000,22760.0000,22630.0000,22690.0000,416,786,0,0,0.0000
19930324,22660.0000,22660.0000,22500.0000,22580.0000,283,1016,0,0,0.0000
19930325,22580.0000,22705.0000,22480.0000,22705.0000,260,1221,0,0,0.0000
19930326,22710.0000,22750.0000,22660.0000,22715.0000,109,1296,0,0,0.0000
19930329,22700.0000,22820.0000,22690.0000,22800.0000,88,1355,0,0,0.0000
19930330,22750.0000,22860.0000,22740.0000,22825.0000,37,1358,0,0,0.0000
19930331,22840.0000,22990.0000,22840.0000,22990.0000,26,1372,0,0,0.0000
19930401,22910.0000,22910.0000,22825.0000,22825.0000,9,1368,0,0,0.0000
19930402,22800.0000,22800.0000,22400.0000,22400.0000,102,1368,0,0,0.0000
19930405,22360.0000,22405.0000,22300.0000,22400.0000,52,1388,0,0,0.0000
19930406,22440.0000,22440.0000,22225.0000,22265.0000,52,1416,0,0,0.0000
19930407,22250.0000,22360.0000,22220.0000,22340.0000,23,1431,0,0,0.0000
19930408,22400.0000,22400.0000,22230.0000,22230.0000,15,1445,0,0,0.0000
19930412,22400.0000,22460.0000,22360.0000,22460.0000,56,1477,0,0,0.0000
19930413,22480.0000,22620.0000,22480.0000,22600.0000,91,1464,0,0,0.0000
19930414,22600.0000,22660.0000,22590.0000,22660.0000,16,1476,0,0,0.0000
19930415,22580.0000,22585.0000,22485.0000,22545.0000,55,1449,0,0,0.0000
19930416,22550.0000,22560.0000,22440.0000,22475.0000,54,1450,0,0,0.0000
19930419,22450.0000,22450.0000,22270.0000,22340.0000,15,1483,0,0,0.0000
19930420,22340.0000,22340.0000,22150.0000,22285.0000,52,1461,0,0,0.0000
19930421,22370.0000,22370.0000,22260.0000,22370.0000,5,1466,0,0,0.0000
19930422,22300.0000,22425.0000,22260.0000,22260.0000,30,1441,0,0,0.0000
19930423,22300.0000,22320.0000,22100.0000,22250.0000,21,1439,0,0,0.0000
19930426,22150.0000,22150.0000,21940.0000,21960.0000,44,1421,0,0,0.0000
19930427,21975.0000,22075.0000,21870.0000,22060.0000,54,1436,0,0,0.0000
19930428,22050.0000,22110.0000,22050.0000,22110.0000,6,1446,0,0,0.0000
19930429,22130.0000,22200.0000,22070.0000,22200.0000,53,1407,0,0,0.0000
19930430,22280.0000,22390.0000,22280.0000,22300.0000,23,1399,0,0,0.0000
19930503,22290.0000,22480.0000,22280.0000,22480.0000,3,1397,0,0,0.0000
19930504,22560.0000,22750.0000,22560.0000,22725.0000,10,1394,0,0,0.0000
19930505,22660.0000,22935.0000,22660.0000,22900.0000,42,1413,0,0,0.0000
19930506,22890.0000,22980.0000,22840.0000,22880.0000,106,1332,0,0,0.0000
19930507,22855.0000,22865.0000,22780.0000,22820.0000,28,1326,0,0,0.0000
19930510,22885.0000,22975.0000,22885.0000,22975.0000,1,1326,0,0,0.0000
19930511,22870.0000,22950.0000,22870.0000,22950.0000,25,1348,0,0,0.0000
19930512,22960.0000,22960.0000,22960.0000,22960.0000,0,1348,0,0,0.0000
19930513,22820.0000,22820.0000,22630.0000,22725.0000,6,1356,0,0,0.0000
19930514,22640.0000,22750.0000,22640.0000,22730.0000,71,1373,0,0,0.0000
19930517,22760.0000,22770.0000,22710.0000,22760.0000,4,1374,0,0,0.0000
19930518,22810.0000,22840.0000,22765.0000,22840.0000,54,1359,0,0,0.0000
19930519,22760.0000,23100.0000,22760.0000,23010.0000,31,1336,0,0,0.0000
19930520,23165.0000,23210.0000,23165.0000,23210.0000,25,1325,0,0,0.0000
19930521,23130.0000,23210.0000,23065.0000,23100.0000,68,1291,0,0,0.0000
19930524,23130.0000,23200.0000,23055.0000,23180.0000,6,1254,0,0,0.0000
19930525,23180.0000,23300.0000,23150.0000,23255.0000,258,1240,0,0,0.0000
19930526,23250.0000,23400.0000,23250.0000,23400.0000,92,1200,0,0,0.0000
19930527,23500.0000,23500.0000,23390.0000,23390.0000,11,1191,0,0,0.0000
19930528,23300.0000,23300.0000,23150.0000,23200.0000,69,1216,0,0,0.0000
19930601,23325.0000,23515.0000,23315.0000,23510.0000,22,1194,0,0,0.0000
19930602,23500.0000,23520.0000,23460.0000,23520.0000,3,1194,0,0,0.0000
19930603,23425.0000,23425.0000,23280.0000,23360.0000,173,1086,0,0,0.0000
19930604,23310.0000,23310.0000,23210.0000,23270.0000,444,1013,0,0,0.0000
19930607,23260.0000,23260.0000,23095.0000,23105.0000,43,1003,199309,199309,0.0000
19930608,23050.0000,23050.0000,23030.0000,23045.0000,176,227,0,0,-90.0000
19930609,23025.0000,23075.0000,23010.0000,23075.0000,214,256,0,0,0.0000
19930610,23000.0000,23045.0000,23000.0000,23045.0000,137,268,0,0,0.0000
19930611,23125.0000,23125.0000,23075.0000,23075.0000,129,311,0,0,0.0000
19930614,23075.0000,23120.0000,23075.0000,23120.0000,264,436,0,0,0.0000
19930615,23175.0000,23175.0000,23175.0000,23175.0000,248,521,0,0,0.0000
19930616,23190.0000,23190.0000,23110.0000,23170.0000,85,546,0,0,0.0000
19930617,23180.0000,23250.0000,23180.0000,23250.0000,408,634,0,0,0.0000
19930618,23250.0000,23250.0000,23100.0000,23100.0000,58,682,0,0,0.0000
19930621,23200.0000,23200.0000,23040.0000,23090.0000,15,685,0,0,0.0000
19930622,23160.0000,23160.0000,23035.0000,23035.0000,10,695,0,0,0.0000
19930623,22950.0000,22950.0000,22950.0000,22950.0000,10,705,0,0,0.0000
19930624,23020.0000,23100.0000,22945.0000,23100.0000,5,705,0,0,0.0000
19930625,23030.0000,23250.0000,23030.0000,23200.0000,27,708,0,0,0.0000
19930628,23300.0000,23430.0000,23300.0000,23430.0000,3,709,0,0,0.0000
19930629,23400.0000,23440.0000,23350.0000,23400.0000,71,728,0,0,0.0000
19930630,23475.0000,23560.0000,23460.0000,23560.0000,33,735,0,0,0.0000
19930701,23480.0000,23550.0000,23450.0000,23510.0000,188,780,0,0,0.0000
19930702,23450.0000,23450.0000,23400.0000,23445.0000,196,886,0,0,0.0000
19930706,23550.0000,23555.0000,23430.0000,23440.0000,54,1049,0,0,0.0000
19930707,23370.0000,23370.0000,23335.0000,23335.0000,51,931,0,0,0.0000
19930708,23325.0000,23520.0000,23320.0000,23500.0000,12,934,0,0,0.0000
19930709,23520.0000,23570.0000,23495.0000,23570.0000,7,934,0,0,0.0000
19930712,23660.0000,23660.0000,23660.0000,23660.0000,0,934,0,0,0.0000
19930713,23700.0000,23700.0000,23670.0000,23670.0000,50,939,0,0,0.0000
19930714,23700.0000,23880.0000,23700.0000,23865.0000,26,926,0,0,0.0000
19930715,23850.0000,23850.0000,23740.0000,23825.0000,8,924,0,0,0.0000
