DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,80287.5000,80337.5000,78700.0000,78725.0000,30286,28313,0,0,0.0000
19900103,79250.0000,79387.5000,78750.0000,78912.5000,23619,28179,0,0,0.0000
19900104,79925.0000,81387.5000,79762.5000,81187.5000,29407,29650,0,0,0.0000
19900105,80437.5000,81437.5000,80437.5000,81012.5000,25572,32682,0,0,0.0000
19900108,81562.5000,82125.0000,81537.5000,81875.0000,21005,33002,0,0,0.0000
19900109,81750.0000,82350.0000,81425.0000,82112.5000,21607,34240,0,0,0.0000
19900110,82500.0000,82975.0000,82150.0000,82312.5000,29335,34956,0,0,0.0000
19900111,82375.0000,83050.0000,81950.0000,82787.5000,31145,37203,0,0,0.0000
19900112,83200.0000,83862.5000,82875.0000,83250.0000,35868,35802,0,0,0.0000
19900115,83175.0000,83275.0000,82325.0000,82550.0000,16929,35044,0,0,0.0000
19900116,81625.0000,82750.0000,81587.5000,82487.5000,27995,33871,0,0,0.0000
19900117,82700.0000,83312.5000,82550.0000,82837.5000,22152,33885,0,0,0.0000
19900118,82312.5000,82575.0000,81725.0000,81912.5000,23469,32233,0,0,0.0000
19900119,81800.0000,82450.0000,81800.0000,82012.5000,20291,35066,0,0,0.0000
19900122,81762.5000,81787.5000,81037.5000,81212.5000,22244,34894,0,0,0.0000
19900123,82137.5000,82962.5000,82100.0000,82600.0000,30484,37809,0,0,0.0000
19900124,83525.0000,83887.5000,83000.0000,83150.0000,30694,38789,0,0,0.0000
19900125,83725.0000,84062.5000,83500.0000,83875.0000,25392,37615,0,0,0.0000
19900126,83725.0000,83850.0000,83237.5000,83725.0000,24956,37631,0,0,0.0000
19900129,84250.0000,84300.0000,83787.5000,84100.0000,24185,37341,0,0,0.0000
19900130,83925.0000,84100.0000,82437.5000,82975.0000,25808,36560,0,0,0.0000
19900131,83562.5000,83750.0000,82925.0000,83187.5000,27463,36880,0,0,0.0000
19900201,83375.0000,83712.5000,83012.5000,83687.5000,20201,35913,0,0,0.0000
19900202,83362.5000,83700.0000,83112.5000,83650.0000,21788,38463,0,0,0.0000
19900205,84000.0000,84750.0000,83962.5000,84712.5000,22444,40927,0,0,0.0000
19900206,84687.5000,84750.0000,84300.0000,84450.0000,19859,40360,0,0,0.0000
19900207,84537.5000,84587.5000,83562.5000,83700.0000,32071,38446,0,0,0.0000
19900208,83875.0000,83875.0000,83450.0000,83775.0000,25301,40365,0,0,0.0000
19900209,83700.0000,83837.5000,83225.0000,83737.5000,24359,39966,0,0,0.0000
19900212,83350.0000,83612.5000,83162.5000,83212.5000,22548,38794,0,0,0.0000
19900213,83087.5000,83575.0000,82875.0000,83300.0000,23069,37448,0,0,0.0000
19900214,83512.5000,83812.5000,83450.0000,83612.5000,16372,36884,0,0,0.0000
19900215,83625.0000,83687.5000,82825.0000,82987.5000,18989,35484,0,0,0.0000
19900216,83000.0000,83812.5000,82500.0000,83787.5000,32758,42309,0,0,0.0000
19900220,84262.5000,84537.5000,83987.5000,84512.5000,24740,39948,0,0,0.0000
19900221,84775.0000,84912.5000,84425.0000,84575.0000,20513,42847,0,0,0.0000
19900222,84600.0000,85062.5000,84375.0000,84575.0000,27586,43600,0,0,0.0000
19900223,84737.5000,84887.5000,84487.5000,84850.0000,17299,42476,0,0,0.0000
19900226,84412.5000,84475.0000,83662.5000,83787.5000,28229,40629,0,0,0.0000
19900227,83887.5000,84350.0000,83800.0000,84187.5000,23517,39292,0,0,0.0000
19900228,84062.5000,84100.0000,83187.5000,83362.5000,27802,36787,0,0,0.0000
19900301,83225.0000,83350.0000,82500.0000,82712.5000,35818,35855,0,0,0.0000
19900302,83000.0000,83375.0000,82312.5000,82837.5000,35227,35232,0,0,0.0000
19900305,83400.0000,83650.0000,83050.0000,83550.0000,26136,35982,0,0,0.0000
19900306,83550.0000,83637.5000,83187.5000,83312.5000,16554,34314,0,0,0.0000
19900307,83162.5000,83325.0000,82687.5000,83125.0000,22775,33643,199006,199006,0.0000
19900308,83062.5000,83100.0000,82750.0000,82912.5000,19886,7461,0,0,-50.0000
19900309,82700.0000,82875.0000,82375.0000,82762.5000,21068,9319,0,0,0.0000
19900312,82412.5000,82587.5000,81512.5000,81712.5000,33909,16112,0,0,0.0000
19900313,81662.5000,82225.0000,81400.0000,81950.0000,42838,17910,0,0,0.0000
19900314,81862.5000,82100.0000,81637.5000,81862.5000,20694,19165,0,0,0.0000
19900315,81737.5000,82362.5000,81662.5000,82287.5000,21302,19076,0,0,0.0000
19900316,82350.0000,83000.0000,82312.5000,82700.0000,24510,19925,0,0,0.0000
19900319,82750.0000,82962.5000,82650.0000,82762.5000,17285,20839,0,0,0.0000
19900320,82837.5000,83000.0000,81775.0000,81887.5000,31524,22051,0,0,0.0000
19900321,82037.5000,82250.0000,81875.0000,82050.0000,20598,23408,0,0,0.0000
19900322,81975.0000,82875.0000,81962.5000,82675.0000,24269,22832,0,0,0.0000
19900323,82562.5000,82912.5000,82012.5000,82212.5000,23867,23792,0,0,0.0000
19900326,82225.0000,82437.5000,81600.0000,82112.5000,25997,24694,0,0,0.0000
19900327,82037.5000,82300.0000,81837.5000,82175.0000,18480,26341,0,0,0.0000
19900328,82175.0000,82612.5000,82100.0000,82300.0000,23105,25753,0,0,0.0000
19900329,82862.5000,83587.5000,82862.5000,83525.0000,29327,29886,0,0,0.0000
19900330,83175.0000,83675.0000,82900.0000,83450.0000,25909,31295,0,0,0.0000
19900402,82912.5000,83112.5000,82737.5000,83087.5000,15478,29757,0,0,0.0000
19900403,83075.0000,83225.0000,82962.5000,83062.5000,14724,27608,0,0,0.0000
19900404,82937.5000,83062.5000,82775.0000,82925.0000,12484,27401,0,0,0.0000
19900405,83087.5000,83225.0000,82987.5000,83112.5000,5960,26296,0,0,0.0000
19900406,83312.5000,83500.0000,83062.5000,83187.5000,11040,25387,0,0,0.0000
