DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,26125.0000,26750.0000,26125.0000,26265.0000,16538,56833,0,0,0.0000
19900103,26125.0000,26300.0000,25880.0000,26100.0000,15805,58561,0,0,0.0000
19900104,26325.0000,26750.0000,26325.0000,26675.0000,19740,58642,0,0,0.0000
19900105,26650.0000,27000.0000,26375.0000,26925.0000,21103,57956,0,0,0.0000
19900108,26650.0000,26875.0000,26530.0000,26550.0000,10083,57370,0,0,0.0000
19900109,26550.0000,26625.0000,26325.0000,26490.0000,11111,56738,0,0,0.0000
19900110,26600.0000,26975.0000,26600.0000,26840.0000,16811,56127,0,0,0.0000
19900111,26800.0000,27050.0000,26725.0000,26825.0000,10944,56557,0,0,0.0000
19900112,26930.0000,27225.0000,26925.0000,26940.0000,22921,56179,0,0,0.0000
19900115,26950.0000,26975.0000,26400.0000,26490.0000,15898,56314,0,0,0.0000
19900116,26375.0000,26700.0000,26275.0000,26425.0000,16271,54440,0,0,0.0000
19900117,26350.0000,26550.0000,26275.0000,26540.0000,9187,54694,0,0,0.0000
19900118,26575.0000,26670.0000,26175.0000,26200.0000,19598,54946,0,0,0.0000
19900119,26100.0000,26375.0000,26100.0000,26250.0000,8251,54114,0,0,0.0000
19900122,26125.0000,26625.0000,26000.0000,26575.0000,13996,54221,0,0,0.0000
19900123,26500.0000,26800.0000,26475.0000,26700.0000,16982,53578,0,0,0.0000
19900124,26850.0000,27050.0000,26225.0000,26290.0000,29574,52626,0,0,0.0000
19900125,26250.0000,26450.0000,26225.0000,26265.0000,15361,52394,0,0,0.0000
19900126,26450.0000,26700.0000,26150.0000,26300.0000,16374,52913,0,0,0.0000
19900129,26325.0000,26375.0000,26100.0000,26265.0000,12746,52143,0,0,0.0000
19900130,26175.0000,26400.0000,26150.0000,26225.0000,10464,51585,0,0,0.0000
19900131,26100.0000,26250.0000,26000.0000,26140.0000,12782,51773,0,0,0.0000
19900201,26175.0000,26650.0000,26175.0000,26640.0000,17559,52682,0,0,0.0000
19900202,26630.0000,26800.0000,26480.0000,26690.0000,13727,52153,0,0,0.0000
19900205,26725.0000,27025.0000,26700.0000,26790.0000,20279,52786,0,0,0.0000
19900206,26625.0000,26800.0000,26555.0000,26675.0000,13426,51628,0,0,0.0000
19900207,26580.0000,27200.0000,26580.0000,26680.0000,27962,51633,0,0,0.0000
19900208,26625.0000,26825.0000,26575.0000,26715.0000,12589,50997,0,0,0.0000
19900209,26575.0000,26650.0000,26300.0000,26365.0000,17505,47720,0,0,0.0000
19900212,26425.0000,26725.0000,26425.0000,26525.0000,12670,47684,0,0,0.0000
19900213,26725.0000,26950.0000,26600.0000,26665.0000,19479,44854,0,0,0.0000
19900214,26500.0000,26750.0000,26450.0000,26650.0000,13415,42253,0,0,0.0000
19900215,26705.0000,26920.0000,26575.0000,26650.0000,20341,42197,0,0,0.0000
19900216,26625.0000,26920.0000,26575.0000,26700.0000,15225,42198,0,0,0.0000
19900220,26750.0000,26850.0000,26600.0000,26715.0000,13186,40173,0,0,0.0000
19900221,26725.0000,26870.0000,26375.0000,26400.0000,21106,37650,199005,199005,0.0000
19900222,26800.0000,26925.0000,26730.0000,26790.0000,18408,29950,0,0,450.0000
19900223,26650.0000,26825.0000,26600.0000,26625.0000,20851,32243,0,0,0.0000
19900226,26550.0000,26600.0000,26100.0000,26150.0000,48172,41709,0,0,0.0000
19900227,26150.0000,26225.0000,25750.0000,25800.0000,63221,52597,0,0,0.0000
19900228,25900.0000,26050.0000,25750.0000,26025.0000,21851,54444,0,0,0.0000
19900301,26000.0000,26175.0000,25950.0000,26150.0000,13630,54768,0,0,0.0000
19900302,26075.0000,26125.0000,25900.0000,25990.0000,9206,54541,0,0,0.0000
19900305,25950.0000,26050.0000,25850.0000,25940.0000,5849,54634,0,0,0.0000
19900306,26000.0000,26100.0000,25910.0000,25930.0000,5881,54612,0,0,0.0000
19900307,25875.0000,26075.0000,25875.0000,25950.0000,6573,54299,0,0,0.0000
19900308,25975.0000,26125.0000,25875.0000,25890.0000,7001,54494,0,0,0.0000
19900309,25750.0000,25850.0000,25725.0000,25790.0000,14081,54897,0,0,0.0000
19900312,25825.0000,25950.0000,25375.0000,25515.0000,15789,56152,0,0,0.0000
19900313,25450.0000,25675.0000,25425.0000,25590.0000,12516,55808,0,0,0.0000
19900314,25600.0000,25740.0000,25600.0000,25690.0000,7864,55294,0,0,0.0000
19900315,25650.0000,25875.0000,25650.0000,25665.0000,8795,55471,0,0,0.0000
19900316,25750.0000,25925.0000,25700.0000,25725.0000,6094,55185,0,0,0.0000
19900319,25800.0000,25900.0000,25700.0000,25760.0000,5366,55096,0,0,0.0000
19900320,25775.0000,25825.0000,25400.0000,25465.0000,13111,55891,0,0,0.0000
19900321,25375.0000,25600.0000,25325.0000,25515.0000,7636,56016,0,0,0.0000
19900322,25500.0000,25670.0000,25475.0000,25650.0000,5435,56091,0,0,0.0000
19900323,25625.0000,25750.0000,25300.0000,25440.0000,10438,56747,0,0,0.0000
19900326,24500.0000,25050.0000,24500.0000,24985.0000,18913,56274,0,0,0.0000
19900327,24930.0000,25025.0000,24825.0000,24970.0000,7863,56006,0,0,0.0000
19900328,25050.0000,25140.0000,24700.0000,24775.0000,16127,55617,0,0,0.0000
19900329,24825.0000,25050.0000,24825.0000,24915.0000,6562,55187,0,0,0.0000
19900330,24925.0000,24975.0000,24750.0000,24900.0000,5335,55240,0,0,0.0000
19900402,24800.0000,24920.0000,24775.0000,24890.0000,5041,55074,0,0,0.0000
19900403,25000.0000,25225.0000,25000.0000,25190.0000,7707,54418,0,0,0.0000
19900404,25140.0000,26025.0000,25130.0000,25950.0000,19444,53474,0,0,0.0000
19900405,25850.0000,26250.0000,25725.0000,25840.0000,32100,50764,0,0,0.0000
19900406,25975.0000,26075.0000,25625.0000,25950.0000,14393,50197,0,0,0.0000
19900409,25750.0000,25875.0000,25525.0000,25640.0000,13695,49082,0,0,0.0000
19900410,25600.0000,25740.0000,25400.0000,25565.0000,13892,46822,0,0,0.0000
19900411,25475.0000,25790.0000,25450.0000,25740.0000,14652,45824,0,0,0.0000
19900412,25725.0000,25750.0000,25500.0000,25540.0000,8970,43633,0,0,0.0000
19900416,25450.0000,25475.0000,25130.0000,25375.0000,10577,41849,0,0,0.0000
19900417,25250.0000,25650.0000,25200.0000,25540.0000,20974,39793,0,0,0.0000
19900418,25475.0000,25625.0000,25300.0000,25390.0000,16000,38597,0,0,0.0000
19900419,25450.0000,25545.0000,25350.0000,25390.0000,13456,37525,199007,199007,0.0000
19900420,25750.0000,26000.0000,25650.0000,25960.0000,14853,27276,0,0,400.0000
19900423,25850.0000,26025.0000,25740.0000,25920.0000,15275,30175,0,0,0.0000
19900424,25880.0000,25975.0000,25350.0000,25420.0000,24005,34869,0,0,0.0000
19900425,25300.0000,25400.0000,24875.0000,25025.0000,48846,44223,0,0,0.0000
19900426,25050.0000,25175.0000,24950.0000,24975.0000,32094,48506,0,0,0.0000
19900427,25000.0000,25100.0000,24900.0000,25000.0000,21553,53245,0,0,0.0000
19900430,24925.0000,25100.0000,24850.0000,25075.0000,15122,55931,0,0,0.0000
19900501,25125.0000,25650.0000,25100.0000,25475.0000,20966,55395,0,0,0.0000
19900502,25350.0000,25450.0000,25275.0000,25325.0000,6290,55954,0,0,0.0000
19900503,25350.0000,25525.0000,25325.0000,25365.0000,5802,55587,0,0,0.0000
19900504,25550.0000,25655.0000,25350.0000,25365.0000,10031,54777,0,0,0.0000
19900507,25450.0000,25525.0000,25425.0000,25440.0000,5350,54522,0,0,0.0000
19900508,25425.0000,25500.0000,25200.0000,25290.0000,7489,54864,0,0,0.0000
19900509,25200.0000,25500.0000,25050.0000,25465.0000,11165,55759,0,0,0.0000
19900510,25425.0000,25900.0000,25425.0000,25750.0000,23959,56311,0,0,0.0000
19900511,25425.0000,25650.0000,25400.0000,25525.0000,10980,56262,0,0,0.0000
19900514,25500.0000,25800.0000,25475.0000,25625.0000,9980,56616,0,0,0.0000
19900515,25375.0000,25600.0000,25275.0000,25350.0000,15421,56912,0,0,0.0000
19900516,25275.0000,25425.0000,25250.0000,25325.0000,6898,57072,0,0,0.0000
19900517,25375.0000,25500.0000,25325.0000,25400.0000,6103,56978,0,0,0.0000
19900518,25475.0000,25900.0000,25425.0000,25875.0000,11639,57898,0,0,0.0000
19900521,25900.0000,26025.0000,25730.0000,25925.0000,16502,59587,0,0,0.0000
19900522,25850.0000,26725.0000,25825.0000,26675.0000,32459,61620,0,0,0.0000
19900523,25750.0000,26650.0000,25750.0000,26390.0000,51556,61563,0,0,0.0000
19900524,26350.0000,26570.0000,26225.0000,26375.0000,13951,60738,0,0,0.0000
