DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,98562.5000,98781.3000,98250.0000,98406.3000,140931,249885,0,0,0.0000
19900103,98375.0000,98500.0000,97906.3000,98000.0000,293462,252487,0,0,0.0000
19900104,97937.5000,98312.5000,97937.5000,98062.5000,219081,244967,0,0,0.0000
19900105,98062.5000,98500.0000,97625.0000,97812.5000,332874,262280,0,0,0.0000
19900108,97718.8000,97812.5000,97437.5000,97593.8000,253864,263320,0,0,0.0000
19900109,97625.0000,97843.8000,97406.3000,97500.0000,196738,264961,0,0,0.0000
19900110,97531.3000,97687.5000,97312.5000,97562.5000,268377,266408,0,0,0.0000
19900111,97750.0000,97843.8000,97531.3000,97562.5000,151260,262239,0,0,0.0000
19900112,97218.8000,97468.8000,96750.0000,97000.0000,484746,276403,0,0,0.0000
19900115,96718.8000,96812.5000,96531.3000,96593.8000,68318,270104,0,0,0.0000
19900116,96406.3000,96656.3000,96125.0000,96312.5000,348645,269886,0,0,0.0000
19900117,96375.0000,96562.5000,96125.0000,96312.5000,258075,268083,0,0,0.0000
19900118,95812.5000,96156.3000,95218.8000,95250.0000,499692,264868,0,0,0.0000
19900119,95687.5000,95843.8000,95343.8000,95843.8000,288593,263403,0,0,0.0000
19900122,95906.3000,95968.8000,95531.3000,95625.0000,205097,262154,0,0,0.0000
19900123,95500.0000,95875.0000,95250.0000,95875.0000,309610,261887,0,0,0.0000
19900124,94625.0000,94781.3000,94343.8000,94750.0000,385277,263303,0,0,0.0000
19900125,95062.5000,95125.0000,94250.0000,94281.3000,388638,262947,0,0,0.0000
19900126,94406.3000,94562.5000,93218.8000,93375.0000,548956,267315,0,0,0.0000
19900129,93531.3000,93781.3000,93343.8000,93500.0000,229228,257820,0,0,0.0000
19900130,93312.5000,93750.0000,92562.5000,93218.8000,516618,262222,0,0,0.0000
19900131,93093.8000,94281.3000,92937.5000,94250.0000,445820,259151,0,0,0.0000
19900201,94531.3000,94687.5000,93968.8000,94500.0000,389153,254437,0,0,0.0000
19900202,94375.0000,94562.5000,93656.3000,93843.8000,437245,259351,0,0,0.0000
19900205,93593.8000,93656.3000,93406.3000,93593.8000,165287,249596,0,0,0.0000
19900206,93312.5000,93406.3000,93031.3000,93250.0000,267535,242667,0,0,0.0000
19900207,92750.0000,93343.8000,92562.5000,93312.5000,389466,246257,0,0,0.0000
19900208,93281.3000,94281.3000,93156.3000,93687.5000,528683,251553,0,0,0.0000
19900209,94156.3000,95031.3000,94093.8000,94843.8000,442041,250447,0,0,0.0000
19900212,94906.3000,95093.8000,94000.0000,94062.5000,347154,250896,0,0,0.0000
19900213,94156.3000,94562.5000,93906.3000,94437.5000,373682,247719,0,0,0.0000
19900214,94531.3000,94656.3000,94218.8000,94343.8000,256839,241718,0,0,0.0000
19900215,94218.8000,94250.0000,93593.8000,93687.5000,367697,235365,0,0,0.0000
19900216,93843.8000,94125.0000,93562.5000,93750.0000,286262,223292,0,0,0.0000
19900220,92875.0000,93031.3000,91718.8000,92062.5000,540778,222970,0,0,0.0000
19900221,92156.3000,92312.5000,91593.8000,92093.8000,382058,204979,0,0,0.0000
19900222,92062.5000,93281.3000,91812.5000,93125.0000,451275,204735,199006,199006,0.0000
19900223,93031.3000,93468.8000,92687.5000,93000.0000,510914,114038,0,0,-31.3000
19900226,93250.0000,93718.8000,93062.5000,93687.5000,264110,123948,0,0,0.0000
19900227,93843.8000,94187.5000,93781.3000,94125.0000,355525,143172,0,0,0.0000
19900228,93937.5000,94031.3000,93187.5000,93187.5000,396272,165901,0,0,0.0000
19900301,93156.3000,93343.8000,92437.5000,92531.3000,431150,185846,0,0,0.0000
19900302,92625.0000,93500.0000,92562.5000,93000.0000,392877,196210,0,0,0.0000
19900305,92906.3000,92906.3000,91812.5000,91906.3000,280170,195960,0,0,0.0000
19900306,92093.8000,92718.8000,91781.3000,92593.8000,354462,204938,0,0,0.0000
19900307,92687.5000,92937.5000,92531.3000,92687.5000,196481,204912,0,0,0.0000
19900308,92781.3000,92937.5000,92531.3000,92875.0000,179332,212289,0,0,0.0000
19900309,93062.5000,93093.8000,91656.3000,91812.5000,486943,232803,0,0,0.0000
19900312,91812.5000,92187.5000,91750.0000,92156.3000,168933,245419,0,0,0.0000
19900313,92000.0000,92156.3000,91000.0000,91218.8000,457181,254430,0,0,0.0000
19900314,91343.8000,92312.5000,91281.3000,92281.3000,373144,250603,0,0,0.0000
19900315,92125.0000,92281.3000,91843.8000,92156.3000,198199,243725,0,0,0.0000
19900316,92125.0000,93062.5000,91968.8000,92812.5000,441949,244853,0,0,0.0000
19900319,92593.8000,92906.3000,92312.5000,92875.0000,185234,237240,0,0,0.0000
19900320,92906.3000,93687.5000,92125.0000,93656.3000,524885,253654,0,0,0.0000
19900321,93531.3000,93656.3000,93281.3000,93406.3000,210614,248285,0,0,0.0000
19900322,93156.3000,94031.3000,93031.3000,93281.3000,482493,254979,0,0,0.0000
19900323,93531.3000,93843.8000,92968.8000,93375.0000,327928,254751,0,0,0.0000
19900326,93718.8000,93968.8000,93468.8000,93593.8000,140826,247346,0,0,0.0000
19900327,93531.3000,93750.0000,93281.3000,93500.0000,192989,247845,0,0,0.0000
19900328,93375.0000,93875.0000,93125.0000,93656.3000,203402,248328,0,0,0.0000
19900329,93312.5000,93468.8000,92562.5000,92625.0000,360767,241595,0,0,0.0000
19900330,92656.3000,92843.8000,91687.5000,91875.0000,329214,242015,0,0,0.0000
19900402,92125.0000,92281.3000,91843.8000,91906.3000,157078,235896,0,0,0.0000
19900403,92093.8000,92250.0000,91906.3000,92187.5000,167570,230342,0,0,0.0000
19900404,92250.0000,93718.8000,92218.8000,93312.5000,282553,234371,0,0,0.0000
19900405,92968.8000,93187.5000,92750.0000,93156.3000,185307,230987,0,0,0.0000
19900406,93000.0000,93875.0000,92562.5000,93093.8000,369865,231485,0,0,0.0000
19900409,92875.0000,92937.5000,92593.8000,92906.3000,104555,225298,0,0,0.0000
19900410,92906.3000,93281.3000,92468.8000,92812.5000,251726,228485,0,0,0.0000
19900411,92625.0000,93218.8000,92500.0000,92718.8000,283073,235130,0,0,0.0000
19900412,92781.3000,93062.5000,92406.3000,92531.3000,175295,235566,0,0,0.0000
19900416,92843.8000,92843.8000,91937.5000,92093.8000,194285,234091,0,0,0.0000
19900417,92343.8000,92468.8000,90750.0000,91156.3000,422493,247701,0,0,0.0000
19900418,91281.3000,91406.3000,90000.0000,90187.5000,508318,256933,0,0,0.0000
19900419,89937.5000,90375.0000,89750.0000,90156.3000,311410,248717,0,0,0.0000
19900420,90281.3000,90437.5000,89312.5000,89531.3000,301846,251330,0,0,0.0000
19900423,89312.5000,89562.5000,89093.8000,89250.0000,231046,244924,0,0,0.0000
19900424,89281.3000,89718.8000,88875.0000,89125.0000,346909,248223,0,0,0.0000
19900425,89156.3000,89593.8000,88968.8000,89187.5000,234821,250425,0,0,0.0000
19900426,89281.3000,89406.3000,88312.5000,88593.8000,396652,262456,0,0,0.0000
19900427,88500.0000,89250.0000,88218.8000,88593.8000,438497,258731,0,0,0.0000
19900430,88562.5000,88843.8000,88531.3000,88812.5000,97621,247949,0,0,0.0000
19900501,89093.8000,89437.5000,88406.3000,88718.8000,315964,257897,0,0,0.0000
19900502,88375.0000,88843.8000,88312.5000,88687.5000,230484,255088,0,0,0.0000
19900503,88875.0000,89343.8000,88875.0000,89125.0000,215233,248687,0,0,0.0000
19900504,89312.5000,90843.8000,89250.0000,90718.8000,521261,258022,0,0,0.0000
19900507,90562.5000,90625.0000,90343.8000,90406.3000,129551,246483,0,0,0.0000
19900508,90562.5000,90812.5000,90468.8000,90781.3000,202540,250606,0,0,0.0000
19900509,90343.8000,90437.5000,89906.3000,89968.8000,255910,245332,0,0,0.0000
19900510,90187.5000,90750.0000,90156.3000,90625.0000,298427,250145,0,0,0.0000
19900511,90781.3000,92312.5000,90656.3000,92187.5000,533475,247005,0,0,0.0000
19900514,91937.5000,92843.8000,91906.3000,92812.5000,270222,231861,0,0,0.0000
19900515,92500.0000,92625.0000,92187.5000,92406.3000,227181,229230,0,0,0.0000
19900516,92375.0000,92718.8000,91968.8000,92218.8000,322918,229144,0,0,0.0000
19900517,92343.8000,92562.5000,91968.8000,92125.0000,291979,219004,0,0,0.0000
19900518,91906.3000,91968.8000,91500.0000,91687.5000,231362,204573,0,0,0.0000
19900521,91562.5000,91875.0000,91437.5000,91781.3000,127183,194756,0,0,0.0000
19900522,91906.3000,92687.5000,91906.3000,92562.5000,283667,195522,0,0,0.0000
19900523,92687.5000,93156.3000,92250.0000,92718.8000,380148,194177,199009,199009,0.0000
19900524,92812.5000,93031.3000,92375.0000,92468.8000,337873,87949,0,0,-218.8000
