DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
20020604,32830.0000,32870.0000,32300.0000,32300.0000,1884,26428,0,0,0.0000
20020605,32410.0000,32590.0000,32260.0000,32280.0000,3388,27030,0,0,0.0000
20020606,32430.0000,32700.0000,32040.0000,32100.0000,1034,25410,200209,200209,0.0000
20020607,31310.0000,31570.0000,31310.0000,31570.0000,1820,3158,0,0,-140.0000
20020610,31920.0000,31920.0000,31680.0000,31680.0000,5157,4635,0,0,0.0000
20020611,32040.0000,32280.0000,32040.0000,32250.0000,1792,4741,0,0,0.0000
20020612,31610.0000,31620.0000,31300.0000,31320.0000,2050,4791,0,0,0.0000
20020613,31540.0000,31540.0000,30830.0000,30940.0000,2058,5202,0,0,0.0000
20020614,30580.0000,30580.0000,29860.0000,30090.0000,3755,6190,0,0,0.0000
20020617,30490.0000,31510.0000,30360.0000,31510.0000,5479,7699,0,0,0.0000
20020618,31370.0000,31410.0000,30990.0000,31080.0000,9102,11047,0,0,0.0000
20020619,30500.0000,30730.0000,30320.0000,30350.0000,19413,18186,0,0,0.0000
20020620,30250.0000,30520.0000,29750.0000,29860.0000,11819,23088,0,0,0.0000
20020621,29400.0000,30220.0000,29230.0000,29700.0000,3264,24534,0,0,0.0000
20020624,29950.0000,30000.0000,28600.0000,29230.0000,2200,25052,0,0,0.0000
20020625,29600.0000,29870.0000,29480.0000,29660.0000,2245,24860,0,0,0.0000
20020626,28180.0000,29150.0000,27950.0000,28950.0000,6322,26836,0,0,0.0000
20020627,29530.0000,29920.0000,29200.0000,29700.0000,2373,26757,0,0,0.0000
20020628,30250.0000,30670.0000,29960.0000,30560.0000,1503,26047,0,0,0.0000
20020701,30320.0000,31200.0000,30260.0000,30660.0000,2880,25713,0,0,0.0000
20020702,30060.0000,30370.0000,29420.0000,29610.0000,2585,26174,0,0,0.0000
20020703,29780.0000,29890.0000,28710.0000,28880.0000,2744,25294,0,0,0.0000
20020704,29560.0000,29840.0000,29200.0000,29785.0000,2439,25277,0,0,0.0000
20020705,30000.0000,31260.0000,29950.0000,31070.0000,2572,25094,0,0,0.0000
20020708,30700.0000,30930.0000,30470.0000,30780.0000,1462,24846,0,0,0.0000
20020709,30720.0000,30940.0000,30030.0000,30410.0000,1385,24790,0,0,0.0000
20020710,29770.0000,30070.0000,29150.0000,29310.0000,2061,24939,0,0,0.0000
20020711,28360.0000,28830.0000,27800.0000,28240.0000,2577,25480,0,0,0.0000
20020712,29150.0000,29150.0000,27870.0000,28280.0000,1637,26071,0,0,0.0000
20020715,28300.0000,28470.0000,26350.0000,26350.0000,7593,29410,0,0,0.0000
